# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.18
metadata : {}


# id : NWRW1800000054.18.1.1
올해 하버드 졸업식 축사, 중퇴 저커버그에게 맡겨

올해	올해/NNG
환영한다"고	환영/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.3.1
2002년 9월 하버드대에 입학해 컴퓨터공학을 전공하던 그는 2004년 하버드생들을 대상으로 한 인맥 관리 서비스인 페이스북을 처음 출시했다.

2002년	2002/SN+년/NNB
9월	9/SN+월/NNB
하버드대에	하버드대/NNP+에/JKB
입학해	입학/NNG+하/XSV+아/EC
컴퓨터공학을	컴퓨터/NNG+공학/NNG+을/JKO
전공하던	전공/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
2004년	2004/SN+년/NNB
하버드생들을	하버드/NNP+생/XSN+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
인맥	인맥/NNG
관리	관리/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
페이스북을	페이스북/NNP+을/JKO
처음	처음/NNG
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.3.2
그 뒤로 페이스북 가입 대상은 스탠퍼드대·컬럼비아대 등 미국 전역 대학으로 점점 확대됐고, 저커버그는 사업에 집중하기 위해 2005년 학교를 중퇴했다.

그	그/MMD
뒤로	뒤/NNG+로/JKB
페이스북	페이스북/NNP
가입	가입/NNG
대상은	대상/NNG+은/JX
스탠퍼드대·컬럼비아대	스탠퍼드대/NNP+·/SP+컬럼비아대/NNP
등	등/NNB
미국	미국/NNP
전역	전역/NNG
대학으로	대학/NNG+으로/JKB
점점	점점/MAG
확대됐고,	확대/NNG+되/XSV+었/EP+고/EC+,/SP
저커버그는	저커버그/NNP+는/JX
사업에	사업/NNG+에/JKB
집중하기	집중/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2005년	2005/SN+년/NNB
학교를	학교/NNG+를/JKO
중퇴했다.	중퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.3.3
현재 페이스북은 전 세계 20억명에 가까운 사람이 이용하는 세계 최대 소셜 미디어로 성장했다.

현재	현재/MAG
페이스북은	페이스북/NNP+은/JX
전	전/MMN
세계	세계/NNG
20억명에	20/SN+억/NR+명/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
사람이	사람/NNG+이/JKS
이용하는	이용/NNG+하/XSV+는/ETM
최대	최대/NNG
소셜	소셜/NNG
미디어로	미디어/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.4.1
하버드대 졸업식은 매년 저명인사가 축사를 맡는 것으로 유명하다.

하버드대	하버드대/NNP
졸업식은	졸업식/NNG+은/JX
매년	매년/MAG
저명인사가	저명인사/NNG+가/JKS
축사를	축사/NNG+를/JKO
맡는	맡/VV+는/ETM
것으로	것/NNB+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.18.4.2
지난해에는 영화계의 거장 스티븐 스필버그 감독이 축사를 맡았다.

지난해에는	지난해/NNG+에/JKB+는/JX
영화계의	영화/NNG+계/XSN+의/JKG
거장	거장/NNG
스티븐	스티븐/NNP
스필버그	스필버그/NNP
감독이	감독/NNG+이/JKS
축사를	축사/NNG+를/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.18.4.3
연사에겐 명예학위가 수여되는 경우가 많아 저커버그도 이번 기회에 학위를 받을 가능성이 큰 것으로 전해졌다.

연사에겐	연사/NNG+에게/JKB+ㄴ/JX
명예학위가	명예/NNG+학위/NNG+가/JKS
수여되는	수여/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
저커버그도	저커버그/NNP+도/JX
이번	이번/NNG
기회에	기회/NNG+에/JKB
학위를	학위/NNG+를/JKO
받을	받/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.18.5.1
하버드대는 이날 트위터 계정에 저커버그의 학위 수여를 암시하듯 그와 마이크로소프트(MS) 공동 설립자인 빌 게이츠가 나눈 짧은 대화 영상을 올렸다.

하버드대는	하버드대/NNP+는/JX
이날	이날/NNG
트위터	트위터/NNP
계정에	계정/NNG+에/JKB
저커버그의	저커버그/NNP+의/JKG
학위	학위/NNG
수여를	수여/NNG+를/JKO
암시하듯	암시/NNG+하/XSV+듯/EC
그와	그/NP+와/JC
마이크로소프트(MS)	마이크로소프트/NNP+(/SS+MS/SL+)/SS
공동	공동/NNG
설립자인	설립자/NNG+이/VCP+ㄴ/ETM
빌	빌/NNP
게이츠가	게이츠/NNP+가/JKS
나눈	나누/VV+ㄴ/ETM
짧은	짧/VA+은/ETM
대화	대화/NNG
영상을	영상/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.18.5.2
동영상에서 저커버그는 자신이 졸업식에 초청됐다는 소식을 게이츠에게 알리며 "우리가 졸업하지 않은 걸 그들(대학 측)도 알겠죠?"라고 묻는다.

동영상에서	동영상/NNG+에서/JKB
저커버그는	저커버그/NNP+는/JX
자신이	자신/NNG+이/JKS
졸업식에	졸업식/NNG+에/JKB
초청됐다는	초청/NNG+되/XSV+었/EP+다는/ETM
소식을	소식/NNG+을/JKO
게이츠에게	게이츠/NNP+에게/JKB
알리며	알리/VV+며/EC
"우리가	"/SS+우리/NP+가/JKS
졸업하지	졸업/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
걸	거/NNB+ㄹ/JKO
그들(대학	그/NP+들/XSN+(/SS+대학/NNG
측)도	측/NNB+)/SS+도/JX
알겠죠?"라고	알/VV+겠/EP+죠/EF+?/SF+"/SS+라고/JKQ
묻는다.	묻/VV+는다/EF+./SF


# id : NWRW1800000054.18.5.3
그러자 게이츠는 "수업에 갈 필요도 없이 진짜 학위를 딸 수 있는데, 바로 이게 최고다"고 답한다.

그러자	그러/VV+자/EC
게이츠는	게이츠/NNP+는/JX
"수업에	"/SS+수업/NNG+에/JKB
갈	가/VV+ㄹ/ETM
필요도	필요/NNG+도/JX
없이	없이/MAG
진짜	진짜/NNG
학위를	학위/NNG+를/JKO
딸	따/VV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
바로	바로/MAG
이게	이거/NP+이/JKS
최고다"고	최고/NNG+이/VCP+다/EF+"/SS+고/JKQ
답한다.	답/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.18.5.4
지난 1975년 하버드대를 자퇴한 게이츠는 2007년 하버드대 졸업식 축사를 한 뒤 명예학위를 받은 바 있다.

지난	지나/VV+ㄴ/ETM
1975년	1975/SN+년/NNB
하버드대를	하버드대/NNP+를/JKO
자퇴한	자퇴/NNG+하/XSV+ㄴ/ETM
게이츠는	게이츠/NNP+는/JX
2007년	2007/SN+년/NNB
하버드대	하버드대/NNP
졸업식	졸업식/NNG
축사를	축사/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
명예학위를	명예/NNG+학위/NNG+를/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


