# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.114
metadata : {}


# id : NWRW1800000029.114.1.1
“한국 구제역 백신 10%는 효과 없었다”

“한국	“/SS+한국/NNP
# id : NWRW1800000029.114.6.2
구제역 바이러스는 항원 구조가 7가지나 되는데 이를 예방하기 위해서는 각각의 항원 구조에 맞는 항체가 필요하기 때문이다.

구제역	구제역/NNG
바이러스는	바이러스/NNG+는/JX
항원	항원/NNG
구조가	구조/NNG+가/JKS
7가지나	7/SN+가지/NNB+나/JX
되는데	되/VV+는데/EC
이를	이/NP+를/JKO
예방하기	예방/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
각각의	각각/NNG+의/JKG
구조에	구조/NNG+에/JKB
맞는	맞/VV+는/ETM
항체가	항체/NNG+가/JKS
필요하기	필요/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.114.6.3
그는 “구제역 백신은 적용할 수 있는 범위가 좁다”며 “조류독감 같은 다른 바이러스 백신을 한 가지만 만들면 웬만한 유사 바이러스에 효과를 보이지만 구제역 백신은 항원 구조가 다른 바이러스에는 전혀 효과가 없다”고 설명했다.

그는	그/NP+는/JX
“구제역	“/SS+구제역/NNG
백신은	백신/NNG+은/JX
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
범위가	범위/NNG+가/JKS
좁다”며	좁/VA+다/EF+”/SS+며/EC
“조류독감	“/SS+조류/NNG+독감/NNG
같은	같/VA+은/ETM
다른	다른/MMD
바이러스	바이러스/NNG
백신을	백신/NNG+을/JKO
한	한/MMN
가지만	가지/NNB+만/JX
만들면	만들/VV+면/EC
웬만한	웬만하/VA+ㄴ/ETM
유사	유사/NNG
바이러스에	바이러스/NNG+에/JKB
효과를	효과/NNG+를/JKO
보이지만	보이/VV+지만/EC
구제역	구제역/NNG
항원	항원/NNG
구조가	구조/NNG+가/JKS
바이러스에는	바이러스/NNG+에/JKB+는/JX
전혀	전혀/MAG
효과가	효과/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.114.7.1
해먼드 소장은 새로운 바이러스가 발견될 때마다 병원성을 규명해 기존에 개발된 백신이 효과가 있는지 지속적으로 추적해야 한다고 강조했다.

해먼드	해먼드/NNP
소장은	소장/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
바이러스가	바이러스/NNG+가/JKS
발견될	발견/NNG+되/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
병원성을	병원/NNG+성/XSN+을/JKO
규명해	규명/NNG+하/XSV+아/EC
기존에	기존/NNG+에/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
백신이	백신/NNG+이/JKS
효과가	효과/NNG+가/JKS
있는지	있/VA+는지/EF
지속적으로	지속/NNG+적/XSN+으로/JKB
추적해야	추적/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.114.7.2
그는 “구제역 발생의 정확한 원인이 아직 밝혀지지 않은 만큼 올해 말에도 같은 피해를 볼 수 있다”며 “예방백신을 준비하는 것도 중요하지만 가축의 사육 환경을 개선하고 농장을 방역하는 데도 신경을 더 써야 할 것”이라고 말했다.

그는	그/NP+는/JX
“구제역	“/SS+구제역/NNG
발생의	발생/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
원인이	원인/NNG+이/JKS
아직	아직/MAG
밝혀지지	밝혀지/VV+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
올해	올해/NNG
말에도	말/NNB+에/JKB+도/JX
같은	같/VA+은/ETM
피해를	피해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“예방백신을	“/SS+예방/NNG+백신/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
가축의	가축/NNG+의/JKG
사육	사육/NNG
환경을	환경/NNG+을/JKO
개선하고	개선/NNG+하/XSV+고/EC
농장을	농장/NNG+을/JKO
방역하는	방역/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
신경을	신경/NNG+을/JKO
더	더/MAG
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


