# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.250
metadata : {}


# id : NWRW1800000026.250.1.1
[대구·경북] 수성구 보건소장 공채 시작부터 '잡음';구청 안팎서 '내정설' 터져 의사·간호사 단체들 기싸움… 심사위 구성 등 무기한 연기

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
갖춰야	갖추/VV+어야/EC
하는	하/VX+는/ETM
자리이며	자리/NNG+이/VCP+며/EC
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
식견을	식견/NNG+을/JKO
고루	고루/MAG
갖춘	갖추/VV+ㄴ/ETM
의사가	의사/NNG+가/JKS
임용돼야	임용/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장하면서	주장/NNG+하/XSV+면서/EC
"지역보건법에도	"/SS+지역/NNG+보건법/NNG+에/JKB+도/JX
'구청은	'/SS+구청/NNG+은/JX
의사	의사/NNG
면허를	면허/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
자를	자/NNB+를/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
보건소장으로	보건소장/NNG+으로/JKB
임명한다'고	임명/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
명시돼	명시/NNG+되/XSV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.250.7.3
그는 또 "하지만 수성구는 이 같은 현실과 법규정을 무시한 채 자신의 입맛에 맞는 사람들로 심사위원회를 꾸려 특정 후보를 소장에 앉히려 하고 있다"면서 "구청장은 수차례 면담 요구도 거절한 채 밀어부치려 하고 있어 의사직이 배제될 경우 법적대응도 불사할 방침"이라고 목청을 높였다.

그는	그/NP+는/JX
또	또/MAG
"하지만	"/SS+하지만/MAJ
수성구는	수성구/NNP+는/JX
이	이/MMD
같은	같/VA+은/ETM
현실과	현실/NNG+과/JC
법규정을	법/NNG+규정/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
자신의	자신/NNG+의/JKG
입맛에	입맛/NNG+에/JKB
맞는	맞/VV+는/ETM
사람들로	사람/NNG+들/XSN+로/JKB
심사위원회를	심사/NNG+위원회/NNG+를/JKO
꾸려	꾸리/VV+어/EC
특정	특정/NNG
후보를	후보/NNG+를/JKO
소장에	소장/NNG+에/JKB
앉히려	앉히/VV+려/EC
하고	하/VX+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"구청장은	"/SS+구청장/NNG+은/JX
수차례	수차례/NNG
면담	면담/NNG
요구도	요구/NNG+도/JX
거절한	거절/NNG+하/XSV+ㄴ/ETM
밀어부치려	밀어부치/VV+려/EC
있어	있/VX+어/EC
의사직이	의사직/NNG+이/JKS
배제될	배제/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
법적대응도	법/NNG+적/XSN+대응/NNG+도/JX
불사할	불사/NNG+하/XSV+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
목청을	목청/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.250.8.1
반면 대구간호사회는 의사회가 주장하는 관련법 조항은 지난해 국가인권위원회에서 '직종 차별'이라는 판단이 내려졌고, 현재 법 개정을 권고한 사안이기 때문에 현행 지역보건법은 형평성을 잃은 법이라는 입장이다.

반면	반면/NNG
대구간호사회는	대구간호사회/NNP+는/JX
의사회가	의사회/NNG+가/JKS
주장하는	주장/NNG+하/XSV+는/ETM
관련법	관련/NNG+법/NNG
조항은	조항/NNG+은/JX
지난해	지난해/NNG
국가인권위원회에서	국가인권위원회/NNP+에서/JKB
'직종	'/SS+직종/NNG
차별'이라는	차별/NNG+'/SS+이/VCP+라는/ETM
판단이	판단/NNG+이/JKS
내려졌고,	내려지/VV+었/EP+고/EC+,/SP
현재	현재/MAG
법	법/NNG
개정을	개정/NNG+을/JKO
권고한	권고/NNG+하/XSV+ㄴ/ETM
사안이기	사안/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
현행	현행/NNG
지역보건법은	지역/NNG+보건법/NNG+은/JX
형평성을	형평/NNG+성/XSN+을/JKO
잃은	잃/VV+은/ETM
법이라는	법/NNG+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.250.9.1
현재 수성구는 양 단체의 눈치를 보느라 전전긍긍하고 있다.

현재	현재/MAG
수성구는	수성구/NNP+는/JX
양	양/MMN
단체의	단체/NNG+의/JKG
눈치를	눈치/NNG+를/JKO
보느라	보/VV+느라/EC
전전긍긍하고	전전긍긍/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.250.9.2
당초 오는 27일 법조계·학계 등의 출신 인사 5명 이상으로 구성된 심사위원회를 꾸려 이들에 대한 서류·면접심사 등을 벌일 예정이었다.

당초	당초/NNG
오는	오/VV+는/ETM
27일	27/SN+일/NNB
법조계·학계	법조/NNG+계/XSN+·/SP+학계/NNG
등의	등/NNB+의/JKG
출신	출신/NNG
인사	인사/NNG
5명	5/SN+명/NNB
이상으로	이상/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
심사위원회를	심사/NNG+위원회/NNG+를/JKO
꾸려	꾸리/VV+어/EC
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
서류·면접심사	서류/NNG+·/SP+면접/NNG+심사/NNG
등을	등/NNB+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.250.10.1
그러나 심사위원회 구성은 무기한 보류됐다.

그러나	그러나/MAJ
심사위원회	심사/NNG+위원회/NNG
구성은	구성/NNG+은/JX
무기한	무/XPN+기한/NNG
보류됐다.	보류/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.250.10.2
양 단체 모두가 수긍할 만한 인물들로 심사위원회를 꾸리지 못할 경우 '내정설' 시비에서 벗어날 수 없는데다 어떤 결정을 내려도 법정공방으로 이어질 가능성도 있어 이러지도 저러지도 못하는 형편이다.

양	양/MMN
단체	단체/NNG
모두가	모두/NNG+가/JKS
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
인물들로	인물/NNG+들/XSN+로/JKB
심사위원회를	심사/NNG+위원회/NNG+를/JKO
꾸리지	꾸리/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
'내정설'	'/SS+내정설/NNG+'/SS
시비에서	시비/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
없는데다	없/VA+는/ETM+데/NNB+다/JX
어떤	어떤/MMD
결정을	결정/NNG+을/JKO
내려도	내리/VV+어도/EC
법정공방으로	법정/NNG+공방/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있어	있/VA+어/EC
이러지도	이러/VV+지/EC+도/JX
저러지도	저러/VV+지/EC+도/JX
못하는	못하/VX+는/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.250.11.1
수성구청 총무과 김대생 인사담당은 "법적인 검토 등을 제대로 하지 않은 상황에서 공채가 진행됐고, 뜻하지 않은 시비까지 불거져 모든 상황을 종합적으로 재검토하고 있다"며 "투명하고 공정하게 처리될 수 있도록 노력하겠다"고 말했다.

수성구청	수성구청/NNP
총무과	총무과/NNG
김대생	김대생/NNP
인사담당은	인사/NNG+담당/NNG+은/JX
"법적인	"/SS+법/NNG+적/XSN+이/VCP+ㄴ/ETM
검토	검토/NNG
등을	등/NNB+을/JKO
제대로	제대로/MAG
하지	하/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
공채가	공채/NNG+가/JKS
진행됐고,	진행/NNG+되/XSV+었/EP+고/EC+,/SP
뜻하지	뜻/NNG+하/XSV+지/EC
시비까지	시비/NNG+까지/JX
불거져	불거지/VV+어/EC
모든	모든/MMN
상황을	상황/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
재검토하고	재/XPN+검토/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"투명하고	"/SS+투명/NNG+하/XSA+고/EC
공정하게	공정/NNG+하/XSA+게/EC
처리될	처리/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다"고	노력/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


