# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.401
metadata : {}


# id : NWRW1800000029.401.1.1
軍, 중거리 지대공 유도무기 ‘天弓’ 국내개발 성공

軍,	軍/SH+,/SP
배치되며	배치/NNG+되/XSV+며/EC
서울	서울/NNP
및	및/MAG
수도권	수도/NNG+권/XSN
핵심시설	핵심/NNG+시설/NNG
방어	방어/NNG
등	등/NNB
한국군의	한국군/NNG+의/JKG
주력	주력/NNG
방공임무를	방공/NNG+임무/NNG+를/JKO
수행한다.	수행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.401.5.2
ADD는 이날 대전 연구소 강당에서 천궁 개발 완료 보고회를 열고 운용시험 및 시험발사 결과와 영상을 공개했다.

ADD는	ADD/SL+는/JX
이날	이날/NNG
대전	대전/NNP
연구소	연구소/NNG
강당에서	강당/NNG+에서/JKB
천궁	천궁/NNP
개발	개발/NNG
완료	완료/NNG
보고회를	보고회/NNG+를/JKO
열고	열/VV+고/EC
운용시험	운용/NNG+시험/NNG
및	및/MAG
시험발사	시험/NNG+발사/NNG
결과와	결과/NNG+와/JC
영상을	영상/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.401.6.1
ADD는 2006년 ‘철매-Ⅱ’라는 프로젝트 명으로 개발에 착수한 지 5년여 만에 천궁 개발을 완료했다.

ADD는	ADD/SL+는/JX
2006년	2006/SN+년/NNB
‘철매-Ⅱ’라는	‘/SS+철매/NNP+-/SO+Ⅱ/SL+’/SS+이/VCP+라는/ETM
프로젝트	프로젝트/NNG
명으로	명/NNG+으로/JKB
개발에	개발/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
지	지/NNB
5년여	5/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
천궁	천궁/NNP
개발을	개발/NNG+을/JKO
완료했다.	완료/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.401.6.2
LIG넥스원과 삼성탈레스, 두산DST, 한화 등 국내 15개 방위산업체도 개발에 참여했다.

LIG넥스원과	LIG넥스원/NNP+과/JC
삼성탈레스,	삼성탈레스/NNP+,/SP
두산DST,	두산DST/NNP+,/SP
한화	한화/NNP
등	등/NNB
국내	국내/NNG
15개	15/SN+개/NNB
방위산업체도	방위/NNG+산업체/NNG+도/JX
개발에	개발/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.401.6.3
‘철매-Ⅱ’ 프로젝트는 도입된 지 40년이 지난 호크 미사일을 대체하는 사업이다.

‘철매-Ⅱ’	‘/SS+철매/NNP+-/SO+Ⅱ/SL+’/SS
프로젝트는	프로젝트/NNG+는/JX
도입된	도입/NNG+되/XSV+ㄴ/ETM
지	지/NNB
40년이	40/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
호크	호크/NNP
미사일을	미사일/NNG+을/JKO
대체하는	대체/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.401.7.1
천궁은 다기능 레이더와 사격 과정을 총괄하는 교전통제실, 실제 미사일을 발사하는 유도탄 발사대 등으로 구성돼 있다.

천궁은	천궁/NNP+은/JX
다기능	다기능/NNG
레이더와	레이더/NNG+와/JC
사격	사격/NNG
과정을	과정/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
교전통제실,	교전/NNG+통제실/NNG+,/SP
실제	실제/NNG
미사일을	미사일/NNG+을/JKO
발사하는	발사/NNG+하/XSV+는/ETM
유도탄	유도탄/NNG
발사대	발사대/NNG
등으로	등/NNB+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.401.8.1
천궁의 요격 과정은 지상의 수직발사대에서 발사된 뒤 표적을 추적 탐지하는 다기능 레이더의 유도를 받아 측추력(側推力)기를 작동해 격추시키는 순서로 진행된다.

천궁의	천궁/NNP+의/JKG
요격	요격/NNG
과정은	과정/NNG+은/JX
지상의	지상/NNG+의/JKG
수직발사대에서	수직/NNG+발사대/NNG+에서/JKB
발사된	발사/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
표적을	표적/NNG+을/JKO
추적	추적/NNG
탐지하는	탐지/NNG+하/XSV+는/ETM
다기능	다기능/NNG
레이더의	레이더/NNG+의/JKG
유도를	유도/NNG+를/JKO
받아	받/VV+아/EC
측추력(側推力)기를	측추력/NNG+(/SS+側推力/SH+)/SS+기/NNG+를/JKO
작동해	작동/NNG+하/XSV+아/EC
격추시키는	격추/NNG+시키/XSV+는/ETM
순서로	순서/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.401.8.2
천궁의 유효 사거리와 고도는 각각 40km, 15km이다.

천궁의	천궁/NNP+의/JKG
유효	유효/NNG
사거리와	사거리/NNG+와/JC
고도는	고도/NNG+는/JX
각각	각각/MAG
40km,	40/SN+km/SW+,/SP
15km이다.	15/SN+km/SW+이/VCP+다/EF+./SF


# id : NWRW1800000029.401.9.1
천궁의 다기능 레이더는 적 항공기 탐지 추적은 물론이고 피아 식별과 유도탄 유도 기능까지 갖췄다.

천궁의	천궁/NNP+의/JKG
다기능	다기능/NNG
레이더는	레이더/NNG+는/JX
적	적/NNG
항공기	항공기/NNG
탐지	탐지/NNG
추적은	추적/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
피아	피아/NNG
식별과	식별/NNG+과/JC
유도탄	유도탄/NNG
유도	유도/NNG
기능까지	기능/NNG+까지/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.401.9.2
하나의 레이더로 여러 표적을 동시에 탐지 요격할 수 있어 다른 기종보다 작전 준비시간이 짧고 적은 인원으로 운용할 수 있다.

하나의	하나/NR+의/JKG
레이더로	레이더/NNG+로/JKB
여러	여러/MMN
표적을	표적/NNG+을/JKO
동시에	동시/NNG+에/JKB
탐지	탐지/NNG
요격할	요격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
다른	다른/MMD
기종보다	기종/NNG+보다/JKB
작전	작전/NNG
준비시간이	준비/NNG+시간/NNG+이/JKS
짧고	짧/VA+고/EC
적은	적/VA+은/ETM
인원으로	인원/NNG+으로/JKB
운용할	운용/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.401.10.1
최대 8기의 유도탄이 탑재되는 수직발사대는 적기가 어떤 방향에서 날아오더라도 신속 정확한 유도탄 발사가 가능하고, 대형 차량에 실어 옮길 수 있어 전장에서 기동성과 생존성이 뛰어나다.

최대	최대/NNG
8기의	8/SN+기/NNG+의/JKG
유도탄이	유도탄/NNG+이/JKS
탑재되는	탑재/NNG+되/XSV+는/ETM
수직발사대는	수직/NNG+발사대/NNG+는/JX
적기가	적기/NNG+가/JKS
어떤	어떤/MMD
방향에서	방향/NNG+에서/JKB
날아오더라도	날아오/VV+더라도/EC
신속	신속/NNG
정확한	정확/NNG+하/XSA+ㄴ/ETM
유도탄	유도탄/NNG
발사가	발사/NNG+가/JKS
가능하고,	가능/NNG+하/XSA+고/EC+,/SP
대형	대형/NNG
차량에	차량/NNG+에/JKB
실어	싣/VV+어/EC
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
전장에서	전장/NNG+에서/JKB
기동성과	기동/NNG+성/XSN+과/JC
생존성이	생존/NNG+성/XSN+이/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000029.401.10.2
천궁은 또 호크 미사일보다 명중률이 뛰어나고 적의 전파 방해에 대응할 수 있는 대전자전(ECM) 능력도 갖췄다.

천궁은	천궁/NNP+은/JX
또	또/MAG
호크	호크/NNP
미사일보다	미사일/NNG+보다/JKB
명중률이	명중/NNG+률/XSN+이/JKS
뛰어나고	뛰어나/VA+고/EC
적의	적/NNG+의/JKG
전파	전파/NNG
방해에	방해/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대전자전(ECM)	대전자전/NNG+(/SS+ECM/SL+)/SS
능력도	능력/NNG+도/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.401.11.1
ADD 관계자는 “천궁은 사계절 엄격한 조건하에 실시한 여러 차례의 시험발사에서 표적을 명중시키는 성능을 자랑했다”며 “한국이 방공유도무기 분야에서 선진국과 동등한 수준의 기술과 개발 능력을 갖게 됐다”고 말했다.

ADD	ADD/SL
관계자는	관계자/NNG+는/JX
“천궁은	“/SS+천궁/NNP+은/JX
사계절	사계절/NNG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
조건하에	조건/NNG+하/XSN+에/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
여러	여러/MMN
차례의	차례/NNG+의/JKG
시험발사에서	시험/NNG+발사/NNG+에서/JKB
표적을	표적/NNG+을/JKO
명중시키는	명중/NNG+시키/XSV+는/ETM
성능을	성능/NNG+을/JKO
자랑했다”며	자랑/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“한국이	“/SS+한국/NNP+이/JKS
방공유도무기	방공/NNG+유도/NNG+무기/NNG
분야에서	분야/NNG+에서/JKB
선진국과	선진국/NNG+과/JKB
동등한	동등/NNG+하/XSA+ㄴ/ETM
수준의	수준/NNG+의/JKG
기술과	기술/NNG+과/JC
개발	개발/NNG
능력을	능력/NNG+을/JKO
갖게	갖/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.401.11.2
ADD는 천궁의 개발로 고가 유도무기의 수입대체 등 투자비의 4.5배 이상인 총 3조7400억 원의 예산절감 효과와 8600여 명의 고용 창출이 기대된다고 설명했다.

ADD는	ADD/SL+는/JX
천궁의	천궁/NNP+의/JKG
개발로	개발/NNG+로/JKB
고가	고가/NNG
유도무기의	유도/NNG+무기/NNG+의/JKG
수입대체	수입/NNG+대체/NNG
등	등/NNB
투자비의	투자비/NNG+의/JKG
4.5배	4/SN+./SP+5/SN+배/NNG
이상인	이상/NNG+이/VCP+ㄴ/ETM
총	총/MMA
3조7400억	3/SN+조/NR+7400/SN+억/NR
원의	원/NNB+의/JKG
예산절감	예산/NNG+절감/NNG
효과와	효과/NNG+와/JC
8600여	8600/SN+여/XSN
명의	명/NNB+의/JKG
고용	고용/NNG
창출이	창출/NNG+이/JKS
기대된다고	기대/NNG+되/XSV+ㄴ다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


