# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.55
metadata : {}


# id : NWRW1800000053.55.1.1
지구촌 성탄테러 공포 확산

지구촌	지구촌/NNG
# id : NWRW1800000053.55.5.1
아미르 타드로스 교회는 정부로부터 종교시설로 승인받지 못했지만 약 15년 동안 콥트교도들의 예배장소였다.

아미르	아미르/NNP
타드로스	타드로스/NNP
교회는	교회/NNG+는/JX
정부로부터	정부/NNG+로부터/JKB
종교시설로	종교/NNG+시설/NNG+로/JKB
승인받지	승인/NNG+받/XSV+지/EC
못했지만	못하/VX+았/EP+지만/EC
약	약/MMA
15년	15/SN+년/NNB
동안	동안/NNG
콥트교도들의	콥트/NNP+교도/NNG+들/XSN+의/JKG
예배장소였다.	예배/NNG+장소/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.55.5.2
교구는 관련 법안이 완화된 지난해부터 교회 건물에 대한 허가를 받으려 했다.

교구는	교구/NNG+는/JX
관련	관련/NNG
법안이	법안/NNG+이/JKS
완화된	완화/NNG+되/XSV+ㄴ/ETM
지난해부터	지난해/NNG+부터/JX
교회	교회/NNG
건물에	건물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
허가를	허가/NNG+를/JKO
받으려	받/VV+으려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.55.5.3
그러나 지방 당국은 이슬람 보수 세력의 격렬한 반대로 허가를 보류하고 있는 상황이다.

그러나	그러나/MAJ
지방	지방/NNG
당국은	당국/NNG+은/JX
이슬람	이슬람/NNG
보수	보수/NNG
세력의	세력/NNG+의/JKG
격렬한	격렬하/VA+ㄴ/ETM
반대로	반대/NNG+로/JKB
허가를	허가/NNG+를/JKO
보류하고	보류/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.55.6.1
이집트 전체 인구의 약 10%를 차지하는 콥트교도들은 이슬람 극단주의의 표적이 돼 왔다.

이집트	이집트/NNP
전체	전체/NNG
인구의	인구/NNG+의/JKG
약	약/MMA
10%를	10/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
콥트교도들은	콥트/NNP+교도/NNG+들/XSN+은/JX
이슬람	이슬람/NNG
극단주의의	극단주의/NNG+의/JKG
표적이	표적/NNG+이/JKC
돼	되/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.55.6.2
지난해 12월 25일에는 카이로의 콥트교회에서 IS의 폭탄 테러가 발생해 25명이 숨졌다.

지난해	지난해/NNG
12월	12/SN+월/NNB
25일에는	25/SN+일/NNB+에/JKB+는/JX
카이로의	카이로/NNP+의/JKG
콥트교회에서	콥트/NNP+교회/NNG+에서/JKB
IS의	IS/SL+의/JKG
폭탄	폭탄/NNG
테러가	테러/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
25명이	25/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.55.6.3
올해도 4월 콥트교회 연쇄 폭탄 테러로 45명이 목숨을 잃었고, 5월에는 콥트교도가 탄 버스가 무차별 총격을 당해 29명이 사망했다.

올해도	올해/NNG+도/JX
4월	4/SN+월/NNB
콥트교회	콥트/NNP+교회/NNG
연쇄	연쇄/NNG
폭탄	폭탄/NNG
테러로	테러/NNG+로/JKB
45명이	45/SN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃었고,	잃/VV+었/EP+고/EC+,/SP
5월에는	5/SN+월/NNB+에/JKB+는/JX
콥트교도가	콥트/NNP+교도/NNG+가/JKS
탄	타/VV+ㄴ/ETM
버스가	버스/NNG+가/JKS
무차별	무/XPN+차별/NNG
총격을	총격/NNG+을/JKO
당해	당하/VV+아/EC
29명이	29/SN+명/NNB+이/JKS
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.55.6.4
모두 IS의 소행이었다.

모두	모두/MAG
IS의	IS/SL+의/JKG
소행이었다.	소행/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.55.7.1
최근 크리스마스를 앞두고 세계 각국이 테러 가능성을 경계하고 있다.

최근	최근/MAG
크리스마스를	크리스마스/NNG+를/JKO
앞두고	앞두/VV+고/EC
세계	세계/NNG
각국이	각국/NNG+이/JKS
테러	테러/NNG
가능성을	가능/NNG+성/XSN+을/JKO
경계하고	경계/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.55.7.2
특히 성탄절을 8일 앞둔 17일 파키스탄의 한 교회에서 IS의 폭탄 테러로 9명이 사망한 뒤 공포가 더욱 확산되고 있다.

특히	특히/MAG
성탄절을	성탄절/NNG+을/JKO
8일	8/SN+일/NNB
앞둔	앞두/VV+ㄴ/ETM
17일	17/SN+일/NNB
파키스탄의	파키스탄/NNP+의/JKG
한	한/MMN
교회에서	교회/NNG+에서/JKB
IS의	IS/SL+의/JKG
폭탄	폭탄/NNG
테러로	테러/NNG+로/JKB
9명이	9/SN+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
공포가	공포/NNG+가/JKS
더욱	더욱/MAG
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.55.7.3
21일 호주 멜버른에서는 32세 아프가니스탄 이민자가 스포츠유틸리티차량(SUV)을 몰고 인도로 돌진해 한국인 3명을 포함해 19명이 다쳤다.

21일	21/SN+일/NNB
호주	호주/NNP
멜버른에서는	멜버른/NNP+에서/JKB+는/JX
32세	32/SN+세/NNB
아프가니스탄	아프가니스탄/NNP
이민자가	이민자/NNG+가/JKS
스포츠유틸리티차량(SUV)을	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+을/JKO
몰고	몰/VV+고/EC
인도로	인도/NNG+로/JKB
돌진해	돌진/NNG+하/XSV+아/EC
한국인	한국인/NNG
3명을	3/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
19명이	19/SN+명/NNB+이/JKS
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.55.7.4
22일 미국 캘리포니아주에서는 샌프란시스코의 유명 관광지에서 차량 테러 공격을 기도한 혐의로 IS를 추종하는 전직 해병대원이 체포됐다.

22일	22/SN+일/NNB
미국	미국/NNP
캘리포니아주에서는	캘리포니아주/NNP+에서/JKB+는/JX
샌프란시스코의	샌프란시스코/NNP+의/JKG
유명	유명/NNG
관광지에서	관광지/NNG+에서/JKB
차량	차량/NNG
테러	테러/NNG
공격을	공격/NNG+을/JKO
기도한	기도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
IS를	IS/SL+를/JKO
추종하는	추종/NNG+하/XSV+는/ETM
전직	전직/NNG
해병대원이	해병대원/NNG+이/JKS
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


