# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.201
metadata : {}


# id : NWRW1800000044.201.1.1
알바생들! 아직도 ‘알바수첩’ 몰라요?

알바생들!	알바/NNG+생/XSN+들/XSN+!/SF
있는	있/VA+는/ETM
능력과	능력/NNG+과/JC
자신감을	자신감/NNG+을/JKO
길러주기	기르/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
<알아두면	</SS+알/VV+아/EC+두/VX+면/EC
힘이	힘/NNG+이/JKC
되는	되/VV+는/ETM
알바	알바/NNG
수첩>을	수첩/NNG+>/SS+을/JKO
발간했다고	발간/NNG+하/XSV+았/EP+다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.201.4.2
알바 수첩은 2011년 11월 초판이 나온 뒤 두 차례 걸쳐 개정됐으며 이번이 개정3판이다.

알바	알바/NNG
수첩은	수첩/NNG+은/JX
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
초판이	초판/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
두	두/MMN
차례	차례/NNG
걸쳐	걸치/VV+어/EC
개정됐으며	개정/NNG+되/XSV+었/EP+으며/EC
이번이	이번/NNG+이/JKS
개정3판이다.	개정/NNG+3판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.201.5.1
알바 수첩에는 최저임금 해설과 ‘생활임금 월 200만원 버는 법’, 청소년 노동 인권 설명과 사례, ‘근무일지 적고, 떼인 돈 받기’ 등의 꼭지가 이해하기 쉽게 실렸다.

알바	알바/NNG
수첩에는	수첩/NNG+에/JKB+는/JX
최저임금	최저/NNG+임금/NNG
해설과	해설/NNG+과/JC
‘생활임금	‘/SS+생활/NNG+임금/NNG
월	월/NNG
200만원	200/SN+만/NR+원/NNB
버는	벌/VV+는/ETM
법’,	법/NNB+’/SS+,/SP
청소년	청소년/NNG
노동	노동/NNG
인권	인권/NNG
설명과	설명/NNG+과/JC
사례,	사례/NNG+,/SP
‘근무일지	‘/SS+근무/NNG+일지/NNG
적고,	적/VV+고/EC+,/SP
떼인	떼이/VV+ㄴ/ETM
돈	돈/NNG
받기’	받/VV+기/ETN+’/SS
등의	등/NNB+의/JKG
꼭지가	꼭지/NNG+가/JKS
이해하기	이해/NNG+하/XSV+기/ETN
쉽게	쉽/VA+게/EC
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.201.5.2
이번 개정3판에는 청소년 현장실습 내용이 추가됐다.

이번	이번/NNG
개정3판에는	개정/NNG+3판/NNG+에/JKB+는/JX
청소년	청소년/NNG
현장실습	현장/NNG+실습/NNG
내용이	내용/NNG+이/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.201.5.3
센터는 “낮은 시급, 긴 노동시간, 법조차 무시되는 일터가 청소년·청년들의 인권을 위협하고 있다.

센터는	센터/NNG+는/JX
“낮은	“/SS+낮/VA+은/ETM
시급,	시급/NNG+,/SP
긴	길/VA+ㄴ/ETM
노동시간,	노동/NNG+시간/NNG+,/SP
법조차	법/NNG+조차/JX
무시되는	무시/NNG+되/XSV+는/ETM
일터가	일터/NNG+가/JKS
청소년·청년들의	청소년/NNG+·/SP+청년/NNG+들/XSN+의/JKG
인권을	인권/NNG+을/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.201.5.4
돈벌이만 추구하며 청소년과 청년 노동자의 권리를 빼앗는 고용주들에 대한 고용노동부의 근로 감독은 허술하고, 진학률·취업률에 매몰된 교육부의 교육정책 또한 노동 인권은 뒷전”이라고 지적했다.

돈벌이만	돈벌이/NNG+만/JX
추구하며	추구/NNG+하/XSV+며/EC
청소년과	청소년/NNG+과/JC
청년	청년/NNG
노동자의	노동자/NNG+의/JKG
권리를	권리/NNG+를/JKO
빼앗는	빼앗/VV+는/ETM
고용주들에	고용주/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
고용노동부의	고용/NNG+노동부/NNG+의/JKG
근로	근로/NNG
감독은	감독/NNG+은/JX
허술하고,	허술하/VA+고/EC+,/SP
진학률·취업률에	진학/NNG+률/XSN+·/SP+취업/NNG+률/XSN+에/JKB
매몰된	매몰/NNG+되/XSV+ㄴ/ETM
교육부의	교육부/NNG+의/JKG
교육정책	교육/NNG+정책/NNG
또한	또한/MAG
노동	노동/NNG
인권은	인권/NNG+은/JX
뒷전”이라고	뒷전/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.201.5.5
지난해 센터에서 도내 530명을 대상으로 설문조사를 한 결과, 아르바이트를 하기 전 근로계약서를 작성한 경우는 21.1%에 그쳤고 임금을 못 받거나 덜 받았다는 응답은 34.4%에 이르렀다.

지난해	지난해/NNG
센터에서	센터/NNG+에서/JKB
도내	도내/NNG
530명을	530/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
아르바이트를	아르바이트/NNG+를/JKO
하기	하/VV+기/ETN
전	전/NNG
근로계약서를	근로/NNG+계약서/NNG+를/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
21.1%에	21/SN+./SP+1/SN+%/SW+에/JKB
그쳤고	그치/VV+었/EP+고/EC
임금을	임금/NNG+을/JKO
못	못/MAG
받거나	받/VV+거나/EC
덜	덜/MAG
받았다는	받/VV+았/EP+다는/ETM
응답은	응답/NNG+은/JX
34.4%에	34/SN+./SP+4/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.201.6.1
김민호 충남비정규직지원센터 상임대표(공인노무사)는 “알바수첩 개정3판이 노동 인권의 사각지대에 있는 아르바이트, 현장실습 청소년과 청년들에게 권리 찾기를 위한 지침서로, 고용주들에게는 준법 경영을 위한 지침서로 널리 활용되기를 바란다”고 말했다.

김민호	김민호/NNP
충남비정규직지원센터	충남비정규직지원센터/NNP
상임대표(공인노무사)는	상임/NNG+대표/NNG+(/SS+공인/NNG+노무사/NNG+)/SS+는/JX
“알바수첩	“/SS+알바/NNG+수첩/NNG
개정3판이	개정/NNG+3판/NNG+이/JKS
노동	노동/NNG
인권의	인권/NNG+의/JKG
사각지대에	사각지대/NNG+에/JKB
있는	있/VA+는/ETM
아르바이트,	아르바이트/NNG+,/SP
현장실습	현장/NNG+실습/NNG
청소년과	청소년/NNG+과/JC
청년들에게	청년/NNG+들/XSN+에게/JKB
권리	권리/NNG
찾기를	찾/VV+기/ETN+를/JKO
위한	위하/VV+ㄴ/ETM
지침서로,	지침서/NNG+로/JKB+,/SP
고용주들에게는	고용주/NNG+들/XSN+에게/JKB+는/JX
준법	준법/NNG
경영을	경영/NNG+을/JKO
지침서로	지침서/NNG+로/JKB
널리	널리/MAG
활용되기를	활용/NNG+되/XSV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.201.6.2
문의 (041)561-9119.

문의	문의/NNG
(041)561-9119.	(/SS+041/SN+)/SS+561/SN+-/SO+9119/SN+./SF


