# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.181
metadata : {}


# id : NWRW1800000030.181.1.1
사법사상 초유… 宣판사(선재성·법정관리 관련 뇌물혐의) 재판 관할 바꿔서 재개

사법사상	사법/NNG+사상/NNG
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.5.1
선 판사를 기소한 광주지검은 지난 9월 29일 1심에서 무죄가 선고되자, "광주고법보다 서울고법이 더 (재판의) 공정성을 갖출 수 있을 것으로 보인다"며 광주고법의 상급 법원인 대법원에 재판 관할 이전을 신청했다.

선	선/NNP
판사를	판사/NNG+를/JKO
기소한	기소/NNG+하/XSV+ㄴ/ETM
광주지검은	광주지검/NNP+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
29일	29/SN+일/NNB
1심에서	1심/NNG+에서/JKB
무죄가	무죄/NNG+가/JKS
선고되자,	선고/NNG+되/XSV+자/EC+,/SP
"광주고법보다	"/SS+광주고법/NNP+보다/JKB
서울고법이	서울고법/NNP+이/JKS
더	더/MAG
(재판의)	(/SS+재판/NNG+의/JKG+)/SS
공정성을	공정/NNG+성/XSN+을/JKO
갖출	갖추/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
광주고법의	광주고법/NNP+의/JKG
상급	상급/NNG
법원인	법원/NNG+이/VCP+ㄴ/ETM
대법원에	대/XPN+법원/NNG+에/JKB
재판	재판/NNG
관할	관할/NNG
이전을	이전/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.181.6.1
검찰이 형사재판 관할을 바꿔달라는 신청을 내 법원이 받아들인 것은 사법 사상 두 번째지만, 관할이 옮겨져 재판이 실질적으로 이뤄지는 것은 처음이다.

검찰이	검찰/NNG+이/JKS
형사재판	형사/NNG+재판/NNG
관할을	관할/NNG+을/JKO
바꿔달라는	바꾸/VV+어/EC+달/VX+라는/ETM
신청을	신청/NNG+을/JKO
내	내/VV+어/EC
법원이	법원/NNG+이/JKS
받아들인	받아들이/VV+ㄴ/ETM
것은	것/NNB+은/JX
사법	사법/NNG
사상	사상/NNG
두	두/MMN
번째지만,	번/NNB+째/XSN+이/VCP+지만/EC+,/SP
관할이	관할/NNG+이/JKS
옮겨져	옮기/VV+어/EC+지/VX+어/EC
재판이	재판/NNG+이/JKS
실질적으로	실질/NNG+적/XSN+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.6.2
2006년엔 대구의 한 변호사가 대구지법 판사들을 명예훼손한 일로 재판받게 되자 대전지법으로 관할이 옮겨졌으나, 당사자들의 합의로 공소가 기각됐다.

2006년엔	2006/SN+년/NNB+에/JKB+ㄴ/JX
대구의	대구/NNP+의/JKG
한	한/MMN
변호사가	변호사/NNG+가/JKS
대구지법	대구지법/NNP
판사들을	판사/NNG+들/XSN+을/JKO
명예훼손한	명예/NNG+훼손/NNG+하/XSV+ㄴ/ETM
일로	일/NNG+로/JKB
재판받게	재판/NNG+받/XSV+게/EC
되자	되/VV+자/EC
대전지법으로	대전지법/NNP+으로/JKB
관할이	관할/NNG+이/JKS
옮겨졌으나,	옮기/VV+어/EC+지/VX+었/EP+으나/EC+,/SP
당사자들의	당사자/NNG+들/XSN+의/JKG
합의로	합의/NNG+로/JKB
공소가	공소/NNG+가/JKS
기각됐다.	기각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.181.7.1
형사소송법 15조는 '범죄의 성질이나 지방의 민심(民心) 같은 사정으로 재판의 공평(公平·공정성)이 우려될 때' 법원이 검찰이나 피고인의 신청을 받아 재판 관할을 바꿀 수 있도록 규정하고 있다.

형사소송법	형사/NNG+소송법/NNG
15조는	15/SN+조/NNB+는/JX
'범죄의	'/SS+범죄/NNG+의/JKG
성질이나	성질/NNG+이나/JC
지방의	지방/NNG+의/JKG
민심(民心)	민심/NNG+(/SS+民心/SH+)/SS
같은	같/VA+은/ETM
사정으로	사정/NNG+으로/JKB
재판의	재판/NNG+의/JKG
공평(公平·공정성)이	공평/NNG+(/SS+公平/SH+·/SP+공정/NNG+성/XSN+)/SS+이/JKS
우려될	우려/NNG+되/XSV+ㄹ/ETM
때'	때/NNG+'/SS
법원이	법원/NNG+이/JKS
검찰이나	검찰/NNG+이나/JC
피고인의	피고인/NNG+의/JKG
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
재판	재판/NNG
관할을	관할/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.181.7.2
대법원 관계자는 피고인의 신청으로 재판 관할이 바뀐 일도 전례(前例)를 찾기 어렵다고 밝혔다.

대법원	대/XPN+법원/NNG
관계자는	관계자/NNG+는/JX
피고인의	피고인/NNG+의/JKG
신청으로	신청/NNG+으로/JKB
재판	재판/NNG
관할이	관할/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
일도	일/NNG+도/JX
전례(前例)를	전례/NNG+(/SS+前例/SH+)/SS+를/JKO
찾기	찾/VV+기/ETN
어렵다고	어렵/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.181.8.1
대법원이 이런 결정을 내린 것은 검찰의 주장대로 '재판 공정성에 대한 우려' 때문이다.

대법원이	대/XPN+법원/NNG+이/JKS
이런	이런/MMD
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것은	것/NNB+은/JX
검찰의	검찰/NNG+의/JKG
주장대로	주장/NNG+대로/JX
'재판	'/SS+재판/NNG
공정성에	공정/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
우려'	우려/NNG+'/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.9.1
대법원 1부(주심 안대희)는 결정문에서 "형사소송법 15조 규정과 이 사건 공소 사실(현직 판사의 비리 혐의) 등 제반 사정에 비춰볼 때 (검찰의) 관할 이전 신청은 이유가 있다"고 밝혔다.

대법원	대/XPN+법원/NNG
1부(주심	1/SN+부/NNG+(/SS+주심/NNG
안대희)는	안대희/NNP+)/SS+는/JX
결정문에서	결정문/NNG+에서/JKB
"형사소송법	"/SS+형사/NNG+소송법/NNG
15조	15/SN+조/NNB
규정과	규정/NNG+과/JC
이	이/MMD
사건	사건/NNG
공소	공소/NNG
사실(현직	사실/NNG+(/SS+현직/NNG
판사의	판사/NNG+의/JKG
비리	비리/NNG
혐의)	혐의/NNG+)/SS
등	등/NNB
제반	제반/NNG
사정에	사정/NNG+에/JKB
비춰볼	비추/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
(검찰의)	(/SS+검찰/NNG+의/JKG+)/SS
관할	관할/NNG
이전	이전/NNG
신청은	신청/NNG+은/JX
이유가	이유/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.181.9.2
선 판사는 광주에서 고교를 나와 사법시험에 합격한 뒤 광주지법과 광주고법에서 주로 근무한 이른바 향판(鄕判)이다.

선	선/NNP
판사는	판사/NNG+는/JX
광주에서	광주/NNP+에서/JKB
고교를	고교/NNG+를/JKO
나와	나오/VV+아/EC
사법시험에	사법/NNG+시험/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
광주지법과	광주지법/NNP+과/JC
광주고법에서	광주고법/NNP+에서/JKB
주로	주로/MAG
근무한	근무/NNG+하/XSV+ㄴ/ETM
이른바	이른바/MAG
향판(鄕判)이다.	향판/NNG+(/SS+鄕判/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.9.3
광주고법에는 이런 선 판사와 한솥밥을 먹던 판사가 많고, 이 지역에는 그와 가까운 지인도 많기 때문에 재판 공정성을 담보하기 어렵다고 대법원이 판단한 것이다.

광주고법에는	광주고법/NNP+에/JKB+는/JX
이런	이런/MMD
선	선/NNP
판사와	판사/NNG+와/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹던	먹/VV+던/ETM
판사가	판사/NNG+가/JKS
많고,	많/VA+고/EC+,/SP
이	이/MMD
지역에는	지역/NNG+에/JKB+는/JX
그와	그/NP+와/JKB
가까운	가깝/VA+ㄴ/ETM
지인도	지인/NNG+도/JX
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
재판	재판/NNG
공정성을	공정/NNG+성/XSN+을/JKO
담보하기	담보/NNG+하/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
대법원이	대/XPN+법원/NNG+이/JKS
판단한	판단/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.10.1
바로 형사소송법 15조가 재판의 공평을 해치는 사정(事情)으로 예시한 '지방의 민심'에 해당한다는 것이다.

바로	바로/MAG
형사소송법	형사/NNG+소송법/NNG
15조가	15/SN+조/NNB+가/JKS
재판의	재판/NNG+의/JKG
공평을	공평/NNG+을/JKO
해치는	해치/VV+는/ETM
사정(事情)으로	사정/NNG+(/SS+事情/SH+)/SS+으로/JKB
예시한	예시/NNG+하/XSV+ㄴ/ETM
'지방의	'/SS+지방/NNG+의/JKG
민심'에	민심/NNG+'/SS+에/JKB
해당한다는	해당/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.181.11.1
또 2심 재판 결론이 어떻게 나오느냐에 따라 '제 식구 감싸기' 논란(무죄일 때) 또는 '여론에 휩쓸려 재판했다'는 논란(유죄일 때)이 생길 수 있는 만큼, 대법원이 이를 사전에 차단한 것으로도 볼 수 있다.

또	또/MAG
2심	2심/NNG
재판	재판/NNG
결론이	결론/NNG+이/JKS
어떻게	어떻/VA+게/EC
나오느냐에	나오/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
'제	'/SS+저/NP+의/JKG
식구	식구/NNG
감싸기'	감싸/VV+기/ETN+'/SS
논란(무죄일	논란/NNG+(/SS+무죄/NNG+이/VCP+ㄹ/ETM
때)	때/NNG+)/SS
또는	또는/MAG
'여론에	'/SS+여론/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
재판했다'는	재판/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
논란(유죄일	논란/NNG+(/SS+유죄/NNG+이/VCP+ㄹ/ETM
때)이	때/NNG+)/SS+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼,	만큼/NNB+,/SP
대법원이	대/XPN+법원/NNG+이/JKS
이를	이/NP+를/JKO
사전에	사전/NNG+에/JKB
차단한	차단/NNG+하/XSV+ㄴ/ETM
것으로도	것/NNB+으로/JKB+도/JX
볼	보/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.181.12.1
한편 선 판사는 형사재판과 별개로 지난달 19일 '공정성과 청렴성을 의심받을 행동을 했다'는 이유로 대법원에서 정직 5개월의 징계를 받았다.

한편	한편/MAG
선	선/NNP
판사는	판사/NNG+는/JX
형사재판과	형사/NNG+재판/NNG+과/JKB
별개로	별개/NNG+로/JKB
지난달	지난달/NNG
19일	19/SN+일/NNB
'공정성과	'/SS+공정/NNG+성/XSN+과/JC
청렴성을	청렴/NNG+성/XSN+을/JKO
의심받을	의심/NNG+받/XSV+을/ETM
행동을	행동/NNG+을/JKO
했다'는	하/VV+았/EP+다/EF+'/SS+는/ETM
이유로	이유/NNG+로/JKB
대법원에서	대/XPN+법원/NNG+에서/JKB
정직	정직/NNG
5개월의	5/SN+개월/NNB+의/JKG
징계를	징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.181.12.2
올 초 선 판사가 친형과 옛 운전기사를 기업의 법정관리인·감사 등으로 선임해 파문이 일었을 때 당시 박일환 법원행정처장(대법관)은 "사법 불신을 초래했다"고 강하게 질타했으며, 법원의 법정 관리 시스템 개선이 뒤따랐다.

올	올/NNG
초	초/NNB
선	선/NNP
판사가	판사/NNG+가/JKS
친형과	친형/NNG+과/JC
옛	옛/MMA
운전기사를	운전기사/NNG+를/JKO
기업의	기업/NNG+의/JKG
법정관리인·감사	법정/NNG+관리인/NNG+·/SP+감사/NNG
등으로	등/NNB+으로/JKB
선임해	선임/NNG+하/XSV+아/EC
파문이	파문/NNG+이/JKS
일었을	일/VV+었/EP+을/ETM
때	때/NNG
당시	당시/NNG
박일환	박일환/NNP
법원행정처장(대법관)은	법원/NNG+행정처장/NNG+(/SS+대/XPN+법관/NNG+)/SS+은/JX
"사법	"/SS+사법/NNG
불신을	불신/NNG+을/JKO
초래했다"고	초래/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
강하게	강하/VA+게/EC
질타했으며,	질타/NNG+하/XSV+았/EP+으며/EC+,/SP
법원의	법원/NNG+의/JKG
법정	법정/NNG
관리	관리/NNG
시스템	시스템/NNG
개선이	개선/NNG+이/JKS
뒤따랐다.	뒤따르/VV+았/EP+다/EF+./SF


