# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.35
metadata : {}


# id : NWRW1800000038.35.1.1
"해외유학 떠난 中 고위직 자녀, 학업 끝내고 1년내 귀국시켜야"

"해외유학	"/SS+해외/NNG+유학/NNG
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
요구했다고	요구/NNG+하/XSV+았/EP+다고/EC
영국	영국/NNP
BBC	BBC/SL
중문판이	중문판/NNG+이/JKS
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.35.4.1
매체에 따르면 왕 서기는 27일 기율위 간부들과 화상회의를 열고 대표적 부패 관료인 '뤄관(裸官)' 현상을 없애기 위해 이 같은 조치를 추진키로 했다.

매체에	매체/NNG+에/JKB
따르면	따르/VV+면/EC
왕	왕/NNP
서기는	서기/NNG+는/JX
27일	27/SN+일/NNB
기율위	기율위/NNG
간부들과	간부/NNG+들/XSN+과/JC
화상회의를	화상/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
대표적	대표/NNG+적/XSN
부패	부패/NNG
관료인	관료/NNG+이/VCP+ㄴ/ETM
'뤄관(裸官)'	'/SS+뤄관/NNP+(/SS+裸官/SH+)/SS+'/SS
현상을	현상/NNG+을/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
이	이/MMD
같은	같/VA+은/ETM
조치를	조치/NNG+를/JKO
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.35.4.2
뤄관은 부패로 모은 재산을 해외로 빼돌리기 위해 부인과 자녀를 미리 국외로 보낸 채 홀로 생활하는 관료를 말한다.

뤄관은	뤄관/NNP+은/JX
부패로	부패/NNG+로/JKB
모은	모으/VV+ㄴ/ETM
재산을	재산/NNG+을/JKO
해외로	해외/NNG+로/JKB
빼돌리기	빼돌리/VV+기/ETN
위해	위하/VV+아/EC
부인과	부인/NNG+과/JC
자녀를	자녀/NNG+를/JKO
미리	미리/MAG
국외로	국외/NNG+로/JKB
보낸	보내/VV+ㄴ/ETM
채	채/NNB
홀로	홀로/MAG
생활하는	생활/NNG+하/XSV+는/ETM
관료를	관료/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.35.4.3
기율위는 '고위직 자녀 소환' 방안을 내년에는 차관급 이상으로, 2015년에는 청장급 이상으로 확대할 방침이다.

기율위는	기율위/NNG+는/JX
'고위직	'/SS+고위직/NNG
자녀	자녀/NNG
소환'	소환/NNG+'/SS
방안을	방안/NNG+을/JKO
내년에는	내년/NNG+에/JKB+는/JX
차관급	차관급/NNG
이상으로,	이상/NNG+으로/JKB+,/SP
2015년에는	2015/SN+년/NNB+에/JKB+는/JX
청장급	청장급/NNG
이상으로	이상/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.35.4.4
BBC는 "최근 중국 국민은 고관들이 자녀를 외국으로 보내는 데 상당한 반감을 갖고 있다"며 "고관 자신은 나라를 사랑하지 않으면서 어떻게 일반 국민 보고 애국하라고 호소할 수 있는지 의문을 표한다"고 말했다.

BBC는	BBC/SL+는/JX
"최근	"/SS+최근/NNG
중국	중국/NNP
국민은	국민/NNG+은/JX
고관들이	고관/NNG+들/XSN+이/JKS
자녀를	자녀/NNG+를/JKO
외국으로	외국/NNG+으로/JKB
보내는	보내/VV+는/ETM
데	데/NNB
상당한	상당/NNG+하/XSA+ㄴ/ETM
반감을	반감/NNG+을/JKO
갖고	갖/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"고관	"/SS+고관/NNG
자신은	자신/NNG+은/JX
나라를	나라/NNG+를/JKO
사랑하지	사랑/NNG+하/XSV+지/EC
않으면서	않/VX+으면서/EC
어떻게	어떻/VA+게/EC
일반	일반/NNG
국민	국민/NNG
보고	보/VV+고/EC
애국하라고	애국/NNG+하/XSV+라고/EC
호소할	호소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
의문을	의문/NNG+을/JKO
표한다"고	표/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.35.5.1
홍콩 명보(明報)는 지난 3월 "시진핑 국가주석의 딸과 리커창 총리의 딸, 리위안차오 부주석의 아들, 왕양 부총리의 딸 등이 작년 11월 제18차 당대회를 전후해 잇따라 귀국길에 올랐다"고 보도했었다.

홍콩	홍콩/NNP
명보(明報)는	명보/NNP+(/SS+明報/SH+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
"시진핑	"/SS+시진핑/NNP
국가주석의	국가주석/NNG+의/JKG
딸과	딸/NNG+과/JC
리커창	리커창/NNP
총리의	총리/NNG+의/JKG
딸,	딸/NNG+,/SP
리위안차오	리위안차오/NNP
부주석의	부주석/NNG+의/JKG
아들,	아들/NNG+,/SP
왕양	왕양/NNP
부총리의	부총리/NNG+의/JKG
딸	딸/NNG
등이	등/NNB+이/JKS
작년	작년/NNG
11월	11/SN+월/NNB
제18차	제/XPN+18/SN+차/NNB
당대회를	당/NNG+대회/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
잇따라	잇따르/VV+아/EC
귀국길에	귀국길/NNG+에/JKB
올랐다"고	오르/VV+았/EP+다/EF+"/SS+고/JKQ
보도했었다.	보도/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000038.35.6.1
왕 서기는 또 27일 회의에서 기율위 공무원에게 "오는 6월 20일까지 모든 'VIP 회원 카드'를 없애라"고 지시했다고 신화통신 등이 전했다.

왕	왕/NNP
서기는	서기/NNG+는/JX
또	또/MAG
27일	27/SN+일/NNB
회의에서	회의/NNG+에서/JKB
기율위	기율위/NNG
공무원에게	공무원/NNG+에게/JKB
"오는	"/SS+오/VV+는/ETM
6월	6/SN+월/NNB
20일까지	20/SN+일/NNB+까지/JX
모든	모든/MMN
'VIP	'/SS+VIP/SL
회원	회원/NNG
카드'를	카드/NNG+'/SS+를/JKO
없애라"고	없애/VV+어라/EF+"/SS+고/JKQ
지시했다고	지시/NNG+하/XSV+았/EP+다고/EC
신화통신	신화통신/NNP
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.35.6.2
VIP 회원 카드 소지자는 백화점이나 유명 레스토랑, 마사지 업소 등에서 할인이나 특별 서비스를 받을 수 있다.

VIP	VIP/SL
회원	회원/NNG
카드	카드/NNG
소지자는	소지자/NNG+는/JX
백화점이나	백화점/NNG+이나/JC
유명	유명/NNG
레스토랑,	레스토랑/NNG+,/SP
마사지	마사지/NNG
업소	업소/NNG
등에서	등/NNB+에서/JKB
할인이나	할인/NNG+이나/JC
특별	특별/NNG
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.35.6.3
중국 기업이 주로 '뇌물용'으로 제공한다.

중국	중국/NNP
기업이	기업/NNG+이/JKS
주로	주로/MAG
'뇌물용'으로	'/SS+뇌물/NNG+용/XSN+'/SS+으로/JKB
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.35.6.4
왕 서기는 "VIP 카드 사용이 큰일이 아닌 것 같지만, 공직자 업무의 문제점을 반영하는 것"이라고 말했다.

왕	왕/NNP
서기는	서기/NNG+는/JX
"VIP	"/SS+VIP/SL
카드	카드/NNG
사용이	사용/NNG+이/JKS
큰일이	큰일/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같지만,	같/VA+지만/EC+,/SP
공직자	공직자/NNG
업무의	업무/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


