# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.5
metadata : {}


# id : NWRW1800000029.5.1.1
CJ, 올해 사상최대 2조 투자

CJ,	CJ/SL+,/SP
글로벌라이제이션(세계화)을	글로벌라이제이션/NNG+(/SS+세계/NNG+화/XSN+)/SS+을/JKO
확대하기	확대/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
과감한	과감하/VA+ㄴ/ETM
투자를	투자/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
미래성장	미래/NNG+성장/NNG
동력	동력/NNG
확보와	확보/NNG+와/JC
그룹	그룹/NNG
성장을	성장/NNG+을/JKO
뒷받침할	뒷받침/NNG+하/XSV+ㄹ/ETM
인재	인재/NNG
확보가	확보/NNG+가/JKS
필수”라고	필수/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.5.5.2
CJ그룹은 이런 투자 및 고용 확대를 통해 매출 20조 원을 돌파할 계획이다.

CJ그룹은	CJ그룹/NNP+은/JX
이런	이런/MMD
투자	투자/NNG
및	및/MAG
고용	고용/NNG
확대를	확대/NNG+를/JKO
통해	통하/VV+아/EC
매출	매출/NNG
20조	20/SN+조/NR
원을	원/NNB+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.5.5.3
지난해 총매출은 약 17조 원이었다.

지난해	지난해/NNG
총매출은	총매출/NNG+은/JX
약	약/MMA
17조	17/SN+조/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.5.6.1
전체 투자금액 가운데 74%인 1조5388억 원은 국내 투자에 사용된다.

전체	전체/NNG
투자금액	투자/NNG+금액/NNG
가운데	가운데/NNG
74%인	74/SN+%/SW+이/VCP+ㄴ/ETM
1조5388억	1/SN+조/NR+5388/SN+억/NR
원은	원/NNB+은/JX
국내	국내/NNG
투자에	투자/NNG+에/JKB
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.5.6.2
콘텐츠 제작역량 강화를 위해 판권, 게임, 방송장비 등 콘텐츠 사업에 6405억 원, 극장 및 유통점 출점에 1774억 원을 배정하는 등 콘텐츠사업과 외식서비스사업에 8179억 원을 집중적으로 투자하기로 했다.

콘텐츠	콘텐츠/NNG
제작역량	제작/NNG+역량/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
판권,	판권/NNG+,/SP
게임,	게임/NNG+,/SP
방송장비	방송/NNG+장비/NNG
등	등/NNB
사업에	사업/NNG+에/JKB
6405억	6405/SN+억/NR
원,	원/NNB+,/SP
극장	극장/NNG
및	및/MAG
유통점	유통점/NNG
출점에	출점/NNG+에/JKB
1774억	1774/SN+억/NR
원을	원/NNB+을/JKO
배정하는	배정/NNG+하/XSV+는/ETM
콘텐츠사업과	콘텐츠/NNG+사업/NNG+과/JC
외식서비스사업에	외식/NNG+서비스/NNG+사업/NNG+에/JKB
8179억	8179/SN+억/NR
집중적으로	집중/NNG+적/XSN+으로/JKB
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.5.6.3
회사 측은 “콘텐츠사업과 외식서비스사업은 제조업 대비 고용창출 효과가 2배 이상 높고 특히 젊은 층의 선호도가 높은 분야로 청년 실업 문제에 큰 도움을 줄 것으로 예상된다”고 밝혔다.

회사	회사/NNG
측은	측/NNB+은/JX
“콘텐츠사업과	“/SS+콘텐츠/NNG+사업/NNG+과/JC
외식서비스사업은	외식/NNG+서비스/NNG+사업/NNG+은/JX
제조업	제조업/NNG
대비	대비/NNG
고용창출	고용/NNG+창출/NNG
효과가	효과/NNG+가/JKS
2배	2/SN+배/NNG
이상	이상/NNG
높고	높/VA+고/EC
특히	특히/MAG
젊은	젊/VA+은/ETM
층의	층/NNG+의/JKG
선호도가	선호도/NNG+가/JKS
높은	높/VA+은/ETM
분야로	분야/NNG+로/JKB
청년	청년/NNG
실업	실업/NNG
문제에	문제/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


