# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.55
metadata : {}


# id : NWRW1800000026.55.1.1
[인천·부천] 부천시민 6000명 '책읽기 릴레이';첫 참가 200명 이달 모집

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
한 사람이 책을 읽고 보관하는 기간은 5일이며 이후에는 다음 사람에게 책을 전달하고 도서관 담당자에게 읽을 사람의 연락처를 알려주면 된다.

한	한/MMN
사람이	사람/NNG+이/JKS
책을	책/NNG+을/JKO
읽고	읽/VV+고/EC
보관하는	보관/NNG+하/XSV+는/ETM
기간은	기간/NNG+은/JX
5일이며	5/SN+일/NNB+이/VCP+며/EC
이후에는	이후/NNG+에/JKB+는/JX
다음	다음/NNG
사람에게	사람/NNG+에게/JKB
전달하고	전달/NNG+하/XSV+고/EC
도서관	도서관/NNG
담당자에게	담당자/NNG+에게/JKB
읽을	읽/VV+을/ETM
사람의	사람/NNG+의/JKG
연락처를	연락처/NNG+를/JKO
알려주면	알리/VV+어/EC+주/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.3.1
부천시립도서관은 이달 말까지 책 릴레이를 펼칠 첫 주자 200명을 모집한다.

부천시립도서관은	부천시립도서관/NNP+은/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
책	책/NNG
릴레이를	릴레이/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
첫	첫/MMN
주자	주자/NNG
200명을	200/SN+명/NNB+을/JKO
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.3.2
초등학교 4학년 이상 부천시민이면 누구나 신청할 수 있다.

초등학교	초등학교/NNG
4학년	4/SN+학년/NNG
이상	이상/NNG
부천시민이면	부천/NNP+시민/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.55.3.3
시립도서관이나 인근의 13개 작은 도서관을 직접 방문해 신청서를 작성해 제출하면 된다.

시립도서관이나	시립/NNG+도서관/NNG+이나/JC
인근의	인근/NNG+의/JKG
13개	13/SN+개/NNB
작은	작/VA+은/ETM
도서관을	도서관/NNG+을/JKO
직접	직접/MAG
방문해	방문/NNG+하/XSV+아/EC
신청서를	신청서/NNG+를/JKO
작성해	작성/NNG+하/XSV+아/EC
제출하면	제출/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.4.1
시립도서관은 '완득이' '무기 팔지 마세요' '마당을 나온 암탉' '고릴라는 핸드폰을 미워해' '지독한 장난' 등 5권을 1차로 선정한 뒤 시민들의 의견을 받아 24일 최종적으로 시민들이 읽을 '부천의 책' 한 권을 선정할 예정이다.

시립도서관은	시립/NNG+도서관/NNG+은/JX
'완득이'	'/SS+완득이/NNP+'/SS
'무기	'/SS+무기/NNG
팔지	팔/VV+지/EC
마세요'	말/VX+시/EP+어요/EF+'/SS
'마당을	'/SS+마당/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
암탉'	암탉/NNG+'/SS
'고릴라는	'/SS+고릴라/NNG+는/JX
핸드폰을	핸드폰/NNG+을/JKO
미워해'	미워하/VV+아/EC+'/SS
'지독한	'/SS+지독하/VA+ㄴ/ETM
장난'	장난/NNG+'/SS
등	등/NNB
5권을	5/SN+권/NNB+을/JKO
1차로	1/SN+차/NNB+로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
시민들의	시민/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
받아	받/VV+아/EC
24일	24/SN+일/NNB
최종적으로	최종/NNG+적/XSN+으로/JKB
시민들이	시민/NNG+들/XSN+이/JKS
읽을	읽/VV+을/ETM
'부천의	'/SS+부천/NNP+의/JKG
책'	책/NNG+'/SS
한	한/MMN
권을	권/NNB+을/JKO
선정할	선정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.55.4.2
시민들은 23일까지 시 홈페이지(www.bucheon.go.kr)나 시립도서관 홈페이지(www.bcl.go.kr), 작은 도서관 등의 게시판을 통해 가장 선호하는 책을 추천할 수 있다.

시민들은	시민/NNG+들/XSN+은/JX
23일까지	23/SN+일/NNB+까지/JX
시	시/NNG
홈페이지(www.bucheon.go.kr)나	홈페이지/NNG+(/SS+www/SL+./SP+bucheon/SL+./SP+go/SL+./SP+kr/SL+)/SS+나/JC
시립도서관	시립/NNG+도서관/NNG
홈페이지(www.bcl.go.kr),	홈페이지/NNG+(/SS+www/SL+./SP+bcl/SL+./SP+go/SL+./SP+kr/SL+)/SS+,/SP
작은	작/VA+은/ETM
도서관	도서관/NNG
등의	등/NNB+의/JKG
게시판을	게시판/NNG+을/JKO
통해	통하/VV+아/EC
가장	가장/MAG
선호하는	선호/NNG+하/XSV+는/ETM
책을	책/NNG+을/JKO
추천할	추천/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.55.5.1
3월 10일 중동에 있는 책마루도서관에서 '부천의 책' 선포식이 열리며 첫 주자들에게 책이 전달된다.

3월	3/SN+월/NNB
10일	10/SN+일/NNB
중동에	중동/NNP+에/JKB
있는	있/VA+는/ETM
책마루도서관에서	책마루도서관/NNP+에서/JKB
'부천의	'/SS+부천/NNP+의/JKG
책'	책/NNG+'/SS
선포식이	선포식/NNG+이/JKS
열리며	열리/VV+며/EC
첫	첫/MMN
주자들에게	주자/NNG+들/XSN+에게/JKB
책이	책/NNG+이/JKS
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.5.2
독서 참가자들은 책을 읽은 뒤 뒷부분에 소감을 간략하게 적으면 되고 독후감 내용이 길 것 같으면 시립도서관 홈페이지에 직접 글을 남겨도 된다.

독서	독서/NNG
참가자들은	참가자/NNG+들/XSN+은/JX
책을	책/NNG+을/JKO
읽은	읽/VV+은/ETM
뒤	뒤/NNG
뒷부분에	뒷부분/NNG+에/JKB
소감을	소감/NNG+을/JKO
간략하게	간략하/VA+게/EC
적으면	적/VV+으면/EC
되고	되/VV+고/EC
독후감	독후감/NNG
내용이	내용/NNG+이/JKS
길	길/VA+ㄹ/ETM
것	것/NNB
같으면	같/VA+으면/EC
시립도서관	시립/NNG+도서관/NNG
홈페이지에	홈페이지/NNG+에/JKB
직접	직접/MAG
글을	글/NNG+을/JKO
남겨도	남기/VV+어도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.55.5.3
도서관은 9월 도서관 행사 때 우수 독후감을 시상할 예정이다.

도서관은	도서관/NNG+은/JX
9월	9/SN+월/NNB
도서관	도서관/NNG
행사	행사/NNG
때	때/NNG
우수	우수/NNG
독후감을	독후감/NNG+을/JKO
시상할	시상/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.55.6.1
시립도서관 장미선 담당자는 "2006년과 2007년에도 시민들을 대상으로 책릴레이를 한 적이 있다"면서 "올해는 부천 시민들의 공감대를 넓히기 위해 한 권의 책을 정해 읽기 운동을 펼치게 되었다"고 말했다.

시립도서관	시립/NNG+도서관/NNG
장미선	장미선/NNP
담당자는	담당자/NNG+는/JX
"2006년과	"/SS+2006/SN+년/NNB+과/JC
2007년에도	2007/SN+년/NNB+에/JKB+도/JX
시민들을	시민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
책릴레이를	책/NNG+릴레이/NNG+를/JKO
한	한/MMN
적이	적/NNB+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"올해는	"/SS+올해/NNG+는/JX
부천	부천/NNP
시민들의	시민/NNG+들/XSN+의/JKG
공감대를	공감대/NNG+를/JKO
넓히기	넓히/VV+기/ETN
위해	위하/VV+아/EC
권의	권/NNB+의/JKG
책을	책/NNG+을/JKO
정해	정하/VV+아/EC
읽기	읽/VV+기/ETN
운동을	운동/NNG+을/JKO
펼치게	펼치/VV+게/EC
되었다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.55.6.2
☎625-4541

☎625-4541	☎/SW+625/SN+-/SO+4541/SN


