# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.341
metadata : {}


# id : NWRW1800000030.341.1.1
野 "도와줘요 안철수"

野	野/SH
타오를	타오르/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
불쏘시개가	불쏘시개/NNG+가/JKC
되어줄	되/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청한다"고	요청/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.341.5.1
정부·여당에 대한 야권의 비판 수위도 높아졌다.

정부·여당에	정부/NNG+·/SP+여당/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
야권의	야권/NNG+의/JKG
비판	비판/NNG
수위도	수위/NNG+도/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.341.5.2
"네거티브에 대응하지 않겠다"던 박 후보가 직접 나섰다.

"네거티브에	"/SS+네거티브/NNG+에/JKB
대응하지	대응/NNG+하/XSV+지/EC
않겠다"던	않/VX+겠/EP+다/EF+"/SS+던/ETM
박	박/NNP
후보가	후보/NNG+가/JKS
직접	직접/MAG
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.341.5.3
박 후보는 이날 서울 안국동 선거사무실에서 기자들과 만나 "한나라당은 기본적으로 청문회에 나오면 병역 비리 본당이고 부동산 투기에 위장 전입, 탈세, 부패로 얼룩진 정당"이라며 "공공의 이익을 위해 평생을 바친 나 같은 사람한테 찬사는 못할망정 그렇게 이야기할 수 있느냐"고 했다.

박	박/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
안국동	안국동/NNP
선거사무실에서	선거/NNG+사무실/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"한나라당은	"/SS+한나라당/NNP+은/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
청문회에	청문회/NNG+에/JKB
나오면	나오/VV+면/EC
병역	병역/NNG
비리	비리/NNG
본당이고	본당/NNG+이/VCP+고/EC
부동산	부동산/NNG
투기에	투기/NNG+에/JKB
위장	위장/NNG
전입,	전입/NNG+,/SP
탈세,	탈세/NNG+,/SP
부패로	부패/NNG+로/JKB
얼룩진	얼룩지/VV+ㄴ/ETM
정당"이라며	정당/NNG+"/SS+이/VCP+라며/EC
"공공의	"/SS+공공/NNG+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+아/EC
평생을	평생/NNG+을/JKO
바친	바치/VV+ㄴ/ETM
나	나/NP
같은	같/VA+은/ETM
사람한테	사람/NNG+한테/JKB
찬사는	찬사/NNG+는/JX
못할망정	못/MAG+하/VV+ㄹ망정/EC
그렇게	그렇/VA+게/EC
이야기할	이야기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐"고	있/VA+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.341.6.1
박 후보가 연일 강경 발언을 하는 것은 한나라당의 '검증' 공세에 맞서 '이명박 정부 심판론'으로 선거를 끌고 가겠다는 전략에 따른 것이다.

박	박/NNP
후보가	후보/NNG+가/JKS
연일	연일/MAG
강경	강경/NNG
발언을	발언/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
한나라당의	한나라당/NNP+의/JKG
'검증'	'/SS+검증/NNG+'/SS
공세에	공세/NNG+에/JKB
맞서	맞서/VV+어/EC
'이명박	'/SS+이명박/NNP
정부	정부/NNG
심판론'으로	심판/NNG+론/XSN+'/SS+으로/JKB
선거를	선거/NNG+를/JKO
끌고	끌/VV+고/EC
가겠다는	가/VV+겠/EP+다는/ETM
전략에	전략/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.341.7.1
나경원 후보에 대한 공격도 강화됐다.

나경원	나경원/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공격도	공격/NNG+도/JX
강화됐다.	강화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.341.7.2
전날 나 후보를 '오바타'(오세훈 전 시장의 아바타)라고 했던 박 후보 측은 이날은 '또세훈'이라고 불렀다.

전날	전날/NNG
나	나/NNP
후보를	후보/NNG+를/JKO
'오바타'(오세훈	'/SS+오바타/NNP+'/SS+(/SS+오세훈/NNP
전	전/MMD
시장의	시장/NNG+의/JKG
아바타)라고	아바타/NNG+)/SS+라고/JKQ
했던	하/VV+았/EP+던/ETM
박	박/NNP
후보	후보/NNG
측은	측/NNB+은/JX
이날은	이날/NNG+은/JX
'또세훈'이라고	'/SS+또세훈/NNP+'/SS+이라고/JKQ
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.341.7.3
박 후보 측은 나 후보가 이날 라디오 인터뷰에서 부친이 운영하는 학교와 관련한 청탁을 했다는 의혹을 부인하면서 "아버님과 관련된 이야기는 말씀 드릴 필요가 없다. 서울시장 후보는 나경원"이라고 답한 것에 대해서도 "특권 의식에 빠진 어처구니 없는 이중적인 태도"라고 비판했다.

박	박/NNP
후보	후보/NNG
측은	측/NNB+은/JX
나	나/NNP
후보가	후보/NNG+가/JKS
이날	이날/NNG
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
부친이	부친/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
학교와	학교/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
청탁을	청탁/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
부인하면서	부인/NNG+하/XSV+면서/EC
"아버님과	"/SS+아버님/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
이야기는	이야기/NNG+는/JX
말씀	말씀/NNG
드릴	드리/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다.	없/VA+다/EF+./SF
서울시장	서울시장/NNG
후보는	후보/NNG+는/JX
나경원"이라고	나경원/NNP+"/SS+이라고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"특권	"/SS+특권/NNG
의식에	의식/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
어처구니	어처구니/NNG
없는	없/VA+는/ETM
이중적인	이중/NNG+적/XSN+이/VCP+ㄴ/ETM
태도"라고	태도/NNG+"/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


