# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.139
metadata : {}


# id : NWRW1800000041.139.1.1
조선후기 풍속화는 주류사회 대항하는 ‘여항문화’의 산물

조선후기	조선/NNP+후기/NNG

7명으로	7/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
악공의	악공/NNG+의/JKG
연주에	연주/NNG+에/JKB
맞춰,	맞추/VV+어/EC+,/SP
화려한	화려하/VA+ㄴ/ETM
복장을	복장/NNG+을/JKO
한	하/VV+ㄴ/ETM
무희	무희/NNG
2명이	2/SN+명/NNB+이/JKS
멋들어지게	멋들어지/VA+게/EC
칼춤을	칼춤/NNG+을/JKO
춘다.	추/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.139.3.3
그리고 왼쪽 위엔 한눈에도 돈푼깨나 있음 직한 무리가 느긋하게 이를 감상한다.

그리고	그리고/MAJ
왼쪽	왼쪽/NNG
위엔	위/NNG+에/JKB+ㄴ/JX
한눈에도	한눈/NNG+에/JKB+도/JX
돈푼깨나	돈푼/NNG+깨나/JX
있음	있/VA+음/ETN
직한	직하/VX+ㄴ/ETM
무리가	무리/NNG+가/JKS
느긋하게	느긋하/VA+게/EC
이를	이/NP+를/JKO
감상한다.	감상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.139.3.4
혜원 신윤복(1758∼?)이 그린 이 그림은 우리의 자랑스러운 유산이지만 생각을 가다듬어 보면 살짝 의문이 든다.

혜원	혜원/NNP
신윤복(1758∼?)이	신윤복/NNP+(/SS+1758/SN+∼/SO+?/SF+)/SS+이/JKS
그린	그리/VV+ㄴ/ETM
이	이/MMD
그림은	그림/NNG+은/JX
우리의	우리/NP+의/JKG
자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
유산이지만	유산/NNG+이/VCP+지만/EC
생각을	생각/NNG+을/JKO
가다듬어	가다듬/VV+어/EC
보면	보/VX+면/EC
살짝	살짝/MAG
의문이	의문/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.139.3.5
담박한 유교문화를 정신적 기반으로 삼았던 조선사회에서 이 ‘흥청망청한’ 그림이 어떻게 등장할 수 있었을까.

담박한	담박하/VA+ㄴ/ETM
유교문화를	유교/NNG+문화/NNG+를/JKO
정신적	정신/NNG+적/XSN
기반으로	기반/NNG+으로/JKB
삼았던	삼/VV+았/EP+던/ETM
조선사회에서	조선/NNP+사회/NNG+에서/JKB
이	이/MMD
‘흥청망청한’	‘/SS+흥청망청/MAG+하/XSV+ㄴ/ETM+’/SS
그림이	그림/NNG+이/JKS
어떻게	어떻/VA+게/EC
등장할	등장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었을까.	있/VA+었/EP+을까/EF+./SF


# id : NWRW1800000041.139.3.6
기생을 끼고 앉아 유희를 즐기는 모양새가 그리 교훈적이지도 않건만.》

기생을	기생/NNG+을/JKO
끼고	끼/VV+고/EC
앉아	앉/VV+아/EC
유희를	유희/NNG+를/JKO
즐기는	즐기/VV+는/ETM
모양새가	모양새/NNG+가/JKS
그리	그리/MAG
교훈적이지도	교훈/NNG+적/XSN+이/VCP+지/EC+도/JX
않건만.》	않/VX+건만/EC+./SF+》/SS


# id : NWRW1800000041.139.4.1
풍속화 연구가인 이중희 계명대 미술대 교수(64)는 최근 펴낸 연구서 ‘풍속화란 무엇인가’(눈빛)에서 이를 “동북아시아 봉건사회 해체기에 등장하는 주류사회에 대항하는 여항문화(閭巷文化·중인 계층 중심의 문화)의 산물”이라고 분석했다.

풍속화	풍속화/NNG
연구가인	연구가/NNG+이/VCP+ㄴ/ETM
이중희	이중희/NNP
계명대	계명대/NNP
미술대	미술대/NNG
교수(64)는	교수/NNG+(/SS+64/SN+)/SS+는/JX
최근	최근/NNG
펴낸	펴내/VV+ㄴ/ETM
연구서	연구서/NNG
‘풍속화란	‘/SS+풍속화/NNG+란/JX
무엇인가’(눈빛)에서	무엇/NP+이/VCP+ㄴ가/EF+’/SS+(/SS+눈빛/NNP+)/SS+에서/JKB
이를	이/NP+를/JKO
“동북아시아	“/SS+동북아시아/NNP
봉건사회	봉건/NNG+사회/NNG
해체기에	해체기/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
주류사회에	주류/NNG+사회/NNG+에/JKB
대항하는	대항/NNG+하/XSV+는/ETM
여항문화(閭巷文化·중인	여항/NNG+문화/NNG+(/SS+閭巷文化/SH+·/SP+중인/NNG
계층	계층/NNG
중심의	중심/NNG+의/JKG
문화)의	문화/NNG+)/SS+의/JKG
산물”이라고	산물/NNG+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.4.2
18, 19세기 경제적 발전을 바탕으로 한 새로운 계층이 기존 지배계급 구조에서 벗어나 새로운 문화를 향유하기 시작했다.

18,	18/SN+,/SP
19세기	19/SN+세기/NNG
경제적	경제/NNG+적/XSN
발전을	발전/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
계층이	계층/NNG+이/JKS
기존	기존/NNG
지배계급	지배/NNG+계급/NNG
구조에서	구조/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
문화를	문화/NNG+를/JKO
향유하기	향유/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.4.3
이때 등장한 것이 풍속화를 비롯한 판소리, 방각본소설(坊刻本小說·조선 후기 상업문학)이란 설명이다.

이때	이때/NNG
등장한	등장/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
풍속화를	풍속화/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
판소리,	판소리/NNG+,/SP
방각본소설(坊刻本小說·조선	방각본/NNG+소설/NNG+(/SS+坊刻本小說/SH+·/SP+조선/NNP
후기	후기/NNG
상업문학)이란	상업/NNG+문학/NNG+)/SS+이/VCP+란/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.139.5.1
이 같은 맥락에서 쌍검대무를 보면 색다른 해석이 가능해진다.

이	이/NP
같은	같/VA+은/ETM
맥락에서	맥락/NNG+에서/JKB
쌍검대무를	쌍검대무/NNG+를/JKO
보면	보/VV+면/EC
색다른	색다르/VA+ㄴ/ETM
해석이	해석/NNG+이/JKS
가능해진다.	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.139.5.2
연회를 즐기는 집단이 사대부라면, 이 작품은 앞에선 청빈탈속을 외치면서 뒤로는 호박씨 까는 양반네의 이중적 태도를 비꼬는 속내가 담겼다.

연회를	연회/NNG+를/JKO
즐기는	즐기/VV+는/ETM
집단이	집단/NNG+이/JKS
사대부라면,	사대부/NNG+이/VCP+라면/EC+,/SP
이	이/MMD
작품은	작품/NNG+은/JX
앞에선	앞/NNG+에서/JKB+ㄴ/JX
청빈탈속을	청빈/NNG+탈속/NNG+을/JKO
외치면서	외치/VV+면서/EC
뒤로는	뒤/NNG+로/JKB+는/JX
호박씨	호박씨/NNG
까는	까/VV+는/ETM
양반네의	양반/NNG+네/XSN+의/JKG
이중적	이중/NNG+적/XSN
태도를	태도/NNG+를/JKO
비꼬는	비꼬/VV+는/ETM
속내가	속내/NNG+가/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.139.5.3
반면 돈 많은 중인 계층이라면, 기존 규범에 얽매이지 않고 자유롭게 문화를 향유하는 ‘부르주아의 생활’을 담았다고 볼 수 있다.

반면	반면/NNG
돈	돈/NNG
많은	많/VA+은/ETM
중인	중인/NNG
계층이라면,	계층/NNG+이/VCP+라면/EC+,/SP
기존	기존/NNG
규범에	규범/NNG+에/JKB
얽매이지	얽매이/VV+지/EC
않고	않/VX+고/EC
자유롭게	자유/NNG+롭/XSA+게/EC
문화를	문화/NNG+를/JKO
향유하는	향유/NNG+하/XSV+는/ETM
‘부르주아의	‘/SS+부르주아/NNG+의/JKG
생활’을	생활/NNG+’/SS+을/JKO
담았다고	담/VV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.139.5.4
복장만으로 구별하긴 애매하지만 어느 쪽이어도 기득권과 차별화된 문화적 양상이다.

복장만으로	복장/NNG+만/JX+으로/JKB
구별하긴	구별/NNG+하/XSV+기/ETN+ㄴ/JX
애매하지만	애매/NNG+하/XSA+지만/EC
어느	어느/MMD
쪽이어도	쪽/NNB+이/VCP+어도/EC
기득권과	기득/NNG+권/XSN+과/JKB
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
문화적	문화/NNG+적/XSN
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.139.6.1
이 교수는 특히 풍속화가 만개한 시점에 주목했다.

이	이/NNP
교수는	교수/NNG+는/JX
특히	특히/MAG
풍속화가	풍속화/NNG+가/JKS
만개한	만개/NNG+하/XSV+ㄴ/ETM
시점에	시점/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.6.2
한국 회화사에서 ‘풍속화 시대’는 김홍도(1745∼1806?), 신윤복, 김득신(1754∼1822)이 활약한 시대를 일컫는다.

한국	한국/NNP
회화사에서	회화사/NNG+에서/JKB
‘풍속화	‘/SS+풍속화/NNG
시대’는	시대/NNG+’/SS+는/JX
김홍도(1745∼1806?),	김홍도/NNP+(/SS+1745/SN+∼/SO+1806/SN+?/SF+)/SS+,/SP
신윤복,	신윤복/NNP+,/SP
김득신(1754∼1822)이	김득신/NNP+(/SS+1754/SN+∼/SO+1822/SN+)/SS+이/JKS
활약한	활약/NNG+하/XSV+ㄴ/ETM
시대를	시대/NNG+를/JKO
일컫는다.	일컫/VV+는다/EF+./SF


# id : NWRW1800000041.139.6.3
영조, 정조, 순조가 재위했던 18세기 후반부터 19세기 초반에 해당한다.

영조,	영조/NNP+,/SP
정조,	정조/NNP+,/SP
순조가	순조/NNP+가/JKS
재위했던	재위/NNG+하/XSV+았/EP+던/ETM
18세기	18/SN+세기/NNG
후반부터	후반/NNG+부터/JX
19세기	19/SN+세기/NNG
초반에	초반/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.139.6.4
이 교수는 “정신적인 면을 중시했던 산수화나 인물화 중심 화풍에서 벗어나 ‘인간의 삶’ 자체를 들여다보는 풍속화의 등장은 봉건시대의 논리가 한계에 봉착하던 시기와 궤를 같이한다”고 말했다.

이	이/NNP
교수는	교수/NNG+는/JX
“정신적인	“/SS+정신/NNG+적/XSN+이/VCP+ㄴ/ETM
면을	면/NNG+을/JKO
중시했던	중시/NNG+하/XSV+았/EP+던/ETM
산수화나	산수화/NNG+나/JC
인물화	인물화/NNG
중심	중심/NNG
화풍에서	화풍/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
‘인간의	‘/SS+인간/NNG+의/JKG
삶’	삶/NNG+’/SS
자체를	자체/NNG+를/JKO
들여다보는	들여다보/VV+는/ETM
풍속화의	풍속화/NNG+의/JKG
등장은	등장/NNG+은/JX
봉건시대의	봉건/NNG+시대/NNG+의/JKG
논리가	논리/NNG+가/JKS
한계에	한계/NNG+에/JKB
봉착하던	봉착/NNG+하/XSV+던/ETM
시기와	시기/NNG+와/JKB
궤를	궤/NNG+를/JKO
같이한다”고	같이/MAG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.7.1
이는 조선만의 상황도 아니었다.

이는	이/NP+는/JX
조선만의	조선/NNP+만/JX+의/JKG
상황도	상황/NNG+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000041.139.7.2
비슷한 시기인 17∼19세기 일본의 풍속화 ‘우키요에(浮世繪)’가 유행한 것도 비슷한 이유였다.

비슷한	비슷하/VA+ㄴ/ETM
시기인	시기/NNG+이/VCP+ㄴ/ETM
17∼19세기	17/SN+∼/SO+19/SN+세기/NNG
일본의	일본/NNP+의/JKG
풍속화	풍속화/NNG
‘우키요에(浮世繪)’가	‘/SS+우키요에/NNG+(/SS+浮世繪/SH+)/SS+’/SS+가/JKS
유행한	유행/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.139.7.3
사실 일본에서 세속화는 이미 10세기부터 출현했으나 에도(江戶·도쿄의 옛 이름)를 중심으로 꽃핀 화려한 채색목판화인 우키요에는 18세기 후반부터 번성했다.

사실	사실/MAG
일본에서	일본/NNP+에서/JKB
세속화는	세속화/NNG+는/JX
이미	이미/MAG
10세기부터	10/SN+세기/NNG+부터/JX
출현했으나	출현/NNG+하/XSV+았/EP+으나/EC
에도(江戶·도쿄의	에도/NNP+(/SS+江戶/SH+·/SP+도쿄/NNP+의/JKG
옛	옛/MMA
이름)를	이름/NNG+)/SS+를/JKO
중심으로	중심/NNG+으로/JKB
꽃핀	꽃피/VV+ㄴ/ETM
화려한	화려하/VA+ㄴ/ETM
채색목판화인	채색/NNG+목판화/NNG+이/VCP+ㄴ/ETM
우키요에는	우키요에/NNG+는/JX
18세기	18/SN+세기/NNG
후반부터	후반/NNG+부터/JX
번성했다.	번성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.7.4
역시 상위 계층인 사무라이 문화의 엄격함과는 동떨어진 유흥과 생활밀착형 소재가 주를 이뤘다.

역시	역시/MAG
상위	상위/NNG
계층인	계층/NNG+이/VCP+ㄴ/ETM
사무라이	사무라이/NNG
문화의	문화/NNG+의/JKG
엄격함과는	엄격/NNG+하/XSA+ㅁ/ETN+과/JKB+는/JX
동떨어진	동떨어지/VA+ㄴ/ETM
유흥과	유흥/NNG+과/JC
생활밀착형	생활/NNG+밀착/NNG+형/XSN
소재가	소재/NNG+가/JKS
주를	주/NNG+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.139.8.1
하지만 조선 풍속화와 일본 우키요에는 지향점에서 크게 차이가 났다.

하지만	하지만/MAJ
조선	조선/NNP
풍속화와	풍속화/NNG+와/JC
일본	일본/NNP
우키요에는	우키요에/NNG+는/JX
지향점에서	지향점/NNG+에서/JKB
크게	크/VA+게/EC
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.8.2
풍속화는 당대에 문인화보다 저평가를 받긴 했어도 비영리적 ‘순수 예술’이었다.

풍속화는	풍속화/NNG+는/JX
당대에	당대/NNG+에/JKB
문인화보다	문인화/NNG+보다/JKB
저평가를	저/XPN+평가/NNG+를/JKO
받긴	받/VV+기/ETN+ㄴ/JX
했어도	하/VX+았/EP+어도/EC
비영리적	비/XPN+영리/NNG+적/XSN
‘순수	‘/SS+순수/NNG
예술’이었다.	예술/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.139.8.3
하지만 우키요에는 주로 유명 유곽이나 관광지를 소개하는 목적을 지닌 철저히 상업적 작품이었다.

하지만	하지만/MAJ
우키요에는	우키요에/NNG+는/JX
주로	주로/MAG
유명	유명/NNG
유곽이나	유곽/NNG+이나/JC
관광지를	관광지/NNG+를/JKO
소개하는	소개/NNG+하/XSV+는/ETM
목적을	목적/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
철저히	철저히/MAG
상업적	상업/NNG+적/XSN
작품이었다.	작품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.139.8.4
아이러니한 건 이토록 ‘돈냄새 풍기는’ 그림들이 19, 20세기 ‘자포니즘(Japonism·일본풍)’의 첨병이 돼 서양미술에 큰 영향을 끼쳤단 점이다.

아이러니한	아이러니/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
이토록	이토록/MAG
‘돈냄새	‘/SS+돈/NNG+냄새/NNG
풍기는’	풍기/VV+는/ETM+’/SS
그림들이	그림/NNG+들/XSN+이/JKS
19,	19/SN+,/SP
20세기	20/SN+세기/NNG
‘자포니즘(Japonism·일본풍)’의	‘/SS+자포니즘/NNG+(/SS+Japonism/SL+·/SP+일본/NNP+풍/XSN+)/SS+’/SS+의/JKG
첨병이	첨병/NNG+이/JKC
돼	되/VV+어/EC
서양미술에	서양/NNG+미술/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤단	끼치/VV+었/EP+단/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.139.8.5
이 교수는 “양국 풍속화에는 경제 활황 속에서 자라난 시대적 비판의식과 비지배 계급도 문화의 주체가 될 수 있단 자신감이 깔려 있다”고 해석했다.

이	이/NNP
교수는	교수/NNG+는/JX
“양국	“/SS+양국/NNG
풍속화에는	풍속화/NNG+에/JKB+는/JX
경제	경제/NNG
활황	활황/NNG
속에서	속/NNG+에서/JKB
자라난	자라나/VV+ㄴ/ETM
시대적	시대/NNG+적/XSN
비판의식과	비판/NNG+의식/NNG+과/JC
비지배	비/XPN+지배/NNG
계급도	계급/NNG+도/JX
문화의	문화/NNG+의/JKG
주체가	주체/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있단	있/VA+단/ETM
자신감이	자신감/NNG+이/JKS
깔려	깔리/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.139.8.6
풍속화는 동북아에서 새로이 솟아오르는 ‘근대의 여명’을 비추는 거울이었던 것이다.

풍속화는	풍속화/NNG+는/JX
동북아에서	동북아/NNP+에서/JKB
새로이	새로이/MAG
솟아오르는	솟아오르/VV+는/ETM
‘근대의	‘/SS+근대/NNG+의/JKG
여명’을	여명/NNG+’/SS+을/JKO
비추는	비추/VV+는/ETM
거울이었던	거울/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


