# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.108
metadata : {}


# id : NWRW1800000022.108.1.1
'이미자 50주년' 축하메시지 보낸 日 엔카 황제 이쓰키 히로시;"이미자는 가수 압도하는 큰 존재"

'이미자	'/SS+이미자/NNP
압도하는	압도/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
존재라는	존재/NNG+이/VCP+라는/ETM
느낌이었습니다."	느낌/NNG+이/VCP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.108.3.4
이쓰키 히로시씨는 7년 전 NHK방송이 마련한 이미자씨와의 특집 방송에서 이미자씨를 만난 느낌을 이렇게 전했다.

이쓰키	이쓰키/NNP
히로시씨는	히로시/NNP+씨/NNB+는/JX
7년	7/SN+년/NNB
전	전/NNG
NHK방송이	NHK/SL+방송/NNG+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
이미자씨와의	이미자/NNP+씨/NNB+와/JKB+의/JKG
특집	특집/NNG
방송에서	방송/NNG+에서/JKB
이미자씨를	이미자/NNP+씨/NNB+를/JKO
만난	만나/VV+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
이렇게	이렇/VA+게/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.3.5
이쓰키씨는 미조라 히바리(1989년 작고)의 '국민가수 자리'를 계승한 일본 엔카(演歌)의 황제다.

이쓰키씨는	이쓰키/NNP+씨/NNB+는/JX
미조라	미조라/NNP
히바리(1989년	히바리/NNP+(/SS+1989/SN+년/NNB
작고)의	작고/NNG+)/SS+의/JKG
'국민가수	'/SS+국민/NNG+가수/NNG
자리'를	자리/NNG+'/SS+를/JKO
계승한	계승/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
엔카(演歌)의	엔카/NNG+(/SS+演歌/SH+)/SS+의/JKG
황제다.	황제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.108.3.6
16세에 데뷔, 매년 두 곡 이상의 신곡을 발표한 45년 노래인생은 올해 50주년을 맞은 이미자씨의 열정적 인생과 비슷하다.

16세에	16/SN+세/NNB+에/JKB
데뷔,	데뷔/NNG+,/SP
매년	매년/MAG
두	두/MMN
곡	곡/NNG
이상의	이상/NNG+의/JKG
신곡을	신곡/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
45년	45/SN+년/NNB
노래인생은	노래/NNG+인생/NNG+은/JX
올해	올해/NNG
50주년을	50/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
이미자씨의	이미자/NNP+씨/NNB+의/JKG
열정적	열정/NNG+적/XSN
인생과	인생/NNG+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000022.108.4.1
그는 가수 이미자의 존재감을 미조라에 비유했다.

그는	그/NP+는/JX
가수	가수/NNG
이미자의	이미자/NNP+의/JKG
존재감을	존재감/NNG+을/JKO
미조라에	미조라/NNP+에/JKB
비유했다.	비유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.4.2
"일본에 전후(戰後)의 히어로는 많지만, 히로인은 미조라 단 한명입니다.

"일본에	"/SS+일본/NNP+에/JKB
전후(戰後)의	전후/NNG+(/SS+戰後/SH+)/SS+의/JKG
히어로는	히어로/NNG+는/JX
많지만,	많/VA+지만/EC+,/SP
히로인은	히로인/NNG+은/JX
미조라	미조라/NNP
단	단/MMA
한명입니다.	한/MMN+명/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.108.4.3
일본 가수들에게 존경의 대상이자 목표였지요.

일본	일본/NNP
가수들에게	가수/NNG+들/XSN+에게/JKB
존경의	존경/NNG+의/JKG
대상이자	대상/NNG+이/VCP+자/EC
목표였지요.	목표/NNG+이/VCP+었/EP+지요/EF+./SF


# id : NWRW1800000022.108.4.4
그녀는 일찍(52세) 세상을 떴습니다.

그녀는	그녀/NP+는/JX
일찍(52세)	일찍/MAG+(/SS+52/SN+세/NNB+)/SS
세상을	세상/NNG+을/JKO
떴습니다.	뜨/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.108.4.5
존재는 사라졌지만, 국민들의 기대는 사라지지 않았지요.

존재는	존재/NNG+는/JX
사라졌지만,	사라지/VV+었/EP+지만/EC+,/SP
국민들의	국민/NNG+들/XSN+의/JKG
기대는	기대/NNG+는/JX
사라지지	사라지/VV+지/EC
않았지요.	않/VX+았/EP+지요/EF+./SF


# id : NWRW1800000022.108.4.6
저 역시 미조라가 채우지 못한 인생, 못다 한 노력을 대신한다는 마음으로 노래를 불렀습니다.

저	저/NP
역시	역시/MAG
미조라가	미조라/NNP+가/JKS
채우지	채우/VV+지/EC
못한	못하/VX+ㄴ/ETM
인생,	인생/NNG+,/SP
못다	못다/MAG
한	하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
대신한다는	대신/NNG+하/XSV+ㄴ다는/ETM
마음으로	마음/NNG+으로/JKB
노래를	노래/NNG+를/JKO
불렀습니다.	부르/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.108.4.7
한국에서 이미자씨의 존재감 역시 그렇게 크지 않을까 합니다."

한국에서	한국/NNP+에서/JKB
이미자씨의	이미자/NNP+씨/NNB+의/JKG
존재감	존재감/NNG
역시	역시/MAG
그렇게	그렇/VA+게/EC
크지	크/VA+지/EC
않을까	않/VX+을까/EF
합니다."	하/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.108.5.1
이쓰키씨는 데뷔 45주년을 맞아 일본에서 순회공연을 진행 중이고, 지난달 22·23일 한국 팬들을 위한 서울 공연도 가졌다.

이쓰키씨는	이쓰키/NNP+씨/NNB+는/JX
데뷔	데뷔/NNG
45주년을	45/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
일본에서	일본/NNP+에서/JKB
순회공연을	순회/NNG+공연/NNG+을/JKO
진행	진행/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
지난달	지난달/NNG
22·23일	22/SN+·/SP+23/SN+일/NNB
한국	한국/NNP
팬들을	팬/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
서울	서울/NNP
공연도	공연/NNG+도/JX
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.108.5.2
그는 "데뷔 때부터 한국에도 팬이 있다는 것을 알았다"고 말했다.

그는	그/NP+는/JX
"데뷔	"/SS+데뷔/NNG
때부터	때/NNG+부터/JX
한국에도	한국/NNP+에/JKB+도/JX
팬이	팬/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알았다"고	알/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.5.3
"일본 노래가 금지됐을 때인데요?"란 질문에 이렇게 답했다.

"일본	"/SS+일본/NNP
노래가	노래/NNG+가/JKS
금지됐을	금지/NNG+되/XSV+었/EP+을/ETM
때인데요?"란	때/NNG+이/VCP+ㄴ데/EF+요/JX+?/SF+"/SS+이/VCP+란/ETM
질문에	질문/NNG+에/JKB
이렇게	이렇/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.6.1
"일본에 '고가(古賀) 멜로디'라는 스타일이 있습니다.

"일본에	"/SS+일본/NNP+에/JKB
'고가(古賀)	'/SS+고가/NNG+(/SS+古賀/SH+)/SS
멜로디'라는	멜로디/NNG+'/SS+이/VCP+라는/ETM
스타일이	스타일/NNG+이/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000022.108.6.2
엔카의 골격을 만든 음률이자 정서이지요.

엔카의	엔카/NNG+의/JKG
골격을	골격/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
음률이자	음률/NNG+이/VCP+자/EC
정서이지요.	정서/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000022.108.6.3
국민적인 작곡가 고가 마사오(古賀政男)가 만든 노래들입니다.

국민적인	국민/NNG+적/XSN+이/VCP+ㄴ/ETM
작곡가	작곡가/NNG
고가	고가/NNP
마사오(古賀政男)가	마사오/NNP+(/SS+古賀政男/SH+)/SS+가/JKS
만든	만들/VV+ㄴ/ETM
노래들입니다.	노래/NNG+들/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.108.6.4
그가 청소년기를 보낸 곳이 한국입니다.

그가	그/NP+가/JKS
청소년기를	청소년기/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
곳이	곳/NNG+이/JKS
한국입니다.	한국/NNP+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.108.6.5
그의 음악적 정서의 원점은 한국이지요.

그의	그/NP+의/JKG
음악적	음악/NNG+적/XSN
정서의	정서/NNG+의/JKG
원점은	원점/NNG+은/JX
한국이지요.	한국/NNP+이/VCP+지요/EF+./SF


# id : NWRW1800000022.108.6.6
한국인이 제 노래를 들어도, 일본인이 이미자씨의 노래를 들어도 공감할 수 있는 것은 음악적 원점이 같기 때문입니다."

한국인이	한국인/NNG+이/JKS
제	저/NP+의/JKG
노래를	노래/NNG+를/JKO
들어도,	듣/VV+어도/EC+,/SP
일본인이	일본인/NNG+이/JKS
이미자씨의	이미자/NNP+씨/NNB+의/JKG
들어도	듣/VV+어도/EC
공감할	공감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
음악적	음악/NNG+적/XSN
원점이	원점/NNG+이/JKS
같기	같/VA+기/ETN
때문입니다."	때문/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.108.7.1
어린 시절 고향 후쿠오카(福岡)를 떠나 조선으로 건너간 고가(1978년 작고)씨는 경성선린상업학교에서 음악을 배웠다.

어린	어리/VA+ㄴ/ETM
시절	시절/NNG
고향	고향/NNG
후쿠오카(福岡)를	후쿠오카/NNP+(/SS+福岡/SH+)/SS+를/JKO
떠나	떠나/VV+아/EC
조선으로	조선/NNP+으로/JKB
건너간	건너가/VV+ㄴ/ETM
고가(1978년	고가/NNP+(/SS+1978/SN+년/NNB
작고)씨는	작고/NNG+)/SS+씨/NNB+는/JX
경성선린상업학교에서	경성선린상업학교/NNP+에서/JKB
음악을	음악/NNG+을/JKO
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.108.7.2
그래서 그의 엔카, 일본의 엔카는 음울한 식민지 정서가 복합돼 비가(悲歌)로 완성됐다.

그래서	그래서/MAJ
그의	그/NP+의/JKG
엔카,	엔카/NNG+,/SP
일본의	일본/NNP+의/JKG
엔카는	엔카/NNG+는/JX
음울한	음울하/VA+ㄴ/ETM
식민지	식민지/NNG
정서가	정서/NNG+가/JKS
복합돼	복합/NNG+되/XSV+어/EC
비가(悲歌)로	비가/NNG+(/SS+悲歌/SH+)/SS+로/JKB
완성됐다.	완성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.108.8.1
이미자씨의 대표곡 '동백아가씨'가 왜색(倭色)이란 이유로 한국에서 한동안 금지곡이었다는 이야기를 했다.

이미자씨의	이미자/NNP+씨/NNB+의/JKG
대표곡	대표곡/NNG
'동백아가씨'가	'/SS+동백아가씨/NNP+'/SS+가/JKS
왜색(倭色)이란	왜색/NNG+(/SS+倭色/SH+)/SS+이/VCP+란/ETM
이유로	이유/NNG+로/JKB
한국에서	한국/NNP+에서/JKB
한동안	한/XPN+동안/NNG
금지곡이었다는	금지곡/NNG+이/VCP+었/EP+다는/ETM
이야기를	이야기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.8.2
"엣!" 하고 웃으면서 현답(賢答)을 말했다.

"엣!"	"/SS+엣/IC+!/SF+"/SS
하고	하고/JKQ
웃으면서	웃/VV+으면서/EC
현답(賢答)을	현답/NNG+(/SS+賢答/SH+)/SS+을/JKO
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.8.3
"금지를 했어도 서로 그렇게 정서가 통했으니, 금지가 풀린 지금은 말할 것도 없겠지요."

"금지를	"/SS+금지/NNG+를/JKO
했어도	하/VV+았/EP+어도/EC
서로	서로/MAG
그렇게	그렇/VA+게/EC
정서가	정서/NNG+가/JKS
통했으니,	통하/VV+았/EP+으니/EC+,/SP
금지가	금지/NNG+가/JKS
풀린	풀리/VV+ㄴ/ETM
지금은	지금/NNG+은/JX
말할	말/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
없겠지요."	없/VA+겠/EP+지요/EF+./SF+"/SS


# id : NWRW1800000022.108.9.1
그는 "가장 오랫동안 열심히 노래한 가수로 기억되는 것이 인생의 목표"라고 말했다.

그는	그/NP+는/JX
"가장	"/SS+가장/MAG
오랫동안	오랫동안/NNG
열심히	열심히/MAG
노래한	노래/NNG+하/XSV+ㄴ/ETM
가수로	가수/NNG+로/JKB
기억되는	기억/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
인생의	인생/NNG+의/JKG
목표"라고	목표/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.9.2
"올해가 45주년이니까 지금 이미자씨처럼 50주년이 제 큰 지향점입니다.

"올해가	"/SS+올해/NNG+가/JKS
45주년이니까	45/SN+주년/NNB+이/VCP+니까/EC
지금	지금/MAG
이미자씨처럼	이미자/NNP+씨/NNB+처럼/JKB
50주년이	50/SN+주년/NNB+이/JKS
제	저/NP+의/JKG
큰	크/VA+ㄴ/ETM
지향점입니다.	지향점/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.108.9.3
5년 동안 더 열심히 노력해야겠지요.

5년	5/SN+년/NNB
동안	동안/NNG
더	더/MAG
열심히	열심히/MAG
노력해야겠지요.	노력/NNG+하/XSV+아야/EC+하/VX+겠/EP+지요/EF+./SF


# id : NWRW1800000022.108.9.4
50주년에 이미자씨와 다시 한번 콘서트를 열 수 있었으면 좋겠습니다.

50주년에	50/SN+주년/NNB+에/JKB
이미자씨와	이미자/NNP+씨/NNB+와/JKB
다시	다시/MAG
한번	한번/MAG
콘서트를	콘서트/NNG+를/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠습니다.	좋/VA+겠/EP+습니다/EF+./SF


# id : NWRW1800000022.108.9.5
이미자씨처럼 저도 건강한 몸으로 50주년을 맞을 수 있을 듯합니다."

이미자씨처럼	이미자/NNP+씨/NNB+처럼/JKB
저도	저/NP+도/JX
건강한	건강/NNG+하/XSA+ㄴ/ETM
몸으로	몸/NNG+으로/JKB
50주년을	50/SN+주년/NNB+을/JKO
맞을	맞/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
듯합니다."	듯/NNB+하/XSA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.108.9.6
건강 비결에 대해선 "(목을 가리키면서) 여기서 노래하지 말고 몸 전체로 노래하면 좋은 호르몬이 몸 전체로 퍼진다"며 "이미자씨(의 젊음)도 같은 이유일 것"이라고 말했다.

건강	건강/NNG
비결에	비결/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"(목을	"/SS+(/SS+목/NNG+을/JKO
가리키면서)	가리키/VV+면서/EC+)/SS
여기서	여기/NP+서/JKB
노래하지	노래/NNG+하/XSV+지/EC
말고	말/VX+고/EC
몸	몸/NNG
전체로	전체/NNG+로/JKB
노래하면	노래/NNG+하/XSV+면/EC
좋은	좋/VA+은/ETM
호르몬이	호르몬/NNG+이/JKS
퍼진다"며	퍼지/VV+ㄴ다/EF+"/SS+며/EC
"이미자씨(의	"/SS+이미자/NNP+씨/NNB+(/SS+의/JKG
젊음)도	젊음/NNG+)/SS+도/JX
같은	같/VA+은/ETM
이유일	이유/NNG+이/VCP+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.108.9.7
이미자 데뷔 50주년 기념 콘서트는 서울 세종문화회관 대극장에서 4월2~4일 열린다.

이미자	이미자/NNP
데뷔	데뷔/NNG
50주년	50/SN+주년/NNB
기념	기념/NNG
콘서트는	콘서트/NNG+는/JX
서울	서울/NNP
세종문화회관	세종문화회관/NNP
대극장에서	대/XPN+극장/NNG+에서/JKB
4월2~4일	4/SN+월/NNB+2/SN+~/SO+4/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


