# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.69
metadata : {}


# id : NWRW1800000024.69.1.1
용산 범대위 공동집행위원장 2명 체포영장

용산	용산/NNP
검찰은 “용산 사건을 빌미로 주말마다 도로점거와 투석, 경찰버스 훼손 등이 일어나고 있다”며 “현장 불법행위자 검거는 물론 시위를 배후에서 조종하는 주도세력을 검거해 시민 불편을 최소화하겠다”고 밝혔다.

검찰은	검찰/NNG+은/JX
“용산	“/SS+용산/NNP
사건을	사건/NNG+을/JKO
빌미로	빌미/NNG+로/JKB
주말마다	주말/NNG+마다/JX
도로점거와	도로/NNG+점거/NNG+와/JC
투석,	투석/NNG+,/SP
경찰버스	경찰/NNG+버스/NNG
훼손	훼손/NNG
등이	등/NNB+이/JKS
일어나고	일어나/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현장	“/SS+현장/NNG
불법행위자	불법/NNG+행위자/NNG
검거는	검거/NNG+는/JX
물론	물론/MAG
시위를	시위/NNG+를/JKO
배후에서	배후/NNG+에서/JKB
조종하는	조종/NNG+하/XSV+는/ETM
주도세력을	주도/NNG+세력/NNG+을/JKO
검거해	검거/NNG+하/XSV+아/EC
시민	시민/NNG
불편을	불편/NNG+을/JKO
최소화하겠다”고	최소/NNG+화/XSN+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.69.4.1
한편, 이날 서울 용산경찰서는 용산참사 철거민 사망자 합동분향소에서 경찰을 감금하고 폭행한 혐의(특수공무집행방해 치상 등)로 전국철거민연합 회원 인아무개(43)씨를 구속했다.

한편,	한편/MAG+,/SP
이날	이날/NNG
서울	서울/NNP
용산경찰서는	용산경찰서/NNP+는/JX
용산참사	용산/NNP+참사/NNG
철거민	철거민/NNG
사망자	사망자/NNG
합동분향소에서	합동/NNG+분향소/NNG+에서/JKB
경찰을	경찰/NNG+을/JKO
감금하고	감금/NNG+하/XSV+고/EC
폭행한	폭행/NNG+하/XSV+ㄴ/ETM
혐의(특수공무집행방해	혐의/NNG+(/SS+특수/NNG+공무/NNG+집행/NNG+방해/NNG
치상	치상/NNG
등)로	등/NNB+)/SS+로/JKB
전국철거민연합	전국철거민연합/NNP
회원	회원/NNG
인아무개(43)씨를	인/NNP+아무개/NP+(/SS+43/SN+)/SS+씨/NNB+를/JKO
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


