# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.357
metadata : {}


# id : NWRW1800000021.357.1.1
정부, 오늘 신종플루 ‘심각’ 단계 격상

정부,	정부/NNG+,/SP
교육과학기술부의	교육/NNG+과학/NNG+기술부/NNG+의/JKG
행정지침이	행정/NNG+지침/NNG+이/JKS
내려간	내려가/VV+ㄴ/ETM
지	지/NNB
일주일도	일주일/NNG+도/JX
되지	되/VV+지/EC
않아	않/VX+아/EC
현재	현재/MAG
휴교	휴교/NNG
지침을	지침/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.5.1
한편 보건당국은 신종 플루 중증 환자에게 최근 임상시험을 마친 미허가 항바이러스제 ‘페라미비르’를 공급하기로 했다.

한편	한편/MAG
보건당국은	보건/NNG+당국/NNG+은/JX
신종	신종/NNG
플루	플루/NNG
중증	중증/NNG
환자에게	환자/NNG+에게/JKB
최근	최근/NNG
임상시험을	임상/NNG+시험/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
미허가	미/XPN+허가/NNG
항바이러스제	항바이러스제/NNG
‘페라미비르’를	‘/SS+페라미비르/NNG+’/SS+를/JKO
공급하기로	공급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.5.2
미국 바이오크리스트사가 개발한 페라미비르는 타미플루, 리렌자에 이은 제3의 항바이러스제로 캡슐이 아닌 정맥 주사 형태이다.

미국	미국/NNP
바이오크리스트사가	바이오크리스트사/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
페라미비르는	페라미비르/NNG+는/JX
타미플루,	타미플루/NNG+,/SP
리렌자에	리렌자/NNG+에/JKB
이은	잇/VV+은/ETM
제3의	제/XPN+3/SN+의/JKG
항바이러스제로	항바이러스제/NNG+로/JKB
캡슐이	캡슐/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정맥	정맥/NNG
주사	주사/NNG
형태이다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.5.3
식품의약품안전청은 “시판 허가가 나기 전까지 의사가 필요하다고 요청하는 경우에 한해 페라미비르 사용을 허가할 방침”이라고 2일 밝혔다.

식품의약품안전청은	식품/NNG+의약품/NNG+안전청/NNG+은/JX
“시판	“/SS+시판/NNG
허가가	허가/NNG+가/JKS
나기	나/VV+기/ETN
전까지	전/NNG+까지/JX
의사가	의사/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
요청하는	요청/NNG+하/XSV+는/ETM
경우에	경우/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
페라미비르	페라미비르/NNG
사용을	사용/NNG+을/JKO
허가할	허가/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.5.4
페라미비르를 수입한 녹십자는 1099명을 대상으로 하는 임상시험을 최근 종료했으며 다음 주 식약청에 신속허가 심사를 신청할 계획이다.

페라미비르를	페라미비르/NNG+를/JKO
수입한	수입/NNG+하/XSV+ㄴ/ETM
녹십자는	녹십자/NNP+는/JX
1099명을	1099/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
임상시험을	임상/NNG+시험/NNG+을/JKO
최근	최근/NNG
종료했으며	종료/NNG+하/XSV+았/EP+으며/EC
다음	다음/NNG
주	주/NNG
식약청에	식약청/NNG+에/JKB
신속허가	신속/NNG+허가/NNG
심사를	심사/NNG+를/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.5.5
미국식품의약국(FDA)도 최근 기존 치료제를 쓸 수 없거나 약효가 없는 중증 환자에게 페라미비르를 쓸 수 있도록 응급허가를 내줬다.

미국식품의약국(FDA)도	미국식품의약국/NNP+(/SS+FDA/SL+)/SS+도/JX
최근	최근/NNG
기존	기존/NNG
치료제를	치료제/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
없거나	없/VA+거나/EC
약효가	약효/NNG+가/JKS
없는	없/VA+는/ETM
중증	중증/NNG
환자에게	환자/NNG+에게/JKB
페라미비르를	페라미비르/NNG+를/JKO
있도록	있/VA+도록/EC
응급허가를	응급/NNG+허가/NNG+를/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.6.1
■ 경북대병원 노조 파업 결의… 대구 신종플루 진료 차질 우려

■	■/SW
경북대병원	경북대병원/NNP
노조	노조/NNG
파업	파업/NNG
결의…	결의/NNG+…/SE
대구	대구/NNP
신종플루	신종/NNG+플루/NNG
진료	진료/NNG
차질	차질/NNG
우려	우려/NNG


# id : NWRW1800000021.357.7.1
대구지역 신종 인플루엔자 거점병원인 경북대병원 노조가 파업을 결의해 진료 차질에 대한 우려가 커지고 있다.

대구지역	대구/NNP+지역/NNG
신종	신종/NNG
인플루엔자	인플루엔자/NNG
거점병원인	거점/NNG+병원/NNG+이/VCP+ㄴ/ETM
경북대병원	경북대병원/NNP
노조가	노조/NNG+가/JKS
파업을	파업/NNG+을/JKO
결의해	결의/NNG+하/XSV+아/EC
진료	진료/NNG
차질에	차질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.357.8.1
경북대병원 노조는 재직 조합원 885명 가운데 695명(투표율 78.5%)이 쟁의행위 찬반 투표를 실시한 결과 497명(71.5%)이 찬성해 가결됐다고 2일 밝혔다.

경북대병원	경북대병원/NNP
노조는	노조/NNG+는/JX
재직	재직/NNG
조합원	조합원/NNG
885명	885/SN+명/NNB
가운데	가운데/NNG
695명(투표율	695/SN+명/NNB+(/SS+투표/NNG+율/XSN
78.5%)이	78/SN+./SP+5/SN+%/SW+)/SS+이/JKS
쟁의행위	쟁의/NNG+행위/NNG
찬반	찬반/NNG
투표를	투표/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
497명(71.5%)이	497/SN+명/NNB+(/SS+71/SN+./SP+5/SN+%/SW+)/SS+이/JKS
찬성해	찬성/NNG+하/XSV+아/EC
가결됐다고	가결/NNG+되/XSV+었/EP+다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.8.2
노조는 올 6월 26일 노사 상견례를 시작으로 현재까지 19차에 걸쳐 2009년 임금 및 단체협약 체결을 위한 협상을 벌여 왔으나 사측과 견해차를 좁히지 못해 지난달 19일 경북지방노동위원회에 노동쟁의 조정신청을 냈다.

노조는	노조/NNG+는/JX
올	올/NNG
6월	6/SN+월/NNB
26일	26/SN+일/NNB
노사	노사/NNG
상견례를	상견례/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
현재까지	현재/NNG+까지/JX
19차에	19/SN+차/NNB+에/JKB
걸쳐	걸치/VV+어/EC
2009년	2009/SN+년/NNB
임금	임금/NNG
및	및/MAG
단체협약	단체/NNG+협약/NNG
체결을	체결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협상을	협상/NNG+을/JKO
벌여	벌이/VV+어/EC
왔으나	오/VX+았/EP+으나/EC
사측과	사측/NNG+과/JKB
견해차를	견해차/NNG+를/JKO
좁히지	좁히/VV+지/EC
못해	못하/VX+아/EC
지난달	지난달/NNG
19일	19/SN+일/NNB
경북지방노동위원회에	경북지방노동위원회/NNP+에/JKB
노동쟁의	노동/NNG+쟁의/NNG
조정신청을	조정/NNG+신청/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.9.1
노조는 조정 만료일(3일) 이후인 5일 조합원 총회를 갖고 이르면 6일 오전 7시 반부터 파업에 돌입할 방침이다.

노조는	노조/NNG+는/JX
조정	조정/NNG
만료일(3일)	만료일/NNG+(/SS+3/SN+일/NNB+)/SS
이후인	이후/NNG+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
조합원	조합원/NNG
총회를	총회/NNG+를/JKO
갖고	갖/VV+고/EC
이르면	이르/VV+면/EC
6일	6/SN+일/NNB
오전	오전/NNG
7시	7/SN+시/NNB
반부터	반/NNG+부터/JX
파업에	파업/NNG+에/JKB
돌입할	돌입/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.9.2
노조 측은 “신종 플루와 관련한 진료는 정상적으로 이뤄지도록 최대한 노력할 것”이라고 말했다.

노조	노조/NNG
측은	측/NNB+은/JX
“신종	“/SS+신종/NNG
플루와	플루/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
진료는	진료/NNG+는/JX
정상적으로	정상/NNG+적/XSN+으로/JKB
이뤄지도록	이뤄지/VV+도록/EC
최대한	최대한/MAG
노력할	노력/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.10.1
■ ‘수업일수 대책’ 빠진 휴업기준에 일선학교 혼란… 2회이상 휴업땐 방학 줄여야… 당국, 뒤늦게 지침마련 나서

■	■/SW
‘수업일수	‘/SS+수업/NNG+일수/NNG
대책’	대책/NNG+’/SS
빠진	빠지/VV+ㄴ/ETM
휴업기준에	휴업/NNG+기준/NNG+에/JKB
일선학교	일선/NNG+학교/NNG
혼란…	혼란/NNG+…/SE
2회이상	2/SN+회/NNB+이상/NNG
휴업땐	휴업/NNG+때/NNG+ㄴ/JX
방학	방학/NNG
줄여야…	줄이/VV+어야/EC+…/SE
당국,	당국/NNG+,/SP
뒤늦게	뒤늦/VA+게/EC
지침마련	지침/NNG+마련/NNG
나서	나서/VV+어/EF


# id : NWRW1800000021.357.11.1
신종 플루로 휴업하는 학교가 하루에 100곳씩 늘어나고 있는 가운데 학교 휴업 기준이 구체적이지 않아 일선 학교의 혼란이 계속되고 있다.

신종	신종/NNG
플루로	플루/NNG+로/JKB
휴업하는	휴업/NNG+하/XSV+는/ETM
학교가	학교/NNG+가/JKS
하루에	하루/NNG+에/JKB
100곳씩	100/SN+곳/NNG+씩/XSN
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
학교	학교/NNG
휴업	휴업/NNG
기준이	기준/NNG+이/JKS
구체적이지	구체/NNG+적/XSN+이/VCP+지/EC
않아	않/VX+아/EC
일선	일선/NNG
학교의	학교/NNG+의/JKG
혼란이	혼란/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.357.11.2
교육과학기술부에 따르면 지난달 31일 기준으로 전국 휴업 학교는 총 528곳으로 전날에 비해 101곳이 늘어났다.

교육과학기술부에	교육/NNG+과학/NNG+기술부/NNG+에/JKB
따르면	따르/VV+면/EC
지난달	지난달/NNG
31일	31/SN+일/NNB
기준으로	기준/NNG+으로/JKB
전국	전국/NNG
휴업	휴업/NNG
학교는	학교/NNG+는/JX
총	총/MMA
528곳으로	528/SN+곳/NNG+으로/JKB
전날에	전날/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
101곳이	101/SN+곳/NNG+이/JKS
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.11.3
경기가 179곳으로 가장 많고 서울 89곳, 인천 58곳, 대전 56곳이었다.

경기가	경기/NNP+가/JKS
179곳으로	179/SN+곳/NNG+으로/JKB
가장	가장/MAG
많고	많/VA+고/EC
서울	서울/NNP
89곳,	89/SN+곳/NNG+,/SP
인천	인천/NNP
58곳,	58/SN+곳/NNG+,/SP
대전	대전/NNP
56곳이었다.	56/SN+곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.357.12.1
각 시도교육청이 발표한 휴업 기준에는 휴업 때문에 법정 연간 수업일수를 채울 수 없을 경우 어떻게 해야 하는지에 대한 지침이 나와 있지 않다.

각	각/MMD
시도교육청이	시도/NNG+교육청/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
휴업	휴업/NNG
기준에는	기준/NNG+에/JKB+는/JX
때문에	때문/NNB+에/JKB
법정	법정/NNG
연간	연간/NNG
수업일수를	수업/NNG+일수/NNG+를/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
경우	경우/NNG
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하는지에	하/VX+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
지침이	지침/NNG+이/JKS
나와	나오/VV+아/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.357.12.2
이에 따라 서울시교육청은 2일 수업일수를 감축 조정할 수 있는 별도지침 마련에 나섰다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
서울시교육청은	서울시교육청/NNP+은/JX
2일	2/SN+일/NNB
수업일수를	수업/NNG+일수/NNG+를/JKO
감축	감축/NNG
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
별도지침	별도/NNG+지침/NNG
마련에	마련/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.357.13.1
초중등교육법에 따르면 법정 수업일수는 연 220일이지만 대부분 학교는 주 5일 수업제 실시, 재량휴일 등으로 205일 내외를 수업일수로 잡고 있다.

초중등교육법에	초중등/NNG+교육법/NNG+에/JKB
따르면	따르/VV+면/EC
법정	법정/NNG
수업일수는	수업/NNG+일수/NNG+는/JX
연	연/NNG
220일이지만	220/SN+일/NNB+이/VCP+지만/EC
대부분	대/XPN+부분/NNG
학교는	학교/NNG+는/JX
주	주/NNG
5일	5/SN+일/NNB
수업제	수업/NNG+제/XSN
실시,	실시/NNG+,/SP
재량휴일	재량/NNG+휴일/NNG
등으로	등/NNB+으로/JKB
205일	205/SN+일/NNB
내외를	내외/NNG+를/JKO
수업일수로	수업/NNG+일수/NNG+로/JKB
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.357.13.2
서울시교육청은 천재지변 등으로 필요한 경우 수업일수의 10분의 1까지 줄일 수 있다는 조항에 맞춰 최소 198일까지 인정하는 내부지침을 마련하고 있다.

서울시교육청은	서울시교육청/NNP+은/JX
천재지변	천재지변/NNG
등으로	등/NNB+으로/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
경우	경우/NNG
수업일수의	수업/NNG+일수/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1까지	1/SN+까지/JX
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
조항에	조항/NNG+에/JKB
맞춰	맞추/VV+어/EC
최소	최소/NNG
198일까지	198/SN+일/NNB+까지/JX
인정하는	인정/NNG+하/XSV+는/ETM
내부지침을	내부/NNG+지침/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.357.13.3
198일을 채우지 못하면 방학을 단축해서라도 수업을 해야 한다.

198일을	198/SN+일/NNB+을/JKO
채우지	채우/VV+지/EC
못하면	못하/VX+면/EC
방학을	방학/NNG+을/JKO
단축해서라도	단축/NNG+하/XSV+아서/EC+라도/JX
수업을	수업/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.357.14.1
주 5일 수업제, 재량휴일 등으로 연간 수업일수 가운데 15일 정도가 이미 줄어든 상태다.

주	주/NNG
5일	5/SN+일/NNB
수업제,	수업/NNG+제/XSN+,/SP
재량휴일	재량/NNG+휴일/NNG
등으로	등/NNB+으로/JKB
연간	연간/NNG
수업일수	수업/NNG+일수/NNG
가운데	가운데/NNG
15일	15/SN+일/NNB
정도가	정도/NNG+가/JKS
이미	이미/MAG
줄어든	줄어들/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.357.14.2
따라서 신종 플루 등으로 7일 이상 휴업할 경우 방학이 줄어들 수밖에 없다.

따라서	따라서/MAJ
신종	신종/NNG
플루	플루/NNG
등으로	등/NNB+으로/JKB
7일	7/SN+일/NNB
이상	이상/NNG
휴업할	휴업/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
방학이	방학/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.357.14.3
2회 이상 휴업한 학교는 방학 단축이 불가피할 것으로 보인다.

2회	2/SN+회/NNB
이상	이상/NNG
휴업한	휴업/NNG+하/XSV+ㄴ/ETM
학교는	학교/NNG+는/JX
방학	방학/NNG
단축이	단축/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.357.14.4
교과부 관계자는 “겨울방학과 봄방학을 합치면 최대 38일까지 수업일수를 채울 수 있다”며 “10일부터 백신 접종이 시작되고 면역력이 생기면 수업일수를 채우지 못하는 극단적 상황은 없을 것”이라고 말했다.

교과부	교과부/NNG
관계자는	관계자/NNG+는/JX
“겨울방학과	“/SS+겨울/NNG+방학/NNG+과/JC
봄방학을	봄/NNG+방학/NNG+을/JKO
합치면	합치/VV+면/EC
최대	최대/NNG
38일까지	38/SN+일/NNB+까지/JX
수업일수를	수업/NNG+일수/NNG+를/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“10일부터	“/SS+10/SN+일/NNB+부터/JX
백신	백신/NNG
접종이	접종/NNG+이/JKS
시작되고	시작/NNG+되/XSV+고/EC
면역력이	면역력/NNG+이/JKS
생기면	생기/VV+면/EC
채우지	채우/VV+지/EC
못하는	못하/VX+는/ETM
극단적	극단/NNG+적/XSN
상황은	상황/NNG+은/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.357.15.1
시도교육청 휴업 기준에는 학교 휴업 기준뿐 아니라 학급 단위 휴업 기준도 명시돼 있다.

시도교육청	시도/NNG+교육청/NNG
휴업	휴업/NNG
기준에는	기준/NNG+에/JKB+는/JX
학교	학교/NNG
기준뿐	기준/NNG+뿐/JX
아니라	아니/VCN+라/EC
학급	학급/NNG
단위	단위/NNG
기준도	기준/NNG+도/JX
명시돼	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.357.15.2
서울의 경우 확진환자가 10% 이상이거나 의심환자가 20% 이상인 학급은 휴업에 들어간다.

서울의	서울/NNP+의/JKG
경우	경우/NNG
확진환자가	확진/NNG+환자/NNG+가/JKS
10%	10/SN+%/SW
이상이거나	이상/NNG+이/VCP+거나/EC
의심환자가	의심/NNG+환자/NNG+가/JKS
20%	20/SN+%/SW
이상인	이상/NNG+이/VCP+ㄴ/ETM
학급은	학급/NNG+은/JX
휴업에	휴업/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


