# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.49
metadata : {}


# id : NWRW1800000045.49.1.1
25년만의 ‘로열 프린세스’

25년만의	25/SN+년/NNB+만/NNB+의/JKG
2세	2/SN+세/NNB
여왕은	여왕/NNG+은/JX
이날	이날/NNG
노스요크셔에서	노스요크셔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
공식	공식/NNG
행사에서	행사/NNG+에서/JKB
분홍색	분홍색/NNG
옷과	옷/NNG+과/JC
모자를	모자/NNG+를/JKO
써서	쓰/VV+어서/EC
손녀의	손녀/NNG+의/JKG
탄생을	탄생/NNG+을/JKO
축하했다.	축하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.49.9.2
버락 오바마 미국 대통령 등도 왕세손 부부에게 축하 인사를 전했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령	대통령/NNG
등도	등/NNB+도/JX
왕세손	왕세손/NNG
부부에게	부부/NNG+에게/JKB
축하	축하/NNG
인사를	인사/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.49.10.1
2, 3일 뒤 발표될 것으로 보이는 공주의 이름 후보로는 엘리자베스, 빅토리아, 다이애나 등과 함께 왕실에서 즐겨 쓰는 이름인 앨리스와 샬럿 등이 유력하게 거론되고 있다.

2,	2/SN+,/SP
3일	3/SN+일/NNB
뒤	뒤/NNG
발표될	발표/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
공주의	공주/NNG+의/JKG
이름	이름/NNG
후보로는	후보/NNG+로/JKB+는/JX
엘리자베스,	엘리자베스/NNP+,/SP
빅토리아,	빅토리아/NNP+,/SP
다이애나	다이애나/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
왕실에서	왕실/NNG+에서/JKB
즐겨	즐기/VV+어/EC
쓰는	쓰/VV+는/ETM
이름인	이름/NNG+이/VCP+ㄴ/ETM
앨리스와	앨리스/NNP+와/JC
샬럿	샬럿/NNP
등이	등/NNB+이/JKS
유력하게	유력/NNG+하/XSA+게/EC
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


