# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.48
metadata : {}


# id : NWRW1800000053.48.1.1
中, 동남아에 무기수출 확대… 군사적 영향력 키워

中,	中/SH+,/SP
판매로까지	판매/NNG+로/JKB+까지/JX
확대되고	확대/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.4.1
중국 관영 신화통신에 따르면 중국은 5일 ‘우호와 협력관계 표시’를 위해 필리핀에 M-4 소총 3000정을 제공했다.

중국	중국/NNP
관영	관영/NNG
신화통신에	신화통신/NNP+에/JKB
따르면	따르/VV+면/EC
중국은	중국/NNP+은/JX
5일	5/SN+일/NNB
‘우호와	‘/SS+우호/NNG+와/JC
협력관계	협력/NNG+관계/NNG
표시’를	표시/NNG+’/SS+를/JKO
위해	위하/VV+아/EC
필리핀에	필리핀/NNP+에/JKB
M-4	M/SL+-/SO+4/SN
소총	소총/NNG
3000정을	3000/SN+정/NNB+을/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.4.2
값으로는 330만 달러(약 37억8000만 원)어치다.

값으로는	값/NNG+으로/JKB+는/JX
330만	330/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
37억8000만	37/SN+억/NR+8000/SN+만/NR
원)어치다.	원/NNB+)/SS+어치/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.4.3
필리핀 국립경찰이 대테러 작전에 쓸 예정이다.

필리핀	필리핀/NNP
국립경찰이	국립/NNG+경찰/NNG+이/JKS
대테러	대테러/NNG
작전에	작전/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.4.4
친중 노선을 추진하고 있는 로드리고 두테르테 필리핀 대통령이 지난해 취임한 이후 두 번째 총기류 제공이다.

친중	친중/NNG
노선을	노선/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
로드리고	로드리고/NNP
두테르테	두테르테/NNP
필리핀	필리핀/NNP
대통령이	대통령/NNG+이/JKS
지난해	지난해/NNG
취임한	취임/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
두	두/MMN
번째	번/NNB+째/XSN
총기류	총기/NNG+류/XSN
제공이다.	제공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.4.5
미국과 필리핀의 관계가 악화되면서 지난해 미국 의회가 필리핀에 대한 M-4 소총 2만6000여 정 판매를 금지한 것과 정반대 행보다.

미국과	미국/NNP+과/JC
필리핀의	필리핀/NNP+의/JKG
관계가	관계/NNG+가/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
지난해	지난해/NNG
미국	미국/NNP
의회가	의회/NNG+가/JKS
필리핀에	필리핀/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
M-4	M/SL+-/SO+4/SN
소총	소총/NNG
2만6000여	2/SN+만/NR+6000/SN+여/XSN
정	정/NNB
판매를	판매/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
정반대	정반대/NNG
행보다.	행보/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.4.6
중국은 M-4 소총 이외에도 탄약 300만 발, 저격용 조준경 30개 등도 제공했다.

중국은	중국/NNP+은/JX
M-4	M/SL+-/SO+4/SN
소총	소총/NNG
이외에도	이외/NNG+에/JKB+도/JX
탄약	탄약/NNG
300만	300/SN+만/NR
발,	발/NNB+,/SP
저격용	저격/NNG+용/XSN
조준경	조준경/NNG
30개	30/SN+개/NNB
등도	등/NNB+도/JX
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.4.7
중국은 6월 이슬람국가(IS) 추종 반군과의 전투에 사용하라며 필리핀 육군에 5000만 위안(약 84억 원) 규모의 무기를 지원하기로 약속했다.

중국은	중국/NNP+은/JX
6월	6/SN+월/NNB
이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
추종	추종/NNG
반군과의	반군/NNG+과/JKB+의/JKG
전투에	전투/NNG+에/JKB
사용하라며	사용/NNG+하/XSV+라며/EC
필리핀	필리핀/NNP
육군에	육군/NNG+에/JKB
5000만	5000/SN+만/NR
위안(약	위안/NNB+(/SS+약/MMA
84억	84/SN+억/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
무기를	무기/NNG+를/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.4.8
필리핀 정부는 대테러전을 명목으로 내세워 중국에 정밀유도무기, 고속정, 무인항공기 제공도 요청해 놓고 있어 중국-필리핀 간 군사협력이 더욱 긴밀해질 것으로 예상된다.

필리핀	필리핀/NNP
정부는	정부/NNG+는/JX
대테러전을	대테러전/NNG+을/JKO
명목으로	명목/NNG+으로/JKB
내세워	내세우/VV+어/EC
중국에	중국/NNP+에/JKB
정밀유도무기,	정밀/NNG+유도/NNG+무기/NNG+,/SP
고속정,	고속정/NNG+,/SP
무인항공기	무인/NNG+항공기/NNG
제공도	제공/NNG+도/JX
요청해	요청/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있어	있/VX+어/EC
중국-필리핀	중국/NNP+-/SO+필리핀/NNP
간	간/NNB
군사협력이	군사/NNG+협력/NNG+이/JKS
더욱	더욱/MAG
긴밀해질	긴밀하/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.48.5.1
다음 주에는 중국산 전투용 탱크 VT-4 28대가 태국에 도착한다.

다음	다음/NNG
주에는	주/NNG+에/JKB+는/JX
중국산	중국/NNP+산/XSN
전투용	전투/NNG+용/XSN
탱크	탱크/NNG
VT-4	VT/SL+-/SO+4/SN
28대가	28/SN+대/NNB+가/JKS
태국에	태국/NNP+에/JKB
도착한다.	도착/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.48.5.2
태국 육군은 지난해 초 1억4700만 달러(약 1685억 원)어치 전투용 탱크 구매 계약을 체결했고 이 중 1차분이 태국 해군 사따힙 해군기지에 도착하는 것이다.

태국	태국/NNP
육군은	육군/NNG+은/JX
지난해	지난해/NNG
초	초/NNB
1억4700만	1/SN+억/NR+4700/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1685억	1685/SN+억/NR
원)어치	원/NNB+)/SS+어치/XSN
전투용	전투/NNG+용/XSN
탱크	탱크/NNG
구매	구매/NNG
계약을	계약/NNG+을/JKO
체결했고	체결/NNG+하/XSV+았/EP+고/EC
이	이/MMD
중	중/NNB
1차분이	1/SN+차/NNB+분/XSN+이/JKS
해군	해군/NNG
사따힙	사따힙/NNP
해군기지에	해군/NNG+기지/NNG+에/JKB
도착하는	도착/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.5.3
태국은 지난해 말에는 중국산 디젤·전기 동력 공격형 잠수함 3척 구입 계약도 체결했다.

태국은	태국/NNP+은/JX
지난해	지난해/NNG
말에는	말/NNB+에/JKB+는/JX
중국산	중국/NNP+산/XSN
디젤·전기	디젤/NNG+·/SP+전기/NNG
동력	동력/NNG
공격형	공격/NNG+형/XSN
잠수함	잠수함/NNG
3척	3/SN+척/NNB
구입	구입/NNG
계약도	계약/NNG+도/JX
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.5.4
말레이시아는 지난해 11월 중국산 해안경비선 4척(2억7700만 달러) 구입에 합의했다.

말레이시아는	말레이시아/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
중국산	중국/NNP+산/XSN
해안경비선	해안/NNG+경비선/NNG
4척(2억7700만	4/SN+척/NNB+(/SS+2/SN+억/NR+7700/SN+만/NR
달러)	달러/NNB+)/SS
구입에	구입/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.6.1
홍콩 사우스차이나모닝포스트(SCMP)에 따르면 중국은 미얀마 공군 전투기 대부분 및 장갑차, 해군 함정, 총기류의 최대 공급자다.

홍콩	홍콩/NNP
사우스차이나모닝포스트(SCMP)에	사우스차이나모닝포스트/NNP+(/SS+SCMP/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
중국은	중국/NNP+은/JX
미얀마	미얀마/NNP
공군	공군/NNG
전투기	전투기/NNG
대부분	대/XPN+부분/NNG
및	및/MAG
장갑차,	장갑차/NNG+,/SP
해군	해군/NNG
함정,	함정/NNG+,/SP
총기류의	총기/NNG+류/XSN+의/JKG
최대	최대/NNG
공급자다.	공급자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.48.6.2
중국과 미얀마 해군은 5월 처음으로 벵골만과 인도양에서 연합훈련을 벌이기도 했다.

중국과	중국/NNP+과/JC
미얀마	미얀마/NNP
해군은	해군/NNG+은/JX
5월	5/SN+월/NNB
처음으로	처음/NNG+으로/JKB
벵골만과	벵골만/NNP+과/JC
인도양에서	인도양/NNP+에서/JKB
연합훈련을	연합/NNG+훈련/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.48.6.3
훈련에는 중국의 미사일 구축함 창춘(長春)함, 미사일 호위함인 징저우(荊州)함 등이 대거 참가했다.

훈련에는	훈련/NNG+에/JKB+는/JX
중국의	중국/NNP+의/JKG
미사일	미사일/NNG
구축함	구축함/NNG
창춘(長春)함,	창춘/NNP+(/SS+長春/SH+)/SS+함/NNG+,/SP
호위함인	호위함/NNG+이/VCP+ㄴ/ETM
징저우(荊州)함	징저우/NNP+(/SS+荊州/SH+)/SS+함/NNG
등이	등/NNB+이/JKS
대거	대거/MAG
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.6.4
중국과 인도네시아는 지난해 중국산 해상 근접 방어 무기체계 구매 계약을 체결했다.

중국과	중국/NNP+과/JC
인도네시아는	인도네시아/NNP+는/JX
지난해	지난해/NNG
중국산	중국/NNP+산/XSN
해상	해상/NNG
근접	근접/NNG
방어	방어/NNG
무기체계	무기/NNG+체계/NNG
구매	구매/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.48.6.5
SCMP는 인도네시아가 “2005∼2009년 중국산 대함 미사일, 휴대용 지대공 미사일 등을 구입했다”고 보도했다.

SCMP는	SCMP/SL+는/JX
인도네시아가	인도네시아/NNP+가/JKS
“2005∼2009년	“/SS+2005/SN+∼/SO+2009/SN+년/NNB
중국산	중국/NNP+산/XSN
대함	대함/NNG
미사일,	미사일/NNG+,/SP
휴대용	휴대/NNG+용/XSN
지대공	지대공/NNG
미사일	미사일/NNG
등을	등/NNB+을/JKO
구입했다”고	구입/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


