# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.429
metadata : {}


# id : NWRW1800000038.429.1.1
68% "종북세력 문제 심각"… 통진당 지지자 43%도 "심각"

68%	68/SN+%/SW
사회의	사회/NNG+의/JKG
종북	종북/NNG
세력	세력/NNG
문제가	문제/NNG+가/JKS
'심각하다'고	'/SS+심각하/VA+다/EF+'/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.8.1
일부 종교인이 북한 입장을 옹호하는 듯한 발언을 하는 데 대해서는 '동의하지 않는다'는 답변이 83.7%에 달했고, '동의한다'는 답변은 10%에 그쳤다.

일부	일부/NNG
종교인이	종교인/NNG+이/JKS
북한	북한/NNP
입장을	입장/NNG+을/JKO
옹호하는	옹호/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
하는	하/VV+는/ETM
데	데/NNB
대해서는	대하/VV+아서/EC+는/JX
'동의하지	'/SS+동의/NNG+하/XSV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/ETM
답변이	답변/NNG+이/JKS
83.7%에	83/SN+./SP+7/SN+%/SW+에/JKB
달했고,	달하/VV+았/EP+고/EC+,/SP
'동의한다'는	'/SS+동의/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
답변은	답변/NNG+은/JX
10%에	10/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.429.8.2
자신의 이념 성향을 '진보'라고 답한 응답자의 77.5%도 '동의하지 않는다'고 응답했다.

자신의	자신/NNG+의/JKG
이념	이념/NNG
성향을	성향/NNG+을/JKO
'진보'라고	'/SS+진보/NNG+'/SS+라고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
응답자의	응답자/NNG+의/JKG
77.5%도	77/SN+./SP+5/SN+%/SW+도/JX
'동의하지	'/SS+동의/NNG+하/XSV+지/EC
않는다'고	않/VX+는다/EF+'/SS+고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.429.9.1
또 국민 대다수는 한·일 양국의 현안을 해결하기 위해 한·일 정상회담을 할 필요가 있다고 보는 것으로 조사됐다.

또	또/MAG
국민	국민/NNG
대다수는	대/XPN+다수/NNG+는/JX
한·일	한·일/NNP
양국의	양국/NNG+의/JKG
현안을	현안/NNG+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
보는	보/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.429.9.2
전체 응답자의 70.5%는 '할 필요가 있다'고 답했고, '필요 없다'는 응답은 25.1%에 그쳤다.

전체	전체/NNG
응답자의	응답자/NNG+의/JKG
70.5%는	70/SN+./SP+5/SN+%/SW+는/JX
'할	'/SS+하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다'고	있/VA+다/EF+'/SS+고/JKQ
답했고,	답/NNG+하/XSV+았/EP+고/EC+,/SP
'필요	'/SS+필요/NNG
없다'는	없/VA+다/EF+'/SS+는/ETM
응답은	응답/NNG+은/JX
25.1%에	25/SN+./SP+1/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.429.10.1
지지 정당별로는 새누리당 지지자의 69.4%, 민주당 지지자의 72.3%, 통합진보당 지지자의 80.5%가 정상회담이 필요하다고 답했다.

지지	지지/NNG
정당별로는	정당/NNG+별/XSN+로/JKB+는/JX
새누리당	새누리당/NNP
지지자의	지지자/NNG+의/JKG
69.4%,	69/SN+./SP+4/SN+%/SW+,/SP
민주당	민주당/NNP
72.3%,	72/SN+./SP+3/SN+%/SW+,/SP
통합진보당	통합진보당/NNP
80.5%가	80/SN+./SP+5/SN+%/SW+가/JKS
정상회담이	정상/NNG+회담/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


