# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.238
metadata : {}


# id : NWRW1800000024.238.1.1
‘세계합창대회’ 오늘 창원서 팡파르

‘세계합창대회’	‘/SS+세계/NNG+합창/NNG+대회/NNG+’/SS
# id : NWRW1800000024.238.3.2
또 이와 별도로 우정의 콘서트 등 비경연 부문에도 28개 팀이 무대에 오른다.

또	또/MAG
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
우정의	우정/NNG+의/JKG
콘서트	콘서트/NNG
등	등/NNB
비경연	비/XPN+경연/NNG
부문에도	부문/NNG+에/JKB+도/JX
28개	28/SN+개/NNB
팀이	팀/NNG+이/JKS
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.238.4.1
이들은 창원 성산아트홀, 마산 3·15아트센터, 진주 문화예술회관, 김해 문화의 전당 등 네 곳에서 실력을 겨루게 된다.

이들은	이/NP+들/XSN+은/JX
창원	창원/NNP
성산아트홀,	성산아트홀/NNP+,/SP
마산	마산/NNP
3·15아트센터,	3·15아트센터/NNP+,/SP
진주	진주/NNP
문화예술회관,	문화/NNG+예술/NNG+회관/NNG+,/SP
김해	김해/NNP
문화의	문화/NNG+의/JKG
전당	전당/NNG
등	등/NNB
네	네/MMN
곳에서	곳/NNG+에서/JKB
실력을	실력/NNG+을/JKO
겨루게	겨루/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.238.4.2
본행사는 8일 저녁 7시30분 창원컨벤션센터의 개막식으로 시작한다.

본행사는	본행사/NNG+는/JX
8일	8/SN+일/NNB
저녁	저녁/NNG
7시30분	7/SN+시/NNB+30/SN+분/NNB
창원컨벤션센터의	창원컨벤션센터/NNP+의/JKG
개막식으로	개막식/NNG+으로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.238.4.3
이번 행사의 핵심인 그랑프리대회는 8개 종목으로 나뉘어 진행되며, 어린이합창, 혼성합창, 종교합창, 민요 등 4개 종목 입상팀은 11일 저녁 7시30분, 청소년합창, 여성합창, 남성합창, 대중음악 등 4개 종목 입상팀은 16일 저녁 7시30분 창원컨벤션센터에서 콘서트를 연다.

이번	이번/NNG
행사의	행사/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
그랑프리대회는	그랑프리/NNG+대회/NNG+는/JX
8개	8/SN+개/NNB
종목으로	종목/NNG+으로/JKB
나뉘어	나뉘/VV+어/EC
진행되며,	진행/NNG+되/XSV+며/EC+,/SP
어린이합창,	어린이/NNG+합창/NNG+,/SP
혼성합창,	혼성/NNG+합창/NNG+,/SP
종교합창,	종교/NNG+합창/NNG+,/SP
민요	민요/NNG
등	등/NNB
4개	4/SN+개/NNB
종목	종목/NNG
입상팀은	입상/NNG+팀/NNG+은/JX
11일	11/SN+일/NNB
저녁	저녁/NNG
7시30분,	7/SN+시/NNB+30/SN+분/NNB+,/SP
청소년합창,	청소년/NNG+합창/NNG+,/SP
여성합창,	여성/NNG+합창/NNG+,/SP
남성합창,	남성/NNG+합창/NNG+,/SP
대중음악	대중음악/NNG
16일	16/SN+일/NNB
7시30분	7/SN+시/NNB+30/SN+분/NNB
창원컨벤션센터에서	창원컨벤션센터/NNP+에서/JKB
콘서트를	콘서트/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.238.4.4
그랑프리대회에는 20만달러의 총상금이 걸려 있다.

그랑프리대회에는	그랑프리/NNG+대회/NNG+에/JKB+는/JX
20만달러의	20/SN+만/NR+달러/NNB+의/JKG
총상금이	총상금/NNG+이/JKS
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.238.4.5
또 아시안콰이어게임과 한국국제오픈콰이어대회에 출전해 우수합창단으로 선정된 29개 팀은 모두 11차례에 걸쳐 갈라쇼를 연다.

또	또/MAG
아시안콰이어게임과	아시안/NNP+콰이어/NNG+게임/NNG+과/JC
한국국제오픈콰이어대회에	한국/NNP+국제/NNG+오픈/NNG+콰이어/NNG+대회/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
우수합창단으로	우수/NNG+합창단/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
29개	29/SN+개/NNB
팀은	팀/NNG+은/JX
모두	모두/MAG
11차례에	11/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
갈라쇼를	갈라쇼/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.238.4.6
이순신 장군의 일대기를 뮤지컬로 만든 창작뮤지컬 <이순신>도 8차례 공연될 예정이다.

이순신	이순신/NNP
장군의	장군/NNG+의/JKG
일대기를	일대기/NNG+를/JKO
뮤지컬로	뮤지컬/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
창작뮤지컬	창작/NNG+뮤지컬/NNG
<이순신>도	</SS+이순신/NNP+>/SS+도/JX
8차례	8/SN+차례/NNG
공연될	공연/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.238.4.7
모든 공연은 무료로 열리며, 상세한 일정과 관람 방법은 조직위 누리집(wcc2009.co.kr)을 통해 알 수 있다.

모든	모든/MMN
공연은	공연/NNG+은/JX
무료로	무료/NNG+로/JKB
열리며,	열리/VV+며/EC+,/SP
상세한	상세하/VA+ㄴ/ETM
일정과	일정/NNG+과/JC
관람	관람/NNG
방법은	방법/NNG+은/JX
조직위	조직위/NNG
누리집(wcc2009.co.kr)을	누리집/NNG+(/SS+wcc/SL+2009/SN+./SP+co/SL+./SP+kr/SL+)/SS+을/JKO
통해	통하/VV+아/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.238.4.8
2000년부터 2년마다 월드콰이어게임을 열어 세계 최고 기량을 지닌 아마추어 합창단을 발굴해온 독일 인터쿨투어재단은 진정한 세계 최고의 합창단을 뽑기 위해 월드콰이어챔피언십을 만들었으며, 그 첫 대회를 경남이 유치해 이번에 열게 됐다.

2000년부터	2000/SN+년/NNB+부터/JX
2년마다	2/SN+년/NNB+마다/JX
월드콰이어게임을	월드콰이어/NNG+게임/NNG+을/JKO
열어	열/VV+어/EC
세계	세계/NNG
최고	최고/NNG
기량을	기량/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
아마추어	아마추어/NNG
합창단을	합창단/NNG+을/JKO
발굴해온	발굴/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
독일	독일/NNP
인터쿨투어재단은	인터쿨투어재단/NNP+은/JX
진정한	진정하/VA+ㄴ/ETM
최고의	최고/NNG+의/JKG
뽑기	뽑/VV+기/ETN
위해	위하/VV+아/EC
월드콰이어챔피언십을	월드콰이어/NNG+챔피언십/NNG+을/JKO
만들었으며,	만들/VV+었/EP+으며/EC+,/SP
그	그/MMD
첫	첫/MMN
대회를	대회/NNG+를/JKO
경남이	경남/NNP+이/JKS
유치해	유치/NNG+하/XSV+아/EC
이번에	이번/NNG+에/JKB
열게	열/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.238.4.9
(055)211-6654.

(055)211-6654.	(/SS+055/SN+)/SS+211/SN+-/SO+6654/SN+./SF


