# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.32
metadata : {}


# id : NWRW1800000028.32.1.1
내년까지 신으려면 어떻게 관리/‘올겨울 완소’ 어그부츠, 얼룩 생길라

내년까지	내년/NNG+까지/JX
이처럼 호주 태생인 신발을 미국 신발업체는 ‘어그 오스트레일리아’라는 브랜드로 탄생시켰다.

이처럼	이/NP+처럼/JKB
호주	호주/NNP
태생인	태생/NNG+이/VCP+ㄴ/ETM
신발을	신발/NNG+을/JKO
미국	미국/NNP
신발업체는	신발/NNG+업체/NNG+는/JX
‘어그	‘/SS+어그/NNG
오스트레일리아’라는	오스트레일리아/NNP+’/SS+이/VCP+라는/ETM
브랜드로	브랜드/NNG+로/JKB
탄생시켰다.	탄생/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.32.2.5
우리가 흔히 알고 있는 겉면은 양가죽 스웨이드(부드러운 가죽), 내부는 양털로 처리된 귀여운 스타일이 어그사의 대표 제품이다.

우리가	우리/NP+가/JKS
흔히	흔히/MAG
알고	알/VV+고/EC
있는	있/VX+는/ETM
겉면은	겉면/NNG+은/JX
양가죽	양가죽/NNG
스웨이드(부드러운	스웨이드/NNG+(/SS+부드럽/VA+ㄴ/ETM
가죽),	가죽/NNG+)/SS+,/SP
내부는	내부/NNG+는/JX
양털로	양털/NNG+로/JKB
처리된	처리/NNG+되/XSV+ㄴ/ETM
귀여운	귀엽/VA+ㄴ/ETM
스타일이	스타일/NNG+이/JKS
어그사의	어그사/NNG+의/JKG
대표	대표/NNG
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.3.1
한파로 어그 열풍이 일자, 스케쳐스·케이2 등 캐주얼·아웃도어 신발 브랜드들은 양털부츠를 다양하게 내놓았다.

한파로	한파/NNG+로/JKB
어그	어그/NNG
열풍이	열풍/NNG+이/JKS
일자,	일/VV+자/EC+,/SP
스케쳐스·케이2	스케쳐스/NNP+·/SP+케이/NNG+2/SN
등	등/NNB
캐주얼·아웃도어	캐주얼/NNG+·/SP+아웃도어/NNG
신발	신발/NNG
브랜드들은	브랜드/NNG+들/XSN+은/JX
양털부츠를	양털/NNG+부츠/NNG+를/JKO
다양하게	다양/NNG+하/XSA+게/EC
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.32.3.2
겉면에 값싼 소가죽 스웨이드나 스웨이드풍 합성피혁을 쓴 싸구려 제품도 많이 나와 있는 상황이다.

겉면에	겉면/NNG+에/JKB
값싼	값싸/VA+ㄴ/ETM
소가죽	소가죽/NNG
스웨이드나	스웨이드/NNG+나/JC
스웨이드풍	스웨이드/NNG+풍/XSN
합성피혁을	합성/NNG+피혁/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
싸구려	싸구려/NNG
제품도	제품/NNG+도/JX
많이	많이/MAG
나와	나오/VV+아/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.4.1
사실 양가죽 스웨이드를 쓴 양털부츠는 따뜻한데다 고급스럽게 보이지만 눈 오는 날 신기 좋은 신발은 아니다.

사실	사실/MAG
양가죽	양가죽/NNG
스웨이드를	스웨이드/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
양털부츠는	양털/NNG+부츠/NNG+는/JX
따뜻한데다	따뜻하/VA+ㄴ/ETM+데/NNB+다/JX
고급스럽게	고급/NNG+스럽/XSA+게/EC
보이지만	보이/VV+지만/EC
눈	눈/NNG
오는	오/VV+는/ETM
날	날/NNG
신기	신/VV+기/ETN
좋은	좋/VA+은/ETM
신발은	신발/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.32.4.2
양가죽 스웨이드는 습기에 약해 물 얼룩이 생기기 쉬운데다 더러움도 쉽게 탄다.

양가죽	양가죽/NNG
스웨이드는	스웨이드/NNG+는/JX
습기에	습기/NNG+에/JKB
약해	약하/VA+아/EC
물	물/NNG
얼룩이	얼룩/NNG+이/JKS
생기기	생기/VV+기/ETN
쉬운데다	쉽/VA+ㄴ/ETM+데/NNB+다/JX
더러움도	더러움/NNG+도/JX
쉽게	쉽/VA+게/EC
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.32.4.3
집에서 물세탁을 섣불리 시도하는 것은 더더욱 무모하다.

집에서	집/NNG+에서/JKB
물세탁을	물세탁/NNG+을/JKO
섣불리	섣불리/MAG
시도하는	시도/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
더더욱	더더욱/MAG
무모하다.	무모/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.32.4.4
스웨이드 특유의 부드러움과 질감은 물에 직접 닿는 순간 사라지고 얼룩투성이 뻣뻣한 신발만 남게 될 수 있다.

스웨이드	스웨이드/NNG
특유의	특유/NNG+의/JKG
부드러움과	부드럽/VA+ㅁ/ETN+과/JC
질감은	질감/NNG+은/JX
물에	물/NNG+에/JKB
직접	직접/MAG
닿는	닿/VV+는/ETM
순간	순간/NNG
사라지고	사라지/VV+고/EC
얼룩투성이	얼룩/NNG+투성이/XSN
뻣뻣한	뻣뻣하/VA+ㄴ/ETM
신발만	신발/NNG+만/JX
남게	남/VV+게/EC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.32.5.1
일단 눈비에 젖은 부츠는 마른 수건으로 닦아낸 뒤 그늘에서 천천히 말려 오염된 부분을 잘 털어내는 게 기본이다.

일단	일단/MAG
눈비에	눈비/NNG+에/JKB
젖은	젖/VV+은/ETM
부츠는	부츠/NNG+는/JX
마른	마르/VV+ㄴ/ETM
수건으로	수건/NNG+으로/JKB
닦아낸	닦/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
그늘에서	그늘/NNG+에서/JKB
천천히	천천히/MAG
말려	말리/VV+어/EC
오염된	오염/NNG+되/XSV+ㄴ/ETM
부분을	부분/NNG+을/JKO
잘	잘/MAG
털어내는	털/VV+어/EC+내/VX+는/ETM
게	거/NNB+이/JKS
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.5.2
성급하게 말리려고 드라이기나 온열기 등 화기에 노출하는 것은 금물이다.

성급하게	성급하/VA+게/EC
말리려고	말리/VV+려고/EC
드라이기나	드라이기/NNG+나/JC
온열기	온열기/NNG
등	등/NNB
화기에	화기/NNG+에/JKB
노출하는	노출/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
금물이다.	금물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.6.1
양털부츠는 처음 신기 전에 스웨이드 겉면에 전용 방수 스프레이를 뿌려주는 게 좋다.

양털부츠는	양털/NNG+부츠/NNG+는/JX
처음	처음/NNG
신기	신/VV+기/ETN
전에	전/NNG+에/JKB
스웨이드	스웨이드/NNG
겉면에	겉면/NNG+에/JKB
전용	전용/NNG
방수	방수/NNG
스프레이를	스프레이/NNG+를/JKO
뿌려주는	뿌리/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.32.6.2
겉면에 얇은 코팅막을 더하는 원리라 100% 물 얼룩이나 오염을 막아주는 것은 아니지만, 어느 정도는 완화해준다.

겉면에	겉면/NNG+에/JKB
얇은	얇/VA+은/ETM
코팅막을	코팅/NNG+막/NNG+을/JKO
더하는	더/MAG+하/XSV+는/ETM
원리라	원리/NNG+이/VCP+라/EC
100%	100/SN+%/SW
물	물/NNG
얼룩이나	얼룩/NNG+이나/JC
오염을	오염/NNG+을/JKO
막아주는	막/VV+아/EC+주/VX+는/ETM
것은	것/NNB+은/JX
아니지만,	아니/VCN+지만/EC+,/SP
어느	어느/MMD
정도는	정도/NNG+는/JX
완화해준다.	완화/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.32.6.3
일정 시간이 지나면 겉면을 깨끗이 털어낸 뒤 다시 방수 스프레이를 뿌리는 식으로 정기적인 관리를 하는 게 좋다.

일정	일정/NNG
시간이	시간/NNG+이/JKS
지나면	지나/VV+면/EC
겉면을	겉면/NNG+을/JKO
깨끗이	깨끗이/MAG
털어낸	털/VV+어/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
방수	방수/NNG
스프레이를	스프레이/NNG+를/JKO
뿌리는	뿌리/VV+는/ETM
식으로	식/NNB+으로/JKB
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
관리를	관리/NNG+를/JKO
하는	하/VV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.32.7.1
양털부츠를 신다가 생긴 가벼운 오염은 부드러운 천이나 솔로 그때그때 살살 털어내는 게 좋다.

양털부츠를	양털/NNG+부츠/NNG+를/JKO
신다가	신/VV+다가/EC
생긴	생기/VV+ㄴ/ETM
가벼운	가볍/VA+ㄴ/ETM
오염은	오염/NNG+은/JX
부드러운	부드럽/VA+ㄴ/ETM
천이나	천/NNG+이나/JX
솔로	솔/NNG+로/JKB
그때그때	그때그때/MAG
살살	살살/MAG
털어내는	털/VV+어/EC+내/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.32.7.2
스웨이드 오염 지우개도 부츠를 바짝 말린 뒤 오래되지 않은 오염을 제거하는 데 쓰면 유용하다.

스웨이드	스웨이드/NNG
오염	오염/NNG
지우개도	지우개/NNG+도/JX
부츠를	부츠/NNG+를/JKO
바짝	바짝/MAG
말린	말리/VV+ㄴ/ETM
뒤	뒤/NNG
오래되지	오래/MAG+되/XSA+지/EC
않은	않/VX+은/ETM
오염을	오염/NNG+을/JKO
제거하는	제거/NNG+하/XSV+는/ETM
데	데/NNB
쓰면	쓰/VV+면/EC
유용하다.	유용/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.32.7.3
물론 오염이 심하다면 전문적 세탁 업체의 손길을 빌려야 한다.

물론	물론/MAG
오염이	오염/NNG+이/JKS
심하다면	심하/VA+다면/EC
전문적	전문/NNG+적/XSN
세탁	세탁/NNG
업체의	업체/NNG+의/JKG
손길을	손길/NNG+을/JKO
빌려야	빌리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.32.8.1
부츠 안쪽 양털이나 겉면 기모가 뭉치지 않도록 일주일에 한두 차례씩 털의 숨이 죽은 반대 방향으로 쓸어주는 것도 도움이 된다.

부츠	부츠/NNG
안쪽	안쪽/NNG
양털이나	양털/NNG+이나/JC
겉면	겉면/NNG
기모가	기모/NNG+가/JKS
뭉치지	뭉치/VV+지/EC
않도록	않/VX+도록/EC
일주일에	일주일/NNG+에/JKB
한두	한두/MMN
차례씩	차례/NNG+씩/XSN
털의	털/NNG+의/JKG
숨이	숨/NNG+이/JKS
죽은	죽/VV+은/ETM
반대	반대/NNG
방향으로	방향/NNG+으로/JKB
쓸어주는	쓸/VV+어/EC+주/VX+는/ETM
것도	것/NNB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.32.8.2
먼지를 제거하면서 신발 모양을 잡아주는 효과가 있다.

먼지를	먼지/NNG+를/JKO
제거하면서	제거/NNG+하/XSV+면서/EC
신발	신발/NNG
모양을	모양/NNG+을/JKO
잡아주는	잡/VV+아/EC+주/VX+는/ETM
효과가	효과/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.32.8.3
또 부츠를 신지 않을 때 숯이나 녹차잎, 감잎을 넣어두면 발냄새를 줄이는 데 효과적이다.

또	또/MAG
부츠를	부츠/NNG+를/JKO
신지	신/VV+지/EC
않을	않/VX+을/ETM
때	때/NNG
숯이나	숯/NNG+이나/JC
녹차잎,	녹차/NNG+잎/NNG+,/SP
감잎을	감잎/NNG+을/JKO
넣어두면	넣/VV+어/EC+두/VX+면/EC
발냄새를	발/NNG+냄새/NNG+를/JKO
줄이는	줄이/VV+는/ETM
데	데/NNB
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.32.9.1
양털부츠를 보관할 때는 부드러운 솔로 겉면 기모를 한 방향으로 잘 쓸어서 정리하는 게 좋다.

양털부츠를	양털/NNG+부츠/NNG+를/JKO
보관할	보관/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
부드러운	부드럽/VA+ㄴ/ETM
솔로	솔/NNG+로/JKB
겉면	겉면/NNG
기모를	기모/NNG+를/JKO
한	한/MMN
방향으로	방향/NNG+으로/JKB
잘	잘/MAG
쓸어서	쓸/VV+어서/EC
정리하는	정리/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000028.32.9.2
또 부츠 전용 보형물이나 신문지로 부츠 모양을 잡아준 뒤 상자에 담아두면 변형과 습기를 막아준다.

또	또/MAG
부츠	부츠/NNG
전용	전용/NNG
보형물이나	보형물/NNG+이나/JC
신문지로	신문지/NNG+로/JKB
모양을	모양/NNG+을/JKO
잡아준	잡/VV+아/EC+주/VX+ㄴ/ETM
뒤	뒤/NNG
상자에	상자/NNG+에/JKB
담아두면	담/VV+아/EC+두/VX+면/EC
변형과	변형/NNG+과/JC
습기를	습기/NNG+를/JKO
막아준다.	막/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.32.9.3
여름 장마철, 양털부츠의 상태를 한번쯤 확인해 습기가 찼다면 통풍이 잘되는 그늘에서 말려주는 꼼꼼함도 필요하다.

여름	여름/NNG
장마철,	장마철/NNG+,/SP
양털부츠의	양털/NNG+부츠/NNG+의/JKG
상태를	상태/NNG+를/JKO
한번쯤	한번/MAG+쯤/XSN
확인해	확인/NNG+하/XSV+아/EC
습기가	습기/NNG+가/JKS
찼다면	차/VV+았/EP+다면/EC
통풍이	통풍/NNG+이/JKS
잘되는	잘/MAG+되/XSV+는/ETM
그늘에서	그늘/NNG+에서/JKB
말려주는	말리/VV+어/EC+주/VX+는/ETM
꼼꼼함도	꼼꼼/MAG+하/XSA+ㅁ/ETN+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.32.9.4
자칫 겉면에 곰팡이가 생기거나 습기를 머금어 가죽면이 뻣뻣하게 변하는 것을 예방할 수 있다.

자칫	자칫/MAG
겉면에	겉면/NNG+에/JKB
곰팡이가	곰팡이/NNG+가/JKS
생기거나	생기/VV+거나/EC
습기를	습기/NNG+를/JKO
머금어	머금/VV+어/EC
가죽면이	가죽/NNG+면/NNG+이/JKS
뻣뻣하게	뻣뻣하/VA+게/EC
변하는	변하/VV+는/ETM
것을	것/NNB+을/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.32.10.1
양털부츠 같은 겨울철 신발 관리는 이처럼 까다롭지만, 수고스러움을 덜어주는 도우미 상품들도 많이 나와 있다.

양털부츠	양털/NNG+부츠/NNG
같은	같/VA+은/ETM
겨울철	겨울철/NNG
신발	신발/NNG
관리는	관리/NNG+는/JX
이처럼	이/NP+처럼/JKB
까다롭지만,	까다롭/VA+지만/EC+,/SP
수고스러움을	수고/NNG+스럽/XSA+ㅁ/ETN+을/JKO
덜어주는	덜/VV+어/EC+주/VX+는/ETM
도우미	도우미/NNG
상품들도	상품/NNG+들/XSN+도/JX
많이	많이/MAG
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.32.10.2
1000원 잡화점 ‘다이소’는 동물인형 부츠키퍼(5000원)를 판매하는데 부츠 안에 꽂아두면 통풍이 되지 않아 세균이 번식하기 쉬운 부츠 속 습기와 냄새를 실리카겔로 쏙 빨아들인다.

1000원	1000/SN+원/NNB
잡화점	잡화점/NNG
‘다이소’는	‘/SS+다이소/NNP+’/SS+는/JX
동물인형	동물/NNG+인형/NNG
부츠키퍼(5000원)를	부츠/NNG+키퍼/NNG+(/SS+5000/SN+원/NNB+)/SS+를/JKO
판매하는데	판매/NNG+하/XSV+는데/EC
부츠	부츠/NNG
안에	안/NNG+에/JKB
꽂아두면	꽂/VV+아/EC+두/VX+면/EC
통풍이	통풍/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
세균이	세균/NNG+이/JKS
번식하기	번식/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
속	속/NNG
습기와	습기/NNG+와/JC
냄새를	냄새/NNG+를/JKO
실리카겔로	실리카/NNG+겔/NNG+로/JKB
쏙	쏙/MAG
빨아들인다.	빨아들이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.32.10.3
흐느적거리기 쉬운 부츠의 모양새를 잘 잡아주면서, 동물 인형 장식이 있어 현관 인테리어에도 흠이 되지 않는다.

흐느적거리기	흐느적거리/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
부츠의	부츠/NNG+의/JKG
모양새를	모양새/NNG+를/JKO
잘	잘/MAG
잡아주면서,	잡/VV+아/EC+주/VX+면서/EC+,/SP
동물	동물/NNG
인형	인형/NNG
장식이	장식/NNG+이/JKS
있어	있/VA+어/EC
현관	현관/NNG
인테리어에도	인테리어/NNG+에/JKB+도/JX
흠이	흠/NNG+이/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.32.10.4
디앤샵(dnshop.com)은 조습군 드라이슈즈(3만7000원)를 판매하는데, 신발 안에 넣어두면 제습·탈취·항곰팡이 기능을 두루 해낸다.

디앤샵(dnshop.com)은	디앤샵/NNP+(/SS+dnshop/SL+./SP+com/SL+)/SS+은/JX
조습군	조습군/NNG
드라이슈즈(3만7000원)를	드라이/NNG+슈즈/NNG+(/SS+3/SN+만/NR+7000/SN+원/NNB+)/SS+를/JKO
판매하는데,	판매/NNG+하/XSV+는데/EC+,/SP
신발	신발/NNG
안에	안/NNG+에/JKB
넣어두면	넣/VV+어/EC+두/VX+면/EC
제습·탈취·항곰팡이	제습/NNG+·/SP+탈취/NNG+·/SP+항곰팡이/NNG
기능을	기능/NNG+을/JKO
두루	두루/MAG
해낸다.	해내/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.32.10.5
흡습 센서가 푸른색에서 분홍색으로 변할 경우 꺼내어 햇볕에 두세 시간 말리면 다시 사용이 가능하다.

흡습	흡습/NNG
센서가	센서/NNG+가/JKS
푸른색에서	푸른색/NNG+에서/JKB
분홍색으로	분홍색/NNG+으로/JKB
변할	변하/VV+ㄹ/ETM
경우	경우/NNG
꺼내어	꺼내/VV+어/EC
햇볕에	햇볕/NNG+에/JKB
두세	두세/MMN
시간	시간/NNB
말리면	말리/VV+면/EC
다시	다시/MAG
사용이	사용/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.32.10.6
지마켓(gmarket.com)에서 파는 스웨이드 지우개(6000원)는 어그 등 스웨이드 신발 제품의 가벼운 오염을 제거하기에 좋고, 양털부츠 방수·오염예방 스프레이(1만8000원)도 유용하다.

지마켓(gmarket.com)에서	지마켓/NNP+(/SS+gmarket/SL+./SP+com/SL+)/SS+에서/JKB
파는	팔/VV+는/ETM
스웨이드	스웨이드/NNG
지우개(6000원)는	지우개/NNG+(/SS+6000/SN+원/NNB+)/SS+는/JX
어그	어그/NNG
등	등/NNB
신발	신발/NNG
제품의	제품/NNG+의/JKG
가벼운	가볍/VA+ㄴ/ETM
오염을	오염/NNG+을/JKO
제거하기에	제거/NNG+하/XSV+기/ETN+에/JKB
좋고,	좋/VA+고/EC+,/SP
양털부츠	양털/NNG+부츠/NNG
방수·오염예방	방수/NNG+·/SP+오염/NNG+예방/NNG
스프레이(1만8000원)도	스프레이/NNG+(/SS+1/SN+만/NR+8000/SN+원/NNB+)/SS+도/JX
유용하다.	유용/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.32.10.7
어그 오스트레일리아를 공식 수입하는 오마이솔(omysole.co.kr)이 판매하는 어그사의 방수·오염예방 스프레이(2만5000원)도 나와 있다.

어그	어그/NNG
오스트레일리아를	오스트레일리아/NNP+를/JKO
공식	공식/NNG
수입하는	수입/NNG+하/XSV+는/ETM
오마이솔(omysole.co.kr)이	오마이솔/NNP+(/SS+omysole/SL+./SP+co/SL+./SP+kr/SL+)/SS+이/JKS
판매하는	판매/NNG+하/XSV+는/ETM
어그사의	어그사/NNG+의/JKG
방수·오염예방	방수/NNG+·/SP+오염/NNG+예방/NNG
스프레이(2만5000원)도	스프레이/NNG+(/SS+2/SN+만/NR+5000/SN+원/NNB+)/SS+도/JX
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


