# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.274
metadata : {}


# id : NWRW1800000040.274.1.1
“한대련 비판글로 유인물” 비운동권 후보에 메신저 덕성여대 교직원, 학생회 투표 개입

“한대련	“/SS+한대련/NNP
옹호하는	옹호/NNG+하/XSV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
“다	“/SS+다/MAG
빨갱이들”이라고	빨갱이/NNG+들/XSN+”/SS+이라고/JKQ
규정했고,	규정/NNG+하/XSV+았/EP+고/EC+,/SP
6월	6/SN+월/NNB
총투표에서	총/MMA+투표/NNG+에서/JKB
한대련	한대련/NNP
탈퇴가	탈퇴/NNG+가/JKS
부결되자	부결/NNG+되/XSV+자/EC
“옆에서	“/SS+옆/NNG+에서/JKB
김○○	김/NNP+○/SW+○/SW
선생(또다른	선생/NNG+(/SS+또/MAG+다른/MMD
교직원)이	교직원/NNG+)/SS+이/JKS
서서히	서서히/MAG
죽여야	죽이/VV+어야/EC
더	더/MAG
흥미있고	흥미/NNG+있/VA+고/EC
재미있지	재미있/VA+지/EC
않으냐고	않/VX+으냐고/EC
한다”는	하/VV+ㄴ다/EF+”/SS+는/ETM
말도	말/NNG+도/JX
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.274.8.1
김씨는 학내 게시판에 글을 올린 학생들의 학과·학번·전화번호·주소 등 개인정보를 알아내 ‘여론전’에 활용하기도 했다.

김씨는	김/NNP+씨/NNB+는/JX
학내	학내/NNG
게시판에	게시판/NNG+에/JKB
글을	글/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
학과·학번·전화번호·주소	학과/NNG+·/SP+학번/NNG+·/SP+전화번호/NNG+·/SP+주소/NNG
등	등/NNB
개인정보를	개인/NNG+정보/NNG+를/JKO
알아내	알아내/VV+어/EC
‘여론전’에	‘/SS+여론전/NNG+’/SS+에/JKB
활용하기도	활용/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.274.8.2
김씨는 메신저로 이런 개인정보를 건네며 “이상 비밀.

김씨는	김/NNP+씨/NNB+는/JX
메신저로	메신저/NNG+로/JKB
이런	이런/MMD
개인정보를	개인/NNG+정보/NNG+를/JKO
건네며	건네/VV+며/EC
“이상	“/SS+이상/NNG
비밀.	비밀/NNG+./SF


# id : NWRW1800000040.274.8.3
내가 조사한 건 아무도 모르게”라고 입단속을 요구했다.

내가	내/NP+가/JKS
조사한	조사/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아무도	아무/NP+도/JX
모르게”라고	모르/VV+게/EC+”/SS+라고/JKQ
입단속을	입단속/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.9.1
교직원 김씨의 ‘여론전’에 동참했던 학생 유아무개(21·생활체육학과 3)씨는 지난달 26~28일 치러진 총학생회 선거에서 ‘비운동권’을 표방하며 부총학생회장 후보자로 직접 출마했지만, 이런 메신저 대화 내용이 27일 학내 게시판을 통해 공개되자 곧바로 후보직에서 사퇴했다.

교직원	교직원/NNG
김씨의	김/NNP+씨/NNB+의/JKG
‘여론전’에	‘/SS+여론전/NNG+’/SS+에/JKB
동참했던	동참/NNG+하/XSV+았/EP+던/ETM
학생	학생/NNG
유아무개(21·생활체육학과	유/NNP+아무개/NP+(/SS+21/SN+·/SP+생활/NNG+체육학과/NNG
3)씨는	3/SN+)/SS+씨/NNB+는/JX
지난달	지난달/NNG
26~28일	26/SN+~/SO+28/SN+일/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
총학생회	총학생회/NNG
선거에서	선거/NNG+에서/JKB
‘비운동권’을	‘/SS+비/XPN+운동/NNG+권/XSN+’/SS+을/JKO
표방하며	표방/NNG+하/XSV+며/EC
부총학생회장	부총학생회장/NNG
후보자로	후보자/NNG+로/JKB
직접	직접/MAG
출마했지만,	출마/NNG+하/XSV+았/EP+지만/EC+,/SP
이런	이런/MMD
메신저	메신저/NNG
대화	대화/NNG
내용이	내용/NNG+이/JKS
27일	27/SN+일/NNB
학내	학내/NNG
게시판을	게시판/NNG+을/JKO
통해	통하/VV+아/EC
공개되자	공개/NNG+되/XSV+자/EC
곧바로	곧바로/MAG
후보직에서	후보직/NNG+에서/JKB
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.9.2
함께 대화를 주고받은 학생 중 유씨가 아닌 다른 학생이 선거관리위원회에 해당 메신저 내용을 제보한 것으로 알려졌다.

함께	함께/MAG
대화를	대화/NNG+를/JKO
주고받은	주고받/VV+은/ETM
학생	학생/NNG
중	중/NNB
유씨가	유/NNP+씨/NNB+가/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
학생이	학생/NNG+이/JKS
선거관리위원회에	선거/NNG+관리/NNG+위원회/NNG+에/JKB
해당	해당/NNG
메신저	메신저/NNG
내용을	내용/NNG+을/JKO
제보한	제보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.274.10.1
총학생회 선관위 관계자는 “학생 자치와 총학생회 선거에 개입한 학교가 우선 공식 사과하고 관련자를 처벌해야 한다”고 말했다.

총학생회	총학생회/NNG
선관위	선관위/NNG
관계자는	관계자/NNG+는/JX
“학생	“/SS+학생/NNG
자치와	자치/NNG+와/JC
선거에	선거/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
학교가	학교/NNG+가/JKS
우선	우선/MAG
공식	공식/NNG
사과하고	사과/NNG+하/XSV+고/EC
관련자를	관련자/NNG+를/JKO
처벌해야	처벌/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.274.10.2
김씨는 연락이 닿지 않았고 학생처 관계자는 “문제가 있다고는 생각한다.

김씨는	김/NNP+씨/NNB+는/JX
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않았고	않/VX+았/EP+고/EC
학생처	학생처/NNG
관계자는	관계자/NNG+는/JX
“문제가	“/SS+문제/NNG+가/JKS
있다고는	있/VA+다고/EC+는/JX
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.274.10.3
현재 진상조사가 진행되고 있는 만큼 공식적으로는 할 말이 없다”고 말했다.

현재	현재/MAG
진상조사가	진상/NNG+조사/NNG+가/JKS
진행되고	진행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
공식적으로는	공식/NNG+적/XSN+으로/JKB+는/JX
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


