# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.223
metadata : {}


# id : NWRW1800000037.223.1.1
[지금이 제철]<63>전남 고흥 유자

[지금이	[/SS+지금/NNG+이/JKS
전남도가 유자명인으로 선정한 농장주 박태화 씨(55)는 “유자는 찬 바람이 쏠쏠 부는 11월이 돼야 상큼한 신맛과 달달한 단맛을 제대로 낸다”며 “유자는 껍질이 두껍고 울퉁불퉁해야 품질이 좋은 것”이라고 말했다.

전남도가	전남도/NNP+가/JKS
유자명인으로	유자/NNG+명인/NNG+으로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
농장주	농장주/NNG
박태화	박태화/NNP
씨(55)는	씨/NNB+(/SS+55/SN+)/SS+는/JX
“유자는	“/SS+유자/NNG+는/JX
찬	차/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
쏠쏠	쏠쏠/MAG
부는	불/VV+는/ETM
11월이	11/SN+월/NNB+이/JKC
돼야	되/VV+어야/EC
상큼한	상큼하/VA+ㄴ/ETM
신맛과	신맛/NNG+과/JKB
달달한	달달하/VA+ㄴ/ETM
단맛을	단맛/NNG+을/JKO
제대로	제대로/MAG
낸다”며	내/VV+ㄴ다/EF+”/SS+며/EC
껍질이	껍질/NNG+이/JKS
두껍고	두껍/VA+고/EC
울퉁불퉁해야	울퉁불퉁/MAG+하/XSA+아야/EC
품질이	품질/NNG+이/JKS
좋은	좋/VA+은/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.223.5.1
전남 고흥의 유자 재배면적은 455ha로 전국 면적 1500ha의 3분의 1을 차지한다.

전남	전남/NNP
고흥의	고흥/NNP+의/JKG
유자	유자/NNG
재배면적은	재배/NNG+면적/NNG+은/JX
455ha로	455/SN+ha/SW+로/JKB
전국	전국/NNG
면적	면적/NNG
1500ha의	1500/SN+ha/SW+의/JKG
3분의	3/SN+분/XSN+의/JKG
1을	1/SN+을/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.5.2
농가 1440곳에서 연간 생산하는 유자량은 5000t으로 전국 생산량의 39%다.

농가	농가/NNG
1440곳에서	1440/SN+곳/NNG+에서/JKB
연간	연간/NNG
생산하는	생산/NNG+하/XSV+는/ETM
유자량은	유자/NNG+량/NNG+은/JX
5000t으로	5000/SN+t/SW+으로/JKB
전국	전국/NNG
생산량의	생산량/NNG+의/JKG
39%다.	39/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000037.223.5.3
이들 중 900여 농가는 껍질을 주로 먹는 특성을 감안해 친환경 재배를 하고 있다.

이들	이/NP+들/XSN
중	중/NNB
900여	900/SN+여/XSN
농가는	농가/NNG+는/JX
껍질을	껍질/NNG+을/JKO
주로	주로/MAG
먹는	먹/VV+는/ETM
특성을	특성/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
친환경	친/XPN+환경/NNG
재배를	재배/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.5.4
유자나무는 연평균 기온이 13도 이상 되는 곳에서 자란다.

유자나무는	유자나무/NNG+는/JX
연평균	연평균/NNG
기온이	기온/NNG+이/JKS
13도	13/SN+도/JX
이상	이상/NNG
되는	되/VV+는/ETM
곳에서	곳/NNG+에서/JKB
자란다.	자라/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.5.5
영하 10도를 밑도는 추위에는 서너 시간 만에 가지가 고사한다.

영하	영하/NNG
10도를	10/SN+도/NNB+를/JKO
밑도는	밑돌/VV+는/ETM
추위에는	추위/NNG+에/JKB+는/JX
서너	서너/MMN
시간	시간/NNB
만에	만/NNB+에/JKB
가지가	가지/NNG+가/JKS
고사한다.	고사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.6.1
남해안에서 툭 튀어나온 전남 고흥반도는 연평균 기온이 13.7도이며 일조량도 전국 평균보다 241시간이 많다.

남해안에서	남해안/NNP+에서/JKB
툭	툭/MAG
튀어나온	튀어나오/VV+ㄴ/ETM
전남	전남/NNP
고흥반도는	고흥반도/NNP+는/JX
연평균	연평균/NNG
기온이	기온/NNG+이/JKS
13.7도이며	13/SN+./SP+7/SN+도/NNB+이/VCP+며/EC
일조량도	일조량/NNG+도/JX
전국	전국/NNG
평균보다	평균/NNG+보다/JKB
241시간이	241/SN+시간/NNB+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.223.6.2
반도라는 특성 덕분에 삼면에서 해풍이 불어온다.

반도라는	반도/NNG+이/VCP+라는/ETM
특성	특성/NNG
덕분에	덕분/NNG+에/JKB
삼면에서	삼면/NNG+에서/JKB
해풍이	해풍/NNG+이/JKS
불어온다.	불어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.6.3
류인석 고흥군 농업기술센터소장은 “고흥유자는 온화한 기온에다 사방에서 부는 해풍 때문에 향기와 맛이 진하다”고 말했다.

류인석	류인석/NNP
고흥군	고흥군/NNP
농업기술센터소장은	농업/NNG+기술/NNG+센터/NNG+소장/NNG+은/JX
“고흥유자는	“/SS+고흥/NNP+유자/NNG+는/JX
온화한	온화하/VA+ㄴ/ETM
기온에다	기온/NNG+에다/JKB
사방에서	사방/NNG+에서/JKB
부는	불/VV+는/ETM
해풍	해풍/NNG
때문에	때문/NNB+에/JKB
향기와	향기/NNG+와/JC
맛이	맛/NNG+이/JKS
진하다”고	진하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.223.7.1
유자는 중국 남부 윈난(雲南) 성 등이 원산지지만 주로 한국과 일본에서 재배된다.

유자는	유자/NNG+는/JX
중국	중국/NNP
남부	남부/NNG
윈난(雲南)	윈난/NNP+(/SS+雲南/SH+)/SS
성	성/NNG
등이	등/NNB+이/JKS
원산지지만	원산지/NNG+이/VCP+지만/EC
주로	주로/MAG
한국과	한국/NNP+과/JC
일본에서	일본/NNP+에서/JKB
재배된다.	재배/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.7.2
장보고가 신라 문성왕 2년 중국 당나라 상인에게 얻어와 국내에 유입됐다는 이야기가 전해진다.

장보고가	장보고/NNP+가/JKS
신라	신라/NNP
문성왕	문성/NNP+왕/NNG
2년	2/SN+년/NNB
중국	중국/NNP
당나라	당나라/NNP
상인에게	상인/NNG+에게/JKB
얻어와	얻/VV+어/EC+오/VX+아/EC
국내에	국내/NNG+에/JKB
유입됐다는	유입/NNG+되/XSV+었/EP+다는/ETM
이야기가	이야기/NNG+가/JKS
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.223.7.3
이후 조선시대 역사서인 세종실록(세종대왕 8년)에 전라도, 경상도에 유자를 많이 심게 했다고 적혀 있다.

이후	이후/NNG
조선시대	조선시대/NNG
역사서인	역사서/NNG+이/VCP+ㄴ/ETM
세종실록(세종대왕	세종실록/NNP+(/SS+세종/NNP+대왕/NNG
8년)에	8/SN+년/NNB+)/SS+에/JKB
전라도,	전라도/NNP+,/SP
경상도에	경상도/NNP+에/JKB
유자를	유자/NNG+를/JKO
많이	많이/MAG
심게	심/VV+게/EC
했다고	하/VX+았/EP+다고/EC
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.8.1
유자나무는 심은 지 12년이 지나야 꽃이 피고 15년이 돼야 열매를 맺는다.

유자나무는	유자나무/NNG+는/JX
심은	심/VV+은/ETM
지	지/NNB
12년이	12/SN+년/NNB+이/JKS
지나야	지나/VV+아야/EC
꽃이	꽃/NNG+이/JKS
피고	피/VV+고/EC
15년이	15/SN+년/NNB+이/JKC
돼야	되/VV+어야/EC
열매를	열매/NNG+를/JKO
맺는다.	맺/VV+는다/EF+./SF


# id : NWRW1800000037.223.8.2
옛 선조들은 유자나무를 과일수보다 조경용으로 주로 키웠지만 ‘유자는 얼었어도 선비 손에 놀고 탱자는 잘생겨도 거지 손에 논다’는 속담이 있을 정도로 식용이 가능한 유자와 식용할 수 없는 탱자는 급이 다르게 취급됐다.

옛	옛/MMA
선조들은	선조/NNG+들/XSN+은/JX
유자나무를	유자나무/NNG+를/JKO
과일수보다	과일/NNG+수/NNG+보다/JKB
조경용으로	조경/NNG+용/XSN+으로/JKB
주로	주로/MAG
키웠지만	키우/VV+었/EP+지만/EC
‘유자는	‘/SS+유자/NNG+는/JX
얼었어도	얼/VV+었/EP+어도/EC
선비	선비/NNG
손에	손/NNG+에/JKB
놀고	놀/VV+고/EC
탱자는	탱자/NNG+는/JX
잘생겨도	잘생기/VV+어도/EC
거지	거지/NNG
논다’는	놀/VV+ㄴ다/EF+’/SS+는/ETM
속담이	속담/NNG+이/JKS
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
식용이	식용/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
유자와	유자/NNG+와/JC
식용할	식용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
급이	급/NNG+이/JKS
다르게	다르/VA+게/EC
취급됐다.	취급/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.223.9.1
고흥에서 가장 오래된 유자나무는 수령 140년 정도다.

고흥에서	고흥/NNP+에서/JKB
가장	가장/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
유자나무는	유자나무/NNG+는/JX
수령	수령/NNG
140년	140/SN+년/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.223.9.2
고흥에서 유자를 과실수로 본격적으로 심기 시작한 것은 1980년대 초반이다.

고흥에서	고흥/NNP+에서/JKB
유자를	유자/NNG+를/JKO
과실수로	과실수/NNG+로/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
심기	심/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1980년대	1980/SN+년대/NNB
초반이다.	초반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.223.9.3
탱자나무 뿌리에 유자나무 가지를 접목시키는 방법이 도입된 이후다.

탱자나무	탱자나무/NNG
뿌리에	뿌리/NNG+에/JKB
유자나무	유자나무/NNG
가지를	가지/NNG+를/JKO
접목시키는	접목/NNG+시키/XSV+는/ETM
방법이	방법/NNG+이/JKS
도입된	도입/NNG+되/XSV+ㄴ/ETM
이후다.	이후/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.223.9.4
탱자 뿌리를 접목시킨 유자나무는 추위에 강하고 심은 지 4∼5년 만에 열매를 맺는다.

탱자	탱자/NNG
뿌리를	뿌리/NNG+를/JKO
접목시킨	접목/NNG+시키/XSV+ㄴ/ETM
유자나무는	유자나무/NNG+는/JX
추위에	추위/NNG+에/JKB
강하고	강하/VA+고/EC
심은	심/VV+은/ETM
지	지/NNB
4∼5년	4/SN+∼/SO+5/SN+년/NNB
만에	만/NNB+에/JKB
열매를	열매/NNG+를/JKO
맺는다.	맺/VV+는다/EF+./SF


# id : NWRW1800000037.223.10.1
유자는 신맛이 강해 알맹이를 잘 먹지 않는다.

유자는	유자/NNG+는/JX
신맛이	신맛/NNG+이/JKS
강해	강하/VA+아/EC
알맹이를	알맹이/NNG+를/JKO
잘	잘/MAG
먹지	먹/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.223.10.2
우리나라에선 유자 껍질과 설탕을 일대일 비율로 섞어 유자청을 만든 뒤 차로 마시는 것이 주류를 이룬다.

우리나라에선	우리나라/NNG+에서/JKB+ㄴ/JX
유자	유자/NNG
껍질과	껍질/NNG+과/JC
설탕을	설탕/NNG+을/JKO
일대일	일대일/NNG
비율로	비율/NNG+로/JKB
섞어	섞/VV+어/EC
유자청을	유자청/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
차로	차/NNG+로/JKB
마시는	마시/VV+는/ETM
것이	것/NNB+이/JKS
주류를	주류/NNG+를/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.223.10.3
요즘은 일본처럼 유자즙을 음식 소스용으로 만들거나 유자주스, 유자막걸리, 유자과자 등 가공식품이 나오고 있다.

요즘은	요즘/NNG+은/JX
일본처럼	일본/NNP+처럼/JKB
유자즙을	유자즙/NNG+을/JKO
음식	음식/NNG
소스용으로	소스/NNG+용/XSN+으로/JKB
만들거나	만들/VV+거나/EC
유자주스,	유자주스/NNG+,/SP
유자막걸리,	유자막걸리/NNG+,/SP
유자과자	유자/NNG+과자/NNG
등	등/NNB
가공식품이	가공식품/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.10.4
송재철 에덴농원 사장은 “지난해 냉해로 올해 수확량이 평년보다 20% 정도 줄어 kg당 2100원 수준”이라고 말했다.

송재철	송재철/NNP
에덴농원	에덴/NNP+농원/NNG
사장은	사장/NNG+은/JX
“지난해	“/SS+지난해/NNG
냉해로	냉해/NNG+로/JKB
올해	올해/NNG
수확량이	수확량/NNG+이/JKS
평년보다	평년/NNG+보다/JKB
20%	20/SN+%/SW
정도	정도/NNG
줄어	줄/VV+어/EC
kg당	kg/SW+당/XSN
2100원	2100/SN+원/NNB
수준”이라고	수준/NNG+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.223.11.1
고흥 두원농협 등 가공공장 3곳은 유자청을 중국, 일본, 미국, 유럽 등에 수출하고 있다.

고흥	고흥/NNP
두원농협	두원농협/NNP
등	등/NNB
가공공장	가공/NNG+공장/NNG
3곳은	3/SN+곳/NNG+은/JX
유자청을	유자청/NNG+을/JKO
중국,	중국/NNP+,/SP
일본,	일본/NNP+,/SP
미국,	미국/NNP+,/SP
유럽	유럽/NNP
등에	등/NNB+에/JKB
수출하고	수출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.11.2
황금색을 좋아하는 중국 사람들에게 유자차가 큰 인기를 끌면서 중국 수출이 크게 늘고 있다.

황금색을	황금색/NNG+을/JKO
좋아하는	좋아하/VV+는/ETM
중국	중국/NNP
사람들에게	사람/NNG+들/XSN+에게/JKB
유자차가	유자차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌면서	끌/VV+면서/EC
수출이	수출/NNG+이/JKS
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.223.11.3
김은식 전남도 농업기술원 연구관은 “유자는 비타민C가 많아 감기 예방에 효과가 있고 향기가 정신을 맑게 한다. 항암 효과도 있으며 혈압 안정에도 도움이 된다”고 말했다.

김은식	김은식/NNP
전남도	전남도/NNP
농업기술원	농업/NNG+기술원/NNG
연구관은	연구관/NNG+은/JX
“유자는	“/SS+유자/NNG+는/JX
비타민C가	비타민/NNG+C/SL+가/JKS
많아	많/VA+아/EC
감기	감기/NNG
예방에	예방/NNG+에/JKB
효과가	효과/NNG+가/JKS
있고	있/VA+고/EC
향기가	향기/NNG+가/JKS
정신을	정신/NNG+을/JKO
맑게	맑/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF
항암	항암/NNG
효과도	효과/NNG+도/JX
있으며	있/VA+으며/EC
혈압	혈압/NNG
안정에도	안정/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


