# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.370
metadata : {}


# id : NWRW1800000045.370.1.1
서비스업체 수도권 産團 입주 허용

서비스업체	서비스업체/NNG
또 저수지 상류 지역에 공장을 짓도록 허용하는 등 수도권 규제 완화의 효과가 있는 규제 개혁을 추진한다.

또	또/MAG
저수지	저수지/NNG
상류	상류/NNG
지역에	지역/NNG+에/JKB
공장을	공장/NNG+을/JKO
짓도록	짓/VV+도록/EC
허용하는	허용/NNG+하/XSV+는/ETM
등	등/NNB
수도권	수도/NNG+권/XSN
규제	규제/NNG
완화의	완화/NNG+의/JKG
효과가	효과/NNG+가/JKS
있는	있/VA+는/ETM
개혁을	개혁/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.370.5.1
시행령 개정 등을 통해 이런 방안이 도입되면 지방뿐 아니라 수도권도 혜택을 본다.

시행령	시행령/NNG
개정	개정/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이런	이런/MMD
방안이	방안/NNG+이/JKS
도입되면	도입/NNG+되/XSV+면/EC
지방뿐	지방/NNG+뿐/JX
아니라	아니/VCN+라/EC
수도권도	수도/NNG+권/XSN+도/JX
혜택을	혜택/NNG+을/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.370.5.2
정부가 핵심 수도권 규제가 담긴 수도권정비계획법을 본격적으로 뜯어고치기에 앞서 파장이 작은 부분을 중심으로 ‘규제 완화 전초전’ 성격의 대책을 내놓은 것이라는 분석이 나온다.

정부가	정부/NNG+가/JKS
핵심	핵심/NNG
수도권	수도/NNG+권/XSN
규제가	규제/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
수도권정비계획법을	수도/NNG+권/XSN+정비/NNG+계획법/NNG+을/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
뜯어고치기에	뜯어고치/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
파장이	파장/NNG+이/JKS
작은	작/VA+은/ETM
부분을	부분/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
‘규제	‘/SS+규제/NNG
완화	완화/NNG
전초전’	전초전/NNG+’/SS
성격의	성격/NNG+의/JKG
대책을	대책/NNG+을/JKO
내놓은	내놓/VV+은/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.370.6.1
정부는 30일 황교안 국무총리 주재로 경기 반월·시화산업단지에서 ‘제1차 규제개혁점검회의 겸 국가정책조정회의’를 열어 이런 내용의 ‘공장 신증설 및 산단 규제 완화 방안’을 내놨다.

정부는	정부/NNG+는/JX
30일	30/SN+일/NNB
황교안	황교안/NNP
국무총리	국무총리/NNG
주재로	주재/NNG+로/JKB
경기	경기/NNP
반월·시화산업단지에서	반월/NNP+·/SP+시화산업단지/NNP+에서/JKB
‘제1차	‘/SS+제/XPN+1/SN+차/NNB
규제개혁점검회의	규제/NNG+개혁/NNG+점검/NNG+회의/NNG
겸	겸/NNB
국가정책조정회의’를	국가/NNG+정책/NNG+조정/NNG+회의/NNG+’/SS+를/JKO
열어	열/VV+어/EC
이런	이런/MMD
내용의	내용/NNG+의/JKG
‘공장	‘/SS+공장/NNG
신증설	신/XPN+증설/NNG
및	및/MAG
산단	산단/NNG
규제	규제/NNG
완화	완화/NNG
방안’을	방안/NNG+’/SS+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.370.6.2
이 방안에 따르면 이르면 연말부터 전국 1074개 산단에서 제조업, 엔지니어링 관련업, 소프트웨어업 등 20개 기존 업종 외에 광고대행업, 콜센터업, 옥외광고업 등 5개 서비스 업종의 기업이 산단 용지를 분양받거나 빌릴 수 있다.

이	이/MMD
방안에	방안/NNG+에/JKB
따르면	따르/VV+면/EC
이르면	이르/VA+면/EC
연말부터	연말/NNG+부터/JX
전국	전국/NNG
1074개	1074/SN+개/NNB
산단에서	산단/NNG+에서/JKB
제조업,	제조업/NNG+,/SP
엔지니어링	엔지니어링/NNG
관련업,	관련업/NNG+,/SP
소프트웨어업	소프트웨어업/NNG
등	등/NNB
20개	20/SN+개/NNB
기존	기존/NNG
업종	업종/NNG
외에	외/NNB+에/JKB
광고대행업,	광고/NNG+대행업/NNG+,/SP
콜센터업,	콜센터업/NNG+,/SP
옥외광고업	옥외/NNG+광고업/NNG
5개	5/SN+개/NNB
서비스	서비스/NNG
업종의	업종/NNG+의/JKG
기업이	기업/NNG+이/JKS
산단	산단/NNG
용지를	용지/NNG+를/JKO
분양받거나	분양/NNG+받/XSV+거나/EC
빌릴	빌리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.370.6.3
이렇게 되면 수도권에서 업무용 땅을 마련할 수 없었던 서비스 업체들이 서울 경기 인천 지역 142개 산단에 입주할 수 있다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
수도권에서	수도/NNG+권/XSN+에서/JKB
업무용	업무/NNG+용/XSN
땅을	땅/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
서비스	서비스/NNG
업체들이	업체/NNG+들/XSN+이/JKS
서울	서울/NNP
경기	경기/NNP
인천	인천/NNP
지역	지역/NNG
142개	142/SN+개/NNB
산단에	산단/NNG+에/JKB
입주할	입주/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.370.7.1
또 저수지 상류에서 500m 이내인 지역에 오폐수 관리를 철저히 하는 조건으로 공장 신축이 허용돼 전국적으로 공장이 들어설 수 있는 땅이 689만 m² 추가된다.

또	또/MAG
저수지	저수지/NNG
상류에서	상류/NNG+에서/JKB
500m	500/SN+m/SW
이내인	이내/NNG+이/VCP+ㄴ/ETM
지역에	지역/NNG+에/JKB
오폐수	오폐수/NNG
관리를	관리/NNG+를/JKO
철저히	철저히/MAG
하는	하/VV+는/ETM
조건으로	조건/NNG+으로/JKB
공장	공장/NNG
신축이	신축/NNG+이/JKS
허용돼	허용/NNG+되/XSV+어/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
공장이	공장/NNG+이/JKS
들어설	들어서/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
땅이	땅/NNG+이/JKS
689만	689/SN+만/NR
m²	m²/SW
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.370.7.2
이 중 수도권 공장용지는 1만 m²에 불과하지만 500m² 미만 소규모 공장이 추가로 들어설 수 있게 돼 수도권에 공장 신설의 단초가 마련됐다는 점에서 상징적 의미가 크다.

이	이/MMD
중	중/NNB
수도권	수도/NNG+권/XSN
공장용지는	공장용지/NNG+는/JX
1만	1/SN+만/NR
m²에	m²/SW+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
500m²	500/SN+m²/SW
미만	미만/NNG
소규모	소/XPN+규모/NNG
공장이	공장/NNG+이/JKS
추가로	추가/NNG+로/JKB
들어설	들어서/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
수도권에	수도/NNG+권/XSN+에/JKB
공장	공장/NNG
신설의	신설/NNG+의/JKG
단초가	단초/NNG+가/JKS
마련됐다는	마련/NNG+되/XSV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
상징적	상징/NNG+적/XSN
의미가	의미/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000045.370.7.3
현재 수도권에서는 산단 내 공장 신증설만 제한적으로 허용된다.

현재	현재/MAG
수도권에서는	수도/NNG+권/XSN+에서/JKB+는/JX
산단	산단/NNG
내	내/NNB
공장	공장/NNG
신증설만	신/XPN+증설/NNG+만/JX
제한적으로	제한/NNG+적/XSN+으로/JKB
허용된다.	허용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.370.8.1
정부는 이번 조치를 통해 지방에 대규모 규제 완화 혜택을 부여함으로써 향후 수도권 규제 완화 과정에서 지방과 수도권의 형평성 논란을 불식시킬 수 있을 것으로 기대하고 있다.

정부는	정부/NNG+는/JX
이번	이번/NNG
조치를	조치/NNG+를/JKO
통해	통하/VV+아/EC
지방에	지방/NNG+에/JKB
대규모	대/XPN+규모/NNG
규제	규제/NNG
완화	완화/NNG
혜택을	혜택/NNG+을/JKO
부여함으로써	부여/NNG+하/XSV+ㅁ/ETN+으로써/JKB
향후	향후/NNG
수도권	수도/NNG+권/XSN
과정에서	과정/NNG+에서/JKB
지방과	지방/NNG+과/JKB
수도권의	수도/NNG+권/XSN+의/JKG
형평성	형평/NNG+성/XSN
논란을	논란/NNG+을/JKO
불식시킬	불식/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


