# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.414
metadata : {}


# id : NWRW1800000040.414.1.1
새누리-민주 중진 10인 ‘정치 복원’ 모임

새누리-민주	새누리/NNP+-/SO+민주/NNP
회동이	회동/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
“상대방에	“/SS+상대방/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
서로	서로/MAG
부족하단	부족/NNG+하/XSA+단/ETM
걸	거/NNB+ㄹ/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.414.6.2
한가지 시각, 한가지 사안을 놓고 양당이 다르게 생각한다는 걸 이해하고 역지사지해야 한다는 데 의견을 모았다”고 말했다.

한가지	한/MMN+가지/NNB
시각,	시각/NNG+,/SP
사안을	사안/NNG+을/JKO
놓고	놓/VV+고/EC
양당이	양당/NNG+이/JKS
다르게	다르/VA+게/EC
생각한다는	생각/NNG+하/XSV+ㄴ다는/ETM
걸	거/NNB+ㄹ/JKO
이해하고	이해/NNG+하/XSV+고/EC
역지사지해야	역지사지/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모았다”고	모으/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.414.6.3
이날 회동을 제안한 우윤근 민주당 의원도 “여야간에 자주 만나서 소통을 늘리고 정치를 복원하자는 뜻에서 마련한 자리”라며 “협상에 임하는 여야 지도부가 힘을 받게 힘을 보태자고 의견을 모았다”고 밝혔다.

이날	이날/NNG
회동을	회동/NNG+을/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
우윤근	우윤근/NNP
민주당	민주당/NNP
의원도	의원/NNG+도/JX
“여야간에	“/SS+여야/NNG+간/NNB+에/JKB
자주	자주/MAG
만나서	만나/VV+아서/EC
소통을	소통/NNG+을/JKO
늘리고	늘리/VV+고/EC
정치를	정치/NNG+를/JKO
복원하자는	복원/NNG+하/XSV+자는/ETM
뜻에서	뜻/NNG+에서/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
자리”라며	자리/NNG+”/SS+이/VCP+라며/EC
“협상에	“/SS+협상/NNG+에/JKB
임하는	임하/VV+는/ETM
여야	여야/NNG
지도부가	지도부/NNG+가/JKS
힘을	힘/NNG+을/JKO
받게	받/VV+게/EC
보태자고	보태/VV+자고/EC
의견을	의견/NNG+을/JKO
모았다”고	모으/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.414.6.4
두 의원은 또 전날 민주당이 제안한 국정원 개혁특위와 특검도입 문제 등을 논의하기 위한 ‘4자협의체’와 예산안 심사 지연 등 모든 현안에 대해서도 자유롭게 의견을 주고받았다고 전했다.

두	두/MMN
의원은	의원/NNG+은/JX
또	또/MAG
전날	전날/NNG
민주당이	민주당/NNP+이/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
국정원	국정원/NNG
개혁특위와	개혁/NNG+특위/NNG+와/JC
특검도입	특검/NNG+도입/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
‘4자협의체’와	‘/SS+4/SN+자/NNB+협의체/NNG+’/SS+와/JC
예산안	예산안/NNG
심사	심사/NNG
지연	지연/NNG
등	등/NNB
모든	모든/MMN
현안에	현안/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
자유롭게	자유/NNG+롭/XSA+게/EC
의견을	의견/NNG+을/JKO
주고받았다고	주고받/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.414.7.1
여야 중진들은 여야간 소통의 통로를 활성화하고, 이날 중진 회동에서 나온 얘기를 새누리당과 민주당 지도부에 전달하기 위한 자리를 마련하는 한편, 추가 회동도 조만간 열어 모임을 이어가기로 했다.

여야	여야/NNG
중진들은	중진/NNG+들/XSN+은/JX
여야간	여야/NNG+간/NNB
소통의	소통/NNG+의/JKG
통로를	통로/NNG+를/JKO
활성화하고,	활성/NNG+화/XSN+하/XSV+고/EC+,/SP
이날	이날/NNG
중진	중진/NNG
회동에서	회동/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
새누리당과	새누리당/NNP+과/JC
민주당	민주당/NNP
지도부에	지도부/NNG+에/JKB
전달하기	전달/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
자리를	자리/NNG+를/JKO
마련하는	마련/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
추가	추가/NNG
회동도	회동/NNG+도/JX
조만간	조만간/MAG
열어	열/VV+어/EC
모임을	모임/NNG+을/JKO
이어가기로	잇/VV+어/EC+가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.414.7.2
이날 회동에는 새누리당에서 이병석 남경필 송광호 정병국 김태환 의원이, 민주당에서 박병석 우윤근 김성곤 원혜영 유인태 의원이 각각 참석했다.

이날	이날/NNG
회동에는	회동/NNG+에/JKB+는/JX
새누리당에서	새누리당/NNP+에서/JKB
이병석	이병석/NNP
남경필	남경필/NNP
송광호	송광호/NNP
정병국	정병국/NNP
김태환	김태환/NNP
의원이,	의원/NNG+이/JKS+,/SP
민주당에서	민주당/NNP+에서/JKB
박병석	박병석/NNP
우윤근	우윤근/NNP
김성곤	김성곤/NNP
원혜영	원혜영/NNP
유인태	유인태/NNP
의원이	의원/NNG+이/JKS
각각	각각/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


