# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.222
metadata : {}


# id : NWRW1800000036.222.1.1
“언니들이 날 왕따…학원이 지옥 같아요”

“언니들이	“/SS+언니/NNG+들/XSN+이/JKS
수준별로	수준/NNG+별/XSN+로/JKB
서열화하는	서열/NNG+화/XSN+하/XSV+는/ETM
영어나	영어/NNP+나/JC
수학	수학/NNG
전문학원에서	전문/NNG+학원/NNG+에서/JKB
생기는	생기/VV+는/ETM
왕따도	왕따/NNG+도/JX
같은	같/VA+은/ETM
맥락이다.	맥락/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.222.7.2
한 학생은 포털사이트 게시판에 올린 글에서 “하위권 반에서 상위권 반으로 올라갔는데 애들이 뚱뚱하다고 놀리면서 같이 놀아주지 않는다”고 하소연했다.

한	한/MMN
학생은	학생/NNG+은/JX
포털사이트	포털/NNG+사이트/NNG
게시판에	게시판/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
“하위권	“/SS+하위/NNG+권/XSN
반에서	반/NNG+에서/JKB
상위권	상위/NNG+권/XSN
반으로	반/NNG+으로/JKB
올라갔는데	올라가/VV+았/EP+는데/EC
애들이	애/NNG+들/XSN+이/JKS
뚱뚱하다고	뚱뚱/MAG+하/XSA+다고/EC
놀리면서	놀리/VV+면서/EC
같이	같이/MAG
놀아주지	놀/VV+아/EC+주/VX+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.222.8.1
학교폭력의 피해가 학원으로 이어지고 확산되는 일은 매우 흔하다.

학교폭력의	학교/NNG+폭력/NNG+의/JKG
피해가	피해/NNG+가/JKS
학원으로	학원/NNG+으로/JKB
이어지고	이어지/VV+고/EC
확산되는	확산/NNG+되/XSV+는/ETM
일은	일/NNG+은/JX
매우	매우/MAG
흔하다.	흔하/VA+다/EF+./SF


# id : NWRW1800000036.222.8.2
서울 강남구 대치동의 한 학원 강사는 “모르는 애가 학원에 왔는데 애들이 그 아이가 ‘ㄱ초 전따(전교에서 따돌림당하는 학생)’라고 알려줬다”며 “다른 학교 아이들이 모이는 학원에서도 왕따가 되기 때문에 애들이 더 힘들어하는 것 같다”고 말했다.

서울	서울/NNP
강남구	강남구/NNP
대치동의	대치동/NNP+의/JKG
한	한/MMN
학원	학원/NNG
강사는	강사/NNG+는/JX
“모르는	“/SS+모르/VV+는/ETM
애가	애/NNG+가/JKS
학원에	학원/NNG+에/JKB
왔는데	오/VV+았/EP+는데/EC
애들이	애/NNG+들/XSN+이/JKS
그	그/MMD
아이가	아이/NNG+가/JKS
‘ㄱ초	‘/SS+ㄱ/NNG+초/NNG
전따(전교에서	전따/NNG+(/SS+전교/NNG+에서/JKB
따돌림당하는	따돌림/NNG+당하/XSV+는/ETM
학생)’라고	학생/NNG+)/SS+’/SS+라고/JKQ
알려줬다”며	알리/VV+어/EC+주/VX+었/EP+다/EF+”/SS+며/EC
“다른	“/SS+다른/MMD
학교	학교/NNG
아이들이	아이/NNG+들/XSN+이/JKS
모이는	모이/VV+는/ETM
학원에서도	학원/NNG+에서/JKB+도/JX
왕따가	왕따/NNG+가/JKC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
힘들어하는	힘들/VA+어/EC+하/VX+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


