# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.143
metadata : {}


# id : NWRW1800000046.143.1.1
"惡夢의 순간, 자식처럼 돌봐줘 감사해요"

"惡夢의	"/SS+惡夢/SH+의/JKG
# id : NWRW1800000046.143.3.3
주민들은 "큰 사고를 극복했으니 앞으로 나라의 큰 일꾼이 되도록 응원하겠다"고 격려했다.

주민들은	주민/NNG+들/XSN+은/JX
"큰	"/SS+크/VA+ㄴ/ETM
사고를	사고/NNG+를/JKO
극복했으니	극복/NNG+하/XSV+았/EP+으니/EC
앞으로	앞/NNG+으로/JKB
나라의	나라/NNG+의/JKG
큰	크/VA+ㄴ/ETM
일꾼이	일/NNG+꾼/XSN+이/JKC
되도록	되/VV+도록/EC
응원하겠다"고	응원/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.4.1
이날 오후 1시 30분 단원고에 도착한 조도면 주민들은 기다리고 있던 생존 학생들로부터 노란 카네이션을 받았다.

이날	이날/NNG
오후	오후/NNG
1시	1/SN+시/NNB
30분	30/SN+분/NNB
단원고에	단원고/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
조도면	조도면/NNP
주민들은	주민/NNG+들/XSN+은/JX
기다리고	기다리/VV+고/EC
있던	있/VX+던/ETM
생존	생존/NNG
학생들로부터	학생/NNG+들/XSN+로부터/JKB
노란	노랗/VA+ㄴ/ETM
카네이션을	카네이션/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.4.2
학생들은 "감사합니다"라며 머리를 숙였고, 주민들은 학생들 손을 잡거나 어깨를 두드려줬다.

학생들은	학생/NNG+들/XSN+은/JX
"감사합니다"라며	"/SS+감사/NNG+하/XSV+ㅂ니다/EF+"/SS+이/VCP+라며/EC
머리를	머리/NNG+를/JKO
숙였고,	숙이/VV+었/EP+고/EC+,/SP
주민들은	주민/NNG+들/XSN+은/JX
학생들	학생/NNG+들/XSN
손을	손/NNG+을/JKO
잡거나	잡/VV+거나/EC
어깨를	어깨/NNG+를/JKO
두드려줬다.	두드리/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.143.4.3
주민들은 그대로 보존돼 있는 2학년 교실을 둘러보며 쉽사리 발걸음을 떼지 못했다.

주민들은	주민/NNG+들/XSN+은/JX
그대로	그대로/MAG
보존돼	보존/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
2학년	2/SN+학년/NNG
교실을	교실/NNG+을/JKO
둘러보며	둘러보/VV+며/EC
쉽사리	쉽사리/MAG
발걸음을	발걸음/NNG+을/JKO
떼지	떼/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.143.4.4
책상 위에 있는 희생 학생들의 사진 등 유품, 가족의 편지 등을 보며 눈가를 닦기도 했다.

책상	책상/NNG
위에	위/NNG+에/JKB
있는	있/VV+는/ETM
희생	희생/NNG
학생들의	학생/NNG+들/XSN+의/JKG
사진	사진/NNG
등	등/NNB
유품,	유품/NNG+,/SP
가족의	가족/NNG+의/JKG
편지	편지/NNG
등을	등/NNB+을/JKO
보며	보/VV+며/EC
눈가를	눈가/NNG+를/JKO
닦기도	닦/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.143.5.1
단원고는 시청각실에서 주민과 생존 학생들이 정을 나누는 자리도 마련했다.

단원고는	단원고/NNP+는/JX
시청각실에서	시청각실/NNG+에서/JKB
주민과	주민/NNG+과/JC
생존	생존/NNG
학생들이	학생/NNG+들/XSN+이/JKS
정을	정/NNG+을/JKO
나누는	나누/VV+는/ETM
자리도	자리/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.5.2
추교영 교장은 "우리 아이들이 슬기롭게 상처를 치유하기 바라며, 여기 오신 어른들이 초석을 놓아주셔서 감사드린다"고 했다.

추교영	추교영/NNP
교장은	교장/NNG+은/JX
"우리	"/SS+우리/NP
아이들이	아이/NNG+들/XSN+이/JKS
슬기롭게	슬기/NNG+롭/XSA+게/EC
상처를	상처/NNG+를/JKO
치유하기	치유/NNG+하/XSV+기/ETN
바라며,	바라/VV+며/EC+,/SP
여기	여기/NP
오신	오/VV+시/EP+ㄴ/ETM
어른들이	어른/NNG+들/XSN+이/JKS
초석을	초석/NNG+을/JKO
놓아주셔서	놓아주/VV+시/EP+어서/EC
감사드린다"고	감사/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.5.3
생존 학생을 대표한 김모군은 "우리가 상황을 극복하는 데 많은 도움을 주셨다. 은혜를 잊지 않고 살겠다"고 했다.

생존	생존/NNG
학생을	학생/NNG+을/JKO
대표한	대표/NNG+하/XSV+ㄴ/ETM
김모군은	김/NNP+모/NP+군/NNB+은/JX
"우리가	"/SS+우리/NP+가/JKS
상황을	상황/NNG+을/JKO
극복하는	극복/NNG+하/XSV+는/ETM
데	데/NNB
많은	많/VA+은/ETM
도움을	도움/NNG+을/JKO
주셨다.	주/VV+시/EP+었/EP+다/EF+./SF
은혜를	은혜/NNG+를/JKO
잊지	잊/VV+지/EC
않고	않/VX+고/EC
살겠다"고	살/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.5.4
생존 학생들은 주민들에게 드리는 편지를 모아 전달했다.

생존	생존/NNG
학생들은	학생/NNG+들/XSN+은/JX
주민들에게	주민/NNG+들/XSN+에게/JKB
드리는	드리/VV+는/ETM
편지를	편지/NNG+를/JKO
모아	모으/VV+아/EC
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.6.1
사고 당시 어선으로 20여명의 학생을 구한 조도면 대마도 김준석(42) 선장은 "여러분의 친구를 다 데려오지(구해주지) 못해 미안하다. 앞으로 밝은 모습으로 생활했으면 좋겠다"고 했다.

사고	사고/NNG
당시	당시/NNG
어선으로	어선/NNG+으로/JKB
20여명의	20/SN+여/XSN+명/NNB+의/JKG
학생을	학생/NNG+을/JKO
구한	구하/VV+ㄴ/ETM
조도면	조도면/NNP
대마도	대마도/NNP
김준석(42)	김준석/NNP+(/SS+42/SN+)/SS
선장은	선장/NNG+은/JX
"여러분의	"/SS+여러분/NP+의/JKG
친구를	친구/NNG+를/JKO
다	다/MAG
데려오지(구해주지)	데려오/VV+지/EC+(/SS+구하/VV+아/EC+주/VX+지/EC+)/SS
못해	못하/VX+아/EC
미안하다.	미안/NNG+하/XSA+다/EF+./SF
앞으로	앞/NNG+으로/JKB
밝은	밝/VA+은/ETM
모습으로	모습/NNG+으로/JKB
생활했으면	생활/NNG+하/XSV+았/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.143.6.2
생존 학생의 부모들은 "정말 감사드린다"며 고개를 숙였다.

생존	생존/NNG
학생의	학생/NNG+의/JKG
부모들은	부모/NNG+들/XSN+은/JX
"정말	"/SS+정말/MAG
감사드린다"며	감사/NNG+드리/VV+ㄴ다/EF+"/SS+며/EC
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


