# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.111
metadata : {}


# id : NWRW1800000048.111.1.1
IS “팔미라 유적 파괴 않겠다” 공언

IS	IS/SL
무자비하게	무/XPN+자비/NNG+하/XSA+게/EC
파괴한	파괴/NNG+하/XSV+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
달라지기라도	달라지/VV+기/ETN+라도/JX
한	하/VX+ㄴ/ETM
걸까?	거/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000048.111.5.1
시리아 반정부 라디오 방송 <알완 에프엠>은 26일 “역사적 도시와 관련해, 우리는 그것을 보존할 것”이라고 밝힌 이슬람국가의 팔미라 지휘관 아부 라이스 사우디의 음성 메시지를 내보냈다.

시리아	시리아/NNP
반정부	반/XPN+정부/NNG
라디오	라디오/NNG
방송	방송/NNG
<알완	</SS+알완/NNP
에프엠>은	에프엠/NNG+>/SS+은/JX
26일	26/SN+일/NNB
“역사적	“/SS+역사/NNG+적/XSN
도시와	도시/NNG+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
우리는	우리/NP+는/JX
그것을	그것/NP+을/JKO
보존할	보존/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
이슬람국가의	이슬람국가/NNP+의/JKG
팔미라	팔미라/NNP
지휘관	지휘관/NNG
아부	아부/NNP
라이스	라이스/NNP
사우디의	사우디/NNP+의/JKG
음성	음성/NNG
메시지를	메시지/NNG+를/JKO
내보냈다.	내보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.111.5.2
사우디는 방송에서 “우리는 범법자들이 기도했던 동상들은 부숴버릴 것”이라면서도 “일부 사람들이 생각하는 것과 달리 불도저로 역사적 유적들을 건드리지 않겠다”고 말했다.

사우디는	사우디/NNP+는/JX
방송에서	방송/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
범법자들이	범법자/NNG+들/XSN+이/JKS
기도했던	기도/NNG+하/XSV+았/EP+던/ETM
동상들은	동상/NNG+들/XSN+은/JX
부숴버릴	부수/VV+어/EC+버리/VX+ㄹ/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“일부	“/SS+일부/NNG
사람들이	사람/NNG+들/XSN+이/JKS
생각하는	생각/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
불도저로	불도저/NNG+로/JKB
역사적	역사/NNG+적/XSN
유적들을	유적/NNG+들/XSN+을/JKO
건드리지	건드리/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.111.5.3
이슬람국가는 이날 팔미라의 벨사원과 로마 원형극장 유적지가 훼손되지 않은 모습을 찍은 87초짜리 동영상을 공개하기도 했다.

이슬람국가는	이슬람국가/NNP+는/JX
이날	이날/NNG
팔미라의	팔미라/NNP+의/JKG
벨사원과	벨사원/NNP+과/JC
로마	로마/NNP
원형극장	원형/NNG+극장/NNG
유적지가	유적지/NNG+가/JKS
훼손되지	훼손/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
모습을	모습/NNG+을/JKO
찍은	찍/VV+은/ETM
87초짜리	87/SN+초/NNB+짜리/XSN
동영상을	동영상/NNG+을/JKO
공개하기도	공개/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.111.6.1
시리아 반정부단체인 팔미라 지역조정위원회 활동가도 <가디언>에 “유적은 무사하다”고 전했다.

시리아	시리아/NNP
반정부단체인	반/XPN+정부/NNG+단체/NNG+이/VCP+ㄴ/ETM
팔미라	팔미라/NNP
지역조정위원회	지역/NNG+조정/NNG+위원회/NNG
활동가도	활동가/NNG+도/JX
<가디언>에	</SS+가디언/NNP+>/SS+에/JKB
“유적은	“/SS+유적/NNG+은/JX
무사하다”고	무사/NNG+하/XSA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.111.6.2
팔미라를 점령한 이슬람국가 대원들이 주민들에게 도시의 고대 유물을 부수지 않겠지만 우상은 파괴하겠다고 말했다는 것이었다.

팔미라를	팔미라/NNP+를/JKO
점령한	점령/NNG+하/XSV+ㄴ/ETM
이슬람국가	이슬람국가/NNP
대원들이	대원/NNG+들/XSN+이/JKS
주민들에게	주민/NNG+들/XSN+에게/JKB
도시의	도시/NNG+의/JKG
고대	고대/NNG
유물을	유물/NNG+을/JKO
부수지	부수/VV+지/EC
않겠지만	않/VX+겠/EP+지만/EC
우상은	우상/NNG+은/JX
파괴하겠다고	파괴/NNG+하/XSV+겠/EP+다고/EC
말했다는	말/NNG+하/XSV+았/EP+다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.111.6.3
이 관계자는 “아마 팔미라 유적 대부분이 사람 조각상이 아닌 돌기둥과 건물들이기 때문인 듯하다”며 “이들은 우상은 파괴해야 한다고 생각하지만 다른 유적들은 문제될 게 없다”고 덧붙였다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“아마	“/SS+아마/MAG
팔미라	팔미라/NNP
유적	유적/NNG
대부분이	대/XPN+부분/NNG+이/JKS
사람	사람/NNG
조각상이	조각상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
돌기둥과	돌기둥/NNG+과/JC
건물들이기	건물/NNG+들/XSN+이/VCP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
듯하다”며	듯/NNB+하/XSA+다/EF+”/SS+며/EC
“이들은	“/SS+이/NP+들/XSN+은/JX
우상은	우상/NNG+은/JX
파괴해야	파괴/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
다른	다른/MMD
유적들은	유적/NNG+들/XSN+은/JX
문제될	문제/NNG+되/XSV+ㄹ/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.111.7.1
‘사막의 베네치아’라고 불리는 팔미라에는 1~2세기에 조성된 거대한 돌기둥들을 비롯한 고대 유적지들이 유네스코 세계유산으로 등재돼 있다.

‘사막의	‘/SS+사막/NNG+의/JKG
베네치아’라고	베네치아/NNP+’/SS+라고/JKQ
불리는	불리/VV+는/ETM
팔미라에는	팔미라/NNP+에/JKB+는/JX
1~2세기에	1/SN+~/SO+2/SN+세기/NNG+에/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
돌기둥들을	돌기둥/NNG+들/XSN+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
고대	고대/NNG
유적지들이	유적지/NNG+들/XSN+이/JKS
유네스코	유네스코/NNP
세계유산으로	세계/NNG+유산/NNG+으로/JKB
등재돼	등재/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.111.7.2
팔미라 건축물들은 고대 로마와 그리스, 페르시아의 양식이 혼합된 특징을 지니고 있다.

팔미라	팔미라/NNP
건축물들은	건축물/NNG+들/XSN+은/JX
고대	고대/NNG
로마와	로마/NNP+와/JC
그리스,	그리스/NNP+,/SP
페르시아의	페르시아/NNP+의/JKG
양식이	양식/NNG+이/JKS
혼합된	혼합/NNG+되/XSV+ㄴ/ETM
특징을	특징/NNG+을/JKO
지니고	지니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.111.7.3
이슬람국가가 팔미라를 점령한 뒤 유네스코 관계자를 비롯한 많은 이들이 유적지 파괴에 대한 우려를 나타냈다.

이슬람국가가	이슬람국가/NNP+가/JKS
팔미라를	팔미라/NNP+를/JKO
점령한	점령/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
유네스코	유네스코/NNP
관계자를	관계자/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
유적지	유적지/NNG
파괴에	파괴/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려를	우려/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.111.8.1
팔미라를 이슬람국가에 내주고 퇴각한 아사드 정권은 이후 이 지역에 대한 공습을 계속하고 있다.

팔미라를	팔미라/NNP+를/JKO
이슬람국가에	이슬람국가/NNP+에/JKB
내주고	내주/VV+고/EC
퇴각한	퇴각/NNG+하/XSV+ㄴ/ETM
아사드	아사드/NNP
정권은	정권/NNG+은/JX
이후	이후/NNG
이	이/MMD
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공습을	공습/NNG+을/JKO
계속하고	계속/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.111.8.2
시리아 정부군은 팔미라에서 민간인은 모두 대피시켰다고 주장했지만, 인권단체들은 25일에만 정부군 폭격으로 십수명의 민간인이 숨졌다고 밝혔다.

시리아	시리아/NNP
정부군은	정부군/NNG+은/JX
팔미라에서	팔미라/NNP+에서/JKB
민간인은	민간인/NNG+은/JX
모두	모두/MAG
대피시켰다고	대피/NNG+시키/XSV+었/EP+다고/EC
주장했지만,	주장/NNG+하/XSV+았/EP+지만/EC+,/SP
인권단체들은	인권/NNG+단체/NNG+들/XSN+은/JX
25일에만	25/SN+일/NNB+에/JKB+만/JX
정부군	정부군/NNG
폭격으로	폭격/NNG+으로/JKB
십수명의	십수/MMN+명/NNB+의/JKG
민간인이	민간인/NNG+이/JKS
숨졌다고	숨지/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


