# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.123
metadata : {}


# id : NWRW1800000053.123.1.1
[헬스동아]빼빼 마른 당신, 도대체 왜 살이 안찔까

[헬스동아]빼빼	[/SS+헬스/NNG+동아/NNP+]/SS+빼빼/MAG
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.123.6.4
즉 ‘지방 살’이 아닌 건강한 ‘근육 살’을 늘리기 위해 속부터 근육을 채워줄 수 있는 시스템이 필요하다.

즉	즉/MAG
‘지방	‘/SS+지방/NNG
살’이	살/NNG+’/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
건강한	건강/NNG+하/XSA+ㄴ/ETM
‘근육	‘/SS+근육/NNG
살’을	살/NNG+’/SS+을/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
속부터	속/NNG+부터/JX
근육을	근육/NNG+을/JKO
채워줄	채우/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템이	시스템/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.123.6.5
이를 위해 근육 세포의 재료인 단백질 소화와 흡수에 신경 써야 한다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
근육	근육/NNG
세포의	세포/NNG+의/JKG
재료인	재료/NNG+이/VCP+ㄴ/ETM
단백질	단백질/NNG
소화와	소화/NNG+와/JC
흡수에	흡수/NNG+에/JKB
신경	신경/NNG
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.123.6.6
또 소화가 더딘 단백질이 체내에 잘 흡수될 수 있도록 필수아미노산의 섭취율을 높이는 것도 중요하다.

또	또/MAG
소화가	소화/NNG+가/JKS
더딘	더디/VA+ㄴ/ETM
단백질이	단백질/NNG+이/JKS
체내에	체내/NNG+에/JKB
잘	잘/MAG
흡수될	흡수/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
필수아미노산의	필수/NNG+아미노산/NNG+의/JKG
섭취율을	섭취/NNG+율/XSN+을/JKO
높이는	높이/VV+는/ETM
것도	것/NNB+도/JX
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.123.7.1
소화가 잘되고 체내 흡수율이 높은 식물성 필수아미노산으로는 대두(콩)를 들 수 있다.

소화가	소화/NNG+가/JKS
잘되고	잘/MAG+되/XSV+고/EC
체내	체내/NNG
흡수율이	흡수/NNG+율/XSN+이/JKS
높은	높/VA+은/ETM
식물성	식물/NNG+성/XSN
필수아미노산으로는	필수/NNG+아미노산/NNG+으로/JKB+는/JX
대두(콩)를	대두/NNG+(/SS+콩/NNG+)/SS+를/JKO
들	들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.123.7.2
대두는 유일하게 필수아미노산 8종을 모두 포함하고 있다.

대두는	대두/NNG+는/JX
유일하게	유일/NNG+하/XSA+게/EC
필수아미노산	필수/NNG+아미노산/NNG
8종을	8/SN+종/NNG+을/JKO
모두	모두/MAG
포함하고	포함/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.123.7.3
동물성 단백질에서 얻기 힘든 이소플라본, 안토시아닌, 올리엔산.

동물성	동물/NNG+성/XSN
단백질에서	단백질/NNG+에서/JKB
얻기	얻/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
이소플라본,	이소플라본/NNG+,/SP
안토시아닌,	안토시아닌/NNG+,/SP
올리엔산.	올리엔산/NNG+./SF


# id : NWRW1800000053.123.7.4
리놀렌산, 비타민A, B1, E 식이섬유도 풍부하다.

리놀렌산,	리놀렌산/NNG+,/SP
비타민A,	비타민/NNG+A/SL+,/SP
B1,	B/SL+1/SN+,/SP
E	E/SL
식이섬유도	식이/NNG+섬유/NNG+도/JX
풍부하다.	풍부하/VA+다/EF+./SF


# id : NWRW1800000053.123.7.5
특히 발효콩 단백질은 소화 능력이 약한 사람도 쉽게 소화시킬 수 있는 미세한 아미노산 분자로 이뤄져 있다.

특히	특히/MAG
발효콩	발효/NNG+콩/NNG
단백질은	단백질/NNG+은/JX
소화	소화/NNG
능력이	능력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
사람도	사람/NNG+도/JX
쉽게	쉽/VA+게/EC
소화시킬	소화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
미세한	미세/NNG+하/XSA+ㄴ/ETM
아미노산	아미노산/NNG
분자로	분자/NNG+로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.123.7.6
100% 국산 콩으로 발효한 단백질은 GMO, 방부제 걱정 없이 안심하고 먹을 수 있다.

100%	100/SN+%/SW
국산	국산/NNG
콩으로	콩/NNG+으로/JKB
발효한	발효/NNG+하/XSV+ㄴ/ETM
단백질은	단백질/NNG+은/JX
GMO,	GMO/SL+,/SP
방부제	방부제/NNG
걱정	걱정/NNG
없이	없이/MAG
안심하고	안심/NNG+하/XSV+고/EC
먹을	먹/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.123.8.1
발효시킨 콩은 필수아미노산 8종 함유량이 발효 전보다 평균 10배 이상 높아진다.

발효시킨	발효/NNG+시키/XSV+ㄴ/ETM
콩은	콩/NNG+은/JX
필수아미노산	필수/NNG+아미노산/NNG
8종	8/SN+종/NNG
함유량이	함유량/NNG+이/JKS
발효	발효/NNG
전보다	전/NNG+보다/JKB
평균	평균/NNG
10배	10/SN+배/NNG
이상	이상/NNG
높아진다.	높아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.8.2
또 근육을 합성하고 촉진하는 데 대표적인 필수아미노산 3가지 류신, 이소류신, 발린의 함유량이 각각 32, 20, 3배 많아진다.

또	또/MAG
근육을	근육/NNG+을/JKO
합성하고	합성/NNG+하/XSV+고/EC
촉진하는	촉진/NNG+하/XSV+는/ETM
데	데/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
필수아미노산	필수/NNG+아미노산/NNG
3가지	3/SN+가지/NNB
류신,	류신/NNG+,/SP
이소류신,	이소류신/NNG+,/SP
발린의	발린/NNG+의/JKG
함유량이	함유량/NNG+이/JKS
각각	각각/MAG
32,	32/SN+,/SP
20,	20/SN+,/SP
3배	3/SN+배/NNG
많아진다.	많아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.8.3
류신은 단백질을 이루는 총 20여 종의 아미노산 중 근육 형성에 가장 중요한 성분이다.

류신은	류신/NNG+은/JX
단백질을	단백질/NNG+을/JKO
이루는	이루/VV+는/ETM
총	총/MMA
20여	20/SN+여/XSN
종의	종/NNG+의/JKG
아미노산	아미노산/NNG
중	중/NNB
근육	근육/NNG
형성에	형성/NNG+에/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
성분이다.	성분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.123.8.4
이소류신은 근섬유의 재생을 촉진함으로써 근육을 빠르게 회복시키고 발린은 손상된 근육 세포를 회복시키며 새로운 근육 형성에 도움을 준다.

이소류신은	이소류신/NNG+은/JX
근섬유의	근섬유/NNG+의/JKG
재생을	재생/NNG+을/JKO
촉진함으로써	촉진/NNG+하/XSV+ㅁ/ETN+으로써/JKB
근육을	근육/NNG+을/JKO
빠르게	빠르/VA+게/EC
회복시키고	회복/NNG+시키/XSV+고/EC
발린은	발린/NNG+은/JX
손상된	손상/NNG+되/XSV+ㄴ/ETM
근육	근육/NNG
세포를	세포/NNG+를/JKO
회복시키며	회복/NNG+시키/XSV+며/EC
새로운	새롭/VA+ㄴ/ETM
형성에	형성/NNG+에/JKB
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.9.1
밤 10시 전후 단백질 섭취 근육량 증가에 도움

밤	밤/NNG
10시	10/SN+시/NNB
전후	전후/NNG
단백질	단백질/NNG
섭취	섭취/NNG
근육량	근육량/NNG
증가에	증가/NNG+에/JKB
도움	도움/NNG


# id : NWRW1800000053.123.10.1
잠자는 동안 우리 몸은 음식의 영양소를 모두 소모한다.

잠자는	잠자/VV+는/ETM
동안	동안/NNG
우리	우리/NP
몸은	몸/NNG+은/JX
음식의	음식/NNG+의/JKG
영양소를	영양소/NNG+를/JKO
모두	모두/MAG
소모한다.	소모/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.10.2
이 에너지가 고갈되면 근육 조직을 회복시키기 위한 단백질이 부족해진다.

이	이/MMD
에너지가	에너지/NNG+가/JKS
고갈되면	고갈/NNG+되/XSV+면/EC
근육	근육/NNG
조직을	조직/NNG+을/JKO
회복시키기	회복/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
단백질이	단백질/NNG+이/JKS
부족해진다.	부족/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.123.10.3
잠자기 전 발효콩 단백질 섭취는 에너지 소모량을 줄여 근육조직을 회복하는 데 도움을 준다.

잠자기	잠자/VV+기/ETN
전	전/NNG
발효콩	발효/NNG+콩/NNG
단백질	단백질/NNG
섭취는	섭취/NNG+는/JX
에너지	에너지/NNG
소모량을	소모량/NNG+을/JKO
줄여	줄이/VV+어/EC
근육조직을	근육/NNG+조직/NNG+을/JKO
회복하는	회복/NNG+하/XSV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.123.10.4
스포츠 및 운동에 관한 의·과학 저널에 발표된 연구에 따르면 잠자기 30분 전 단백질을 섭취하면 수면 중 근육 단백질 합성(MPS)을 증대시킬 수 있다.

스포츠	스포츠/NNG
및	및/MAG
운동에	운동/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
의·과학	의·과학/NNG
저널에	저널/NNG+에/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
연구에	연구/NNG+에/JKB
따르면	따르/VV+면/EC
잠자기	잠자/VV+기/ETN
30분	30/SN+분/NNB
전	전/NNG
단백질을	단백질/NNG+을/JKO
섭취하면	섭취/NNG+하/XSV+면/EC
수면	수면/NNG
중	중/NNB
근육	근육/NNG
단백질	단백질/NNG
합성(MPS)을	합성/NNG+(/SS+MPS/SL+)/SS+을/JKO
증대시킬	증대/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.123.10.5
잠자는 동안 단백질 합성을 책임지는 근육 속 효소와 수송체가 활성화되기 때문이다.

잠자는	잠자/VV+는/ETM
동안	동안/NNG
단백질	단백질/NNG
합성을	합성/NNG+을/JKO
책임지는	책임지/VV+는/ETM
근육	근육/NNG
속	속/NNG
효소와	효소/NNG+와/JC
수송체가	수송체/NNG+가/JKS
활성화되기	활성/NNG+화/XSN+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.123.10.6
2015년 네덜란드 마스트리흐트대에서 진행한 연구에서는 매일 잠자기 전 소화 흡수가 잘되는 단백질을 섭취한 참가자들이 12주 후 근육량이 눈에 띄게 증가하는 결과를 보이기도 했다.

2015년	2015/SN+년/NNB
네덜란드	네덜란드/NNP
마스트리흐트대에서	마스트리흐트대/NNP+에서/JKB
진행한	진행/NNG+하/XSV+ㄴ/ETM
연구에서는	연구/NNG+에서/JKB+는/JX
매일	매일/MAG
잠자기	잠자/VV+기/ETN
전	전/NNG
소화	소화/NNG
흡수가	흡수/NNG+가/JKS
잘되는	잘/MAG+되/XSV+는/ETM
단백질을	단백질/NNG+을/JKO
섭취한	섭취/NNG+하/XSV+ㄴ/ETM
참가자들이	참가자/NNG+들/XSN+이/JKS
12주	12/SN+주/NNB
후	후/NNG
근육량이	근육량/NNG+이/JKS
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
증가하는	증가/NNG+하/XSV+는/ETM
결과를	결과/NNG+를/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.123.10.7
잠들기 전 10시 전후로 흡수가 잘되는 단백질을 섭취하면 잠자는 동안에 근육 합성이 이뤄지고 잠자는 시간 동안 에너지 소비로 생기는 아침 공복의 간극도 줄일 수 있다.

잠들기	잠들/VV+기/ETN
전	전/NNG
10시	10/SN+시/NNB
전후로	전후/NNG+로/JKB
흡수가	흡수/NNG+가/JKS
잘되는	잘/MAG+되/XSV+는/ETM
단백질을	단백질/NNG+을/JKO
섭취하면	섭취/NNG+하/XSV+면/EC
잠자는	잠자/VV+는/ETM
동안에	동안/NNG+에/JKB
근육	근육/NNG
합성이	합성/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
시간	시간/NNG
동안	동안/NNG
에너지	에너지/NNG
소비로	소비/NNG+로/JKB
생기는	생기/VV+는/ETM
아침	아침/NNG
공복의	공복/NNG+의/JKG
간극도	간극/NNG+도/JX
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


