# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.277
metadata : {}


# id : NWRW1800000028.277.1.1
‘대북 강경책’ 지속 신호

‘대북	‘/SS+대북/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“서너	“/SS+서너/MMN
달	달/NNB
남은	남/VV+은/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의가	정상/NNG+회의/NNG+가/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
현재	현재/MAG
외교안보	외교/NNG+안보/NNG
부처	부처/NNG
국무위원들이	국무/NNG+위원/NNG+들/XSN+이/JKS
그걸	그거/NP+ㄹ/JKO
쭉	쭉/MAG
준비해왔고,	준비/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
업무의	업무/NNG+의/JKG
연속성과	연속/NNG+성/XSN+과/JC
일관성을	일관/NNG+성/XSN+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋겠다	좋/VA+겠/EP+다/EF
해서	하/VV+아서/EC
이번에	이번/NNG+에/JKB
(개각	(/SS+개각/NNG
대상에서)	대상/NNG+에서/JKB+)/SS
제외된	제외/NNG+되/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.277.4.1
북한은 지난달 현인택 통일부 장관의 ‘죄행록’을 발표해 현 장관을 “그대로 두어서는 안 될 반통일 역적”이라고 주장한 바 있다.

북한은	북한/NNP+은/JX
지난달	지난달/NNG
현인택	현인택/NNP
통일부	통일부/NNG
장관의	장관/NNG+의/JKG
‘죄행록’을	‘/SS+죄행록/NNG+’/SS+을/JKO
발표해	발표/NNG+하/XSV+아/EC
현	현/MMD
장관을	장관/NNG+을/JKO
“그대로	“/SS+그대로/MAG
두어서는	두/VV+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
반통일	반/XPN+통일/NNG
역적”이라고	역적/NNG+”/SS+이라고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.277.4.2
이 때문에 현 장관을 바꾸면 북한에 ‘대북정책의 잘못을 인정한다’는 신호를 보낼 수 있다는 우려가 작용한 것으로 알려졌다.

이	이/NP
때문에	때문/NNB+에/JKB
현	현/MMD
장관을	장관/NNG+을/JKO
바꾸면	바꾸/VV+면/EC
북한에	북한/NNP+에/JKB
‘대북정책의	‘/SS+대북/NNG+정책/NNG+의/JKG
잘못을	잘못/NNG+을/JKO
인정한다’는	인정/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
신호를	신호/NNG+를/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.277.4.3
김태영 국방부 장관 유임에는 천안함 사태 이후 땅에 떨어진 군의 사기를 고려하고, 2015년 전시작전통제권 전환시기 연기 등 현안을 챙길 적임자라는 판단도 작용한 것으로 보인다.

김태영	김태영/NNP
국방부	국방부/NNG
장관	장관/NNG
유임에는	유임/NNG+에/JKB+는/JX
천안함	천안함/NNP
사태	사태/NNG
이후	이후/NNG
땅에	땅/NNG+에/JKB
떨어진	떨어지/VV+ㄴ/ETM
군의	군/NNG+의/JKG
사기를	사기/NNG+를/JKO
고려하고,	고려/NNG+하/XSV+고/EC+,/SP
2015년	2015/SN+년/NNB
전시작전통제권	전시/NNG+작전/NNG+통제/NNG+권/XSN
전환시기	전환/NNG+시기/NNG
연기	연기/NNG
등	등/NNB
현안을	현안/NNG+을/JKO
챙길	챙기/VV+ㄹ/ETM
적임자라는	적임자/NNG+이/VCP+라는/ETM
판단도	판단/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.277.5.1
그러나 외교안보팀의 유임으로 현 정부의 외교안보정책도 분명해졌다.

그러나	그러나/MAJ
외교안보팀의	외교/NNG+안보/NNG+팀/NNG+의/JKG
유임으로	유임/NNG+으로/JKB
현	현/MMD
정부의	정부/NNG+의/JKG
외교안보정책도	외교/NNG+안보/NNG+정책/NNG+도/JX
분명해졌다.	분명/MAG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.277.5.2
한-미 동맹 중시와 대북압박을 계속하겠다는 의미를 대내외적으로 천명한 것이다.

한-미	한-미/NNP
동맹	동맹/NNG
중시와	중시/NNG+와/JC
대북압박을	대북/NNG+압박/NNG+을/JKO
계속하겠다는	계속/NNG+하/XSV+겠/EP+다는/ETM
의미를	의미/NNG+를/JKO
대내외적으로	대내외/NNG+적/XSN+으로/JKB
천명한	천명/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.277.5.3
따라서 대북 경제봉쇄와 군사 압박 같은 기존 대북 강경책이 당분간 지속될 것으로 보인다.

따라서	따라서/MAJ
대북	대북/NNG
경제봉쇄와	경제/NNG+봉쇄/NNG+와/JC
군사	군사/NNG
압박	압박/NNG
같은	같/VA+은/ETM
기존	기존/NNG
강경책이	강경책/NNG+이/JKS
당분간	당분간/MAG
지속될	지속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.277.5.4
구체적으로 북한에 천안함 사건 사과 등을 촉구하고 지난 5월24일 발표한 대북 교역 중단과 해상 군사훈련 등 천안함 후속 조처를 계속 추진할 것으로 예상된다.

구체적으로	구체/NNG+적/XSN+으로/JKB
북한에	북한/NNP+에/JKB
천안함	천안함/NNP
사건	사건/NNG
사과	사과/NNG
등을	등/NNB+을/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
지난	지나/VV+ㄴ/ETM
5월24일	5/SN+월/NNB+24/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
교역	교역/NNG
중단과	중단/NNG+과/JC
해상	해상/NNG
군사훈련	군사/NNG+훈련/NNG
등	등/NNB
후속	후속/NNG
조처를	조처/NNG+를/JKO
계속	계속/MAG
추진할	추진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.277.6.1
양무진 북한대학원대학교 교수는 “외교안보 라인의 유임은 기존의 대북 봉쇄와 압박을 지속하고, 동북아에서 한·미와 북·중 대립이란 냉전적 대립구도로 회귀하겠다는 뜻을 확인한 것”이라며 “청와대가 개각 결과를 발표하며 소통을 강조했지만, 6·2 지방선거에서 확인된 남북관계 개선과 한반도 긴장 완화를 요구하는 여론과의 소통에는 귀를 막았다”고 말했다.

양무진	양무진/NNP
북한대학원대학교	북한대학원대학교/NNP
교수는	교수/NNG+는/JX
“외교안보	“/SS+외교/NNG+안보/NNG
라인의	라인/NNG+의/JKG
유임은	유임/NNG+은/JX
기존의	기존/NNG+의/JKG
대북	대북/NNG
봉쇄와	봉쇄/NNG+와/JC
압박을	압박/NNG+을/JKO
지속하고,	지속/NNG+하/XSV+고/EC+,/SP
동북아에서	동북아/NNP+에서/JKB
한·미와	한·미/NNP+와/JC
북·중	북·중/NNP
대립이란	대립/NNG+이란/JX
냉전적	냉전/NNG+적/XSN
대립구도로	대립/NNG+구도/NNG+로/JKB
회귀하겠다는	회귀/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“청와대가	“/SS+청와대/NNP+가/JKS
개각	개각/NNG
결과를	결과/NNG+를/JKO
발표하며	발표/NNG+하/XSV+며/EC
소통을	소통/NNG+을/JKO
강조했지만,	강조/NNG+하/XSV+았/EP+지만/EC+,/SP
6·2	6/SN+·/SP+2/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
남북관계	남북/NNP+관계/NNG
개선과	개선/NNG+과/JC
한반도	한반도/NNP
긴장	긴장/NNG
완화를	완화/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
여론과의	여론/NNG+과/JKB+의/JKG
소통에는	소통/NNG+에/JKB+는/JX
귀를	귀/NNG+를/JKO
막았다”고	막/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


