# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.266
metadata : {}


# id : NWRW1800000054.266.1.1
'혼수 상태' 수비부터 수술하라

'혼수	'/SS+혼수/NNG
지난	지나/VV+ㄴ/ETM
8경기	8/SN+경기/NNG
동안	동안/NNG
한	한/MMN
번도	번/NNB+도/JX
직전	직전/NNG
경기와	경기/NNG+와/JKB
수비	수비/NNG
라인업이	라인업/NNG+이/JKS
일치한	일치/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.266.4.2
대표팀은 예선 내내 4명의 수비수를 세우는 포백 전술을 사용했다.

대표팀은	대표/NNG+팀/NNG+은/JX
예선	예선/NNG
내내	내내/MAG
4명의	4/SN+명/NNB+의/JKG
수비수를	수비수/NNG+를/JKO
세우는	세우/VV+는/ETM
포백	포백/NNG
전술을	전술/NNG+을/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.266.4.3
하지만 포백을 구성하는 선발 선수들의 얼굴이 매번 바뀌었다.

하지만	하지만/MAJ
포백을	포/NNG+백/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
선발	선발/NNG
선수들의	선수/NNG+들/XSN+의/JKG
얼굴이	얼굴/NNG+이/JKS
매번	매번/MAG
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.4.4
8경기에 12명의 수비수가 등장했고, 경기마다 물갈이가 이어졌다.

8경기에	8/SN+경기/NNG+에/JKB
12명의	12/SN+명/NNB+의/JKG
수비수가	수비수/NNG+가/JKS
등장했고,	등장/NNG+하/XSV+았/EP+고/EC+,/SP
경기마다	경기/NNG+마다/JX
물갈이가	물갈이/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.4.5
8경기 모두 출전한 선수는 장현수 한 명뿐이다.

8경기	8/SN+경기/NNG
모두	모두/MAG
출전한	출전/NNG+하/XSV+ㄴ/ETM
선수는	선수/NNG+는/JX
장현수	장현수/NNP
한	한/MMN
명뿐이다.	명/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000054.266.4.6
5경기 이상 나온 선수는 그가 유일하다.

5경기	5/SN+경기/NNG
이상	이상/NNG
나온	나오/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
그가	그/NP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.266.5.1
포지션도 계속 바뀌어 혼란을 줬다.

포지션도	포지션/NNG+도/JX
계속	계속/MAG
바뀌어	바뀌/VV+어/EC
혼란을	혼란/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.5.2
장현수는 오른쪽 풀백과 중앙 수비를 왔다갔다했다.

장현수는	장현수/NNP+는/JX
오른쪽	오른쪽/NNG
풀백과	풀백/NNG+과/JC
중앙	중앙/NNG
수비를	수비/NNG+를/JKO
왔다갔다했다.	오/VV+았/EP+다/EC+가/VV+았/EP+다/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.266.5.3
중앙 수비로 나오더라도 왼쪽·오른쪽으로 위치가 바뀌기도 했다.

중앙	중앙/NNG
수비로	수비/NNG+로/JKB
나오더라도	나오/VV+더라도/EC
왼쪽·오른쪽으로	왼쪽/NNG+·/SP+오른쪽/NNG+으로/JKB
위치가	위치/NNG+가/JKS
바뀌기도	바뀌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.266.5.4
같은 중앙 수비라도 어느 방향에 서느냐에 따라 호흡을 맞추는 선수가 다르고, 약속된 수비 전술이 바뀐다.

같은	같/VA+은/ETM
중앙	중앙/NNG
수비라도	수비/NNG+이/VCP+라도/EC
어느	어느/MMD
방향에	방향/NNG+에/JKB
서느냐에	서/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
호흡을	호흡/NNG+을/JKO
맞추는	맞추/VV+는/ETM
선수가	선수/NNG+가/JKS
다르고,	다르/VA+고/EC+,/SP
약속된	약속/NNG+되/XSV+ㄴ/ETM
수비	수비/NNG
전술이	전술/NNG+이/JKS
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.266.5.5
장현수는 스스로 "오른쪽 풀백엔 자신이 없었지만, 울리 슈틸리케 감독님 선택이라 어쩔 수 없었다"고 뒤늦게 이야기하기도 했다.

장현수는	장현수/NNP+는/JX
스스로	스스로/MAG
"오른쪽	"/SS+오른쪽/NNG
풀백엔	풀백/NNG+에/JKB+ㄴ/JX
자신이	자신/NNG+이/JKS
없었지만,	없/VA+었/EP+지만/EC+,/SP
울리	울리/NNP
슈틸리케	슈틸리케/NNP
감독님	감독/NNG+님/XSN
선택이라	선택/NNG+이/VCP+라/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
뒤늦게	뒤늦/VA+게/EC
이야기하기도	이야기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.266.6.1
한국 대표팀은 6월 카타르전을 대비해 치른 이라크와의 평가전에서 기성용을 수비수로 내세우는 변칙 스리백(3명의 수비수)을 실험했다가, 정작 카타르전에는 포백을 세웠다.

한국	한국/NNP
대표팀은	대표/NNG+팀/NNG+은/JX
6월	6/SN+월/NNB
카타르전을	카타르전/NNG+을/JKO
대비해	대비/NNG+하/XSV+아/EC
치른	치르/VV+ㄴ/ETM
이라크와의	이라크/NNP+와/JKB+의/JKG
평가전에서	평가전/NNG+에서/JKB
기성용을	기성용/NNP+을/JKO
수비수로	수비수/NNG+로/JKB
내세우는	내세우/VV+는/ETM
변칙	변칙/NNG
스리백(3명의	스리백/NNG+(/SS+3/SN+명/NNB+의/JKG
수비수)을	수비수/NNG+)/SS+을/JKO
실험했다가,	실험/NNG+하/XSV+았/EP+다가/EC+,/SP
정작	정작/MAG
카타르전에는	카타르전/NNG+에/JKB+는/JX
포백을	포/NNG+백/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.266.6.2
새로 기술위원으로 합류한 김병지 위원은 "수비는 조직력과 소통이 핵심인데, 한국은 선수를 바꾸는 걸로 해결하려 했다"며 "3일 사이에 출전 수비수가 달라지는 건 정말 큰 문제"라고 했다.

새로	새로/MAG
기술위원으로	기술/NNG+위원/NNG+으로/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
김병지	김병지/NNP
위원은	위원/NNG+은/JX
"수비는	"/SS+수비/NNG+는/JX
조직력과	조직력/NNG+과/JC
소통이	소통/NNG+이/JKS
핵심인데,	핵심/NNG+이/VCP+ㄴ데/EC+,/SP
한국은	한국/NNP+은/JX
선수를	선수/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
걸로	거/NNB+ㄹ로/JKB
해결하려	해결/NNG+하/XSV+려/EC
했다"며	하/VX+았/EP+다/EF+"/SS+며/EC
"3일	"/SS+3/SN+일/NNB
사이에	사이/NNG+에/JKB
출전	출전/NNG
수비수가	수비수/NNG+가/JKS
달라지는	달라지/VV+는/ETM
건	거/NNB+ㄴ/JX
정말	정말/MAG
큰	크/VA+ㄴ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.266.6.3
울리 슈틸리케 전 감독의 2년 반 동안 '최적의 수비 조직'을 아직도 찾아내지 못한 것이 현실이다.

울리	울리/NNP
슈틸리케	슈틸리케/NNP
전	전/MMD
감독의	감독/NNG+의/JKG
2년	2/SN+년/NNB
반	반/NNG
동안	동안/NNG
'최적의	'/SS+최적/NNG+의/JKG
수비	수비/NNG
조직'을	조직/NNG+'/SS+을/JKO
아직도	아직/MAG+도/JX
찾아내지	찾아내/VV+지/EC
못한	못하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
현실이다.	현실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.266.7.1
수비 불안은 공격 축구를 표방하는 신태용 감독 스스로 안은 문제기도 하다.

수비	수비/NNG
불안은	불안/NNG+은/JX
공격	공격/NNG
축구를	축구/NNG+를/JKO
표방하는	표방/NNG+하/XSV+는/ETM
신태용	신태용/NNP
감독	감독/NNG
스스로	스스로/MAG
안은	안/VV+은/ETM
문제기도	문제/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000054.266.7.2
그는 무리한 공격을 하다가 결정적인 경기에서 역전패를 당하는 일이 종종 있었다.

그는	그/NP+는/JX
무리한	무리/NNG+하/XSV+ㄴ/ETM
공격을	공격/NNG+을/JKO
하다가	하/VV+다가/EC
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
역전패를	역전패/NNG+를/JKO
당하는	당하/VV+는/ETM
일이	일/NNG+이/JKS
종종	종종/MAG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.266.7.3
또 수비 전형을 자주 변화시켜 선수들에게 혼란을 준다는 지적도 받았다.

또	또/MAG
수비	수비/NNG
전형을	전형/NNG+을/JKO
자주	자주/MAG
변화시켜	변화/NNG+시키/XSV+어/EC
선수들에게	선수/NNG+들/XSN+에게/JKB
혼란을	혼란/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.266.7.4
4일 열린 기술위원회도 수비 불안 해결을 대표팀의 '제1과제'로 꼽았다.

4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
기술위원회도	기술/NNG+위원회/NNG+도/JX
수비	수비/NNG
불안	불안/NNG
해결을	해결/NNG+을/JKO
대표팀의	대표/NNG+팀/NNG+의/JKG
'제1과제'로	'/SS+제/XPN+1/SN+과제/NNG+'/SS+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.266.7.5
김호곤 기술위원장은 "대표팀 수비 조직력에 문제가 있다"며 "기술위도 이 문제에 대해 신 감독과 이야기를 나눌 예정"이라고 했다.

김호곤	김호곤/NNP
기술위원장은	기술/NNG+위원장/NNG+은/JX
"대표팀	"/SS+대표/NNG+팀/NNG
수비	수비/NNG
조직력에	조직력/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"기술위도	"/SS+기술위/NNG+도/JX
이	이/MMD
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
신	신/NNP
감독과	감독/NNG+과/JKB
이야기를	이야기/NNG+를/JKO
나눌	나누/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.266.8.1
신태용 감독은 자신의 숙제이자 한국 축구의 가장 큰 약점을 동시에 해결해야 한다.

신태용	신태용/NNP
감독은	감독/NNG+은/JX
자신의	자신/NNG+의/JKG
숙제이자	숙제/NNG+이/VCP+자/EC
한국	한국/NNP
축구의	축구/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
약점을	약점/NNG+을/JKO
동시에	동시/NNG+에/JKB
해결해야	해결/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.266.8.2
다가올 8월 31일 이란전(홈), 9월 5일 우즈베키스탄전(원정) 이전까지 흔들리는 수비를 다잡는 과제를 안고 출범하게 된 것이다.

다가올	다가오/VV+ㄹ/ETM
8월	8/SN+월/NNB
31일	31/SN+일/NNB
이란전(홈),	이란전/NNG+(/SS+홈/NNG+)/SS+,/SP
9월	9/SN+월/NNB
5일	5/SN+일/NNB
우즈베키스탄전(원정)	우즈베키스탄전/NNG+(/SS+원정/NNG+)/SS
이전까지	이전/NNG+까지/JX
흔들리는	흔들리/VV+는/ETM
수비를	수비/NNG+를/JKO
다잡는	다잡/VV+는/ETM
과제를	과제/NNG+를/JKO
안고	안/VV+고/EC
출범하게	출범/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


