# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.259
metadata : {}


# id : NWRW1800000042.259.1.1
[강경희의 터치! 코리아] 개그맨 선거보다 깜깜한 敎育監 선거

[강경희의	[/SS+강경희/NNP+의/JKG
자릿수	자릿수/NNG
지지율을	지지/NNG+율/XSN+을/JKO
얻은	얻/VV+은/ETM
군소	군소/NNG
후보	후보/NNG
4명이	4/SN+명/NNB+이/JKS
온갖	온갖/MMN
익살을	익살/NNG+을/JKO
떨며	떨/VV+며/EC
단일화를	단일/NNG+화/XSN+를/JKO
이뤄내는	이루/VV+어/EC+내/VX+는/ETM
장면이	장면/NNG+이/JKS
전파를	전파/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.259.3.1
실제 선거도 이렇게 시원하게 웃음보 터지고 유쾌하면 좋으련만, 6·4 지방선거는 유권자 입장에서 부담스러운 숙제를 받아든 것만 같다.

실제	실제/NNG
선거도	선거/NNG+도/JX
이렇게	이렇/VA+게/EC
시원하게	시원하/VA+게/EC
웃음보	웃음보/NNG
터지고	터지/VV+고/EC
유쾌하면	유쾌/NNG+하/XSA+면/EC
좋으련만,	좋/VA+으련만/EC+,/SP
6·4	6/SN+·/SP+4/SN
지방선거는	지방/NNG+선거/NNG+는/JX
유권자	유권자/NNG
입장에서	입장/NNG+에서/JKB
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
숙제를	숙제/NNG+를/JKO
받아든	받/VV+아/EC+들/VX+ㄴ/ETM
것만	것/NNB+만/JX
같다.	같/VA+다/EF+./SF


# id : NWRW1800000042.259.3.2
세월호 참사로 정부나 정치판에 대한 실망과 회의감이 더욱 커진 데다, 유권자 1인이 각각 시·도지사, 시·도교육감, 시·군·구의장, 시·도의회의원, 시·군·구의회의원, 비례대표 시·도의원, 비례대표 시·군·구의원, 이렇게 7표를 행사해야 하는 복잡한 선거이기 때문이다.

세월호	세월호/NNP
참사로	참사/NNG+로/JKB
정부나	정부/NNG+나/JC
정치판에	정치판/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실망과	실망/NNG+과/JC
회의감이	회의감/NNG+이/JKS
더욱	더욱/MAG
커진	커지/VV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
유권자	유권자/NNG
1인이	1/SN+인/NNG+이/JKS
각각	각각/MAG
시·도지사,	시·도지사/NNG+,/SP
시·도교육감,	시·도/NNG+교육감/NNG+,/SP
시·군·구의장,	시·군·구/NNG+의장/NNG+,/SP
시·도의회의원,	시·도/NNG+의회/NNG+의원/NNG+,/SP
시·군·구의회의원,	시·군·구/NNG+의회/NNG+의원/NNG+,/SP
비례대표	비례/NNG+대표/NNG
시·도의원,	시·도/NNG+의원/NNG+,/SP
시·군·구의원,	시·군·구/NNG+의원/NNG+,/SP
이렇게	이렇/VA+게/EC
7표를	7/SN+표/NNG+를/JKO
행사해야	행사/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
복잡한	복잡하/VA+ㄴ/ETM
선거이기	선거/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.4.1
7표 중에도 특히 찍기 힘든 표가 시·도교육감 선거다.

7표	7/SN+표/NNG
중에도	중/NNB+에/JKB+도/JX
특히	특히/MAG
찍기	찍/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
표가	표/NNG+가/JKS
시·도교육감	시·도/NNG+교육감/NNG
선거다.	선거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.4.2
시·도지사 선거는 얼굴이 알려진 유명 정치인이 출마하니 주목도가 높고, 그보다 주목도는 떨어져도 시·군·구의장이나 시·도의원 선거는 정당을 등에 업고 나오니 정치적 성향 따라 유권자가 투표소에서 표 찍기는 비교적 쉽다.

시·도지사	시·도지사/NNG
선거는	선거/NNG+는/JX
얼굴이	얼굴/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
유명	유명/NNG
정치인이	정치인/NNG+이/JKS
출마하니	출마/NNG+하/XSV+니/EC
주목도가	주목도/NNG+가/JKS
높고,	높/VA+고/EC+,/SP
그보다	그/NP+보다/JKB
주목도는	주목도/NNG+는/JX
떨어져도	떨어지/VV+어도/EC
시·군·구의장이나	시·군·구/NNG+의장/NNG+이나/JC
시·도의원	시·도/NNG+의원/NNG
정당을	정당/NNG+을/JKO
등에	등/NNG+에/JKB
업고	업/VV+고/EC
나오니	나오/VV+니/EC
정치적	정치/NNG+적/XSN
성향	성향/NNG
따라	따르/VV+아/EC
유권자가	유권자/NNG+가/JKS
투표소에서	투표소/NNG+에서/JKB
표	표/NNG
찍기는	찍/VV+기/ETN+는/JX
비교적	비교/NNG+적/XSN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000042.259.5.1
반면 제일 깜깜이 선거가 되기 쉬운 게 교육감 선거다.

반면	반면/NNG
제일	제일/MAG
깜깜이	깜깜이/NNG
선거가	선거/NNG+가/JKC
되기	되/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
게	거/NNB+이/JKS
교육감	교육감/NNG
선거다.	선거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.5.2
직선제가 실시되면서 교육감 선거도 보수와 진보 성향 후보가 대결하는 이념의 장이 됐다.

직선제가	직선/NNG+제/XSN+가/JKS
실시되면서	실시/NNG+되/XSV+면서/EC
교육감	교육감/NNG
선거도	선거/NNG+도/JX
보수와	보수/NNG+와/JC
진보	진보/NNG
성향	성향/NNG
후보가	후보/NNG+가/JKS
대결하는	대결/NNG+하/XSV+는/ETM
이념의	이념/NNG+의/JKG
장이	장/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.259.5.3
그럼에도 선거 자체는 '교육의 중립성'이라는 명분하에 정당 공천이 아닌 채 치러진다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
선거	선거/NNG
자체는	자체/NNG+는/JX
'교육의	'/SS+교육/NNG+의/JKG
중립성'이라는	중립/NNG+성/XSN+'/SS+이/VCP+라는/ETM
명분하에	명분/NNG+하/XSN+에/JKB
정당	정당/NNG
공천이	공천/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
채	채/NNB
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000042.259.5.4
투표용지 7장 가운데 소속 정당 표시 없이 후보 이름만 죽 나열된 걸 보고 찍어야 하는 게 교육감 선거다.

투표용지	투표용지/NNG
7장	7/SN+장/NNB
가운데	가운데/NNG
소속	소속/NNG
정당	정당/NNG
표시	표시/NNG
없이	없이/MAG
후보	후보/NNG
이름만	이름/NNG+만/JX
죽	죽/MAG
나열된	나열/NNG+되/XSV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
찍어야	찍/VV+어야/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
교육감	교육감/NNG
선거다.	선거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.6.1
한데 4100만명 넘는 유권자 중 3분의 2가량은 교육감 선거가 '내 일' 아닌 '남 일'이다.

한데	한데/MAG
4100만명	4100/SN+만/NR+명/NNB
넘는	넘/VV+는/ETM
유권자	유권자/NNG
중	중/NNB
3분의	3/SN+분/XSN+의/JKG
2가량은	2/SN+가량/XSN+은/JX
교육감	교육감/NNG
선거가	선거/NNG+가/JKS
'내	'/SS+나/NP+의/JKG
일'	일/NNG+'/SS
아닌	아니/VCN+ㄴ/ETM
'남	'/SS+남/NNG
일'이다.	일/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.6.2
720만명에 이르는 유·초·중·고생 자녀를 둔 학부모 1000만여명에게나 교육감 선거가 와 닿는 현실이지, 자녀 다 키웠거나, 자녀 없거나, 미혼의 유권자들한테는 그 얼굴이 그 얼굴이요, 그 공약이 그 공약일 수밖에 없는 선거다.

720만명에	720/SN+만/NR+명/NNB+에/JKB
이르는	이르/VV+는/ETM
유·초·중·고생	유·초·중·고/NNG+생/XSN
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
학부모	학부모/NNG
1000만여명에게나	1000/SN+만/NR+여/XSN+명/NNB+에게/JKB+나/JX
교육감	교육감/NNG
선거가	선거/NNG+가/JKS
와	오/VV+아/EC
닿는	닿/VV+는/ETM
현실이지,	현실/NNG+이/VCP+지/EC+,/SP
자녀	자녀/NNG
다	다/MAG
키웠거나,	키우/VV+었/EP+거나/EC+,/SP
없거나,	없/VA+거나/EC+,/SP
미혼의	미혼/NNG+의/JKG
유권자들한테는	유권자/NNG+들/XSN+한테/JKB+는/JX
그	그/MMD
얼굴이	얼굴/NNG+이/JKS
얼굴이요,	얼굴/NNG+이/VCP+요/EC+,/SP
공약이	공약/NNG+이/JKS
공약일	공약/NNG+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
선거다.	선거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.7.1
그나마 진보 진영에서는 전국 17개 시·도 중 13곳에서 단일화를 이뤄 후보 1명씩만 냈는데, 보수 진영에서는 부산 6명, 경기 5명, 서울·인천 등 7곳에서는 후보가 3명씩 난립해 각자 뛴다.

그나마	그나마/MAG
진보	진보/NNG
진영에서는	진영/NNG+에서/JKB+는/JX
전국	전국/NNG
17개	17/SN+개/NNB
시·도	시·도/NNG
중	중/NNB
13곳에서	13/SN+곳/NNG+에서/JKB
단일화를	단일/NNG+화/XSN+를/JKO
이뤄	이루/VV+어/EC
후보	후보/NNG
1명씩만	1/SN+명/NNB+씩/XSN+만/JX
냈는데,	내/VV+었/EP+는데/EC+,/SP
보수	보수/NNG
부산	부산/NNP
6명,	6/SN+명/NNB+,/SP
경기	경기/NNP
5명,	5/SN+명/NNB+,/SP
서울·인천	서울/NNP+·/SP+인천/NNP
등	등/NNB
7곳에서는	7/SN+곳/NNG+에서/JKB+는/JX
후보가	후보/NNG+가/JKS
3명씩	3/SN+명/NNB+씩/XSN
난립해	난립/NNG+하/XSV+아/EC
각자	각자/MAG
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000042.259.7.2
어떤 후보가 우리나라 교육을 책임질 자격이 있는 인물인지, 어떤 교육 철학과 정책으로 아이들을 보듬어 나갈지, 유권자 입장에서 옥석 가리기가 도무지 힘들다 보니 선거를 코앞에 둔 최근까지도 여론조사 하면 대중적으로 유명세 탄 후보가 앞서거나, 현직 교육감이 유리하거나, 응답자 절반 넘게 '무응답'해버리는 '깜깜이 선거' 그 자체다.

어떤	어떤/MMD
후보가	후보/NNG+가/JKS
우리나라	우리나라/NNG
교육을	교육/NNG+을/JKO
책임질	책임지/VV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있는	있/VA+는/ETM
인물인지,	인물/NNG+이/VCP+ㄴ지/EC+,/SP
교육	교육/NNG
철학과	철학/NNG+과/JC
정책으로	정책/NNG+으로/JKB
아이들을	아이/NNG+들/XSN+을/JKO
보듬어	보듬/VV+어/EC
나갈지,	나가/VX+ㄹ지/EC+,/SP
유권자	유권자/NNG
입장에서	입장/NNG+에서/JKB
옥석	옥석/NNG
가리기가	가리/VV+기/ETN+가/JKS
도무지	도무지/MAG
힘들다	힘들/VA+다/EF
보니	보/VX+니/EC
선거를	선거/NNG+를/JKO
코앞에	코앞/NNG+에/JKB
둔	두/VV+ㄴ/ETM
최근까지도	최근/NNG+까지/JX+도/JX
여론조사	여론/NNG+조사/NNG
하면	하/VV+면/EC
대중적으로	대중/NNG+적/XSN+으로/JKB
유명세	유명세/NNG
탄	타/VV+ㄴ/ETM
앞서거나,	앞서/VV+거나/EC+,/SP
현직	현직/NNG
교육감이	교육감/NNG+이/JKS
유리하거나,	유리/NNG+하/XSA+거나/EC+,/SP
응답자	응답자/NNG
절반	절반/NNG
넘게	넘/VV+게/EC
'무응답'해버리는	'/SS+무/XPN+응답/NNG+'/SS+하/VV+아/EC+버리/VX+는/ETM
'깜깜이	'/SS+깜깜이/NNG
선거'	선거/NNG+'/SS
그	그/MMD
자체다.	자체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.259.8.1
앞서 말한 그 개그 프로에서는 지지율 2%, 3%, 4%의 후보들이 지지율 7% 후보와 극적으로 단일화를 이뤄냈고, 군소 후보 대표가 된 개그맨 정형돈은 찡한 소견 발표로 막판 주목을 받는 데 성공했다.

앞서	앞서/MAG
말한	말/NNG+하/XSV+ㄴ/ETM
그	그/MMD
개그	개그/NNG
프로에서는	프로/NNG+에서/JKB+는/JX
지지율	지지/NNG+율/XSN
2%,	2/SN+%/SW+,/SP
3%,	3/SN+%/SW+,/SP
4%의	4/SN+%/SW+의/JKG
후보들이	후보/NNG+들/XSN+이/JKS
7%	7/SN+%/SW
후보와	후보/NNG+와/JC
극적으로	극/NNG+적/XSN+으로/JKB
단일화를	단일/NNG+화/XSN+를/JKO
이뤄냈고,	이루/VV+어/EC+내/VX+었/EP+고/EC+,/SP
군소	군소/NNG
후보	후보/NNG
대표가	대표/NNG+가/JKC
된	되/VV+ㄴ/ETM
개그맨	개그맨/NNG
정형돈은	정형돈/NNP+은/JX
찡한	찡/MAG+하/XSV+ㄴ/ETM
소견	소견/NNG
발표로	발표/NNG+로/JKB
막판	막판/NNG
주목을	주목/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.259.9.1
"보셔서 알겠지만 저희가 뭐 말 잘하는 사람이 있는 것도 아니고, 키 큰 사람이 있는 것도 아니고, 몸매 좋은 사람이 있는 것도 아니고, 굉장히 부족한 멤버들뿐입니다.

"보셔서	"/SS+보/VV+시/EP+어서/EC
알겠지만	알/VV+겠/EP+지만/EC
저희가	저희/NP+가/JKS
뭐	뭐/IC
말	말/NNG
잘하는	잘/MAG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
있는	있/VA+는/ETM
것도	것/NNB+도/JX
아니고,	아니/VCN+고/EC+,/SP
키	키/NNG
큰	크/VA+ㄴ/ETM
몸매	몸매/NNG
좋은	좋/VA+은/ETM
굉장히	굉장히/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
멤버들뿐입니다.	멤버/NNG+들/XSN+뿐/JX+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000042.259.9.2
하지만 이 사회의 절대다수는 평범한 사람들입니다.

하지만	하지만/MAJ
이	이/MMD
사회의	사회/NNG+의/JKG
절대다수는	절대다수/NNG+는/JX
평범한	평범하/VA+ㄴ/ETM
사람들입니다.	사람/NNG+들/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000042.259.9.3
그 평범한 사람들이 한 사람의 카리스마, 한 사람의 현란한 말솜씨가 아닌 절대다수가 세상을 바꿀 수 있는 기회를 주시기 바랍니다."

그	그/MMD
평범한	평범하/VA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
한	한/MMN
사람의	사람/NNG+의/JKG
카리스마,	카리스마/NNG+,/SP
현란한	현란/NNG+하/XSA+ㄴ/ETM
말솜씨가	말솜씨/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
절대다수가	절대다수/NNG+가/JKS
세상을	세상/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
주시기	주/VX+시/EP+기/ETN
바랍니다."	바라/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000042.259.10.1
교육감 선거는 이런 재치와 감각으로 유권자들의 막판 관심을 끌어낼 기미조차 안 보이니, 결국 유권자들한테 읍소할 수밖에 없다.

교육감	교육감/NNG
선거는	선거/NNG+는/JX
이런	이런/MMD
재치와	재치/NNG+와/JC
감각으로	감각/NNG+으로/JKB
유권자들의	유권자/NNG+들/XSN+의/JKG
막판	막판/NNG
관심을	관심/NNG+을/JKO
끌어낼	끌어내/VV+ㄹ/ETM
기미조차	기미/NNG+조차/JX
안	안/MAG
보이니,	보이/VV+니/EC+,/SP
결국	결국/MAG
유권자들한테	유권자/NNG+들/XSN+한테/JKB
읍소할	읍소/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000042.259.10.2
제발 '교육은 나라의 미래'이니, 공약도, 사람 됨됨이도 한 줄이라도 더 읽어보고 관심 좀 가져달라고.

제발	제발/MAG
'교육은	'/SS+교육/NNG+은/JX
나라의	나라/NNG+의/JKG
미래'이니,	미래/NNG+'/SS+이/VCP+니/EC+,/SP
공약도,	공약/NNG+도/JX+,/SP
사람	사람/NNG
됨됨이도	됨됨이/NNG+도/JX
한	한/MMN
줄이라도	줄/NNG+이/VCP+라도/EC
더	더/MAG
읽어보고	읽/VV+어/EC+보/VX+고/EC
관심	관심/NNG
좀	좀/MAG
가져달라고.	가지/VV+어/EC+달/VX+라고/EF+./SF


# id : NWRW1800000042.259.11.1
그리고 이번 선거는 어쩔 수 없다 쳐도, 이런 '깜깜이 교육감 선거'는 정말이지 다음 선거에선 원점에서 재검토해야 할 듯싶다.

그리고	그리고/MAJ
이번	이번/NNG
선거는	선거/NNG+는/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EF
쳐도,	치/VV+어도/EC+,/SP
이런	이런/MMD
'깜깜이	'/SS+깜깜이/NNG
교육감	교육감/NNG
선거'는	선거/NNG+'/SS+는/JX
정말이지	정말/NNG+이/VCP+지/EC
다음	다음/NNG
선거에선	선거/NNG+에서/JKB+ㄴ/JX
원점에서	원점/NNG+에서/JKB
재검토해야	재/XPN+검토/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
듯싶다.	듯/NNB+싶/VX+다/EF+./SF


