# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.233
metadata : {}


# id : NWRW1800000038.233.1.1
'화려한 부활' 노리는 박지성, '눈부신 데뷔' 꿈꾸는 윤석영

'화려한	'/SS+화려하/VA+ㄴ/ETM
팀의	팀/NNG+의/JKG
'캡틴'	'/SS+캡틴/NNG+'/SS
자리에서	자리/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
박지성은	박지성/NNP+은/JX
최근엔	최근/NNG+에/JKB+ㄴ/JX
벤치	벤치/NNG
신세로	신세/NNG+로/JKB
전락했다.	전락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.233.8.3
그런 박지성이 강호 맨유를 맞아 인상적인 활약을 펼친다면 레드냅 감독의 신뢰를 다시 얻을 수 있다.

그런	그런/MMD
박지성이	박지성/NNP+이/JKS
강호	강호/NNG
맨유를	맨유/NNP+를/JKO
맞아	맞/VV+아/EC
인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼친다면	펼치/VV+ㄴ다면/EC
레드냅	레드냅/NNP
감독의	감독/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
다시	다시/MAG
얻을	얻/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.233.9.1
지난 1일 전남 드래곤즈에서 QPR로 이적한 윤석영은 잉글랜드 무대 데뷔전을 치를 가능성이 크다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
전남	전남/NNP
드래곤즈에서	드래곤즈/NNP+에서/JKB
QPR로	QPR/SL+로/JKB
이적한	이적/NNG+하/XSV+ㄴ/ETM
윤석영은	윤석영/NNP+은/JX
잉글랜드	잉글랜드/NNP
무대	무대/NNG
데뷔전을	데뷔전/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.233.9.2
팀의 주전 왼쪽 측면 수비수 아르망 트라오레(24·프랑스)는 지난 10일 스완지시티전(1대4 패)에서 상대 공격수를 번번이 놓쳐 패배의 빌미를 제공했다.

팀의	팀/NNG+의/JKG
주전	주전/NNG
왼쪽	왼쪽/NNG
측면	측면/NNG
수비수	수비수/NNG
아르망	아르망/NNP
트라오레(24·프랑스)는	트라오레/NNP+(/SS+24/SN+·/SP+프랑스/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
스완지시티전(1대4	스완지시티전/NNG+(/SS+1/SN+대/NNB+4/SN
패)에서	패/NNG+)/SS+에서/JKB
상대	상대/NNG
공격수를	공격수/NNG+를/JKO
번번이	번번이/MAG
놓쳐	놓치/VV+어/EC
패배의	패배/NNG+의/JKG
빌미를	빌미/NNG+를/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.233.9.3
다른 측면 수비수인 파비우 다 실바(23·브라질)는 맨유에서 임대 온 선수라 원소속팀과의 경기에 나서지 못한다.

다른	다른/MMD
측면	측면/NNG
수비수인	수비수/NNG+이/VCP+ㄴ/ETM
파비우	파비우/NNP
다	다/NNP
실바(23·브라질)는	실바/NNP+(/SS+23/SN+·/SP+브라질/NNP+)/SS+는/JX
맨유에서	맨유/NNP+에서/JKB
임대	임대/NNG
온	오/VV+ㄴ/ETM
선수라	선수/NNG+이/VCP+라/EC
원소속팀과의	원소속/NNG+팀/NNG+과/JKB+의/JKG
경기에	경기/NNG+에/JKB
나서지	나서/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.233.10.1
윤석영은 최근 UAE(아랍에미리트) 두바이에서 진행된 전지훈련에서 팀 동료와 스스럼없이 농담을 나눌 정도로 팀에 빠르게 적응하고 있다.

윤석영은	윤석영/NNP+은/JX
최근	최근/NNG
UAE(아랍에미리트)	UAE/SL+(/SS+아랍에미리트/NNP+)/SS
두바이에서	두바이/NNP+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
전지훈련에서	전지훈련/NNG+에서/JKB
팀	팀/NNG
동료와	동료/NNG+와/JKB
스스럼없이	스스럼없이/MAG
농담을	농담/NNG+을/JKO
나눌	나누/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
팀에	팀/NNG+에/JKB
빠르게	빠르/VA+게/EC
적응하고	적응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.233.10.2
그는 "처음에는 한국과 달라 신기했지만 막상 생활해보니 큰 차이 없었다"며 "몸 상태가 아주 좋은 만큼 맨유전에 꼭 출전했으면 좋겠다"고 했다.

그는	그/NP+는/JX
"처음에는	"/SS+처음/NNG+에/JKB+는/JX
한국과	한국/NNP+과/JKB
달라	다르/VA+아/EC
신기했지만	신기하/VA+았/EP+지만/EC
막상	막상/MAG
생활해보니	생활/NNG+하/XSV+아/EC+보/VX+니/EC
큰	크/VA+ㄴ/ETM
차이	차이/NNG
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"몸	"/SS+몸/NNG
상태가	상태/NNG+가/JKS
아주	아주/MAG
좋은	좋/VA+은/ETM
만큼	만큼/NNB
맨유전에	맨유전/NNG+에/JKB
꼭	꼭/MAG
출전했으면	출전/NNG+하/XSV+았/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


