# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.326
metadata : {}


# id : NWRW1800000041.326.1.1
北당국 “몰래 ‘정도전’ 보면 엄벌”

北당국	北/SH+당국/NNG
# id : NWRW1800000041.326.4.2
그는 “하지만 실제 단속 이유는 정도전이 북한에서 매우 금기시하는 역성혁명(易姓革命)을 다루고 있기 때문일 것”이라고 덧붙였다.

그는	그/NP+는/JX
“하지만	“/SS+하지만/MAJ
실제	실제/NNG
단속	단속/NNG
이유는	이유/NNG+는/JX
정도전이	정도전/NNP+이/JKS
북한에서	북한/NNP+에서/JKB
매우	매우/MAG
금기시하는	금기/NNG+시/XSN+하/XSV+는/ETM
역성혁명(易姓革命)을	역성혁명/NNG+(/SS+易姓革命/SH+)/SS+을/JKO
다루고	다루/VV+고/EC
있기	있/VX+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.5.1
드라마 정도전은 이성계와 함께 왕(王) 씨의 고려왕조를 무너뜨리고 새로운 이(李) 씨 왕조를 건국한 조선시대 개국공신 정도전의 이야기를 담고 있다.

드라마	드라마/NNG
정도전은	정도전/NNP+은/JX
이성계와	이성계/NNP+와/JKB
함께	함께/MAG
왕(王)	왕/NNP+(/SS+王/SH+)/SS
씨의	씨/NNB+의/JKG
고려왕조를	고려/NNG+왕조/NNG+를/JKO
무너뜨리고	무너뜨리/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
이(李)	이/NNP+(/SS+李/SH+)/SS
씨	씨/NNB
왕조를	왕조/NNG+를/JKO
건국한	건국/NNG+하/XSV+ㄴ/ETM
조선시대	조선시대/NNG
개국공신	개국/NNG+공신/NNG
정도전의	정도전/NNP+의/JKG
이야기를	이야기/NNG+를/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.326.5.2
실제 역사를 바탕으로 신하들이 왕을 몰아내는 과정을 담고 있어 ‘백두혈통론’을 내세우며 3대 세습을 정당화하는 김정은 체제에 매우 위협적일 수밖에 없다.

실제	실제/NNG
역사를	역사/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
신하들이	신하/NNG+들/XSN+이/JKS
왕을	왕/NNG+을/JKO
몰아내는	몰아내/VV+는/ETM
과정을	과정/NNG+을/JKO
담고	담/VV+고/EC
있어	있/VX+어/EC
‘백두혈통론’을	‘/SS+백두/NNP+혈통/NNG+론/XSN+’/SS+을/JKO
내세우며	내세우/VV+며/EC
3대	3/SN+대/NNB
세습을	세습/NNG+을/JKO
정당화하는	정당화/NNG+하/XSV+는/ETM
김정은	김정은/NNP
체제에	체제/NNG+에/JKB
매우	매우/MAG
위협적일	위협/NNG+적/XSN+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.326.6.1
드라마 속 이성계 묘사가 북한 학교에서 가르치는 역사와 정면으로 어긋난다는 것도 통제의 배경인 것으로 알려졌다.

드라마	드라마/NNG
속	속/NNG
이성계	이성계/NNP
묘사가	묘사/NNG+가/JKS
북한	북한/NNP
학교에서	학교/NNG+에서/JKB
가르치는	가르치/VV+는/ETM
역사와	역사/NNG+와/JKB
정면으로	정면/NNG+으로/JKB
어긋난다는	어긋나/VV+ㄴ다는/ETM
것도	것/NNB+도/JX
통제의	통제/NNG+의/JKG
배경인	배경/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.6.2
북한은 이성계가 권력에 눈이 멀어 고구려 영토를 찾을 수 있는 절호의 기회를 날린 만고의 역적이라고 가르쳐왔다.

북한은	북한/NNP+은/JX
이성계가	이성계/NNP+가/JKS
권력에	권력/NNG+에/JKB
눈이	눈/NNG+이/JKS
멀어	멀/VV+어/EC
고구려	고구려/NNP
영토를	영토/NNG+를/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
절호의	절호/NNG+의/JKG
기회를	기회/NNG+를/JKO
날린	날리/VV+ㄴ/ETM
만고의	만고/NNG+의/JKG
역적이라고	역적/NNG+이/VCP+라고/EC
가르쳐왔다.	가르치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.326.6.3
게다가 북한 역사교과서에선 정도전의 이름조차 언급되지 않는다.

게다가	게다가/MAG
북한	북한/NNP
역사교과서에선	역사/NNG+교과서/NNG+에서/JKB+ㄴ/JX
정도전의	정도전/NNP+의/JKG
이름조차	이름/NNG+조차/JX
언급되지	언급/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.326.6.4
반면 정몽주는 고려의 충신이라고 가르치고 있다.

반면	반면/NNG
정몽주는	정몽주/NNP+는/JX
고려의	고려/NNP+의/JKG
충신이라고	충신/NNG+이/VCP+라고/EC
가르치고	가르치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.326.7.1
북한소식통은 “이번처럼 제목을 거론하며 불법 시청자 엄벌 지시가 하달된 것은 2000년대 중반에 한 번 있었다.

북한소식통은	북한/NNP+소식통/NNG+은/JX
“이번처럼	“/SS+이번/NNG+처럼/JKB
제목을	제목/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
불법	불법/NNG
시청자	시청자/NNG
엄벌	엄벌/NNG
지시가	지시/NNG+가/JKS
하달된	하달/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2000년대	2000/SN+년대/NNB
중반에	중반/NNG+에/JKB
한	한/MMN
번	번/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.326.7.2
중국의 50부작 드라마 ‘황제의 딸’이었다”고 말했다.

중국의	중국/NNP+의/JKG
50부작	50/SN+부작/NNB
드라마	드라마/NNG
‘황제의	‘/SS+황제/NNG+의/JKG
딸’이었다”고	딸/NNG+’/SS+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.326.7.3
이 드라마에는 난봉꾼인 황제와 권력 및 사랑을 차지하려고 싸우는 왕후와 첩, 자식들의 음모와 배신 등 궁중암투가 상세하게 나온다.

이	이/MMD
드라마에는	드라마/NNG+에/JKB+는/JX
난봉꾼인	난봉/NNG+꾼/XSN+이/VCP+ㄴ/ETM
황제와	황제/NNG+와/JC
권력	권력/NNG
및	및/MAG
사랑을	사랑/NNG+을/JKO
차지하려고	차지/NNG+하/XSV+려고/EC
싸우는	싸우/VV+는/ETM
왕후와	왕후/NNG+와/JC
첩,	첩/NNG+,/SP
자식들의	자식/NNG+들/XSN+의/JKG
음모와	음모/NNG+와/JC
배신	배신/NNG
등	등/NNB
궁중암투가	궁중/NNG+암투/NNG+가/JKS
상세하게	상세하/VA+게/EC
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.326.7.4
북한 주민들은 당시 이 드라마를 몰래 보면서 “우리(김정일 집안)도 저런 일이 벌어지겠지”라는 말을 나눴던 것으로 알려졌다.

북한	북한/NNP
주민들은	주민/NNG+들/XSN+은/JX
당시	당시/NNG
이	이/MMD
드라마를	드라마/NNG+를/JKO
몰래	몰래/MAG
보면서	보/VV+면서/EC
“우리(김정일	“/SS+우리/NP+(/SS+김정일/NNP
집안)도	집안/NNG+)/SS+도/JX
저런	저런/MMD
일이	일/NNG+이/JKS
벌어지겠지”라는	벌어지/VV+겠/EP+지/EF+”/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
나눴던	나누/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.8.1
북한은 역사물에서 왕 또는 왕가를 다루는 것을 금기시한다.

북한은	북한/NNP+은/JX
역사물에서	역사물/NNG+에서/JKB
왕	왕/NNG
또는	또는/MAG
왕가를	왕가/NNG+를/JKO
다루는	다루/VV+는/ETM
것을	것/NNB+을/JKO
금기시한다.	금기/NNG+시/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.326.8.2
주민들이 사실상 왕조체제인 북한의 현실과 비교하기 때문이다.

주민들이	주민/NNG+들/XSN+이/JKS
사실상	사실/NNG+상/XSN
왕조체제인	왕조/NNG+체제/NNG+이/VCP+ㄴ/ETM
북한의	북한/NNP+의/JKG
현실과	현실/NNG+과/JKB
비교하기	비교/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.326.8.3
과거에는 임꺽정이나 홍길동처럼 지배계층의 수탈이나 출신성분에 항거하는 주인공을 내세운 영화를 만들었지만 1990년대 이후 간부들의 수탈에 대한 주민 불만이 고조되자 이런 소재도 금기시됐다.

과거에는	과거/NNG+에/JKB+는/JX
임꺽정이나	임꺽정/NNP+이나/JC
홍길동처럼	홍길동/NNP+처럼/JKB
지배계층의	지배/NNG+계층/NNG+의/JKG
수탈이나	수탈/NNG+이나/JC
출신성분에	출신/NNG+성분/NNG+에/JKB
항거하는	항거/NNG+하/XSV+는/ETM
주인공을	주인공/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
영화를	영화/NNG+를/JKO
만들었지만	만들/VV+었/EP+지만/EC
1990년대	1990/SN+년대/NNB
이후	이후/NNG
간부들의	간부/NNG+들/XSN+의/JKG
수탈에	수탈/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주민	주민/NNG
불만이	불만/NNG+이/JKS
고조되자	고조/NNG+되/XSV+자/EC
이런	이런/MMD
소재도	소재/NNG+도/JX
금기시됐다.	금기/NNG+시/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.9.1
결국 북한에서 역사물로 다룰 수 있는 소재는 2010년 제작된 드라마 ‘계월향’처럼 왜적에게 맞서 싸우는 내용뿐인 셈이다.

결국	결국/MAG
북한에서	북한/NNP+에서/JKB
역사물로	역사물/NNG+로/JKB
다룰	다루/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
소재는	소재/NNG+는/JX
2010년	2010/SN+년/NNB
제작된	제작/NNG+되/XSV+ㄴ/ETM
드라마	드라마/NNG
‘계월향’처럼	‘/SS+계월향/NNP+’/SS+처럼/JKB
왜적에게	왜적/NNG+에게/JKB
맞서	맞서/VV+어/EC
싸우는	싸우/VV+는/ETM
내용뿐인	내용/NNG+뿐/JX+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.326.9.2
하지만 이 드라마도 외부 드라마를 몰래 보며 눈이 높아진 북한 주민의 외면으로 조기 종영됐다.

하지만	하지만/MAJ
이	이/MMD
드라마도	드라마/NNG+도/JX
외부	외부/NNG
드라마를	드라마/NNG+를/JKO
몰래	몰래/MAG
보며	보/VV+며/EC
눈이	눈/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
북한	북한/NNP
주민의	주민/NNG+의/JKG
외면으로	외면/NNG+으로/JKB
조기	조기/NNG
종영됐다.	종영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.9.3
북한에서 드라마 방영이 가능한 전국채널은 조선중앙TV가 유일하다.

북한에서	북한/NNP+에서/JKB
드라마	드라마/NNG
방영이	방영/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
전국채널은	전국/NNG+채널/NNG+은/JX
조선중앙TV가	조선중앙TV/NNP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.326.10.1
한편 최근에는 북한에 스마트패드, 노트텔, USB 등 다양한 영상 재생기기와 저장매체가 유통되면서 보위부가 단속에 애를 먹고 있는 것으로 알려졌다.

한편	한편/MAG
최근에는	최근/NNG+에/JKB+는/JX
북한에	북한/NNP+에/JKB
스마트패드,	스마트/NNG+패드/NNG+,/SP
노트텔,	노트텔/NNG+,/SP
USB	USB/SL
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
영상	영상/NNG
재생기기와	재생/NNG+기기/NNG+와/JC
저장매체가	저장/NNG+매체/NNG+가/JKS
유통되면서	유통/NNG+되/XSV+면서/EC
보위부가	보위부/NNG+가/JKS
단속에	단속/NNG+에/JKB
애를	애/NNG+를/JKO
먹고	먹/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.326.10.2
외부 영상물은 밀수꾼을 통해 북한에 유입되곤 한다.

외부	외부/NNG
영상물은	영상물/NNG+은/JX
밀수꾼을	밀수/NNG+꾼/XSN+을/JKO
통해	통하/VV+아/EC
북한에	북한/NNP+에/JKB
유입되곤	유입/NNG+되/XSV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.326.10.3
최근에는 북한 상인들이 중국의 거래 상대에게 특정 드라마를 요구하거나 북한 인권단체들이 몰래 살포하는 사례가 늘어난 것으로 알려졌다.

최근에는	최근/NNG+에/JKB+는/JX
북한	북한/NNP
상인들이	상인/NNG+들/XSN+이/JKS
중국의	중국/NNP+의/JKG
거래	거래/NNG
상대에게	상대/NNG+에게/JKB
특정	특정/NNG
드라마를	드라마/NNG+를/JKO
요구하거나	요구/NNG+하/XSV+거나/EC
인권단체들이	인권/NNG+단체/NNG+들/XSN+이/JKS
몰래	몰래/MAG
살포하는	살포/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


