# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.383
metadata : {}


# id : NWRW1800000044.383.1.1
‘웃찾사’ 정치풍자 개그 ‘LTE 뉴스’ 실종 사건

‘웃찾사’	‘/SS+웃찾사/NNG+’/SS
부분이	부분/NNG+이/JKS
문제가	문제/NNG+가/JKC
되어	되/VV+어/EC
삭제됐을	삭제/NNG+되/XSV+었/EP+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.383.6.1
이 프로그램의 이창태 책임피디는 <한겨레>와의 통화에서 “‘엘티이 뉴스’에서 정부 비판은 매주 해왔는데 그날 방영분만 외압이 들어와 삭제했다는 건 말이 안 된다”고 주장했다.

이	이/MMD
프로그램의	프로그램/NNG+의/JKG
이창태	이창태/NNP
책임피디는	책임/NNG+피디/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“‘엘티이	“/SS+‘/SS+엘티이/NNG
뉴스’에서	뉴스/NNG+’/SS+에서/JKB
정부	정부/NNG
비판은	비판/NNG+은/JX
매주	매주/MAG
해왔는데	하/VV+아/EC+오/VX+았/EP+는데/EC
그날	그날/NNG
방영분만	방영/NNG+분/XSN+만/JX
외압이	외압/NNG+이/JKS
들어와	들어오/VV+아/EC
삭제했다는	삭제/NNG+하/XSV+았/EP+다는/ETM
건	거/NNB+ㄴ/JX
말이	말/NNG+이/JKC
안	안/MAG
된다”고	되/XSV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.383.6.2
이 피디는 “3일 방송에서 우리나라가 의학적으로 원인불명인 사망자의 비율이 전세계 1위라고 말한 부분이 실종, 납치로 사람들이 많이 죽었다는 식으로 오해할 수 있다는 판단에 따라 삭제한 것”이라며 “코미디는 코미디일 뿐이다.

이	이/NNP
피디는	피디/NNG+는/JX
“3일	“/SS+3/SN+일/NNB
방송에서	방송/NNG+에서/JKB
우리나라가	우리나라/NNG+가/JKS
의학적으로	의학/NNG+적/XSN+으로/JKB
원인불명인	원인/NNG+불명/NNG+이/VCP+ㄴ/ETM
사망자의	사망자/NNG+의/JKG
비율이	비율/NNG+이/JKS
전세계	전/MMN+세계/NNG
1위라고	1/SN+위/NNB+이/VCP+라고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
실종,	실종/NNG+,/SP
납치로	납치/NNG+로/JKB
사람들이	사람/NNG+들/XSN+이/JKS
많이	많이/MAG
죽었다는	죽/VV+었/EP+다는/ETM
식으로	식/NNB+으로/JKB
오해할	오해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“코미디는	“/SS+코미디/NNG+는/JX
코미디일	코미디/NNG+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.383.6.3
외압이나 정치적 이유 등 확대해석을 하면 오히려 코미디적 상상력을 해칠 수 있다”고 말했다.

외압이나	외압/NNG+이나/JC
정치적	정치/NNG+적/XSN
이유	이유/NNG
등	등/NNB
확대해석을	확대/NNG+해석/NNG+을/JKO
하면	하/VV+면/EC
오히려	오히려/MAG
코미디적	코미디/NNG+적/XSN
상상력을	상상력/NNG+을/JKO
해칠	해치/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.383.7.1
채수현 에스비에스 노조위원장은 “제작진의 해명이 설득력이 떨어진다”며, 편성위에서 회사 쪽 해명을 들어본 뒤 구체적인 대응 방안을 정하겠다고 밝혔다.

채수현	채수현/NNP
에스비에스	에스비에스/NNP
노조위원장은	노조/NNG+위원장/NNG+은/JX
“제작진의	“/SS+제작진/NNG+의/JKG
해명이	해명/NNG+이/JKS
설득력이	설득력/NNG+이/JKS
떨어진다”며,	떨어지/VV+ㄴ다/EF+”/SS+며/EC+,/SP
편성위에서	편성위/NNG+에서/JKB
회사	회사/NNG
쪽	쪽/NNB
해명을	해명/NNG+을/JKO
들어본	듣/VV+어/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
대응	대응/NNG
방안을	방안/NNG+을/JKO
정하겠다고	정하/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


