# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.373
metadata : {}


# id : NWRW1800000040.373.1.1
개성공단기업 대표들, 9일 비상회의 열기로

개성공단기업	개성공단/NNP+기업/NNG
입주기업의 한 대표는 “현재 개성공단관리위원회와 공단에 남아 있는 기업대표들, 북쪽 중앙특구개발지도총국 관계자들 사이에 깊이 있는 대화가 이뤄지고 있고, 북쪽도 가동 상황 등을 주의 깊게 들여다 보고 있다”며 기대감을 나타냈다.

입주기업의	입주/NNG+기업/NNG+의/JKG
한	한/MMN
대표는	대표/NNG+는/JX
“현재	“/SS+현재/MAG
개성공단관리위원회와	개성공단관리위원회/NNP+와/JC
공단에	공단/NNG+에/JKB
남아	남/VV+아/EC
있는	있/VA+는/ETM
기업대표들,	기업/NNG+대표/NNG+들/XSN+,/SP
북쪽	북쪽/NNG
중앙특구개발지도총국	중앙/NNG+특구/NNG+개발/NNG+지도/NNG+총국/NNG
관계자들	관계자/NNG+들/XSN
사이에	사이/NNG+에/JKB
깊이	깊이/MAG
대화가	대화/NNG+가/JKS
이뤄지고	이뤄지/VV+고/EC
있고,	있/VX+고/EC+,/SP
북쪽도	북쪽/NNG+도/JX
가동	가동/NNG
상황	상황/NNG
등을	등/NNB+을/JKO
주의	주의/NNG
깊게	깊/VA+게/EC
들여다	들이/VV+어다/EC
보고	보/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.373.6.2
그는 “이대로 두면 사실상 입주기업 모두가 가동이 중단되고, 이는 폐쇄와 다를 바 없다는 걸 북쪽도 알고 있을 것”이라며 “시급하지 않은 게 없지만 일단 월요일부터 북쪽이 엘엔지(LNG) 및 프로팬 등 가스공급과 식·음료부터라도 숨통을 열어주면서 단계적으로라도 통행을 허용하는 쪽으로 갔으면 한다”고 말했다.

그는	그/NP+는/JX
“이대로	“/SS+이대로/MAG
두면	두/VV+면/EC
사실상	사실/NNG+상/XSN
입주기업	입주/NNG+기업/NNG
모두가	모두/NNG+가/JKS
가동이	가동/NNG+이/JKS
중단되고,	중단/NNG+되/XSV+고/EC+,/SP
이는	이/NP+는/JX
폐쇄와	폐쇄/NNG+와/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다는	없/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
북쪽도	북쪽/NNG+도/JX
알고	알/VV+고/EC
있을	있/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“시급하지	“/SS+시급하/VA+지/EC
않은	않/VX+은/ETM
게	거/NNB+이/JKS
없지만	없/VA+지만/EC
일단	일단/MAG
월요일부터	월요일/NNG+부터/JX
북쪽이	북쪽/NNG+이/JKS
엘엔지(LNG)	엘엔지/NNG+(/SS+LNG/SL+)/SS
및	및/MAG
프로팬	프로팬/NNG
등	등/NNB
가스공급과	가스/NNG+공급/NNG+과/JC
식·음료부터라도	식·음료/NNG+부터/JX+이/VCP+라도/EC
숨통을	숨통/NNG+을/JKO
열어주면서	열/VV+어/EC+주/VX+면서/EC
단계적으로라도	단계/NNG+적/XSN+으로/JKB+이/VCP+라도/EC
통행을	통행/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
갔으면	가/VV+았/EP+으면/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.373.7.1
이날 현재 개성공단에 체류 중인 남쪽 인원은 평상시 주말보다 두 배 정도 많은 514명인 것으로 확인됐다.

이날	이날/NNG
현재	현재/MAG
개성공단에	개성공단/NNP+에/JKB
체류	체류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
남쪽	남쪽/NNG
인원은	인원/NNG+은/JX
평상시	평상시/NNG
주말보다	주말/NNG+보다/JKB
두	두/MMN
배	배/NNG
정도	정도/NNG
많은	많/VA+은/ETM
514명인	514/SN+명/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.373.7.2
원래 북한의 청명절 연휴라 귀환 예정인원이 없었으나 남쪽 직원 1명이 건강 악화로 동료들과 함께 북쪽의 협조를 돌아왔다.

원래	원래/MAG
북한의	북한/NNP+의/JKG
청명절	청명절/NNG
연휴라	연휴/NNG+이/VCP+라/EC
귀환	귀환/NNG
예정인원이	예정/NNG+인원/NNG+이/JKS
없었으나	없/VA+었/EP+으나/EC
남쪽	남쪽/NNG
직원	직원/NNG
1명이	1/SN+명/NNB+이/JKS
건강	건강/NNG
악화로	악화/NNG+로/JKB
동료들과	동료/NNG+들/XSN+과/JKB
함께	함께/MAG
북쪽의	북쪽/NNG+의/JKG
협조를	협조/NNG+를/JKO
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


