# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.270
metadata : {}


# id : NWRW1800000026.270.1.1
[태평로] 모두가 조금씩 잘못한 전쟁이었다고?

[태평로]	[/SS+태평로/NNP+]/SS
"전쟁?

"전쟁?	"/SS+전쟁/NNG+?/SF


# id : NWRW1800000026.270.7.5
참혹하긴 했지.

참혹하긴	참혹/NNG+하/XSA+기/ETN+ㄴ/JX
했지.	하/VX+았/EP+지/EF+./SF


# id : NWRW1800000026.270.7.6
그렇지만 어느 한쪽이 일방적으로 잘했다거나 일방적으로 잘못했다고 할 순 없어.

그렇지만	그렇지만/MAJ
어느	어느/MMD
한쪽이	한쪽/NNG+이/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
잘했다거나	잘/MAG+하/XSV+았/EP+다/EF+거나/JX
잘못했다고	잘못/MAG+하/XSV+았/EP+다고/EC
할	하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없어.	없/VA+어/EF+./SF


# id : NWRW1800000026.270.7.7
다들 조금씩 비난받을 만한 측면이 있는 거야."

다들	다/MAG+들/XSN
조금씩	조금/NNG+씩/XSN
비난받을	비난/NNG+받/XSV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있는	있/VA+는/ETM
거야."	거/NNB+이/VCP+야/EF+./SF+"/SS


# id : NWRW1800000026.270.8.1
한국은 대학뿐만 아니라 초·중·고가 다 문제다.

한국은	한국/NNP+은/JX
대학뿐만	대학/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
초·중·고가	초·중·고/NNG+가/JKS
다	다/MAG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.270.8.2
'제2차 대전 희생자'란 포괄적이고도 순진한 표현 속에 일본군 전범들과 1700만 아시아 희생자들이 한데 뭉뚱그려지는 날이 오지 않는다고 누가 장담하겠는가.

'제2차	'/SS+제/XPN+2/SN+차/NNB
대전	대전/NNG
희생자'란	희생자/NNG+'/SS+이/VCP+란/ETM
포괄적이고도	포괄/NNG+적/XSN+이/VCP+고/EC+도/JX
순진한	순진/NNG+하/XSA+ㄴ/ETM
표현	표현/NNG
속에	속/NNG+에/JKB
일본군	일본군/NNG
전범들과	전범/NNG+들/XSN+과/JC
1700만	1700/SN+만/NR
아시아	아시아/NNP
희생자들이	희생자/NNG+들/XSN+이/JKS
한데	한데/NNG
뭉뚱그려지는	뭉뚱그리/VV+어/EC+지/VX+는/ETM
날이	날/NNG+이/JKS
오지	오/VV+지/EC
않는다고	않/VX+는다고/EC
누가	누구/NP+가/JKS
장담하겠는가.	장담/NNG+하/XSV+겠/EP+는가/EF+./SF


# id : NWRW1800000026.270.8.3
더구나 '순진한 대한민국의 낙관주의'가 전성기를 맞고 있지 않은가.

더구나	더구나/MAG
'순진한	'/SS+순진/NNG+하/XSA+ㄴ/ETM
대한민국의	대한민국/NNP+의/JKG
낙관주의'가	낙관주의/NNG+'/SS+가/JKS
전성기를	전성기/NNG+를/JKO
맞고	맞/VV+고/EC
있지	있/VX+지/EC
않은가.	않/VX+은가/EF+./SF


