# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.206
metadata : {}


# id : NWRW1800000033.206.1.1
좀도둑에 2억 뜯은 보안요원… 그 뒤엔 홈플러스

좀도둑에	좀도둑/NNG+에/JKB
회장(66)은	회장/NNG+(/SS+66/SN+)/SS+은/JX
기업의	기업/NNG+의/JKG
사회적	사회/NNG+적/XSN
책임에	책임/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제협약인	국제/NNG+협약/NNG+이/VCP+ㄴ/ETM
‘유엔글로벌콤팩트(UNGC)’의	‘/SS+유엔글로벌콤팩트/NNP+(/SS+UNGC/SL+)/SS+’/SS+의/JKG
한국협회장을	한국/NNP+협회장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.206.4.1
이런 사례는 홈플러스에서 한두 번 일어난 게 아니다.

이런	이런/MMD
사례는	사례/NNG+는/JX
홈플러스에서	홈플러스/NNP+에서/JKB
한두	한두/MMN
번	번/NNB
일어난	일어나/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.206.4.2
2010년 7월부터 올해 7월까지 수도권의 홈플러스 지점 10곳에서 물건을 훔치다 걸린 130명이 보안요원에게 합의금 명목으로 2억여 원을 빼앗긴 것으로 15일 경찰 조사 결과 새롭게 드러났다.

2010년	2010/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
올해	올해/NNG
7월까지	7/SN+월/NNB+까지/JX
수도권의	수도/NNG+권/XSN+의/JKG
홈플러스	홈플러스/NNP
지점	지점/NNG
10곳에서	10/SN+곳/NNG+에서/JKB
물건을	물건/NNG+을/JKO
훔치다	훔치/VV+다/EC
걸린	걸리/VV+ㄴ/ETM
130명이	130/SN+명/NNB+이/JKS
보안요원에게	보안/NNG+요원/NNG+에게/JKB
합의금	합의금/NNG
명목으로	명목/NNG+으로/JKB
2억여	2/SN+억/NR+여/XSN
원을	원/NNB+을/JKO
빼앗긴	빼앗기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
15일	15/SN+일/NNB
경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
새롭게	새롭/VA+게/EC
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.4.3
전현직 지점장 13명과 본사 부장급 등 총 17명의 홈플러스 관계자가 경비요원들에게 합의나 훈방 등 경비업무를 벗어난 행위를 시킨 혐의(경비업법 위반)로 불구속 입건됐다.

전현직	전현직/NNG
지점장	지점장/NNG
13명과	13/SN+명/NNB+과/JC
본사	본사/NNG
부장급	부장급/NNG
등	등/NNB
총	총/MMA
17명의	17/SN+명/NNB+의/JKG
홈플러스	홈플러스/NNP
관계자가	관계자/NNG+가/JKS
경비요원들에게	경비/NNG+요원/NNG+들/XSN+에게/JKB
합의나	합의/NNG+나/JC
훈방	훈방/NNG
경비업무를	경비/NNG+업무/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
행위를	행위/NNG+를/JKO
시킨	시키/VV+ㄴ/ETM
혐의(경비업법	혐의/NNG+(/SS+경비업법/NNG
위반)로	위반/NNG+)/SS+로/JKB
불구속	불/XPN+구속/NNG
입건됐다.	입건/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.4.4
보안요원 48명도 물건을 훔친 사람을 협박한 혐의(공동공갈)로 불구속 입건됐다.

보안요원	보안/NNG+요원/NNG
48명도	48/SN+명/NNB+도/JX
물건을	물건/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
사람을	사람/NNG+을/JKO
협박한	협박/NNG+하/XSV+ㄴ/ETM
혐의(공동공갈)로	혐의/NNG+(/SS+공동/NNG+공갈/NNG+)/SS+로/JKB
불구속	불/XPN+구속/NNG
입건됐다.	입건/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.5.1
9일 서울중앙지검이 홈플러스 보안요원과 짜고 고객에게 과도한 합의금을 요구한 뒤 뒷돈을 챙긴 혐의로 인천 남동경찰서 소속 유모 경장(34)과 보안팀장 3명을 구속하면서 일단락될 줄 알았던 사건이 본사 직원 등 입건자만 73명으로 일파만파 커진 것이다.

9일	9/SN+일/NNB
서울중앙지검이	서울중앙지검/NNP+이/JKS
홈플러스	홈플러스/NNP
보안요원과	보안/NNG+요원/NNG+과/JKB
짜고	짜/VV+고/EC
고객에게	고객/NNG+에게/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
합의금을	합의금/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
뒷돈을	뒷돈/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
인천	인천/NNP
남동경찰서	남동경찰서/NNP
소속	소속/NNG
유모	유/NNP+모/NP
경장(34)과	경장/NNG+(/SS+34/SN+)/SS+과/JC
보안팀장	보안/NNG+팀장/NNG
3명을	3/SN+명/NNB+을/JKO
구속하면서	구속/NNG+하/XSV+면서/EC
일단락될	일단락/NNG+되/XSV+ㄹ/ETM
줄	줄/NNB
알았던	알/VV+았/EP+던/ETM
사건이	사건/NNG+이/JKS
본사	본사/NNG
직원	직원/NNG
등	등/NNB
입건자만	입건자/NNG+만/JX
73명으로	73/SN+명/NNB+으로/JKB
일파만파	일파만파/NNG
커진	커지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.206.6.1
보안요원들은 주로 20∼40대 여성을 상대로 물건 값의 최고 300배에 이르는 합의금을 요구했다.

보안요원들은	보안/NNG+요원/NNG+들/XSN+은/JX
주로	주로/MAG
20∼40대	20/SN+∼/SO+40/SN+대/NNB
여성을	여성/NNG+을/JKO
상대로	상대/NNG+로/JKB
물건	물건/NNG
값의	값/NNG+의/JKG
최고	최고/NNG
300배에	300/SN+배/NNG+에/JKB
이르는	이르/VV+는/ETM
합의금을	합의금/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.6.2
피해를 본 130명 가운데 100만 원 이상을 합의금 명목으로 뜯긴 사람은 81명에 이른다.

피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
130명	130/SN+명/NNB
가운데	가운데/NNG
100만	100/SN+만/NR
원	원/NNB
이상을	이상/NNG+을/JKO
합의금	합의금/NNG
명목으로	명목/NNG+으로/JKB
뜯긴	뜯기/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
81명에	81/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.206.6.3
이렇게 뜯어낸 합의금 총 2억 원 가운데 1억5000여만 원은 매장 내에서 파손되거나 사라진 물건에 대한 손실비용으로 처리됐다.

이렇게	이렇/VA+게/EC
뜯어낸	뜯어내/VV+ㄴ/ETM
합의금	합의금/NNG
총	총/MMA
2억	2/SN+억/NR
원	원/NNB
가운데	가운데/NNG
1억5000여만	1/SN+억/NR+5000/SN+여/XSN+만/NR
원은	원/NNB+은/JX
매장	매장/NNG
내에서	내/NNB+에서/JKB
파손되거나	파손/NNG+되/XSV+거나/EC
사라진	사라지/VV+ㄴ/ETM
물건에	물건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
손실비용으로	손실/NNG+비용/NNG+으로/JKB
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.6.4
나머지 5000만 원은 보안요원들이 빼돌리거나 구속된 유모 경장에게 뒷돈을 챙겨주는 데 사용됐다.

나머지	나머지/NNG
5000만	5000/SN+만/NR
원은	원/NNB+은/JX
보안요원들이	보안/NNG+요원/NNG+들/XSN+이/JKS
빼돌리거나	빼돌리/VV+거나/EC
구속된	구속/NNG+되/XSV+ㄴ/ETM
유모	유/NNP+모/NP
경장에게	경장/NNG+에게/JKB
뒷돈을	뒷돈/NNG+을/JKO
챙겨주는	챙기/VV+어/EC+주/VX+는/ETM
데	데/NNB
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.7.1
서울지방경찰청 최종혁 폭력계장은 “홈플러스는 보안업체 재계약 평가 기준을 만들어 100만 원 이상의 합의금을 받아내면 가산점을 주고, 그렇지 않으면 감점을 줬다”고 말했다.

서울지방경찰청	서울지방경찰청/NNP
최종혁	최종혁/NNP
폭력계장은	폭력계장/NNG+은/JX
“홈플러스는	“/SS+홈플러스/NNP+는/JX
보안업체	보안업체/NNG
재계약	재/XPN+계약/NNG
평가	평가/NNG
기준을	기준/NNG+을/JKO
만들어	만들/VV+어/EC
100만	100/SN+만/NR
원	원/NNB
이상의	이상/NNG+의/JKG
합의금을	합의금/NNG+을/JKO
받아내면	받/VV+아/EC+내/VX+면/EC
가산점을	가산점/NNG+을/JKO
주고,	주/VV+고/EC+,/SP
그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
감점을	감점/NNG+을/JKO
줬다”고	주/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.7.2
보안업체의 실적 경쟁을 유도하는 정책이 생필품을 훔치는 주부를 협박해 돈을 뜯게 만들었다는 설명이다.

보안업체의	보안업체/NNG+의/JKG
실적	실적/NNG
경쟁을	경쟁/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
정책이	정책/NNG+이/JKS
생필품을	생필품/NNG+을/JKO
훔치는	훔치/VV+는/ETM
주부를	주부/NNG+를/JKO
협박해	협박/NNG+하/XSV+아/EC
돈을	돈/NNG+을/JKO
뜯게	뜯/VV+게/EC
만들었다는	만들/VV+었/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.206.8.1
이에 대해 홈플러스는 해명자료를 내고 “100만 원 이상의 합의금을 받으면 가점을 주는 평가기준이 있다는 내용은 사실과 다르다”며 “현장에서 적발된 품목에 한해서 정상적인 금액만 받도록 했다”고 반박했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
홈플러스는	홈플러스/NNP+는/JX
해명자료를	해명/NNG+자료/NNG+를/JKO
내고	내/VV+고/EC
“100만	“/SS+100/SN+만/NR
원	원/NNB
이상의	이상/NNG+의/JKG
합의금을	합의금/NNG+을/JKO
받으면	받/VV+으면/EC
가점을	가점/NNG+을/JKO
주는	주/VV+는/ETM
평가기준이	평가/NNG+기준/NNG+이/JKS
있다는	있/VA+다는/ETM
내용은	내용/NNG+은/JX
사실과	사실/NNG+과/JKB
다르다”며	다르/VA+다/EF+”/SS+며/EC
“현장에서	“/SS+현장/NNG+에서/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
품목에	품목/NNG+에/JKB
한해서	한/NNG+하/XSV+아서/EC
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
금액만	금액/NNG+만/JX
받도록	받/VV+도록/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.9.1
그러나 경찰 관계자는 “입건된 보안요원들은 ‘이렇게 합의금을 받아내면 가점을 줘왔기 때문에 우리도 어쩔 수 없이 따랐을 뿐’이라고 진술했다”며 “이들은 파손되거나 분실된 상품의 목록을 모르기 때문에 합의금을 처리하는 과정에서 홈플러스 지점 관계자와 상의하기도 했다”고 전했다.

그러나	그러나/MAJ
경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“입건된	“/SS+입건/NNG+되/XSV+ㄴ/ETM
보안요원들은	보안/NNG+요원/NNG+들/XSN+은/JX
‘이렇게	‘/SS+이렇/VA+게/EC
합의금을	합의금/NNG+을/JKO
받아내면	받/VV+아/EC+내/VX+면/EC
가점을	가점/NNG+을/JKO
줘왔기	주/VV+어/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
우리도	우리/NP+도/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
따랐을	따르/VV+았/EP+을/ETM
뿐’이라고	뿐/NNB+’/SS+이라고/JKQ
진술했다”며	진술/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이들은	“/SS+이/NP+들/XSN+은/JX
파손되거나	파손/NNG+되/XSV+거나/EC
분실된	분실/NNG+되/XSV+ㄴ/ETM
상품의	상품/NNG+의/JKG
목록을	목록/NNG+을/JKO
모르기	모르/VV+기/ETN
처리하는	처리/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
홈플러스	홈플러스/NNP
지점	지점/NNG
관계자와	관계자/NNG+와/JKB
상의하기도	상의/NNG+하/XSV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.9.2
협박을 당한 피해자는 자신이 훔치거나 구매한 적이 없는 물건을 산 것처럼 영수증을 꾸미는 데 동의하고 추가로 돈을 건네준 것으로 드러났다.

협박을	협박/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
피해자는	피해자/NNG+는/JX
자신이	자신/NNG+이/JKS
훔치거나	훔치/VV+거나/EC
구매한	구매/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
물건을	물건/NNG+을/JKO
산	살/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
영수증을	영수증/NNG+을/JKO
꾸미는	꾸미/VV+는/ETM
데	데/NNB
동의하고	동의/NNG+하/XSV+고/EC
추가로	추가/NNG+로/JKB
돈을	돈/NNG+을/JKO
건네준	건네/VV+어/EC+주/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.9.3
실제로 올해 1월 A 씨는 고구마 계란 등 식품 11만4700원어치를 훔쳤다가 적발돼 합의금으로 100만 원을 요구받았다.

실제로	실제로/MAG
올해	올해/NNG
1월	1/SN+월/NNB
A	A/SL
씨는	씨/NNB+는/JX
고구마	고구마/NNG
계란	계란/NNG
등	등/NNB
식품	식품/NNG
11만4700원어치를	11/SN+만/NR+4700/SN+원/NNB+어치/XSN+를/JKO
훔쳤다가	훔치/VV+었/EP+다가/EC
적발돼	적발/NNG+되/XSV+어/EC
합의금으로	합의금/NNG+으로/JKB
100만	100/SN+만/NR
원을	원/NNB+을/JKO
요구받았다.	요구/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.9.4
홈플러스 측은 훔친 물품의 금액을 뺀 나머지 88만5300원에 대해서는 크리스마스 포장지 21개 등 문구용품을 산 것처럼 허위 영수증을 작성한 뒤 물건은 주지 않고 돈만 받아낸 것으로 확인됐다.

홈플러스	홈플러스/NNP
측은	측/NNB+은/JX
훔친	훔치/VV+ㄴ/ETM
물품의	물품/NNG+의/JKG
금액을	금액/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
88만5300원에	88/SN+만/NR+5300/SN+원/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
크리스마스	크리스마스/NNG
포장지	포장지/NNG
21개	21/SN+개/NNB
등	등/NNB
문구용품을	문구용품/NNG+을/JKO
산	살/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
허위	허위/NNG
영수증을	영수증/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
물건은	물건/NNG+은/JX
주지	주/VV+지/EC
않고	않/VX+고/EC
돈만	돈/NNG+만/JX
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.206.10.1
하지만 홈플러스 측은 전현직 지점장과 본사 부장 등이 입건된 데 대해 “경찰의 일방적 주장일 뿐 혐의를 인정할 수 없다”며 “(이번 사건은) 보안용역업체 팀장 및 경찰관 개인비리 사건”이라고 해명했다.

하지만	하지만/MAJ
홈플러스	홈플러스/NNP
측은	측/NNB+은/JX
전현직	전현직/NNG
지점장과	지점장/NNG+과/JC
본사	본사/NNG
부장	부장/NNG
등이	등/NNB+이/JKS
입건된	입건/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
“경찰의	“/SS+경찰/NNG+의/JKG
일방적	일방/NNG+적/XSN
주장일	주장/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
혐의를	혐의/NNG+를/JKO
인정할	인정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“(이번	“/SS+(/SS+이번/NNG
사건은)	사건/NNG+은/JX+)/SS
보안용역업체	보안/NNG+용역업체/NNG
팀장	팀장/NNG
및	및/MAG
경찰관	경찰관/NNG
개인비리	개인/NNG+비리/NNG
사건”이라고	사건/NNG+”/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.206.10.2
경찰은 다른 대형마트에도 비슷한 사례가 있을 것으로 보고 수사를 확대할 예정이다.

경찰은	경찰/NNG+은/JX
다른	다른/MMD
대형마트에도	대형/NNG+마트/NNG+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
사례가	사례/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
수사를	수사/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


