# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.75
metadata : {}


# id : NWRW1800000030.75.1.1
[뉴욕 휘트니미술관展] "새로운 생각·시선이 예술 되네요" 슈퍼주니어도 美현대미술에 흠뻑

[뉴욕	[/SS+뉴욕/NNP
'쏘리쏘리' '미인아' 등 강렬한 전자음이 중독성을 불러일으키는 히트곡을 내놓았고, 최근 신곡 '미스터 심플'로 인기몰이를 하고 있는 13인조 아이돌 그룹 '슈퍼 주니어' 멤버들이다.

'쏘리쏘리'	'/SS+쏘리쏘리/NNP+'/SS
'미인아'	'/SS+미인아/NNP+'/SS
등	등/NNB
강렬한	강렬하/VA+ㄴ/ETM
전자음이	전자음/NNG+이/JKS
중독성을	중독/NNG+성/XSN+을/JKO
불러일으키는	불러일으키/VV+는/ETM
히트곡을	히트곡/NNG+을/JKO
내놓았고,	내놓/VV+았/EP+고/EC+,/SP
최근	최근/MAG
신곡	신곡/NNG
'미스터	'/SS+미스터/NNP
심플'로	심플/NNP+'/SS+로/JKB
인기몰이를	인기몰이/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
13인조	13/SN+인/NNG+조/NNG
아이돌	아이돌/NNG
그룹	그룹/NNG
'슈퍼	'/SS+슈퍼/NNP
주니어'	주니어/NNP+'/SS
멤버들이다.	멤버/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.75.5.3
이들은 바쁜 일정을 쪼개 서울 덕수궁미술관에서 열리고 있는 휘트니미술관전 '이것이 미국 미술이다'를 관람하러 왔다.

이들은	이/NP+들/XSN+은/JX
바쁜	바쁘/VA+ㄴ/ETM
일정을	일정/NNG+을/JKO
쪼개	쪼개/VV+어/EC
서울	서울/NNP
덕수궁미술관에서	덕수궁미술관/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
휘트니미술관전	휘트니미술관전/NNG
'이것이	'/SS+이것/NP+이/JKS
미국	미국/NNP
미술이다'를	미술/NNG+이/VCP+다/EF+'/SS+를/JKO
관람하러	관람/NNG+하/XSV+러/EC
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.75.6.1
난생 처음으로 미술관에 와 봤다는 신동은 천으로 커다란 톱 모양을 만든 클래스 올덴버그의 '거대한 톱-부드러운 해석'(1966)에 큰 관심을 보였다.

난생	난생/MAG
처음으로	처음/NNG+으로/JKB
미술관에	미술관/NNG+에/JKB
와	오/VV+아/EC
봤다는	보/VX+았/EP+다는/ETM
신동은	신동/NNP+은/JX
천으로	천/NNG+으로/JKB
커다란	커다랗/VA+ㄴ/ETM
톱	톱/NNG
모양을	모양/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
클래스	클래스/NNP
올덴버그의	올덴버그/NNP+의/JKG
'거대한	'/SS+거대/NNG+하/XSA+ㄴ/ETM
톱-부드러운	톱/NNG+-/SO+부드럽/VA+ㄴ/ETM
해석'(1966)에	해석/NNG+'/SS+(/SS+1966/SN+)/SS+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.75.6.2
"첨엔 이 작품이 대체 왜 예술인지 몰랐어요.

"첨엔	"/SS+첨/NNG+에/JKB+ㄴ/JX
이	이/MMD
작품이	작품/NNG+이/JKS
대체	대체/MAG
왜	왜/MAG
예술인지	예술/NNG+이/VCP+ㄴ지/EF
몰랐어요.	모르/VV+았/EP+어요/EF+./SF


# id : NWRW1800000030.75.6.3
그런데 '원래 딱딱한 물건을 부드러운 재료로 다시 만들었다'는 설명을 듣고 나자 '내가 미처 생각하지 못한 아이디어를 제시했기 때문에 예술이 되는 거구나' 하고 깨닫게 되더라고요."

그런데	그런데/MAJ
'원래	'/SS+원래/MAG
딱딱한	딱딱하/VA+ㄴ/ETM
물건을	물건/NNG+을/JKO
부드러운	부드럽/VA+ㄴ/ETM
재료로	재료/NNG+로/JKB
다시	다시/MAG
만들었다'는	만들/VV+었/EP+다/EF+'/SS+는/ETM
설명을	설명/NNG+을/JKO
듣고	듣/VV+고/EC
나자	나/VX+자/EC
'내가	'/SS+내/NP+가/JKS
미처	미처/MAG
생각하지	생각/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
제시했기	제시/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
예술이	예술/NNG+이/JKC
되는	되/VV+는/ETM
거구나'	거/NNB+이/VCP+구나/EF+'/SS
하고	하/VV+고/EC
깨닫게	깨닫/VV+게/EC
되더라고요."	되/VV+더라고/EF+요/JX+./SF+"/SS


# id : NWRW1800000030.75.7.1
형광등 7개를 세로로 가지런히 붙여놓은 댄 플래빈의 '무제'(1964) 앞에서 "집에 따로 조명을 할 필요 없이 벽에 저 작품처럼 형광등을 붙여놓고 싶다"고 한 려욱은 "미술이란 사람들에게 새로운 생각을 할 수 있는 힘을 주는 것 같다"고 말했다.

형광등	형광등/NNG
7개를	7/SN+개/NNB+를/JKO
세로로	세로/NNG+로/JKB
가지런히	가지런히/MAG
붙여놓은	붙이/VV+어/EC+놓/VX+은/ETM
댄	댄/NNP
플래빈의	플래빈/NNP+의/JKG
'무제'(1964)	'/SS+무제/NNP+'/SS+(/SS+1964/SN+)/SS
앞에서	앞/NNG+에서/JKB
"집에	"/SS+집/NNG+에/JKB
따로	따로/MAG
조명을	조명/NNG+을/JKO
할	하/VV+ㄹ/ETM
필요	필요/NNG
없이	없이/MAG
벽에	벽/NNG+에/JKB
저	저/MMD
작품처럼	작품/NNG+처럼/JKB
형광등을	형광등/NNG+을/JKO
붙여놓고	붙이/VV+어/EC+놓/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
려욱은	려욱/NNP+은/JX
"미술이란	"/SS+미술/NNG+이란/JX
사람들에게	사람/NNG+들/XSN+에게/JKB
새로운	새롭/VA+ㄴ/ETM
생각을	생각/NNG+을/JKO
수	수/NNB
있는	있/VA+는/ETM
힘을	힘/NNG+을/JKO
주는	주/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.75.7.2
민속공예품처럼 여인들을 조각해 박제된 개 머리와 함께 설치한 마리솔 에스코바의 '여인과 강아지'(1964) 앞에 선 성민은 "어른 세 명이 가식적인 표정을 짓고 있는데 반해 어린 소녀만은 찡그리면서 감정을 솔직하게 표현하는 것이 인상적"이라고 평했다.

민속공예품처럼	민속/NNG+공예품/NNG+처럼/JKB
여인들을	여인/NNG+들/XSN+을/JKO
조각해	조각/NNG+하/XSV+아/EC
박제된	박제/NNG+되/XSV+ㄴ/ETM
개	개/NNG
머리와	머리/NNG+와/JKB
함께	함께/MAG
설치한	설치/NNG+하/XSV+ㄴ/ETM
마리솔	마리솔/NNP
에스코바의	에스코바/NNP+의/JKG
'여인과	'/SS+여인/NNG+과/JC
강아지'(1964)	강아지/NNG+'/SS+(/SS+1964/SN+)/SS
앞에	앞/NNG+에/JKB
선	서/VV+ㄴ/ETM
성민은	성민/NNP+은/JX
"어른	"/SS+어른/NNG
세	세/MMN
명이	명/NNB+이/JKS
가식적인	가식/NNG+적/XSN+이/VCP+ㄴ/ETM
표정을	표정/NNG+을/JKO
짓고	짓/VV+고/EC
있는데	있/VX+는데/EC
반해	반하/VV+아/EC
어린	어리/VA+ㄴ/ETM
소녀만은	소녀/NNG+만/JX+은/JX
찡그리면서	찡그리/VV+면서/EC
감정을	감정/NNG+을/JKO
솔직하게	솔직하/VA+게/EC
표현하는	표현/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
인상적"이라고	인상/NNG+적/XSN+"/SS+이라고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.75.8.1
관람을 마친 슈퍼주니어 멤버들은 "미술관에 오니까 머리를 비우고 여유를 찾을 수 있어서 좋다"면서 전시장에 마련된 포토존에서 기념 촬영을 했다.

관람을	관람/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
슈퍼주니어	슈퍼주니어/NNP
멤버들은	멤버/NNG+들/XSN+은/JX
"미술관에	"/SS+미술관/NNG+에/JKB
오니까	오/VV+니까/EC
머리를	머리/NNG+를/JKO
비우고	비우/VV+고/EC
여유를	여유/NNG+를/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있어서	있/VA+어서/EC
좋다"면서	좋/VA+다/EF+"/SS+면서/EC
전시장에	전시장/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
포토존에서	포토존/NNG+에서/JKB
기념	기념/NNG
촬영을	촬영/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.75.9.1
▶뉴욕휘트니미술관 소장품전 '이것이 미국 미술이다'

▶뉴욕휘트니미술관	▶/SW+뉴욕휘트니미술관/NNP
소장품전	소장품전/NNG
'이것이	'/SS+이것/NP+이/JKS
미국	미국/NNP
미술이다'	미술/NNG+이/VCP+다/EF+'/SS


# id : NWRW1800000030.75.10.1
전시 작품:앤디 워홀, 리히텐슈타인, 만 레이 등 미국 작가 47명 작품 87점

전시	전시/NNG
작품:앤디	작품/NNG+:/SP+앤디/NNP
워홀,	워홀/NNP+,/SP
리히텐슈타인,	리히텐슈타인/NNP+,/SP
만	만/NNP
레이	레이/NNP
등	등/NNB
미국	미국/NNP
작가	작가/NNG
47명	47/SN+명/NNB
작품	작품/NNG
87점	87/SN+점/NNB


# id : NWRW1800000030.75.11.1
기간:9월 25일까지.

기간:9월	기간/NNG+:/SP+9/SN+월/NNB
25일까지.	25/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000030.75.11.2
15일(광복절) 전시 있음.

15일(광복절)	15/SN+일/NNB+(/SS+광복절/NNG+)/SS
전시	전시/NNG
있음.	있/VA+음/ETN+./SF


# id : NWRW1800000030.75.12.1
장소:서울 덕수궁미술관 (02)755-2040

장소:서울	장소/NNG+:/SP+서울/NNP
덕수궁미술관	덕수궁미술관/NNP
(02)755-2040	(/SS+02/SN+)/SS+755/SN+-/SO+2040/SN


