# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.353
metadata : {}


# id : NWRW1800000028.353.1.1
구글, 스마트폰 시장에서 /‘표현자유 정책’ 물러서나

구글,	구글/NNP+,/SP
방송통신위원회	방송/NNG+통신/NNG+위원회/NNG
심의규정과	심의/NNG+규정/NNG+과/JKB
관련	관련/NNG
청소년	청소년/NNG
보호조처를	보호/NNG+조처/NNG+를/JKO
강화하겠다는	강화/NNG+하/XSV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
읽혀,	읽히/VV+어/EC+,/SP
구글의	구글/NNP+의/JKG
‘글로벌	‘/SS+글로벌/NNG
공통’	공통/NNG+’/SS
정책에	정책/NNG+에/JKB
변화가	변화/NNG+가/JKS
있는지	있/VA+는지/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.353.3.3
앞서 방통위는 지난 8일 보도자료를 내어 “안드로이드마켓에서 음란 등 유해 콘텐츠 유통이 심각하다”며 “구글과의 긴밀한 협력관계를 통해 신속 대응할 수 있는 계기를 마련했다”고 밝혔다.

앞서	앞서/MAG
방통위는	방통위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“안드로이드마켓에서	“/SS+안드로이드/NNG+마켓/NNG+에서/JKB
음란	음란/NNG
등	등/NNB
유해	유해/NNG
콘텐츠	콘텐츠/NNG
유통이	유통/NNG+이/JKS
심각하다”며	심각하/VA+다/EF+”/SS+며/EC
“구글과의	“/SS+구글/NNP+과/JKB+의/JKG
긴밀한	긴밀하/VA+ㄴ/ETM
협력관계를	협력/NNG+관계/NNG+를/JKO
통해	통하/VV+아/EC
신속	신속/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기를	계기/NNG+를/JKO
마련했다”고	마련/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.353.3.4
방통심의위는 “안드로이드마켓에 있는 8만개의 애플리케이션 중 선정성 관련 단어로 검색되는 콘텐츠가 상당수 있다”며 “청소년들도 제한 없이 이용할 수 있는 문제점이 있다”고 밝혔다.

방통심의위는	방통심의위/NNG+는/JX
“안드로이드마켓에	“/SS+안드로이드/NNG+마켓/NNG+에/JKB
있는	있/VA+는/ETM
8만개의	8/SN+만/NR+개/NNB+의/JKG
애플리케이션	애플리케이션/NNG
중	중/NNB
선정성	선정/NNG+성/XSN
관련	관련/NNG
단어로	단어/NNG+로/JKB
검색되는	검색/NNG+되/XSV+는/ETM
콘텐츠가	콘텐츠/NNG+가/JKS
상당수	상당수/NNG
있다”며	있/VA+다/EF+”/SS+며/EC
“청소년들도	“/SS+청소년/NNG+들/XSN+도/JX
제한	제한/NNG
없이	없이/MAG
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
문제점이	문제점/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.353.4.1
실제로 그간 유튜브에서 견지해온 구글의 ‘표현의 자유 우선’의 콘텐츠 정책은 안드로이드마켓에서 변화될 조짐을 보여왔다.

실제로	실제로/MAG
그간	그/NP+간/XSN
유튜브에서	유튜브/NNP+에서/JKB
견지해온	견지/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
구글의	구글/NNP+의/JKG
‘표현의	‘/SS+표현/NNG+의/JKG
자유	자유/NNG
우선’의	우선/NNG+’/SS+의/JKG
콘텐츠	콘텐츠/NNG
정책은	정책/NNG+은/JX
안드로이드마켓에서	안드로이드/NNG+마켓/NNG+에서/JKB
변화될	변화/NNG+되/XSV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.353.4.2
방통위 관계자는 “지난 8월 구글 본사의 안드로이드마켓 담당자가 방한해, 한국의 법과 심의 규정을 준수하는 방향으로 전향적 검토를 하겠다고 밝혔다”며 “이는 유튜브에 노출된 음란물을 다룰 때와는 사뭇 변화된 접근방식이었다”고 밝혔다.

방통위	방통위/NNG
관계자는	관계자/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
구글	구글/NNP
본사의	본사/NNG+의/JKG
안드로이드마켓	안드로이드/NNG+마켓/NNG
담당자가	담당자/NNG+가/JKS
방한해,	방한/NNG+하/XSV+아/EC+,/SP
한국의	한국/NNP+의/JKG
법과	법/NNG+과/JC
심의	심의/NNG
규정을	규정/NNG+을/JKO
준수하는	준수/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
전향적	전향/NNG+적/XSN
검토를	검토/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
밝혔다”며	밝히/VV+었/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
유튜브에	유튜브/NNP+에/JKB
노출된	노출/NNG+되/XSV+ㄴ/ETM
음란물을	음란물/NNG+을/JKO
다룰	다루/VV+ㄹ/ETM
때와는	때/NNG+와/JKB+는/JX
사뭇	사뭇/MAG
변화된	변화/NNG+되/XSV+ㄴ/ETM
접근방식이었다”고	접근/NNG+방식/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.353.4.3
이 관계자는 “그동안 방통심의위가 유튜브에 올라 있는 음란 동영상을 국내 기준에 따라 삭제를 요청하면 구글은 ‘유튜브는 글로벌 플랫폼이기 때문에 특정 국가의 콘텐츠 기준을 적용하기 힘들다’는 논리를 펴왔다”고 밝혔다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
방통심의위가	방통심의위/NNG+가/JKS
유튜브에	유튜브/NNP+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
음란	음란/NNG
동영상을	동영상/NNG+을/JKO
국내	국내/NNG
기준에	기준/NNG+에/JKB
따라	따르/VV+아/EC
삭제를	삭제/NNG+를/JKO
요청하면	요청/NNG+하/XSV+면/EC
구글은	구글/NNP+은/JX
‘유튜브는	‘/SS+유튜브/NNP+는/JX
글로벌	글로벌/NNG
플랫폼이기	플랫폼/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
특정	특정/NNG
국가의	국가/NNG+의/JKG
콘텐츠	콘텐츠/NNG
기준을	기준/NNG+을/JKO
적용하기	적용/NNG+하/XSV+기/ETN
힘들다’는	힘들/VA+다/EF+’/SS+는/ETM
논리를	논리/NNG+를/JKO
펴왔다”고	펴/VV+어/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.353.5.1
이와 관련해 박선경 구글코리아 홍보팀장은 “안드로이드마켓에 올라가기 전에 구글이 이를 사전에 모니터링하는 일이나, 국외에서는 문제없이 노출되는데 국내에서만 국내 규정에 따라 콘텐츠 노출이 차단되는 일은 없을 것이고 글로벌하게 동일한 기준이 적용될 것”이라며 “다만 안드로이드마켓에 있을 수 있는 청소년 유해 콘텐츠에 대해 유선환경보다 좀더 적극적으로 모니터링을 한다는 방침”이라고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
박선경	박선경/NNP
구글코리아	구글코리아/NNP
홍보팀장은	홍보/NNG+팀장/NNG+은/JX
“안드로이드마켓에	“/SS+안드로이드/NNG+마켓/NNG+에/JKB
올라가기	올라가/VV+기/ETN
전에	전/NNG+에/JKB
구글이	구글/NNP+이/JKS
이를	이/NP+를/JKO
사전에	사전/NNG+에/JKB
모니터링하는	모니터링/NNG+하/XSV+는/ETM
일이나,	일/NNG+이나/JC+,/SP
국외에서는	국외/NNG+에서/JKB+는/JX
문제없이	문제/NNG+없이/MAG
노출되는데	노출/NNG+되/XSV+는데/EC
국내에서만	국내/NNG+에서/JKB+만/JX
국내	국내/NNG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
콘텐츠	콘텐츠/NNG
노출이	노출/NNG+이/JKS
차단되는	차단/NNG+되/XSV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것이고	것/NNB+이/VCP+고/EC
글로벌하게	글로벌/NNG+하/XSA+게/EC
동일한	동일/NNG+하/XSA+ㄴ/ETM
기준이	기준/NNG+이/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“다만	“/SS+다만/MAG
안드로이드마켓에	안드로이드/NNG+마켓/NNG+에/JKB
있을	있/VA+을/ETM
수	수/NNB
있는	있/VA+는/ETM
청소년	청소년/NNG
유해	유해/NNG
콘텐츠에	콘텐츠/NNG+에/JKB
대해	대하/VV+아/EC
유선환경보다	유선/NNG+환경/NNG+보다/JKB
좀더	좀/MAG+더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
모니터링을	모니터링/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


