# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.218
metadata : {}


# id : NWRW1800000037.218.1.1
한국인 학교 졸업후 공부 안한다

한국인	한국인/NNG
일본(288점)보다	일본/NNP+(/SS+288/SN+점/NNB+)/SS+보다/JKB
25점	25/SN+점/NNB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.5.4
컴퓨터와 컴퓨터 네트워크를 활용해 문제를 해결하는 능력을 평가하는 컴퓨터 기반 문제해결력은 상위 수준에 속하는 비율이 30.4%로 OECD 평균 34.0%에 미치지 못했다.

컴퓨터와	컴퓨터/NNG+와/JC
컴퓨터	컴퓨터/NNG
네트워크를	네트워크/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
능력을	능력/NNG+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
기반	기반/NNG
문제해결력은	문제/NNG+해결력/NNG+은/JX
상위	상위/NNG
수준에	수준/NNG+에/JKB
속하는	속하/VV+는/ETM
비율이	비율/NNG+이/JKS
30.4%로	30/SN+./SP+4/SN+%/SW+로/JKB
OECD	OECD/SL
평균	평균/NNG
34.0%에	34/SN+./SP+0/SN+%/SW+에/JKB
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.218.5.5
컴퓨터를 사용한 경험이 없어서 평가받지 못한 비율도 15.5%로 OECD 평균(9.3%)보다 높았다.

컴퓨터를	컴퓨터/NNG+를/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
없어서	없/VA+어서/EC
평가받지	평가/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
비율도	비율/NNG+도/JX
15.5%로	15/SN+./SP+5/SN+%/SW+로/JKB
OECD	OECD/SL
평균(9.3%)보다	평균/NNG+(/SS+9/SN+./SP+3/SN+%/SW+)/SS+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.6.1
대상을 16∼24세 청년으로 한정하면 한국은 OECD 국가들 중 최상위 수준이었다.

대상을	대상/NNG+을/JKO
16∼24세	16/SN+∼/SO+24/SN+세/NNB
청년으로	청년/NNG+으로/JKB
한정하면	한정/NNG+하/XSV+면/EC
한국은	한국/NNP+은/JX
OECD	OECD/SL
국가들	국가/NNG+들/XSN
중	중/NNB
최상위	최/XPN+상위/NNG
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.218.6.2
3개 능력 모두 OECD 평균보다 높아 연령 간 편차가 가장 심한 나라로 파악됐다.

3개	3/SN+개/NNB
능력	능력/NNG
모두	모두/MAG
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
높아	높/VA+아/EC
연령	연령/NNG
간	간/XSN
편차가	편차/NNG+가/JKS
가장	가장/MAG
심한	심하/VA+ㄴ/ETM
나라로	나라/NNG+로/JKB
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.218.6.3
청년 1066명의 언어능력은 OECD 평균보다 13점 높은 293점, 수리력은 10점 높은 281점이었다.

청년	청년/NNG
1066명의	1066/SN+명/NNB+의/JKG
언어능력은	언어/NNG+능력/NNG+은/JX
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
13점	13/SN+점/NNB
높은	높/VA+은/ETM
293점,	293/SN+점/NNB+,/SP
수리력은	수리력/NNG+은/JX
10점	10/SN+점/NNB
281점이었다.	281/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.218.7.1
특히 컴퓨터 기반 문제해결력 상위에 해당하는 한국 청년층 비율은 63.5%로 OECD 국가 중 가장 높았다.

특히	특히/MAG
컴퓨터	컴퓨터/NNG
기반	기반/NNG
문제해결력	문제/NNG+해결력/NNG
상위에	상위/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
한국	한국/NNP
청년층	청년/NNG+층/XSN
비율은	비율/NNG+은/JX
63.5%로	63/SN+./SP+5/SN+%/SW+로/JKB
OECD	OECD/SL
국가	국가/NNG
중	중/NNB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.7.2
평균은 50.7%였다.

평균은	평균/NNG+은/JX
50.7%였다.	50/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.218.7.3
반면에 55∼65세의 문제해결력 상위 비율은 OECD 평균(11.7%)보다 크게 낮은 3.9%로 최하위 수준이다.

반면에	반면/NNG+에/JKB
55∼65세의	55/SN+∼/SO+65/SN+세/NNB+의/JKG
문제해결력	문제/NNG+해결력/NNG
상위	상위/NNG
비율은	비율/NNG+은/JX
OECD	OECD/SL
평균(11.7%)보다	평균/NNG+(/SS+11/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
크게	크/VA+게/EC
낮은	낮/VA+은/ETM
3.9%로	3/SN+./SP+9/SN+%/SW+로/JKB
최하위	최/XPN+하위/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.218.8.1
한국 성인 남성은 언어능력과 수리력에서 여성보다 점수가 높았다.

한국	한국/NNP
성인	성인/NNG
남성은	남성/NNG+은/JX
언어능력과	언어/NNG+능력/NNG+과/JC
수리력에서	수리력/NNG+에서/JKB
여성보다	여성/NNG+보다/JKB
점수가	점수/NNG+가/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.8.2
언어능력은 여성보다 6.3점 높아 OECD 평균 성별 차이(1.9점)보다 컸다.

언어능력은	언어/NNG+능력/NNG+은/JX
여성보다	여성/NNG+보다/JKB
6.3점	6/SN+./SP+3/SN+점/NNB
높아	높/VA+아/EC
OECD	OECD/SL
평균	평균/NNG
성별	성별/NNG
차이(1.9점)보다	차이/NNG+(/SS+1/SN+./SP+9/SN+점/NNB+)/SS+보다/JKB
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.218.8.3
수리력은 여성보다 10.3점이 높았지만 OECD 평균 성별 차이(11.7점)보다 작았다.

수리력은	수리력/NNG+은/JX
여성보다	여성/NNG+보다/JKB
10.3점이	10/SN+./SP+3/SN+점/NNB+이/JKS
높았지만	높/VA+았/EP+지만/EC
OECD	OECD/SL
평균	평균/NNG
성별	성별/NNG
차이(11.7점)보다	차이/NNG+(/SS+11/SN+./SP+7/SN+점/NNB+)/SS+보다/JKB
작았다.	작/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.8.4
전체적으로 학력이 높고 연령이 낮을수록 역량이 높았다.

전체적으로	전체/NNG+적/XSN+으로/JKB
학력이	학력/NNG+이/JKS
높고	높/VA+고/EC
연령이	연령/NNG+이/JKS
낮을수록	낮/VA+을수록/EC
역량이	역량/NNG+이/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.9.1
최종학력이 직종에서 요구되는 학력 수준보다 높은 한국 직장인 비율은 21.2%로 OECD 평균(21.4%) 수준이었다.

최종학력이	최종/NNG+학력/NNG+이/JKS
직종에서	직종/NNG+에서/JKB
요구되는	요구/NNG+되/XSV+는/ETM
학력	학력/NNG
수준보다	수준/NNG+보다/JKB
높은	높/VA+은/ETM
한국	한국/NNP
직장인	직장인/NNG
비율은	비율/NNG+은/JX
21.2%로	21/SN+./SP+2/SN+%/SW+로/JKB
OECD	OECD/SL
평균(21.4%)	평균/NNG+(/SS+21/SN+./SP+4/SN+%/SW+)/SS
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.218.9.2
반면 학력 부족인 직장인 비율은 10.7%로 OECD 평균(12.9%)보다 낮았다.

반면	반면/NNG
학력	학력/NNG
부족인	부족/NNG+이/VCP+ㄴ/ETM
직장인	직장인/NNG
비율은	비율/NNG+은/JX
10.7%로	10/SN+./SP+7/SN+%/SW+로/JKB
OECD	OECD/SL
평균(12.9%)보다	평균/NNG+(/SS+12/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.218.10.1
교육부와 고용노동부는 “평생학습 및 직업능력 개발을 강화할 수 있는 학습 친화적인 사회를 만들고 특히 상대적으로 역량이 낮은 중고령자와 여성 저학력자 저숙련 직업 종사자에게 학습 기회가 확대될 수 있도록 노력하겠다”고 밝혔다.

교육부와	교육부/NNG+와/JC
고용노동부는	고용/NNG+노동부/NNG+는/JX
“평생학습	“/SS+평생/NNG+학습/NNG
및	및/MAG
직업능력	직업/NNG+능력/NNG
개발을	개발/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
학습	학습/NNG
친화적인	친화/NNG+적/XSN+이/VCP+ㄴ/ETM
사회를	사회/NNG+를/JKO
만들고	만들/VV+고/EC
특히	특히/MAG
상대적으로	상대/NNG+적/XSN+으로/JKB
역량이	역량/NNG+이/JKS
낮은	낮/VA+은/ETM
중고령자와	중고령자/NNG+와/JC
여성	여성/NNG
저학력자	저/XPN+학력자/NNG
저숙련	저/XPN+숙련/NNG
직업	직업/NNG
종사자에게	종사자/NNG+에게/JKB
기회가	기회/NNG+가/JKS
확대될	확대/NNG+되/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


