# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.229
metadata : {}


# id : NWRW1800000037.229.1.1
‘메시의 전설’ 또 하나 보태나

‘메시의	‘/SS+메시/NNP+의/JKG
발롱도르는 각국 국가대표팀 감독과 주장, 축구 전문기자가 참여해 선정하는 상으로 국제축구연맹(FIFA) 올해의 선수상과 축구 전문지 프랑스 풋볼이 시상하던 발롱도르를 2010년부터 ‘FIFA 발롱도르’로 통합해 시상하고 있다.

발롱도르는	발롱도르/NNG+는/JX
각국	각국/NNG
국가대표팀	국가/NNG+대표/NNG+팀/NNG
감독과	감독/NNG+과/JC
주장,	주장/NNG+,/SP
축구	축구/NNG
전문기자가	전문/NNG+기자/NNG+가/JKS
참여해	참여/NNG+하/XSV+아/EC
선정하는	선정/NNG+하/XSV+는/ETM
상으로	상/NNG+으로/JKB
국제축구연맹(FIFA)	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS
올해의	올해/NNG+의/JKG
선수상과	선수상/NNG+과/JC
전문지	전문지/NNG
프랑스	프랑스/NNP
풋볼이	풋볼/NNG+이/JKS
시상하던	시상/NNG+하/XSV+던/ETM
발롱도르를	발롱도르/NNG+를/JKO
2010년부터	2010/SN+년/NNB+부터/JX
‘FIFA	‘/SS+FIFA/SL
발롱도르’로	발롱도르/NNG+’/SS+로/JKB
통합해	통합/NNG+하/XSV+아/EC
시상하고	시상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.229.5.1
8일 스위스 취리히에서 열리는 2012 FIFA 발롱도르 시상식에서 메시는 안드레스 이니에스타(스페인), 크리스티아누 호날두(포르투갈)와 함께 후보에 올라 있다.

8일	8/SN+일/NNB
스위스	스위스/NNP
취리히에서	취리히/NNP+에서/JKB
열리는	열리/VV+는/ETM
2012	2012/SN
FIFA	FIFA/SL
발롱도르	발롱도르/NNG
시상식에서	시상식/NNG+에서/JKB
메시는	메시/NNP+는/JX
안드레스	안드레스/NNP
이니에스타(스페인),	이니에스타/NNP+(/SS+스페인/NNP+)/SS+,/SP
크리스티아누	크리스티아누/NNP
호날두(포르투갈)와	호날두/NNP+(/SS+포르투갈/NNP+)/SS+와/JKB
함께	함께/MAG
후보에	후보/NNG+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.229.5.2
이니에스타는 안정적인 경기 운영으로 스페인의 유로(유럽축구선수권대회)2012 우승을 이끌었고 호날두는 지난 시즌 레알 마드리드의 에이스로 활약하며 프리메라리가 정상을 주도했다.

이니에스타는	이니에스타/NNP+는/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
경기	경기/NNG
운영으로	운영/NNG+으로/JKB
스페인의	스페인/NNP+의/JKG
유로(유럽축구선수권대회)2012	유로/NNP+(/SS+유럽/NNP+축구/NNG+선수/NNG+권/XSN+대회/NNG+)/SS+2012/SN
우승을	우승/NNG+을/JKO
이끌었고	이끌/VV+었/EP+고/EC
호날두는	호날두/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
레알	레알/NNP
마드리드의	마드리드/NNP+의/JKG
에이스로	에이스/NNG+로/JKB
활약하며	활약/NNG+하/XSV+며/EC
프리메라리가	프리메라리가/NNG
정상을	정상/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.229.6.1
쟁쟁한 라이벌이 있지만 메시의 발롱도르 4연패가 유력하다는 의견이 지배적이다.

쟁쟁한	쟁쟁하/VA+ㄴ/ETM
라이벌이	라이벌/NNG+이/JKS
있지만	있/VA+지만/EC
메시의	메시/NNP+의/JKG
발롱도르	발롱도르/NNG
4연패가	4/SN+연패/NNG+가/JKS
유력하다는	유력/NNG+하/XSA+다는/ETM
의견이	의견/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.229.6.2
메시는 2012년에만 91골을 몰아쳐 1972년 게르트 뮐러(독일)가 세운 ‘한 해 개인 최다골 기록(85골)’을 경신했고, 91골 중 12골을 국가대표팀에서 넣어 “국가대표팀만 가면 작아진다”는 꼬리표도 뗐기 때문이다.

메시는	메시/NNP+는/JX
2012년에만	2012/SN+년/NNB+에/JKB+만/JX
91골을	91/SN+골/NNG+을/JKO
몰아쳐	몰아치/VV+어/EC
1972년	1972/SN+년/NNB
게르트	게르트/NNP
뮐러(독일)가	뮐러/NNP+(/SS+독일/NNP+)/SS+가/JKS
세운	세우/VV+ㄴ/ETM
‘한	‘/SS+한/MMN
해	해/NNB
개인	개인/NNG
최다골	최다/NNG+골/NNG
기록(85골)’을	기록/NNG+(/SS+85/SN+골/NNG+)/SS+’/SS+을/JKO
경신했고,	경신/NNG+하/XSV+았/EP+고/EC+,/SP
91골	91/SN+골/NNG
중	중/NNB
12골을	12/SN+골/NNG+을/JKO
국가대표팀에서	국가/NNG+대표/NNG+팀/NNG+에서/JKB
넣어	넣/VV+어/EC
“국가대표팀만	“/SS+국가/NNG+대표/NNG+팀/NNG+만/JX
가면	가/VV+면/EC
작아진다”는	작아지/VV+ㄴ다/EF+”/SS+는/ETM
꼬리표도	꼬리표/NNG+도/JX
뗐기	떼/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.229.6.3
플라티니 회장은 “메시가 내 기록을 깰 것으로 확신한다”고 밝혔다.

플라티니	플라티니/NNP
회장은	회장/NNG+은/JX
“메시가	“/SS+메시/NNP+가/JKS
내	나/NP+의/JKG
기록을	기록/NNG+을/JKO
깰	깨/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.229.6.4
메시가 또 하나의 전설을 뛰어넘어 축구 역사상 최고의 선수로 우뚝 설 수 있을지 지켜볼 일이다.

메시가	메시/NNP+가/JKS
또	또/MAG
하나의	하나/NR+의/JKG
전설을	전설/NNG+을/JKO
뛰어넘어	뛰어넘/VV+어/EC
축구	축구/NNG
역사상	역사/NNG+상/XSN
최고의	최고/NNG+의/JKG
선수로	선수/NNG+로/JKB
우뚝	우뚝/MAG
설	서/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
지켜볼	지켜보/VV+ㄹ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


