# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.368
metadata : {}


# id : NWRW1800000038.368.1.1
'改憲 연구 기구' 만든다며 국회 규정 무시한 새누리·민주당

'改憲	'/SS+改憲/SH
인사로	인사/NNG+로/JKB
제한하고	제한/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"정치적	"/SS+정치/NNG+적/XSN
중립성을	중립/NNG+성/XSN+을/JKO
보장하기	보장/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
이런	이런/MMD
규정을	규정/NNG+을/JKO
여야	여야/NNG
합의만으로	합의/NNG+만/JX+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
검토가	검토/NNG+가/JKS
필요하다"는	필요/NNG+하/XSA+다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.368.5.2
의장실 관계자는 "여야가 규정 개정을 요구해 와 '전문가의 검토가 필요하니 일단 유보해달라'고 했지만, 이를 무시한 채 연구회 출범을 발표했다"며 "새누리당과 민주당 현역 의원 20명을 이끌고 국회의장이 개헌을 논의한다면 국회법상 보장돼있는 의장의 정치적 중립성이 훼손될 수 있다"고 했다.

의장실	의장실/NNG
관계자는	관계자/NNG+는/JX
"여야가	"/SS+여야/NNG+가/JKS
규정	규정/NNG
개정을	개정/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
와	오/VX+아/EC
'전문가의	'/SS+전문가/NNG+의/JKG
검토가	검토/NNG+가/JKS
필요하니	필요/NNG+하/XSA+니/EC
일단	일단/MAG
유보해달라'고	유보/NNG+하/XSV+아/EC+달/VX+라/EF+'/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
이를	이/NP+를/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
연구회	연구회/NNG
출범을	출범/NNG+을/JKO
발표했다"며	발표/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"새누리당과	"/SS+새누리당/NNP+과/JC
민주당	민주당/NNP
현역	현역/NNG
의원	의원/NNG
20명을	20/SN+명/NNB+을/JKO
이끌고	이끌/VV+고/EC
국회의장이	국회/NNG+의장/NNG+이/JKS
개헌을	개헌/NNG+을/JKO
논의한다면	논의/NNG+하/XSV+ㄴ다면/EC
국회법상	국회법/NNG+상/XSN
보장돼있는	보장/NNG+되/XSV+어/EC+있/VX+는/ETM
의장의	의장/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립성이	중립/NNG+성/XSN+이/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.6.1
소수 정당도 반발하고 나섰다.

소수	소수/NNG
정당도	정당/NNG+도/JX
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.368.6.2
통합진보당 홍성규 대변인은 이날 "야당 몫 추천 위원 10명을 모두 민주당 의원으로 구성했는데 이는 민주주의 정신을 훼손하는 다수당의 횡포"라며 "의장은 거대 양당의 일방적 구성안을 거부해야 한다"고 했다.

통합진보당	통합진보당/NNP
홍성규	홍성규/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
"야당	"/SS+야당/NNG
몫	몫/NNG
추천	추천/NNG
위원	위원/NNG
10명을	10/SN+명/NNB+을/JKO
모두	모두/MAG
민주당	민주당/NNP
의원으로	의원/NNG+으로/JKB
구성했는데	구성/NNG+하/XSV+았/EP+는데/EC
이는	이/NP+는/JX
민주주의	민주주의/NNG
정신을	정신/NNG+을/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
다수당의	다수당/NNG+의/JKG
횡포"라며	횡포/NNG+"/SS+이/VCP+라며/EC
"의장은	"/SS+의장/NNG+은/JX
거대	거대/NNG
양당의	양당/NNG+의/JKG
일방적	일방/NNG+적/XSN
구성안을	구성안/NNG+을/JKO
거부해야	거부/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.6.3
진보정의당 박원석 원내 대변인도 "거대 양당이 파행적 밀실 회동 논의를 내놓았다"고 했다.

진보정의당	진보정의당/NNP
박원석	박원석/NNP
원내	원내/NNG
대변인도	대변인/NNG+도/JX
"거대	"/SS+거대/NNG
양당이	양당/NNG+이/JKS
파행적	파행/NNG+적/XSN
밀실	밀실/NNG
회동	회동/NNG
논의를	논의/NNG+를/JKO
내놓았다"고	내놓/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.7.1
이에 대해 이한구 새누리당 원내대표는 "당초 국회의원만 참여하는 개헌 특위를 만들려다가 정권에 괜한 부담을 줄 수 있다는 우려 때문에 여야 합의로 연구회를 만들기로 한 것"이라며 "규정이 문제가 되면 의장이 조속히 개정하거나 아예 새로 만들면 된다"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
이한구	이한구/NNP
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
"당초	"/SS+당초/NNG
국회의원만	국회/NNG+의원/NNG+만/JX
참여하는	참여/NNG+하/XSV+는/ETM
개헌	개헌/NNG
특위를	특위/NNG+를/JKO
만들려다가	만들/VV+려다가/EC
정권에	정권/NNG+에/JKB
괜한	괜하/VA+ㄴ/ETM
부담을	부담/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려	우려/NNG
때문에	때문/NNB+에/JKB
여야	여야/NNG
합의로	합의/NNG+로/JKB
연구회를	연구회/NNG+를/JKO
만들기로	만들/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"규정이	"/SS+규정/NNG+이/JKS
문제가	문제/NNG+가/JKC
되면	되/VV+면/EC
의장이	의장/NNG+이/JKS
조속히	조속히/MAG
개정하거나	개정/NNG+하/XSV+거나/EC
아예	아예/MAG
새로	새로/MAG
만들면	만들/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.8.1
그러나 민주당 이상민 의원은 "국회의원 수는 적지만 소수 정당도 개헌 논의에 참여하는 게 바람직한 것 같다"며 "새누리당, 의장님과 상의해 여러 방안을 검토해보겠다"고 했다.

그러나	그러나/MAJ
민주당	민주당/NNP
이상민	이상민/NNP
의원은	의원/NNG+은/JX
"국회의원	"/SS+국회/NNG+의원/NNG
수는	수/NNG+는/JX
적지만	적/VA+지만/EC
소수	소수/NNG
정당도	정당/NNG+도/JX
개헌	개헌/NNG
논의에	논의/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
바람직한	바람직하/VA+ㄴ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"새누리당,	"/SS+새누리당/NNP+,/SP
의장님과	의장/NNG+님/XSN+과/JKB
상의해	상의/NNG+하/XSV+아/EC
여러	여러/MMN
방안을	방안/NNG+을/JKO
검토해보겠다"고	검토/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.368.8.2
여야 관계자들은 "임기 만료를 앞둔 양당 원내대표들이 성과를 남기려고 무리해서 위원회 출범을 서두른 것 같다"는 말도 하고 있다.

여야	여야/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"임기	"/SS+임기/NNG
만료를	만료/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
양당	양당/NNG
원내대표들이	원내/NNG+대표/NNG+들/XSN+이/JKS
성과를	성과/NNG+를/JKO
남기려고	남기/VV+려고/EC
무리해서	무리/NNG+하/XSV+아서/EC
위원회	위원회/NNG
출범을	출범/NNG+을/JKO
서두른	서두르/VV+ㄴ/ETM
것	것/NNB
같다"는	같/VA+다/EF+"/SS+는/ETM
말도	말/NNG+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.368.8.3
새누리당과 민주당은 오는 15일 새로운 원내대표를 선출하는데, 이 연구회는 이한구(새누리당)·박기춘(민주당) 현 원내대표가 주도한 것이다.

새누리당과	새누리당/NNP+과/JC
민주당은	민주당/NNP+은/JX
오는	오/VV+는/ETM
15일	15/SN+일/NNB
새로운	새롭/VA+ㄴ/ETM
원내대표를	원내/NNG+대표/NNG+를/JKO
선출하는데,	선출/NNG+하/XSV+는데/EC+,/SP
이	이/MMD
연구회는	연구회/NNG+는/JX
이한구(새누리당)·박기춘(민주당)	이한구/NNP+(/SS+새누리당/NNP+)/SS+·/SP+박기춘/NNP+(/SS+민주당/NNP+)/SS
현	현/MMD
원내대표가	원내/NNG+대표/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


