# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.5
metadata : {}


# id : NWRW1800000037.5.1.1
차이나머니, 국내 패션업계 이어 호텔까지 접수

차이나머니,	차이나머니/NNP+,/SP
하버파크호텔에	하버파크호텔/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
중국	중국/NNP
투자자들의	투자자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
것은	것/NNB+은/JX
중국과	중국/NNP+과/JC
인천항을	인천항/NNP+을/JKO
오가는	오가/VV+는/ETM
정기	정기/NNG
크루즈선의	크루즈선/NNG+의/JKG
운항(올해	운항/NNG+(/SS+올해/NNG
5월	5/SN+월/NNB
예정)이	예정/NNG+)/SS+이/JKS
발표되면서부터다.	발표/NNG+되/XSV+면서/EC+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000037.5.7.2
인천 송도에 녹색기후기금(GCF) 사무국이 유치된 점도 중국 자본이 이 지역 호텔에 눈독을 들이는 이유 중 하나다.

인천	인천/NNP
송도에	송도/NNP+에/JKB
녹색기후기금(GCF)	녹색/NNG+기후/NNG+기금/NNG+(/SS+GCF/SL+)/SS
사무국이	사무국/NNG+이/JKS
유치된	유치/NNG+되/XSV+ㄴ/ETM
점도	점/NNG+도/JX
중국	중국/NNP
자본이	자본/NNG+이/JKS
이	이/MMD
지역	지역/NNG
호텔에	호텔/NNG+에/JKB
눈독을	눈독/NNG+을/JKO
들이는	들이/VV+는/ETM
이유	이유/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000037.5.8.1
한국관광호텔업협회의 윤재효 과장은 “2011년 말부터 중국 업체들이 부동산 컨설팅업체를 통해 호텔 인수를 문의하는 사례가 크게 늘었다”고 말했다.

한국관광호텔업협회의	한국관광호텔업협회/NNP+의/JKG
윤재효	윤재효/NNP
과장은	과장/NNG+은/JX
“2011년	“/SS+2011/SN+년/NNB
말부터	말/NNB+부터/JX
중국	중국/NNP
업체들이	업체/NNG+들/XSN+이/JKS
부동산	부동산/NNG
컨설팅업체를	컨설팅/NNG+업체/NNG+를/JKO
통해	통하/VV+아/EC
호텔	호텔/NNG
인수를	인수/NNG+를/JKO
문의하는	문의/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
크게	크/VA+게/EC
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.5.9.1
한편 중국 기업들의 한국 브랜드 인수는 패션업계부터 본격화됐다.

한편	한편/MAG
중국	중국/NNP
기업들의	기업/NNG+들/XSN+의/JKG
한국	한국/NNP
브랜드	브랜드/NNG
인수는	인수/NNG+는/JX
패션업계부터	패션업/NNG+계/XSN+부터/JX
본격화됐다.	본격/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.5.9.2
중국 안나실업이 지난해 11월 국내 캐주얼 브랜드 ‘인터크루’를 인수했고 디샹그룹은 ‘BNX’ ‘카이아크만’을 판매하는 아비스타의 최대주주가 됐다.

중국	중국/NNP
안나실업이	안나실업/NNP+이/JKS
지난해	지난해/NNG
11월	11/SN+월/NNB
국내	국내/NNG
캐주얼	캐주얼/NNG
브랜드	브랜드/NNG
‘인터크루’를	‘/SS+인터크루/NNP+’/SS+를/JKO
인수했고	인수/NNG+하/XSV+았/EP+고/EC
디샹그룹은	디샹그룹/NNP+은/JX
‘BNX’	‘/SS+BNX/SL+’/SS
‘카이아크만’을	‘/SS+카이아크만/NNP+’/SS+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
아비스타의	아비스타/NNP+의/JKG
최대주주가	최대/NNG+주주/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.5.9.3
올해 초에는 ‘블루독’ 등의 브랜드를 가진 매출 1500억 원대의 서양네트웍스가 홍콩 대기업 리앤드펑그룹에 매각됐다.

올해	올해/NNG
초에는	초/NNB+에/JKB+는/JX
‘블루독’	‘/SS+블루독/NNP+’/SS
등의	등/NNB+의/JKG
브랜드를	브랜드/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
매출	매출/NNG
1500억	1500/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
서양네트웍스가	서양네트웍스/NNP+가/JKS
홍콩	홍콩/NNP
대기업	대/XPN+기업/NNG
리앤드펑그룹에	리앤드펑그룹/NNP+에/JKB
매각됐다.	매각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.5.9.4
중국 기업들은 국내 화장품 업체들에도 큰 관심을 갖고 있다고 국내 투자은행(IB) 및 인수합병(M&A) 업계 관계자들은 입을 모은다.

중국	중국/NNP
기업들은	기업/NNG+들/XSN+은/JX
국내	국내/NNG
화장품	화장품/NNG
업체들에도	업체/NNG+들/XSN+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있다고	있/VX+다고/EC
투자은행(IB)	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS
및	및/MAG
인수합병(M&A)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
업계	업계/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.5.10.1
정연우 대신증권 연구원은 “중국 기업의 투자는 국내 기업의 해외 진출과 국내 고용 창출에 도움이 될 수도 있지만 우리 브랜드 가치와 기술이 유출되는 등 우려되는 부분도 있다”고 말했다.

정연우	정연우/NNP
대신증권	대신증권/NNP
연구원은	연구원/NNG+은/JX
“중국	“/SS+중국/NNP
기업의	기업/NNG+의/JKG
투자는	투자/NNG+는/JX
국내	국내/NNG
해외	해외/NNG
진출과	진출/NNG+과/JC
고용	고용/NNG
창출에	창출/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
우리	우리/NP
브랜드	브랜드/NNG
가치와	가치/NNG+와/JC
기술이	기술/NNG+이/JKS
유출되는	유출/NNG+되/XSV+는/ETM
등	등/NNB
우려되는	우려/NNG+되/XSV+는/ETM
부분도	부분/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


