# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.8
metadata : {}


# id : NWRW1800000024.8.1.1
엘지, 이번엔 ‘상업용 에어컨’ 바람몰이

엘지,	엘지/NNP+,/SP
엘지전자는	엘지전자/NNP+는/JX
6일	6/SN+일/NNB
서울	서울/NNP
밀레니엄	밀레니엄/NNP
힐튼호텔에서	힐튼호텔/NNP+에서/JKB
‘2009	‘/SS+2009/SN
휘센	휘센/NNP
신제품	신/XPN+제품/NNG
발표회’를	발표회/NNG+’/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.3.2
엘지는 이날 ‘인체 감지 로봇’ 기능을 적용해 냉방 속도는 절반으로 단축하고, 소비전력은 55% 줄인 신제품들을 내놓았다.

엘지는	엘지/NNP+는/JX
이날	이날/NNG
‘인체	‘/SS+인체/NNG
감지	감지/NNG
로봇’	로봇/NNG+’/SS
기능을	기능/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
냉방	냉방/NNG
속도는	속도/NNG+는/JX
절반으로	절반/NNG+으로/JKB
단축하고,	단축/NNG+하/XSV+고/EC+,/SP
소비전력은	소비/NNG+전력/NNG+은/JX
55%	55/SN+%/SW
줄인	줄이/VV+ㄴ/ETM
신제품들을	신/XPN+제품/NNG+들/XSN+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.3.3
경기 침체기이지만 매출 목표도 지난해보다 10% 이상 늘리겠다고 제시했다.

경기	경기/NNG
침체기이지만	침체기/NNG+이/VCP+지만/EC
매출	매출/NNG
목표도	목표/NNG+도/JX
지난해보다	지난해/NNG+보다/JKB
10%	10/SN+%/SW
이상	이상/NNG
늘리겠다고	늘리/VV+겠/EP+다고/EC
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.4.1
엘지전자는 에어컨을 기업의 핵심동력으로 삼겠다는 의지를 분명히했다.

엘지전자는	엘지전자/NNP+는/JX
에어컨을	에어컨/NNG+을/JKO
기업의	기업/NNG+의/JKG
핵심동력으로	핵심/NNG+동력/NNG+으로/JKB
삼겠다는	삼/VV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
분명히했다.	분명히/MAG+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.4.2
노환용 에어컨사업본부장은 “에어컨-홈네트워크-빌딩관리 솔루션을 통해 세계 최고 수준의 통합공조 업체가 되겠다”고 포부를 밝혔다.

노환용	노환용/NNP
에어컨사업본부장은	에어컨/NNG+사업/NNG+본부장/NNG+은/JX
“에어컨-홈네트워크-빌딩관리	“/SS+에어컨/NNG+-/SO+홈/NNG+네트워크/NNG+-/SO+빌딩/NNG+관리/NNG
솔루션을	솔루션/NNG+을/JKO
통해	통하/VV+아/EC
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
통합공조	통합/NNG+공조/NNG
업체가	업체/NNG+가/JKC
되겠다”고	되/VV+겠/EP+다/EF+”/SS+고/JKQ
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.4.3
그는 “가정용은 우리가 앞으로도 1위를 유지할 것으로 본다”며 “그러나 상업용 에어컨의 경우 현재 1위 미국 캐리어와 일본 다이킨의 매출이 모두 100억달러를 넘어 우리의 두 배인데, 이를 따라잡겠다”고 덧붙였다.

그는	그/NP+는/JX
“가정용은	“/SS+가정/NNG+용/XSN+은/JX
우리가	우리/NP+가/JKS
앞으로도	앞/NNG+으로/JKB+도/JX
1위를	1/SN+위/NNB+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
상업용	상업/NNG+용/XSN
에어컨의	에어컨/NNG+의/JKG
경우	경우/NNG
현재	현재/MAG
1위	1/SN+위/NNB
미국	미국/NNP
캐리어와	캐리어/NNP+와/JC
일본	일본/NNP
다이킨의	다이킨/NNP+의/JKG
매출이	매출/NNG+이/JKS
모두	모두/MAG
100억달러를	100/SN+억/NR+달러/NNB+를/JKO
넘어	넘/VV+어/EC
우리의	우리/NP+의/JKG
두	두/MMN
배인데,	배/NNG+이/VCP+ㄴ데/EC+,/SP
이를	이/NP+를/JKO
따라잡겠다”고	따라잡/VV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.4.4
설치 이후에도 유지·관리 비용이 필요한 상업용 에어컨의 이익률은 가정용의 갑절인 10%대다.

설치	설치/NNG
이후에도	이후/NNG+에/JKB+도/JX
유지·관리	유지/NNG+·/SP+관리/NNG
비용이	비용/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상업용	상업/NNG+용/XSN
에어컨의	에어컨/NNG+의/JKG
이익률은	이익/NNG+률/XSN+은/JX
가정용의	가정/NNG+용/XSN+의/JKG
갑절인	갑절/NNG+이/VCP+ㄴ/ETM
10%대다.	10/SN+%/SW+대/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.8.5.1
엘지전자는 에어컨 부문의 성과에 힘입어 지난달 가전사업부를 둘로 쪼갰다.

엘지전자는	엘지전자/NNP+는/JX
에어컨	에어컨/NNG
부문의	부문/NNG+의/JKG
성과에	성과/NNG+에/JKB
힘입어	힘입/VV+어/EC
지난달	지난달/NNG
가전사업부를	가전/NNG+사업부/NNG+를/JKO
둘로	둘/NR+로/JKB
쪼갰다.	쪼개/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.5.2
기존의 디지털 어플라이언스(DA) 사업부를 홈 어플라이언스(HA) 사업부와 에어컨 사업부(AC)로 분리했다.

기존의	기존/NNG+의/JKG
디지털	디지털/NNG
어플라이언스(DA)	어플라이언스/NNG+(/SS+DA/SL+)/SS
사업부를	사업부/NNG+를/JKO
홈	홈/NNG
어플라이언스(HA)	어플라이언스/NNG+(/SS+HA/SL+)/SS
사업부와	사업부/NNG+와/JC
에어컨	에어컨/NNG
사업부(AC)로	사업부/NNG+(/SS+AC/SL+)/SS+로/JKB
분리했다.	분리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.5.3
에어컨 단일제품을 통신기기나 디스플레이 부문처럼 사업부로 독립시킨 것은 성장성에 대한 확신이 있어서다.

에어컨	에어컨/NNG
단일제품을	단일/NNG+제품/NNG+을/JKO
통신기기나	통신/NNG+기기/NNG+나/JC
디스플레이	디스플레이/NNG
부문처럼	부문/NNG+처럼/JKB
사업부로	사업부/NNG+로/JKB
독립시킨	독립/NNG+시키/XSV+ㄴ/ETM
것은	것/NNB+은/JX
성장성에	성장/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
확신이	확신/NNG+이/JKS
있어서다.	있/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000024.8.6.1
삼성전자도 프리미엄 가전에 주력해 세계 시장을 적극 공략한다는 전략을 펼치고 있다.

삼성전자도	삼성전자/NNP+도/JX
프리미엄	프리미엄/NNG
가전에	가전/NNG+에/JKB
주력해	주력/NNG+하/XSV+아/EC
세계	세계/NNG
시장을	시장/NNG+을/JKO
적극	적극/NNG
공략한다는	공략/NNG+하/XSV+ㄴ다는/ETM
전략을	전략/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.8.6.2
삼성전자 신정수 생활가전사업팀장은 “고객 가치 제공으로 글로벌 생활가전 산업을 이끄는 업계 최고를 추구한다”며 “프리미엄 제품과 에어컨은 탄탄한 수요가 전망돼 성과를 기대한다”고 말했다.

삼성전자	삼성전자/NNP
신정수	신정수/NNP
생활가전사업팀장은	생활/NNG+가전/NNG+사업/NNG+팀장/NNG+은/JX
“고객	“/SS+고객/NNG
가치	가치/NNG
제공으로	제공/NNG+으로/JKB
글로벌	글로벌/NNG
생활가전	생활/NNG+가전/NNG
산업을	산업/NNG+을/JKO
이끄는	이끌/VV+는/ETM
업계	업계/NNG
최고를	최고/NNG+를/JKO
추구한다”며	추구/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“프리미엄	“/SS+프리미엄/NNG
제품과	제품/NNG+과/JC
에어컨은	에어컨/NNG+은/JX
탄탄한	탄탄하/VA+ㄴ/ETM
수요가	수요/NNG+가/JKS
전망돼	전망/NNG+되/XSV+어/EC
성과를	성과/NNG+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.6.3
대우일렉트로닉스 관계자도 “전체 수출 중 백색가전의 비중이 3년 전엔 40~50% 수준이었지만 근래에는 60~70%로 확대되고 있다”고 밝혔다.

대우일렉트로닉스	대우일렉트로닉스/NNP
관계자도	관계자/NNG+도/JX
“전체	“/SS+전체/NNG
수출	수출/NNG
중	중/NNB
백색가전의	백색/NNG+가전/NNG+의/JKG
비중이	비중/NNG+이/JKS
3년	3/SN+년/NNB
전엔	전/NNG+에/JKB+ㄴ/JX
40~50%	40/SN+~/SO+50/SN+%/SW
수준이었지만	수준/NNG+이/VCP+었/EP+지만/EC
근래에는	근래/NNG+에/JKB+는/JX
60~70%로	60/SN+~/SO+70/SN+%/SW+로/JKB
확대되고	확대/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.8.7.1
한때 냉장고·세탁기·에어컨 등 백색가전은 ‘사양산업’으로 여겨졌다.

한때	한때/MAG
냉장고·세탁기·에어컨	냉장고/NNG+·/SP+세탁기/NNG+·/SP+에어컨/NNG
등	등/NNB
백색가전은	백색/NNG+가전/NNG+은/JX
‘사양산업’으로	‘/SS+사양/NNG+산업/NNG+’/SS+으로/JKB
여겨졌다.	여기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.8.7.2
중국의 추격으로 대형 업체들은 국외로 공장을 옮기거나, 사업철수를 하기도 했다.

중국의	중국/NNP+의/JKG
추격으로	추격/NNG+으로/JKB
대형	대형/NNG
업체들은	업체/NNG+들/XSN+은/JX
국외로	국외/NNG+로/JKB
공장을	공장/NNG+을/JKO
옮기거나,	옮기/VV+거나/EC+,/SP
사업철수를	사업/NNG+철수/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.8.7.3
그러나 전문가들은 디지털 환경에서 백색가전은 새로운 가치를 갖고 있다고 강조한다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
디지털	디지털/NNG
환경에서	환경/NNG+에서/JKB
백색가전은	백색/NNG+가전/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
갖고	갖/VV+고/EC
있다고	있/VX+다고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.8.7.4
이승혁 우리투자증권 애널리스트는 “백색가전은 2005년을 기점으로 제2의 성장사이클에 들어갔다”며 “5% 미만이던 성장률이 이후 10% 가까이 성장했는데, 두자릿수 성장하는 시장은 많지 않다”고 말했다.

이승혁	이승혁/NNP
우리투자증권	우리투자증권/NNP
애널리스트는	애널리스트/NNG+는/JX
“백색가전은	“/SS+백색/NNG+가전/NNG+은/JX
2005년을	2005/SN+년/NNB+을/JKO
기점으로	기점/NNG+으로/JKB
제2의	제/XPN+2/SN+의/JKG
성장사이클에	성장/NNG+사이클/NNG+에/JKB
들어갔다”며	들어가/VV+았/EP+다/EF+”/SS+며/EC
“5%	“/SS+5/SN+%/SW
미만이던	미만/NNG+이/VCP+던/ETM
성장률이	성장/NNG+률/XSN+이/JKS
이후	이후/NNG
10%	10/SN+%/SW
가까이	가까이/MAG
성장했는데,	성장/NNG+하/XSV+았/EP+는데/EC+,/SP
두자릿수	두/MMN+자릿수/NNG
성장하는	성장/NNG+하/XSV+는/ETM
시장은	시장/NNG+은/JX
많지	많/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.8.7.5
맨앞에서 백색가전 시장을 넓히고 있는 제품은 에어컨이다.

맨앞에서	맨/MMA+앞/NNG+에서/JKB
백색가전	백색/NNG+가전/NNG
시장을	시장/NNG+을/JKO
넓히고	넓히/VV+고/EC
있는	있/VX+는/ETM
제품은	제품/NNG+은/JX
에어컨이다.	에어컨/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.8.7.6
지구 온난화와 신흥시장의 소득 증가로 에어컨 수요는 갈수록 늘고 있다.

지구	지구/NNG
온난화와	온난/NNG+화/XSN+와/JC
신흥시장의	신흥/NNG+시장/NNG+의/JKG
소득	소득/NNG
증가로	증가/NNG+로/JKB
에어컨	에어컨/NNG
수요는	수요/NNG+는/JX
갈수록	갈수록/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.8.8.1
디지털 융합 현상도 다양한 제품을 만들어온 한국 종합전자 업체들에 기회로 작용하고 있다.

디지털	디지털/NNG
융합	융합/NNG
현상도	현상/NNG+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품을	제품/NNG+을/JKO
만들어온	만들/VV+어/EC+오/VX+ㄴ/ETM
한국	한국/NNP
종합전자	종합/NNG+전자/NNG
업체들에	업체/NNG+들/XSN+에/JKB
기회로	기회/NNG+로/JKB
작용하고	작용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.8.8.2
서동혁 산업연구원 전자산업팀장은 “삼성·엘지는 못 만드는 전자제품이 없는 종합 가전회사로, 이런 제품 생산능력을 갖춘 회사는 일본 마쓰시타 정도뿐”이라며 “다양한 제품에 역량을 분산하는 게 아날로그 시대에는 문제였으나 융합 현상이 일어나는 디지털 시대에는 기회로 작용한다”고 분석했다.

서동혁	서동혁/NNP
산업연구원	산업/NNG+연구원/NNG
전자산업팀장은	전자/NNG+산업/NNG+팀장/NNG+은/JX
“삼성·엘지는	“/SS+삼성/NNP+·/SP+엘지/NNP+는/JX
못	못/MAG
만드는	만들/VV+는/ETM
전자제품이	전자/NNG+제품/NNG+이/JKS
없는	없/VA+는/ETM
종합	종합/NNG
가전회사로,	가전/NNG+회사/NNG+로/JKB+,/SP
이런	이런/MMD
제품	제품/NNG
생산능력을	생산/NNG+능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
회사는	회사/NNG+는/JX
일본	일본/NNP
마쓰시타	마쓰시타/NNP
정도뿐”이라며	정도/NNG+뿐/JX+”/SS+이/VCP+라며/EC
“다양한	“/SS+다양/NNG+하/XSA+ㄴ/ETM
제품에	제품/NNG+에/JKB
역량을	역량/NNG+을/JKO
분산하는	분산/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
아날로그	아날로그/NNG
시대에는	시대/NNG+에/JKB+는/JX
문제였으나	문제/NNG+이/VCP+었/EP+으나/EC
융합	융합/NNG
현상이	현상/NNG+이/JKS
일어나는	일어나/VV+는/ETM
디지털	디지털/NNG
기회로	기회/NNG+로/JKB
작용한다”고	작용/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


