# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.207
metadata : {}


# id : NWRW1800000041.207.1.1
줄소송-운항정지… 충격의 아시아나

줄소송-운항정지…	줄소송/NNG+-/SO+운항/NNG+정지/NNG+…/SE
기록을	기록/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
노련한	노련하/VA+ㄴ/ETM
승무원들이었지만	승무원/NNG+들/XSN+이/VCP+었/EP+지만/EC
(항공기의)	(/SS+항공기/NNG+의/JKG+)/SS
자동화	자동/NNG+화/XSN
장치에	장치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
부족했다”고	부족/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.5.1
하트 위원장 대행은 회의 모두발언에서도 “조종사들이 자신들이 완전히 이해하지 못하는 조종석 자동시스템에 지나치게 의존했다”며 “이 바람에 사고 비행기가 너무 낮게 그리고 너무 느리게 비행해 활주로 앞 방파제에 충돌했다”고 말했다.

하트	하트/NNP
위원장	위원장/NNG
대행은	대행/NNG+은/JX
회의	회의/NNG
모두발언에서도	모두/NNG+발언/NNG+에서/JKB+도/JX
“조종사들이	“/SS+조종사/NNG+들/XSN+이/JKS
자신들이	자신/NNG+들/XSN+이/JKS
완전히	완전히/MAG
이해하지	이해/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
조종석	조종석/NNG
자동시스템에	자동/NNG+시스템/NNG+에/JKB
지나치게	지나치/VA+게/EC
의존했다”며	의존/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
바람에	바람/NNB+에/JKB
사고	사고/NNG
비행기가	비행기/NNG+가/JKS
너무	너무/MAG
낮게	낮/VA+게/EC
그리고	그리고/MAJ
느리게	느리/VA+게/EC
비행해	비행/NNG+하/XSV+아/EC
활주로	활주로/NNG
앞	앞/NNG
방파제에	방파제/NNG+에/JKB
충돌했다”고	충돌/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.6.1
NTSB는 아시아나항공에 △자동비행시스템에 대한 조종사 교육 훈련 강화 △초보 비행 교관에 대한 선임 교관의 관찰 및 감독 강화 △조종사에 대한 수동비행 훈련 강화 △시계 접근 착륙 매뉴얼 강화 등 4가지 권고사항을 전달했다.

NTSB는	NTSB/SL+는/JX
아시아나항공에	아시아나항공/NNP+에/JKB
△자동비행시스템에	△/SW+자동/NNG+비행/NNG+시스템/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조종사	조종사/NNG
교육	교육/NNG
훈련	훈련/NNG
강화	강화/NNG
△초보	△/SW+초보/NNG
비행	비행/NNG
교관에	교관/NNG+에/JKB
선임	선임/NNG
교관의	교관/NNG+의/JKG
관찰	관찰/NNG
및	및/MAG
감독	감독/NNG
△조종사에	△/SW+조종사/NNG+에/JKB
수동비행	수동/NNG+비행/NNG
△시계	△/SW+시계/NNG
접근	접근/NNG
착륙	착륙/NNG
매뉴얼	매뉴얼/NNG
등	등/NNB
4가지	4/SN+가지/NNB
권고사항을	권고/NNG+사항/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.7.1
하트 위원장 대행은 이어 “사고 원인은 조종사와 자동화기계 그리고 이들의 교차점”이라고 폭넓게 규정했다.

하트	하트/NNP
위원장	위원장/NNG
대행은	대행/NNG+은/JX
이어	이어/MAG
“사고	“/SS+사고/NNG
원인은	원인/NNG+은/JX
조종사와	조종사/NNG+와/JC
자동화기계	자동/NNG+화/XSN+기계/NNG
그리고	그리고/MAJ
이들의	이/NP+들/XSN+의/JKG
교차점”이라고	교차점/NNG+”/SS+이라고/JKQ
폭넓게	폭넓/VA+게/EC
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.7.2
특히 “안전성을 향상시키기 위해 도입된 자동화장치들이 복잡해질수록 조종사들이 이를 충분히 숙지하도록 만드는 게 도전이 되고 있다”며 자동비행시스템의 복잡성도 조종을 어렵게 하고 있다는 점을 인정했다.

특히	특히/MAG
“안전성을	“/SS+안전/NNG+성/XSN+을/JKO
향상시키기	향상/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
도입된	도입/NNG+되/XSV+ㄴ/ETM
자동화장치들이	자동/NNG+화/XSN+장치/NNG+들/XSN+이/JKS
복잡해질수록	복잡하/VA+아/EC+지/VX+ㄹ수록/EC
조종사들이	조종사/NNG+들/XSN+이/JKS
이를	이/NP+를/JKO
충분히	충분히/MAG
숙지하도록	숙지/NNG+하/XSV+도록/EC
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
도전이	도전/NNG+이/JKC
되고	되/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
자동비행시스템의	자동/NNG+비행/NNG+시스템/NNG+의/JKG
복잡성도	복잡성/NNG+도/JX
조종을	조종/NNG+을/JKO
어렵게	어렵/VA+게/EC
하고	하/VX+고/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.8.1
NTSB의 로버트 섬월트 이사는 “자동항법장치가 정지 모드에 있더라도 비행기의 최저 속도를 보장하도록 설계를 수정해야 한다”고 구체적으로 지적하는 등 모두 9개 항의 권고 사항을 내놓았다.

NTSB의	NTSB/SL+의/JKG
로버트	로버트/NNP
섬월트	섬월트/NNP
이사는	이사/NNG+는/JX
“자동항법장치가	“/SS+자동/NNG+항법/NNG+장치/NNG+가/JKS
정지	정지/NNG
모드에	모드/NNG+에/JKB
있더라도	있/VA+더라도/EC
비행기의	비행기/NNG+의/JKG
최저	최저/NNG
속도를	속도/NNG+를/JKO
보장하도록	보장/NNG+하/XSV+도록/EC
설계를	설계/NNG+를/JKO
수정해야	수정/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
구체적으로	구체/NNG+적/XSN+으로/JKB
지적하는	지적/NNG+하/XSV+는/ETM
등	등/NNB
모두	모두/MAG
9개	9/SN+개/NNB
항의	항의/NNG
권고	권고/NNG
사항을	사항/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.8.2
항공기 제조 회사인 보잉사는 즉각 “의견을 존중하지만 동의하지 않는다”고 반박했다.

항공기	항공기/NNG
제조	제조/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
보잉사는	보잉사/NNP+는/JX
즉각	즉각/MAG
“의견을	“/SS+의견/NNG+을/JKO
존중하지만	존중/NNG+하/XSV+지만/EC
동의하지	동의/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.9.1
아시아나항공은 NTSB 발표 직후 “조종사 과실이 추정 원인에 포함된 데 대해 책임을 통감하며 NTSB의 원론적 지적을 겸허하게 수용한다”고 밝혔다.

아시아나항공은	아시아나항공/NNP+은/JX
NTSB	NTSB/SL
발표	발표/NNG
직후	직후/NNG
“조종사	“/SS+조종사/NNG
과실이	과실/NNG+이/JKS
추정	추정/NNG
원인에	원인/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
책임을	책임/NNG+을/JKO
통감하며	통감/NNG+하/XSV+며/EC
NTSB의	NTSB/SL+의/JKG
원론적	원론/NNG+적/XSN
지적을	지적/NNG+을/JKO
겸허하게	겸허/NNG+하/XSA+게/EC
수용한다”고	수용/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.207.9.2
하지만 한 관계자는 “사고 원인은 조종사 과실로 돌리고 자국 기업(보잉)에 대해서는 법적 구속력이 없는 권고 사항만 내놓았다”며 ‘자국 이기주의’라는 불만을 드러냈다.

하지만	하지만/MAJ
한	한/MMN
관계자는	관계자/NNG+는/JX
“사고	“/SS+사고/NNG
원인은	원인/NNG+은/JX
조종사	조종사/NNG
과실로	과실/NNG+로/JKB
돌리고	돌리/VV+고/EC
자국	자국/NNG
기업(보잉)에	기업/NNG+(/SS+보잉/NNP+)/SS+에/JKB
대해서는	대하/VV+아서/EC+는/JX
법적	법/NNG+적/XSN
구속력이	구속력/NNG+이/JKS
없는	없/VA+는/ETM
권고	권고/NNG
사항만	사항/NNG+만/JX
내놓았다”며	내놓/VV+았/EP+다/EF+”/SS+며/EC
‘자국	‘/SS+자국/NNG
이기주의’라는	이기주의/NNG+’/SS+이/VCP+라는/ETM
불만을	불만/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.207.10.1
아시아나항공 보잉777기는 지난해 샌프란시스코 국제공항에 착륙하던 도중 활주로 앞 방파제에 충돌했다.

아시아나항공	아시아나항공/NNP
보잉777기는	보잉777기/NNP+는/JX
지난해	지난해/NNG
샌프란시스코	샌프란시스코/NNP
국제공항에	국제공항/NNG+에/JKB
착륙하던	착륙/NNG+하/XSV+던/ETM
도중	도중/NNG
활주로	활주로/NNG
앞	앞/NNG
방파제에	방파제/NNG+에/JKB
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.10.2
이 사고로 승객 291명과 승무원 16명 중 승객 3명이 숨졌고 180여 명이 부상했다.

이	이/MMD
사고로	사고/NNG+로/JKB
승객	승객/NNG
291명과	291/SN+명/NNB+과/JC
승무원	승무원/NNG
16명	16/SN+명/NNB
중	중/NNB
3명이	3/SN+명/NNB+이/JKS
숨졌고	숨지/VV+었/EP+고/EC
180여	180/SN+여/XSN
명이	명/NNB+이/JKS
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.207.11.1
NTSB의 조사 결과 발표에 따라 아시아나항공을 상대로 한 탑승객들의 소송이 잇따를 것으로 전망된다.

NTSB의	NTSB/SL+의/JKG
조사	조사/NNG
결과	결과/NNG
발표에	발표/NNG+에/JKB
따라	따르/VV+아/EC
아시아나항공을	아시아나항공/NNP+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
탑승객들의	탑승객/NNG+들/XSN+의/JKG
소송이	소송/NNG+이/JKS
잇따를	잇따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.207.11.2
사고기 탑승객 중 71명은 이미 손해배상 청구소송을 낸 상태다.

사고기	사고기/NNG
탑승객	탑승객/NNG
중	중/NNB
71명은	71/SN+명/NNB+은/JX
이미	이미/MAG
손해배상	손해/NNG+배상/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.207.11.3
소송 원고 중 미국인 탑승객 12명은 아시아나항공과 보잉사를 상대로 미국 법원에 소송을 냈다.

소송	소송/NNG
원고	원고/NNG
중	중/NNB
미국인	미국인/NNG
탑승객	탑승객/NNG
12명은	12/SN+명/NNB+은/JX
아시아나항공과	아시아나항공/NNP+과/JC
보잉사를	보잉사/NNP+를/JKO
상대로	상대/NNG+로/JKB
미국	미국/NNP
법원에	법원/NNG+에/JKB
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.207.11.4
NTSB 조사 결과는 법적 증거능력이 없지만 재판부가 판결을 내릴 때 유력한 참조 자료가 될 수 있다.

NTSB	NTSB/SL
조사	조사/NNG
결과는	결과/NNG+는/JX
법적	법/NNG+적/XSN
증거능력이	증거/NNG+능력/NNG+이/JKS
없지만	없/VA+지만/EC
재판부가	재판부/NNG+가/JKS
판결을	판결/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
때	때/NNG
유력한	유력/NNG+하/XSA+ㄴ/ETM
참조	참조/NNG
자료가	자료/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.207.11.5
배상 책임도 보잉사보다 아시아나항공이 더 많이 지게 될 것으로 보인다.

배상	배상/NNG
책임도	책임/NNG+도/JX
보잉사보다	보잉사/NNP+보다/JKB
아시아나항공이	아시아나항공/NNP+이/JKS
더	더/MAG
많이	많이/MAG
지게	지/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.207.12.1
아시아나항공기에 대한 운항 제재도 뒤따를 것으로 예상된다.

아시아나항공기에	아시아나/NNP+항공기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
운항	운항/NNG
제재도	제재/NNG+도/JX
뒤따를	뒤따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.207.12.2
아시아나항공은 하루 한 차례 운항 중인 인천∼샌프란시스코 노선을 최대 90일간 운항하지 못할 수 있다.

아시아나항공은	아시아나항공/NNP+은/JX
하루	하루/NNG
한	한/MMN
차례	차례/NNG
운항	운항/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
인천∼샌프란시스코	인천/NNP+∼/SO+샌프란시스코/NNP
노선을	노선/NNG+을/JKO
최대	최대/NNG
90일간	90/SN+일/NNB+간/XSN
운항하지	운항/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.207.12.3
항공법 시행 규칙에 따르면 국토교통부는 항공사의 중대한 과실로 인명 피해가 났다면 최대 60일, 재산 피해가 발생하면 최대 30일간 각각 운항 정지 명령을 내릴 수 있다.

항공법	항공법/NNG
시행	시행/NNG
규칙에	규칙/NNG+에/JKB
따르면	따르/VV+면/EC
국토교통부는	국토/NNG+교통부/NNG+는/JX
항공사의	항공사/NNG+의/JKG
중대한	중대/NNG+하/XSA+ㄴ/ETM
과실로	과실/NNG+로/JKB
인명	인명/NNG
피해가	피해/NNG+가/JKS
났다면	나/VV+았/EP+다면/EC
최대	최대/NNG
60일,	60/SN+일/NNB+,/SP
재산	재산/NNG
발생하면	발생/NNG+하/XSV+면/EC
30일간	30/SN+일/NNB+간/XSN
각각	각각/MAG
운항	운항/NNG
정지	정지/NNG
명령을	명령/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.207.12.4
인명 및 재산 피해가 동시에 발생했다면 최대 90일간 운항을 정지시킬 수 있다.

인명	인명/NNG
및	및/MAG
재산	재산/NNG
피해가	피해/NNG+가/JKS
동시에	동시/NNG+에/JKB
발생했다면	발생/NNG+하/XSV+았/EP+다면/EC
최대	최대/NNG
90일간	90/SN+일/NNB+간/XSN
운항을	운항/NNG+을/JKO
정지시킬	정지/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.207.13.1
이와 함께 내년 6월부터 3년간 아시아나항공은 새로운 국제노선 배정에서 불이익을 받을 수 있다.

이와	이/NP+와/JKB
함께	함께/MAG
내년	내년/NNG
6월부터	6/SN+월/NNB+부터/JX
3년간	3/SN+년/NNB+간/XSN
아시아나항공은	아시아나항공/NNP+은/JX
새로운	새롭/VA+ㄴ/ETM
국제노선	국제노선/NNG
배정에서	배정/NNG+에서/JKB
불이익을	불/XPN+이익/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


