# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.148
metadata : {}


# id : NWRW1800000025.148.1.1
“6·25전쟁의 참상 생생히 그려 韓-美에 잊혀진 전쟁 환기시킬 것”

“6·25전쟁의	“/SS+6/SN+·/SP+25/SN+전쟁/NNG+의/JKG
잔인했습니다.	잔인/NNG+하/XSA+았/EP+습니다/EF+./SF


# id : NWRW1800000025.148.3.5
조그만 자비도 베풀지 않았죠.”

조그만	조그맣/VA+ㄴ/ETM
자비도	자비/NNG+도/JX
베풀지	베풀/VV+지/EC
않았죠.”	않/VX+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000025.148.4.1
27일 오후 6시(현지 시간) 미국 캘리포니아 주 스탠퍼드대 커버리 오디토리엄에서 영화 ‘포화 속으로’의 시사회와 토론회가 열렸다.

27일	27/SN+일/NNB
오후	오후/NNG
6시(현지	6/SN+시/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
캘리포니아	캘리포니아/NNP
주	주/NNG
스탠퍼드대	스탠퍼드대/NNP
커버리	커버리/NNP
오디토리엄에서	오디토리엄/NNP+에서/JKB
영화	영화/NNG
‘포화	‘/SS+포화/NNG
속으로’의	속/NNG+으로/JKB+’/SS+의/JKG
시사회와	시사회/NNG+와/JC
토론회가	토론회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.148.4.2
시사회 직후 이어진 토론회에는 이재한 감독, 주연을 맡은 배우 권상우 씨, 미국 평론가 스콧 폰다스 씨, 스티븐스 중령 등이 토론자로 참석했다.

시사회	시사회/NNG
직후	직후/NNG
이어진	이어지/VV+ㄴ/ETM
토론회에는	토론회/NNG+에/JKB+는/JX
이재한	이재한/NNP
감독,	감독/NNG+,/SP
주연을	주연/NNG+을/JKO
맡은	맡/VV+은/ETM
배우	배우/NNG
권상우	권상우/NNP
씨,	씨/NNB+,/SP
미국	미국/NNP
평론가	평론가/NNG
스콧	스콧/NNP
폰다스	폰다스/NNP
스티븐스	스티븐스/NNP
중령	중령/NNG
등이	등/NNB+이/JKS
토론자로	토론자/NNG+로/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.4.3
스탠퍼드대 재학생과 교수, 재미교포, 참전용사 등 400여 명도 자리를 함께했다.

스탠퍼드대	스탠퍼드대/NNP
재학생과	재학/NNG+생/XSN+과/JC
교수,	교수/NNG+,/SP
재미교포,	재미/NNG+교포/NNG+,/SP
참전용사	참전/NNG+용사/NNG
등	등/NNB
400여	400/SN+여/XSN
명도	명/NNB+도/JX
자리를	자리/NNG+를/JKO
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.4.4
이 영화는 1950년 8월 10일 새벽, 경북 포항에서 수백 명의 북한 정예군과 71명의 소년학도병 사이에서 벌어졌던 12시간 동안의 치열했던 전투를 다룬 실화극이다.

이	이/MMD
영화는	영화/NNG+는/JX
1950년	1950/SN+년/NNB
8월	8/SN+월/NNB
10일	10/SN+일/NNB
새벽,	새벽/NNG+,/SP
경북	경북/NNP
포항에서	포항/NNP+에서/JKB
수백	수백/NR
명의	명/NNB+의/JKG
북한	북한/NNP
정예군과	정예군/NNG+과/JC
71명의	71/SN+명/NNB+의/JKG
소년학도병	소년/NNG+학도병/NNG
사이에서	사이/NNG+에서/JKB
벌어졌던	벌어지/VV+었/EP+던/ETM
12시간	12/SN+시간/NNB
동안의	동안/NNG+의/JKG
치열했던	치열/NNG+하/XSA+았/EP+던/ETM
전투를	전투/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
실화극이다.	실화/NNG+극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.148.5.1
1952년 3월 6·25전쟁에 참전해 13개월 동안 원산, 판문점 등지에서 복무한 참전용사 레이 살라자르 씨(82)는 “영화가 매우 사실적이다.

1952년	1952/SN+년/NNB
3월	3/SN+월/NNB
6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전해	참전/NNG+하/XSV+아/EC
13개월	13/SN+개월/NNB
동안	동안/NNG
원산,	원산/NNP+,/SP
판문점	판문점/NNP
등지에서	등지/NNB+에서/JKB
복무한	복무/NNG+하/XSV+ㄴ/ETM
참전용사	참전/NNG+용사/NNG
레이	레이/NNP
살라자르	살라자르/NNP
씨(82)는	씨/NNB+(/SS+82/SN+)/SS+는/JX
“영화가	“/SS+영화/NNG+가/JKS
매우	매우/MAG
사실적이다.	사실/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.148.5.2
한국인뿐만 아니라 전쟁에 참가했던 모든 사람이 겪은 고통을 다시 한 번 되새기는 계기가 됐다”고 말했다.

한국인뿐만	한국인/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
전쟁에	전쟁/NNG+에/JKB
참가했던	참가/NNG+하/XSV+았/EP+던/ETM
모든	모든/MMN
사람이	사람/NNG+이/JKS
겪은	겪/VV+은/ETM
고통을	고통/NNG+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
되새기는	되새기/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.5.3
그는 추운 날 얼음을 깨고 참호를 파던 게 생각난다며 “기회가 된다면 내년에 다시 한 번 한국을 방문하고 싶다”고 덧붙였다.

그는	그/NP+는/JX
추운	춥/VA+ㄴ/ETM
날	날/NNG
얼음을	얼음/NNG+을/JKO
깨고	깨/VV+고/EC
참호를	참호/NNG+를/JKO
파던	파/VV+던/ETM
게	거/NNB+이/JKS
생각난다며	생각나/VV+ㄴ다며/EC
“기회가	“/SS+기회/NNG+가/JKS
된다면	되/VV+ㄴ다면/EC
내년에	내년/NNG+에/JKB
다시	다시/MAG
한	한/MMN
번	번/NNB
한국을	한국/NNP+을/JKO
방문하고	방문/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.148.6.1
이 감독은 “많은 한국 학생이 60년 전에 한국에서 무슨 일이 있었는지 관심도 없다.

이	이/NNP
감독은	감독/NNG+은/JX
“많은	“/SS+많/VA+은/ETM
한국	한국/NNP
학생이	학생/NNG+이/JKS
60년	60/SN+년/NNB
전에	전/NNG+에/JKB
한국에서	한국/NNP+에서/JKB
무슨	무슨/MMD
일이	일/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EF
관심도	관심/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.148.6.2
이 영화를 통해 한국전쟁을 알리고 싶었다”고 말했다.

이	이/MMD
영화를	영화/NNG+를/JKO
통해	통하/VV+아/EC
한국전쟁을	한국/NNP+전쟁/NNG+을/JKO
알리고	알리/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.6.3
권 씨는 “영화를 촬영하면서 우리가 언제든지 위험한 상황에 처할 수 있다는 것을 새삼 느꼈다”고 말했다.

권	권/NNP
씨는	씨/NNB+는/JX
“영화를	“/SS+영화/NNG+를/JKO
촬영하면서	촬영/NNG+하/XSV+면서/EC
우리가	우리/NP+가/JKS
언제든지	언제/NP+든지/JX
위험한	위험/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
처할	처하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
새삼	새삼/MAG
느꼈다”고	느끼/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.148.7.1
이번 시사회는 스탠퍼드대 아태연구소 초청으로 열렸다.

이번	이번/NNG
시사회는	시사회/NNG+는/JX
스탠퍼드대	스탠퍼드대/NNP
아태연구소	아태연구소/NNP
초청으로	초청/NNG+으로/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.148.7.2
신기욱 스탠퍼드대 아태연구소 소장은 “최근 (천안함 폭침사건) 정세에서 보듯이 한국전쟁은 끝나지 않은 전쟁”이라며 “한국전쟁의 의미를 되새기고 현재 진행 중인 사안에 대한 주의를 환기시키기 위해 시사회를 개최했다”고 밝혔다.

신기욱	신기욱/NNP
스탠퍼드대	스탠퍼드대/NNP
아태연구소	아태연구소/NNP
소장은	소장/NNG+은/JX
“최근	“/SS+최근/NNG
(천안함	(/SS+천안함/NNP
폭침사건)	폭침/NNG+사건/NNG+)/SS
정세에서	정세/NNG+에서/JKB
보듯이	보/VV+듯이/EC
한국전쟁은	한국/NNP+전쟁/NNG+은/JX
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
전쟁”이라며	전쟁/NNG+”/SS+이/VCP+라며/EC
“한국전쟁의	“/SS+한국/NNP+전쟁/NNG+의/JKG
의미를	의미/NNG+를/JKO
되새기고	되새기/VV+고/EC
현재	현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
사안에	사안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주의를	주의/NNG+를/JKO
환기시키기	환기/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
시사회를	시사회/NNG+를/JKO
개최했다”고	개최/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


