# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.21
metadata : {}


# id : NWRW1800000052.21.1.1
은행들 CD금리 담합·한진 총수일가 ‘일감 몰아주기’ 공정위, 6월중 제재 수위 결정

은행들	은행/NNG+들/XSN
회장	회장/NNG
일가의	일가/NNG+의/JKG
‘일감	‘/SS+일감/NNG
몰아주기’	몰아주기/NNG+’/SS
사건을	사건/NNG+을/JKO
제재한다.	제재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.21.9.1
공정위는 정재찬 위원장이 지난 27일 기자간담회에서 올 상반기 안에 처리할 주요 사건에 대해 이같이 밝혔다고 29일 밝혔다.

공정위는	공정위/NNG+는/JX
정재찬	정재찬/NNP
위원장이	위원장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
올	올/NNG
상반기	상반기/NNG
안에	안/NNG+에/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
주요	주요/NNG
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
이같이	이/NP+같이/JKB
밝혔다고	밝히/VV+었/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.21.9.2
정 위원장은 “시디 금리 담합에 관련된 국민·케이비(KEB)하나·우리·농협·에스시(SC)제일·신한은행 등 6개 은행의 제재 수준을 결정하기 위한 전원회의를 6월 중 열 예정”이라고 밝혔다.

정	정/NNP
위원장은	위원장/NNG+은/JX
“시디	“/SS+시디/NNG
금리	금리/NNG
담합에	담합/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
국민·케이비(KEB)하나·우리·농협·에스시(SC)제일·신한은행	국민/NNP+·/SP+케이비/NNP+(/SS+KEB/SL+)/SS+하나/NNP+·/SP+우리/NNP+·/SP+농협/NNP+·/SP+에스시/NNP+(/SS+SC/SL+)/SS+제일/NNP+·/SP+신한은행/NNP
등	등/NNB
6개	6/SN+개/NNB
은행의	은행/NNG+의/JKG
제재	제재/NNG
수준을	수준/NNG+을/JKO
결정하기	결정/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
전원회의를	전원회의/NNG+를/JKO
6월	6/SN+월/NNB
중	중/NNB
열	열/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.21.10.1
이 사건은 은행들이 서로 짜고 3개월 만기 시디 금리를 높게 정해 부당이익을 취한 것이 핵심이다.

이	이/MMD
사건은	사건/NNG+은/JX
은행들이	은행/NNG+들/XSN+이/JKS
서로	서로/MAG
짜고	짜/VV+고/EC
3개월	3/SN+개월/NNB
만기	만기/NNG
시디	시디/NNG
금리를	금리/NNG+를/JKO
높게	높/VA+게/EC
정해	정하/VV+아/EC
부당이익을	부당/NNG+이익/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.21.10.2
공정위는 “(2011년 말~2012년 중반) 은행채 등 다른 조달금리는 내려갔는데 유독 시디 금리만 내려가지 않은 것과 관련해 담합 혐의가 확인됐다”고 설명했다.

공정위는	공정위/NNG+는/JX
“(2011년	“/SS+(/SS+2011/SN+년/NNB
말~2012년	말/NNB+~/SO+2012/SN+년/NNB
중반)	중반/NNG+)/SS
은행채	은행채/NNG
등	등/NNB
다른	다른/MMD
조달금리는	조달/NNG+금리/NNG+는/JX
내려갔는데	내려가/VV+았/EP+는데/EC
유독	유독/MAG
시디	시디/NNG
금리만	금리/NNG+만/JX
내려가지	내려가/VV+지/EC
않은	않/VX+은/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
담합	담합/NNG
혐의가	혐의/NNG+가/JKS
확인됐다”고	확인/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.21.10.3
시디 금리 담합 사건은 2012년 조사가 시작된 뒤 은행들이 혐의를 부인하면서 증거 확보에 4년이 흘렀다.

시디	시디/NNG
금리	금리/NNG
담합	담합/NNG
사건은	사건/NNG+은/JX
2012년	2012/SN+년/NNB
조사가	조사/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
은행들이	은행/NNG+들/XSN+이/JKS
혐의를	혐의/NNG+를/JKO
부인하면서	부인/NNG+하/XSV+면서/EC
증거	증거/NNG
확보에	확보/NNG+에/JKB
4년이	4/SN+년/NNB+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.21.11.1
시디 금리는 은행이 대출 이자를 정할 때 기준으로 삼는 지표다.

시디	시디/NNG
금리는	금리/NNG+는/JX
은행이	은행/NNG+이/JKS
대출	대출/NNG
이자를	이자/NNG+를/JKO
정할	정하/VV+ㄹ/ETM
때	때/NNG
기준으로	기준/NNG+으로/JKB
삼는	삼/VV+는/ETM
지표다.	지표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.21.11.2
시디 금리가 높을수록 고객들은 더 많은 이자를 부담하게 된다.

시디	시디/NNG
금리가	금리/NNG+가/JKS
높을수록	높/VA+을수록/EC
고객들은	고객/NNG+들/XSN+은/JX
더	더/MAG
많은	많/VA+은/ETM
이자를	이자/NNG+를/JKO
부담하게	부담/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.21.11.3
한국금융소비자원은 담합 피해 소비자가 500만명이고 피해액은 4조원이 넘는다고 주장하고 있다.

한국금융소비자원은	한국금융소비자원/NNP+은/JX
담합	담합/NNG
피해	피해/NNG
소비자가	소비자/NNG+가/JKS
500만명이고	500/SN+만/NR+명/NNB+이/VCP+고/EC
피해액은	피해액/NNG+은/JX
4조원이	4/SN+조/NR+원/NNB+이/JKS
넘는다고	넘/VV+는다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.21.12.1
정 위원장은 또 “총수 일가 일감 몰아주기 혐의로 현대그룹을 첫 번째로 제재한 데 이어 나머지 4개 그룹도 조사 중인데, 두 번째로 한진그룹을 6월 중에 전원회의를 열어 제재할 예정”이라고 밝혔다.

정	정/NNP
위원장은	위원장/NNG+은/JX
또	또/MAG
“총수	“/SS+총수/NNG
일가	일가/NNG
일감	일감/NNG
몰아주기	몰아주기/NNG
혐의로	혐의/NNG+로/JKB
현대그룹을	현대그룹/NNP+을/JKO
첫	첫/MMN
번째로	번/NNB+째/XSN+로/JKB
제재한	제재/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
나머지	나머지/NNG
4개	4/SN+개/NNB
그룹도	그룹/NNG+도/JX
조사	조사/NNG
중인데,	중/NNB+이/VCP+ㄴ데/EC+,/SP
두	두/MMN
한진그룹을	한진그룹/NNP+을/JKO
6월	6/SN+월/NNB
중에	중/NNB+에/JKB
전원회의를	전원회의/NNG+를/JKO
열어	열/VV+어/EC
제재할	제재/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.21.12.2
한진의 경우 조양호 회장과 조현아·조원태·조현민 등 그의 세 자녀가 지분을 100% 지닌 싸이버스카이(기내면세점 통신판매) 등이 대한항공 등 계열사의 일감 몰아주기를 통해 부당이득을 취한 혐의를 받고 있다.

한진의	한진/NNP+의/JKG
경우	경우/NNG
조양호	조양호/NNP
회장과	회장/NNG+과/JC
조현아·조원태·조현민	조현아/NNP+·/SP+조원태/NNP+·/SP+조현민/NNP
등	등/NNB
그의	그/NP+의/JKG
세	세/MMN
자녀가	자녀/NNG+가/JKS
지분을	지분/NNG+을/JKO
100%	100/SN+%/SW
지닌	지니/VV+ㄴ/ETM
싸이버스카이(기내면세점	싸이버스카이/NNP+(/SS+기내/NNG+면세점/NNG
통신판매)	통신/NNG+판매/NNG+)/SS
등이	등/NNB+이/JKS
대한항공	대한항공/NNP
계열사의	계열사/NNG+의/JKG
일감	일감/NNG
몰아주기를	몰아주기/NNG+를/JKO
통해	통하/VV+아/EC
부당이득을	부당/NNG+이득/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.21.12.3
지난해 11월 싸이버스카이의 총수 일가 지분이 모두 계열사에 매각됐지만, 공정위는 매각 이전 위법행위에 대한 제재는 법에 따라 진행될 것이라고 밝혔다.

지난해	지난해/NNG
11월	11/SN+월/NNB
싸이버스카이의	싸이버스카이/NNP+의/JKG
총수	총수/NNG
일가	일가/NNG
지분이	지분/NNG+이/JKS
모두	모두/MAG
계열사에	계열사/NNG+에/JKB
매각됐지만,	매각/NNG+되/XSV+었/EP+지만/EC+,/SP
공정위는	공정위/NNG+는/JX
매각	매각/NNG
이전	이전/NNG
위법행위에	위법/NNG+행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재는	제재/NNG+는/JX
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
진행될	진행/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.21.12.4
공정위는 한화, 씨제이(CJ), 하이트진로의 일감 몰아주기 혐의에 대해서도 순차적으로 제재할 계획이다.

공정위는	공정위/NNG+는/JX
한화,	한화/NNP+,/SP
씨제이(CJ),	씨제이/NNP+(/SS+CJ/SL+)/SS+,/SP
하이트진로의	하이트진로/NNP+의/JKG
일감	일감/NNG
몰아주기	몰아주기/NNG
혐의에	혐의/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
제재할	제재/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.21.13.1
정 위원장은 또 에스케이텔레콤과 씨제이헬로비전의 합병 심사가 너무 늦어진다는 일부 언론 보도를 반박했다.

정	정/NNP
위원장은	위원장/NNG+은/JX
또	또/MAG
에스케이텔레콤과	에스케이텔레콤/NNP+과/JC
씨제이헬로비전의	씨제이헬로비전/NNP+의/JKG
합병	합병/NNG
심사가	심사/NNG+가/JKS
너무	너무/MAG
늦어진다는	늦어지/VV+ㄴ다는/ETM
일부	일부/NNG
언론	언론/NNG
보도를	보도/NNG+를/JKO
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.21.13.2
그는 “기업결합 신고 이후 170일이 지났다는 지적은 잘못으로, 자료 보정기간을 빼면 법상 심사기간인 120일이 아직 지나지 않았다”고 강조했다.

그는	그/NP+는/JX
“기업결합	“/SS+기업/NNG+결합/NNG
신고	신고/NNG
이후	이후/NNG
170일이	170/SN+일/NNB+이/JKS
지났다는	지나/VV+았/EP+다는/ETM
지적은	지적/NNG+은/JX
잘못으로,	잘못/NNG+으로/JKB+,/SP
자료	자료/NNG
보정기간을	보정/NNG+기간/NNG+을/JKO
빼면	빼/VV+면/EC
법상	법/NNG+상/XSN
심사기간인	심사/NNG+기간/NNG+이/VCP+ㄴ/ETM
120일이	120/SN+일/NNB+이/JKS
아직	아직/MAG
지나지	지나/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.21.13.3
자료 보정기간은 공정위가 기업결합 심사에 필요한 자료를 해당 업체에 추가 요청해 받기까지 걸리는 시간이다.

자료	자료/NNG
보정기간은	보정/NNG+기간/NNG+은/JX
공정위가	공정위/NNG+가/JKS
기업결합	기업/NNG+결합/NNG
심사에	심사/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자료를	자료/NNG+를/JKO
해당	해당/NNG
업체에	업체/NNG+에/JKB
추가	추가/NNG
요청해	요청/NNG+하/XSV+아/EC
받기까지	받/VV+기/ETN+까지/JX
걸리는	걸리/VV+는/ETM
시간이다.	시간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.21.13.4
정 위원장은 “이번 건은 방송과 통신이 융합되는 첫 사례인 만큼 신중할 필요가 있고, 방송통신위원회의 통신 및 방송시장 경쟁 상황에 대한 최신 평가보고서가 3월 말에 나와 이를 반영하는 데 시간이 걸리는 것”이라고 설명했다.

정	정/NNP
위원장은	위원장/NNG+은/JX
“이번	“/SS+이번/NNG
건은	건/NNG+은/JX
방송과	방송/NNG+과/JC
통신이	통신/NNG+이/JKS
융합되는	융합/NNG+되/XSV+는/ETM
첫	첫/MMN
사례인	사례/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
신중할	신중/NNG+하/XSA+ㄹ/ETM
필요가	필요/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
방송통신위원회의	방송/NNG+통신/NNG+위원회/NNG+의/JKG
통신	통신/NNG
및	및/MAG
방송시장	방송/NNG+시장/NNG
경쟁	경쟁/NNG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최신	최신/NNG
평가보고서가	평가/NNG+보고서/NNG+가/JKS
3월	3/SN+월/NNB
말에	말/NNB+에/JKB
나와	나오/VV+아/EC
이를	이/NP+를/JKO
반영하는	반영/NNG+하/XSV+는/ETM
데	데/NNB
시간이	시간/NNG+이/JKS
걸리는	걸리/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


