# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.141
metadata : {}


# id : NWRW1800000032.141.1.1
“런던 올림픽 치안 못 믿겠다” 미, 영국에 보안요원 1000명 파견

“런던	“/SS+런던/NNP
지나친	지나치/VA+ㄴ/ETM
간섭이라는	간섭/NNG+이/VCP+라는/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.141.8.2
한 안보 관계자는 “미국은 안전 대책, 반테러 전략, 귀빈 안전 문제 등 모든 것에서 자기들이 상위에 서려고 한다”며 “이 문제 있어서 우린 동등한 파트너가 아니다”라고 불만을 토로했다고 <가디언>은 전했다.

한	한/MMN
안보	안보/NNG
관계자는	관계자/NNG+는/JX
“미국은	“/SS+미국/NNP+은/JX
안전	안전/NNG
대책,	대책/NNG+,/SP
반테러	반/XPN+테러/NNG
전략,	전략/NNG+,/SP
귀빈	귀빈/NNG
문제	문제/NNG
등	등/NNB
모든	모든/MMN
것에서	것/NNB+에서/JKB
자기들이	자기/NNG+들/XSN+이/JKS
상위에	상위/NNG+에/JKB
서려고	서/VV+려고/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이	“/SS+이/MMD
있어서	있/VA+어서/EC
우린	우리/NP+ㄴ/JX
동등한	동등/NNG+하/XSA+ㄴ/ETM
파트너가	파트너/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
불만을	불만/NNG+을/JKO
토로했다고	토로/NNG+하/XSV+았/EP+다고/EC
<가디언>은	</SS+가디언/NNP+>/SS+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


