# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.238
metadata : {}


# id : NWRW1800000032.238.1.1
김두우 전 수석 21일 소환

김두우	김두우/NNP
걸쳐	걸치/VV+어/EC
상품권	상품/NNG+권/XSN
등	등/NNB
1억원의	1/SN+억/NR+원/NNB+의/JKG
금품을	금품/NNG+을/JKO
전달했다는	전달/NNG+하/XSV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.238.7.1
검찰은 박씨가 현금이 아닌 다른 형태로 김 전 수석에게 금품을 건넨 것으로 보고 박씨를 추궁하는 한편 정황 증거를 수집하는 데 수사력을 모으고 있다.

검찰은	검찰/NNG+은/JX
박씨가	박/NNP+씨/NNB+가/JKS
현금이	현금/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
형태로	형태/NNG+로/JKB
김	김/NNP
전	전/MMD
수석에게	수석/NNG+에게/JKB
금품을	금품/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
박씨를	박/NNP+씨/NNB+를/JKO
추궁하는	추궁/NNG+하/XSV+는/ETM
한편	한편/NNG
정황	정황/NNG
증거를	증거/NNG+를/JKO
수집하는	수집/NNG+하/XSV+는/ETM
데	데/NNB
수사력을	수사력/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.238.8.1
검찰은 김 전 수석을 피내사자 신분으로 불러 박씨의 청탁을 받고 금융감독원이나 금융위원회, 감사원 쪽에 실제 부당한 영향력을 행사했는지, 그 대가로 금품을 받았는지 등을 조사할 예정이다.

검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
수석을	수석/NNG+을/JKO
피내사자	피/XPN+내사자/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
박씨의	박/NNP+씨/NNB+의/JKG
청탁을	청탁/NNG+을/JKO
받고	받/VV+고/EC
금융감독원이나	금융/NNG+감독원/NNG+이나/JC
금융위원회,	금융/NNG+위원회/NNG+,/SP
감사원	감사원/NNG
쪽에	쪽/NNB+에/JKB
실제	실제/NNG
부당한	부당/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사했는지,	행사/NNG+하/XSV+았/EP+는지/EF+,/SP
그	그/MMD
대가로	대가/NNG+로/JKB
금품을	금품/NNG+을/JKO
받았는지	받/VV+았/EP+는지/EF
등을	등/NNB+을/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.238.8.2
검찰은 앞서 박씨의 통화 내역과 골프라운딩 기록 등을 분석해 박씨가 지난해 4월부터 김 전 수석과 90여 차례 통화하고, 여러 차례 골프를 친 사실을 확인했다.

검찰은	검찰/NNG+은/JX
앞서	앞서/MAG
박씨의	박/NNP+씨/NNB+의/JKG
통화	통화/NNG
내역과	내역/NNG+과/JC
골프라운딩	골프/NNG+라운딩/NNG
기록	기록/NNG
등을	등/NNB+을/JKO
분석해	분석/NNG+하/XSV+아/EC
박씨가	박/NNP+씨/NNB+가/JKS
지난해	지난해/NNG
4월부터	4/SN+월/NNB+부터/JX
김	김/NNP
전	전/MMD
수석과	수석/NNG+과/JKB
90여	90/SN+여/XSN
차례	차례/NNG
통화하고,	통화/NNG+하/XSV+고/EC+,/SP
여러	여러/MMN
골프를	골프/NNG+를/JKO
친	치/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.238.9.1
검찰은 이와 함께 박씨에게서 금융감독원 고위 간부들과도 골프를 치고, 부산저축은행그룹 검사를 완화해달라는 청탁과 함께 상품권 등 금품을 건넸다는 진술을 받아낸 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
박씨에게서	박/NNP+씨/NNB+에게서/JKB
금융감독원	금융/NNG+감독원/NNG
고위	고위/NNG
간부들과도	간부/NNG+들/XSN+과/JKB+도/JX
골프를	골프/NNG+를/JKO
치고,	치/VV+고/EC+,/SP
부산저축은행그룹	부산저축은행그룹/NNP
검사를	검사/NNG+를/JKO
완화해달라는	완화/NNG+하/XSV+아/EC+달/VX+라는/ETM
청탁과	청탁/NNG+과/JKB
상품권	상품/NNG+권/XSN
등	등/NNB
금품을	금품/NNG+을/JKO
건넸다는	건네/VV+었/EP+다는/ETM
진술을	진술/NNG+을/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.238.9.2
검찰은 조만간 해당 금감원 간부를 불러 사실 여부를 확인할 방침이다.

검찰은	검찰/NNG+은/JX
조만간	조만간/MAG
해당	해당/NNG
금감원	금감원/NNG
간부를	간부/NNG+를/JKO
불러	부르/VV+어/EC
사실	사실/NNG
여부를	여부/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.238.10.1
이밖에 검찰은 박씨가 지난해 자신의 연고지인 부산·경남 지역의 여권 인사들과도 접촉한 정황을 포착하고 금품 제공 등 로비가 실제로 이뤄졌는지를 파악하고 있다.

이밖에	이/NP+밖/NNG+에/JKB
검찰은	검찰/NNG+은/JX
박씨가	박/NNP+씨/NNB+가/JKS
지난해	지난해/NNG
자신의	자신/NNG+의/JKG
연고지인	연고지/NNG+이/VCP+ㄴ/ETM
부산·경남	부산/NNP+·/SP+경남/NNP
지역의	지역/NNG+의/JKG
여권	여권/NNG
인사들과도	인사/NNG+들/XSN+과/JKB+도/JX
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착하고	포착/NNG+하/XSV+고/EC
금품	금품/NNG
제공	제공/NNG
등	등/NNB
로비가	로비/NNG+가/JKS
실제로	실제로/MAG
이뤄졌는지를	이뤄지/VV+었/EP+는지/EF+를/JKO
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.238.11.1
검찰은 지난해 부산저축은행그룹 김양(59·구속 기소) 부회장에게서 구명 청탁과 함께 로비자금 17억원을 10차례에 걸쳐 건네받은 혐의(특정범죄 가중처벌법의 알선수재)로 박씨를 지난 16일 기소했다.

검찰은	검찰/NNG+은/JX
지난해	지난해/NNG
부산저축은행그룹	부산저축은행그룹/NNP
김양(59·구속	김/NNP+양/NNB+(/SS+59/SN+·/SP+구속/NNG
기소)	기소/NNG+)/SS
부회장에게서	부회장/NNG+에게서/JKB
구명	구명/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
로비자금	로비/NNG+자금/NNG
17억원을	17/SN+억/NR+원/NNB+을/JKO
10차례에	10/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
건네받은	건네받/VV+은/ETM
혐의(특정범죄	혐의/NNG+(/SS+특정/NNG+범죄/NNG
가중처벌법의	가중/NNG+처벌법/NNG+의/JKG
알선수재)로	알선/NNG+수재/NNG+)/SS+로/JKB
박씨를	박/NNP+씨/NNB+를/JKO
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.238.11.2
검찰은 박씨에게 전달된 로비 자금이 금융당국과 정·관계에 추가로 뿌려졌을 가능성이 큰 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
박씨에게	박/NNP+씨/NNB+에게/JKB
전달된	전달/NNG+되/XSV+ㄴ/ETM
로비	로비/NNG
자금이	자금/NNG+이/JKS
금융당국과	금융/NNG+당국/NNG+과/JC
정·관계에	정·관계/NNG+에/JKB
추가로	추가/NNG+로/JKB
뿌려졌을	뿌리/VV+어/EC+지/VX+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


