# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.325
metadata : {}


# id : NWRW1800000056.325.1.1
[유레카] 이완용과 국정교과서

[유레카]	[/SS+유레카/NNG+]/SS
줄세우는	줄/NNG+세우/VV+는/ETM
여론조작에	여론/NNG+조작/NNG+에/JKB
가까웠다.	가깝/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.325.4.1
서양에서는 1824년 미국 대통령선거 때 펜실베이니아주 해리스버그 주민들이 대선 후보인 앤드루 잭슨과 존 퀸시 애덤스를 두고 모의투표를 한 것이 최초의 여론조사로 꼽힌다.

서양에서는	서양/NNG+에서/JKB+는/JX
1824년	1824/SN+년/NNB
미국	미국/NNP
대통령선거	대통령/NNG+선거/NNG
때	때/NNG
펜실베이니아주	펜실베이니아주/NNP
해리스버그	해리스버그/NNP
주민들이	주민/NNG+들/XSN+이/JKS
대선	대선/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
앤드루	앤드루/NNP
잭슨과	잭슨/NNP+과/JC
존	존/NNP
퀸시	퀸시/NNP
애덤스를	애덤스/NNP+를/JKO
두고	두/VV+고/EC
모의투표를	모의/NNG+투표/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
최초의	최초/NNG+의/JKG
여론조사로	여론/NNG+조사/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.325.4.2
20세기 들어 선거 여론조사와 정책 여론조사는 매우 활발해졌다.

20세기	20/SN+세기/NNG
들어	들/VV+어/EC
선거	선거/NNG
여론조사와	여론/NNG+조사/NNG+와/JC
정책	정책/NNG
여론조사는	여론/NNG+조사/NNG+는/JX
매우	매우/MAG
활발해졌다.	활발하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.325.4.3
결과를 유리하게 조작하려는 시도도 끊이지 않는다.

결과를	결과/NNG+를/JKO
유리하게	유리/NNG+하/XSA+게/EC
조작하려는	조작/NNG+하/XSV+려는/ETM
시도도	시도/NNG+도/JX
끊이지	끊이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000056.325.5.1
2015년 말 박근혜 정부가 역사 교과서 국정화 방침을 정하고 의견수렴을 할 때, 청와대와 국가정보원, 교육부가 찬성 의견을 늘리려고 의견서를 조작한 정황이 최근 드러났다.

2015년	2015/SN+년/NNB
말	말/NNB
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
역사	역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
방침을	방침/NNG+을/JKO
정하고	정하/VV+고/EC
의견수렴을	의견/NNG+수렴/NNG+을/JKO
할	하/VV+ㄹ/ETM
때,	때/NNG+,/SP
청와대와	청와대/NNP+와/JC
국가정보원,	국가/NNG+정보원/NNG+,/SP
교육부가	교육부/NNG+가/JKS
찬성	찬성/NNG
의견을	의견/NNG+을/JKO
늘리려고	늘리/VV+려고/EC
의견서를	의견서/NNG+를/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
최근	최근/MAG
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.325.5.2
한 사람이 낸 수백장의 의견서, 같은 양식에 이름만 바꿔 쓴 의견서가 무더기로 나왔다.

한	한/MMN
사람이	사람/NNG+이/JKS
낸	내/VV+ㄴ/ETM
수백장의	수백/NR+장/NNB+의/JKG
의견서,	의견서/NNG+,/SP
같은	같/VA+은/ETM
양식에	양식/NNG+에/JKB
이름만	이름/NNG+만/JX
바꿔	바꾸/VV+어/EC
쓴	쓰/VV+ㄴ/ETM
의견서가	의견서/NNG+가/JKS
무더기로	무더기/NNG+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.325.5.3
찬성 의견서 일부에는 이완용, 박정희 등의 이름도 있었다고 한다.

찬성	찬성/NNG
의견서	의견서/NNG
일부에는	일부/NNG+에/JKB+는/JX
이완용,	이완용/NNP+,/SP
박정희	박정희/NNP
등의	등/NNB+의/JKG
이름도	이름/NNG+도/JX
있었다고	있/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.325.5.4
그들이 살아 돌아와서 교과서 국정화를 추진한 것일까.

그들이	그/NP+들/XSN+이/JKS
살아	살/VV+아/EC
돌아와서	돌아오/VV+아서/EC
교과서	교과서/NNG
국정화를	국정/NNG+화/XSN+를/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


