# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.240
metadata : {}


# id : NWRW1800000046.240.1.1
야구는 김태형이 웃었지만 골프는 류중일이 역전승

야구는	야구/NNG+는/JX
대회는	대회/NNG+는/JX
야구인들의	야구인/NNG+들/XSN+의/JKG
축제로	축제/NNG+로/JKB
발전해	발전/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.240.4.3
올해도 프로야구 10개 구단의 감독과 코치, 선수, 프런트와 원로 야구인, KBO 임직원, 심판위원, 언론인 등 157명이 참가했다.

올해도	올해/NNG+도/JX
프로야구	프로/NNG+야구/NNG
10개	10/SN+개/NNB
구단의	구단/NNG+의/JKG
감독과	감독/NNG+과/JC
코치,	코치/NNG+,/SP
선수,	선수/NNG+,/SP
프런트와	프런트/NNG+와/JC
원로	원로/NNG
야구인,	야구인/NNG+,/SP
KBO	KBO/SL
임직원,	임직원/NNG+,/SP
심판위원,	심판/NNG+위원/NNG+,/SP
언론인	언론인/NNG
등	등/NNB
157명이	157/SN+명/NNB+이/JKS
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.240.5.1
같은 조에 속한 두산 김태형 감독과 삼성 류중일 감독의 '리턴 매치'가 큰 관심을 모았다.

같은	같/VA+은/ETM
조에	조/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
두산	두산/NNP
김태형	김태형/NNP
감독과	감독/NNG+과/JC
삼성	삼성/NNP
류중일	류중일/NNP
감독의	감독/NNG+의/JKG
'리턴	'/SS+리턴/NNG
매치'가	매치/NNG+'/SS+가/JKS
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.240.5.2
두 감독 모두 골프 실력이 뛰어난 것으로 잘 알려져 있다.

두	두/MMN
감독	감독/NNG
모두	모두/MAG
골프	골프/NNG
실력이	실력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.240.5.3
지난 10월 한국시리즈 미디어 데이에서 류 감독이 "한국시리즈 끝나고 야구인골프대회에서 김 감독과 한번 붙어보고 싶다"고 하자 김 감독이 "야구(한국시리즈)를 이긴다면 골프는 져도 좋다"고 말한 적도 있다.

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
한국시리즈	한국/NNP+시리즈/NNG
미디어	미디어/NNG
데이에서	데이/NNG+에서/JKB
류	류/NNP
감독이	감독/NNG+이/JKS
"한국시리즈	"/SS+한국/NNP+시리즈/NNG
끝나고	끝나/VV+고/EC
야구인골프대회에서	야구인/NNG+골프/NNG+대회/NNG+에서/JKB
김	김/NNP
감독과	감독/NNG+과/JKB
한번	한번/MAG
붙어보고	붙/VV+어/EC+보/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
하자	하/VV+자/EC
"야구(한국시리즈)를	"/SS+야구/NNG+(/SS+한국/NNP+시리즈/NNG+)/SS+를/JKO
이긴다면	이기/VV+ㄴ다면/EC
골프는	골프/NNG+는/JX
져도	지/VV+어도/EC
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.240.5.4
류 감독은 계산에 의해 정확한 샷을 날리고, 김 감독은 거침없는 샷을 구사하는 스타일이다.

류	류/NNP
감독은	감독/NNG+은/JX
계산에	계산/NNG+에/JKB
의해	의하/VV+아/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
샷을	샷/NNG+을/JKO
날리고,	날리/VV+고/EC+,/SP
김	김/NNP
거침없는	거침없/VA+는/ETM
구사하는	구사/NNG+하/XSV+는/ETM
스타일이다.	스타일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.240.5.5
이날 접전 끝에 3개 홀을 남겨놓고 김 감독이 3타 차로 앞서나갔다.

이날	이날/NNG
접전	접전/NNG
끝에	끝/NNG+에/JKB
3개	3/SN+개/NNB
홀을	홀/NNG+을/JKO
남겨놓고	남기/VV+어/EC+놓/VX+고/EC
김	김/NNP
감독이	감독/NNG+이/JKS
3타	3/SN+타/NNG
차로	차/NNG+로/JKB
앞서나갔다.	앞서/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.240.5.6
그러나 김 감독이 마지막 3개 홀에서 보기, 보기, 트리플보기를 기록해 결국 류 감독(80타)이 김 감독(81타)을 1타 차로 제치고 역전승했다.

그러나	그러나/MAJ
김	김/NNP
감독이	감독/NNG+이/JKS
마지막	마지막/NNG
3개	3/SN+개/NNB
홀에서	홀/NNG+에서/JKB
보기,	보기/NNG+,/SP
트리플보기를	트리플보기/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
결국	결국/NNG
류	류/NNP
감독(80타)이	감독/NNG+(/SS+80/SN+타/NNG+)/SS+이/JKS
감독(81타)을	감독/NNG+(/SS+81/SN+타/NNG+)/SS+을/JKO
1타	1/SN+타/NNG
차로	차/NNG+로/JKB
제치고	제치/VV+고/EC
역전승했다.	역전승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.240.5.7
선수 중에서는 KIA 윤석민이 가장 좋은 스코어(80타)를 기록했다.

선수	선수/NNG
중에서는	중/NNB+에서/JKB+는/JX
KIA	KIA/SL
윤석민이	윤석민/NNP+이/JKS
가장	가장/MAG
좋은	좋/VA+은/ETM
스코어(80타)를	스코어/NNG+(/SS+80/SN+타/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.240.5.8
인터넷 동영상으로 골프를 독학했다는 그는 평균 드라이버샷 거리가 250m라고 한다.

인터넷	인터넷/NNG
동영상으로	동영상/NNG+으로/JKB
골프를	골프/NNG+를/JKO
독학했다는	독학/NNG+하/XSV+았/EP+다는/ETM
그는	그/NP+는/JX
평균	평균/NNG
드라이버샷	드라이버/NNG+샷/NNG
거리가	거리/NNG+가/JKS
250m라고	250/SN+m/SW+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.240.6.1
이날 신페리오 방식(숨은 12개 홀에 개인 핸디캡을 부과해 순위를 매기는 것)으로 KIA 박흥식 코치가 우승(네트 스코어 70.6타. 79타에 핸디 8.4 적용)을 차지했다.

이날	이날/NNG
신페리오	신페리오/NNG
방식(숨은	방식/NNG+(/SS+숨/VV+은/ETM
12개	12/SN+개/NNB
홀에	홀/NNG+에/JKB
개인	개인/NNG
핸디캡을	핸디캡/NNG+을/JKO
부과해	부과/NNG+하/XSV+아/EC
순위를	순위/NNG+를/JKO
매기는	매기/VV+는/ETM
것)으로	것/NNB+)/SS+으로/JKB
KIA	KIA/SL
박흥식	박흥식/NNP
코치가	코치/NNG+가/JKS
우승(네트	우승/NNG+(/SS+네트/NNG
스코어	스코어/NNG
70.6타.	70/SN+./SP+6/SN+타/NNG+./SF
79타에	79/SN+타/NNG+에/JKB
핸디	핸디/NNG
8.4	8/SN+./SP+4/SN
적용)을	적용/NNG+)/SS+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


