# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.388
metadata : {}


# id : NWRW1800000021.388.1.1
짓다만 꿈의 인공섬엔 건설자재만 나뒹굴어…

짓다만	짓/VV+다/EC+말/VV+ㄴ/ETM
축제인	축제/NNG+이/VCP+ㄴ/ETM
‘이드	‘/SS+이드/NNG
알	알/NNG
아드하(희생제)’와	아드하/NNG+(/SS+희생제/NNG+)/SS+’/SS+와/JC
국경일을	국경일/NNG+을/JKO
맞아	맞/VV+아/EC
대부분의	대/XPN+부분/NNG+의/JKG
관공서와	관공서/NNG+와/JC
공기업은	공기업/NNG+은/JX
다음	다음/NNG
달	달/NNG
5일까지	5/SN+일/NNB+까지/JX
문을	문/NNG+을/JKO
닫는다.	닫/VV+는다/EF+./SF


# id : NWRW1800000021.388.15.4
위기의 진앙인 두바이월드와 나힐도 예외는 아니다.

위기의	위기/NNG+의/JKG
진앙인	진앙/NNG+이/VCP+ㄴ/ETM
두바이월드와	두바이월드/NNP+와/JC
나힐도	나힐/NNP+도/JX
예외는	예외/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000021.388.16.1
○ 1년 만에 연간 주택 임차료 7400만 원→4670만 원 ‘급락’

○	○/SW
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
연간	연간/NNG
주택	주택/NNG
임차료	임차료/NNG
7400만	7400/SN+만/NR
원→4670만	원/NNB+→/SW+4670/SN+만/NR
원	원/NNB
‘급락’	‘/SS+급락/NNG+’/SS


# id : NWRW1800000021.388.17.1
거리는 평온했지만 두바이 경제를 이끌어온 부동산 경기가 가라앉는 분위기는 곳곳에서 감지됐다.

거리는	거리/NNG+는/JX
평온했지만	평온/NNG+하/XSA+았/EP+지만/EC
두바이	두바이/NNP
경제를	경제/NNG+를/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
부동산	부동산/NNG
경기가	경기/NNG+가/JKS
가라앉는	가라앉/VV+는/ETM
분위기는	분위기/NNG+는/JX
곳곳에서	곳곳/NNG+에서/JKB
감지됐다.	감지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.388.17.2
두바이 시내를 관통하는 셰이흐자이드 로드 옆의 고층 빌딩에는 ‘사무실 임대(Offices to Let)’라고 적힌 대형 현수막이 두세 건물마다 하나씩 붙어 있었다.

두바이	두바이/NNP
시내를	시내/NNG+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
셰이흐자이드	셰이흐자이드/NNP
로드	로드/NNG
옆의	옆/NNG+의/JKG
고층	고층/NNG
빌딩에는	빌딩/NNG+에/JKB+는/JX
‘사무실	‘/SS+사무실/NNG
임대(Offices	임대/NNG+(/SS+Offices/SL
to	to/SL
Let)’라고	Let/SL+)/SS+’/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
대형	대형/NNG
현수막이	현수막/NNG+이/JKS
두세	두세/MMN
건물마다	건물/NNG+마다/JX
하나씩	하나/NR+씩/XSN
붙어	붙/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.388.17.3
비즈니스베이, 주메이라 레이크 타워 등 최근 도심지로 조성되는 곳에서는 공사가 중단되거나 더디게 진행되는 현장도 적지 않았다.

비즈니스베이,	비즈니스베이/NNP+,/SP
주메이라	주메이라/NNP
레이크	레이크/NNG
타워	타워/NNG
등	등/NNB
최근	최근/NNG
도심지로	도심지/NNG+로/JKB
조성되는	조성/NNG+되/XSV+는/ETM
곳에서는	곳/NNG+에서/JKB+는/JX
공사가	공사/NNG+가/JKS
중단되거나	중단/NNG+되/XSV+거나/EC
더디게	더디/VA+게/EC
진행되는	진행/NNG+되/XSV+는/ETM
현장도	현장/NNG+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.388.18.1
시내에서 만난 한국 건설사 관계자는 “부동산 가격이 지난해 고점 대비 거의 50%나 떨어졌다”며 “부동산 시장에서는 나힐이 12월에 채무를 갚을 수 있을지를 두바이 경기 회복의 지표로 보고 있었던 터라 이번 사태로 부동산 가격의 추가 하락이 우려된다”고 말했다.

시내에서	시내/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
한국	한국/NNP
건설사	건설사/NNG
관계자는	관계자/NNG+는/JX
“부동산	“/SS+부동산/NNG
가격이	가격/NNG+이/JKS
지난해	지난해/NNG
고점	고점/NNG
대비	대비/NNG
거의	거의/MAG
50%나	50/SN+%/SW+나/JX
떨어졌다”며	떨어지/VV+었/EP+다/EF+”/SS+며/EC
시장에서는	시장/NNG+에서/JKB+는/JX
나힐이	나힐/NNP+이/JKS
12월에	12/SN+월/NNB+에/JKB
채무를	채무/NNG+를/JKO
갚을	갚/VV+을/ETM
수	수/NNB
있을지를	있/VA+을지/EF+를/JKO
두바이	두바이/NNP
경기	경기/NNG
회복의	회복/NNG+의/JKG
지표로	지표/NNG+로/JKB
보고	보/VV+고/EC
있었던	있/VX+었/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
이번	이번/NNG
사태로	사태/NNG+로/JKB
부동산	부동산/NNG
가격의	가격/NNG+의/JKG
추가	추가/NNG
하락이	하락/NNG+이/JKS
우려된다”고	우려/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.19.1
실제로 도심 인근의 침실 3개짜리 빌라의 경우 연간 임차료가 지난해 말 23만 디르함(약 7400만 원)에서 최근에는 14만5000디르함(약 4670만 원)으로 약 37% 하락한 상태다.

실제로	실제로/MAG
도심	도심/NNG
인근의	인근/NNG+의/JKG
침실	침실/NNG
3개짜리	3/SN+개/NNB+짜리/XSN
빌라의	빌라/NNG+의/JKG
경우	경우/NNG
연간	연간/NNG
임차료가	임차료/NNG+가/JKS
지난해	지난해/NNG
말	말/NNB
23만	23/SN+만/NR
디르함(약	디르함/NNB+(/SS+약/MMA
7400만	7400/SN+만/NR
원)에서	원/NNB+)/SS+에서/JKB
최근에는	최근/NNG+에/JKB+는/JX
14만5000디르함(약	14/SN+만/NR+5000/SN+디르함/NNB+(/SS+약/MMA
4670만	4670/SN+만/NR
원)으로	원/NNB+)/SS+으로/JKB
약	약/MMA
37%	37/SN+%/SW
하락한	하락/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.19.2
이와 관련해 투자은행 UBS는 최근 두바이의 부동산 가격이 현재 수준에서 30% 더 떨어질 것으로 전망했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
투자은행	투자/NNG+은행/NNG
UBS는	UBS/SL+는/JX
최근	최근/NNG
두바이의	두바이/NNP+의/JKG
부동산	부동산/NNG
가격이	가격/NNG+이/JKS
현재	현재/NNG
수준에서	수준/NNG+에서/JKB
30%	30/SN+%/SW
더	더/MAG
떨어질	떨어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.388.20.1
○ 아부다비 두바이 협상 ‘줄다리기’

○	○/SW
아부다비	아부다비/NNP
두바이	두바이/NNP
협상	협상/NNG
‘줄다리기’	‘/SS+줄다리기/NNG+’/SS


# id : NWRW1800000021.388.21.1
현 상황에서 두바이가 기댈 수 있는 유일한 곳은 아랍에미리트 수도 아부다비다.

현	현/MMD
상황에서	상황/NNG+에서/JKB
두바이가	두바이/NNP+가/JKS
기댈	기대/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
곳은	곳/NNG+은/JX
아랍에미리트	아랍에미리트/NNP
수도	수도/NNG
아부다비다.	아부다비/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.21.2
아랍에미리트 최대 산유국으로 8000억 달러가 넘는 세계 최대 국부펀드를 운용하는 ‘부자 이웃’이기 때문이다.

아랍에미리트	아랍에미리트/NNP
최대	최대/NNG
산유국으로	산유국/NNG+으로/JKB
8000억	8000/SN+억/NR
달러가	달러/NNB+가/JKS
넘는	넘/VV+는/ETM
세계	세계/NNG
국부펀드를	국부/NNG+펀드/NNG+를/JKO
운용하는	운용/NNG+하/XSV+는/ETM
‘부자	‘/SS+부자/NNG
이웃’이기	이웃/NNG+’/SS+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.388.22.1
하지만 외국인투자가들 사이에서는 아부다비가 지원의 대가로 두바이의 국영항공사인 에미레이트항공과 중동 최대의 항만 운영사인 DP월드를 요구하고 있다는 소문이 공공연하게 돌고 있다.

하지만	하지만/MAJ
외국인투자가들	외국인/NNG+투자가/NNG+들/XSN
