# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.84
metadata : {}


# id : NWRW1800000037.84.1.1
[Story]서울역서 1시간만 달리면 서해바다가 눈앞에

[Story]서울역서	[/SS+Story/SL+]/SS+서울역/NNP+서/JKB
바다열차는 입소문을 타고 그 인기가 날로 높아지고 있다.

바다열차는	바다/NNG+열차/NNG+는/JX
입소문을	입소문/NNG+을/JKO
타고	타/VV+고/EC
그	그/MMD
인기가	인기/NNG+가/JKS
날로	날로/MAG
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.84.7.2
코레일공항철도가 바다열차 이용 현황을 분석한 결과 4월 첫 주부터 7월 둘째 주까지의 주간 평균 이용객은 1560명으로 지난해 같은 기간보다 21% 증가한 것으로 나타났다.

코레일공항철도가	코레일공항철도/NNP+가/JKS
바다열차	바다/NNG+열차/NNG
이용	이용/NNG
현황을	현황/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
4월	4/SN+월/NNB
첫	첫/MMN
주부터	주/NNG+부터/JX
7월	7/SN+월/NNB
둘째	둘째/NR
주까지의	주/NNB+까지/JX+의/JKG
주간	주간/NNG
평균	평균/NNG
이용객은	이용객/NNG+은/JX
1560명으로	1560/SN+명/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
21%	21/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.84.8.1
공항철도는 자기부상열차가 개통하는 11월까지 바다열차를 운행할 계획이다.

공항철도는	공항철도/NNP+는/JX
자기부상열차가	자기/NNG+부상/NNG+열차/NNG+가/JKS
개통하는	개통/NNG+하/XSV+는/ETM
11월까지	11/SN+월/NNB+까지/JX
바다열차를	바다/NNG+열차/NNG+를/JKO
운행할	운행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.84.8.2
자기부상열차는 인천국제공항에서 용유역까지 운행한다.

자기부상열차는	자기/NNG+부상/NNG+열차/NNG+는/JX
인천국제공항에서	인천국제공항/NNP+에서/JKB
용유역까지	용유역/NNP+까지/JX
운행한다.	운행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.84.8.3
공항철도 관계자는 “일찍 찾아온 무더위로 바다를 찾는 사람들이 늘면서 바다열차의 인기도 올라가고 있다”며 “장마가 끝난 후 10월까지는 열차를 이용하는 승객이 꾸준히 늘 것으로 기대한다”고 말했다.

공항철도	공항철도/NNP
관계자는	관계자/NNG+는/JX
“일찍	“/SS+일찍/MAG
찾아온	찾아오/VV+ㄴ/ETM
무더위로	무더위/NNG+로/JKB
바다를	바다/NNG+를/JKO
찾는	찾/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘면서	늘/VV+면서/EC
바다열차의	바다/NNG+열차/NNG+의/JKG
인기도	인기/NNG+도/JX
올라가고	올라가/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“장마가	“/SS+장마/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
10월까지는	10/SN+월/NNB+까지/JX+는/JX
열차를	열차/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
승객이	승객/NNG+이/JKS
꾸준히	꾸준히/MAG
늘	늘/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


