# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.312
metadata : {}


# id : NWRW1800000032.312.1.1
챔스서 만난 남북한, 싸울수록 즐거웠다

챔스서	챔스/NNG+서/JKB
C조	C/SL+조/NNG
조별리그	조별/NNG+리그/NNG
2차전.	2/SN+차전/NNB+./SF


# id : NWRW1800000032.312.5.2
이날 팬들의 시선을 사로잡은 이는 ‘코리안 3박’이었다.

이날	이날/NNG
팬들의	팬/NNG+들/XSN+의/JKG
시선을	시선/NNG+을/JKO
사로잡은	사로잡/VV+은/ETM
이는	이/NP+는/JX
‘코리안	‘/SS+코리안/NNP
3박’이었다.	3/SN+박/NNP+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.312.5.3
맨체스터 유나이티드의 박지성(30), 스위스 명문 클럽 바젤의 박주호(24)와 북한 출신 박광룡(19)이 주인공.

맨체스터	맨체스터/NNP
유나이티드의	유나이티드/NNP+의/JKG
박지성(30),	박지성/NNP+(/SS+30/SN+)/SS+,/SP
스위스	스위스/NNP
명문	명문/NNG
클럽	클럽/NNG
바젤의	바젤/NNP+의/JKG
박주호(24)와	박주호/NNP+(/SS+24/SN+)/SS+와/JC
북한	북한/NNP
출신	출신/NNG
박광룡(19)이	박광룡/NNP+(/SS+19/SN+)/SS+이/JKS
주인공.	주인공/NNG+./SF


# id : NWRW1800000032.312.5.4
10분 남짓의 짧은 시간이었지만, 남북한 선수 3인방이 올드트래퍼드에 나란히 선 것만으로도 팬들에게는 신선한 볼거리였다.

10분	10/SN+분/NNB
남짓의	남짓/NNB+의/JKG
짧은	짧/VA+은/ETM
시간이었지만,	시간/NNG+이/VCP+었/EP+지만/EC+,/SP
남북한	남북한/NNP
선수	선수/NNG
3인방이	3인방/NNG+이/JKS
올드트래퍼드에	올드트래퍼드/NNP+에/JKB
나란히	나란히/MAG
선	서/VV+ㄴ/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
팬들에게는	팬/NNG+들/XSN+에게/JKB+는/JX
신선한	신선하/VA+ㄴ/ETM
볼거리였다.	볼거리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.312.5.5
챔피언스리그 첫 ‘코리안 더비’로 관심을 끈 이날 경기에서 박주호는 왼쪽 측면 수비수로 선발 출전해 풀타임을 소화했다.

챔피언스리그	챔피언스리그/NNG
첫	첫/MMN
‘코리안	‘/SS+코리안/NNP
더비’로	더비/NNG+’/SS+로/JKB
관심을	관심/NNG+을/JKO
끈	끌/VV+ㄴ/ETM
이날	이날/NNG
경기에서	경기/NNG+에서/JKB
박주호는	박주호/NNP+는/JX
왼쪽	왼쪽/NNG
측면	측면/NNG
수비수로	수비수/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
풀타임을	풀타임/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.5.6
박지성은 후반 16분 라이언 긱스 대신 들어가 30여분을 뛰었고, 후반 36분에 투입된 박광룡과 공수 위치에서 볼을 다투기도 했다.

박지성은	박지성/NNP+은/JX
후반	후반/NNG
16분	16/SN+분/NNB
라이언	라이언/NNP
긱스	긱스/NNP
대신	대신/NNG
들어가	들어가/VV+아/EC
30여분을	30/SN+여/XSN+분/NNB+을/JKO
뛰었고,	뛰/VV+었/EP+고/EC+,/SP
36분에	36/SN+분/NNB+에/JKB
투입된	투입/NNG+되/XSV+ㄴ/ETM
박광룡과	박광룡/NNP+과/JKB
공수	공수/NNG
위치에서	위치/NNG+에서/JKB
볼을	볼/NNG+을/JKO
다투기도	다투/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.312.6.1
■ 더벅머리 박광룡의 등장 축구팬의 눈길을 끈 이는 박광룡이었다.

■	■/SW
더벅머리	더벅머리/NNG
박광룡의	박광룡/NNP+의/JKG
등장	등장/NNG
축구팬의	축구/NNG+팬/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
끈	끌/VV+ㄴ/ETM
이는	이/NNB+는/JX
박광룡이었다.	박광룡/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.312.6.2
지난해까지만 해도 그는 북한 대표팀의 평범한 선수에 지나지 않았다.

지난해까지만	지난해/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
그는	그/NP+는/JX
북한	북한/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
평범한	평범하/VA+ㄴ/ETM
선수에	선수/NNG+에/JKB
지나지	지나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.312.6.3
1992년 평양에서 태어난 박광룡은 평양월미도체육단에서 축구를 시작했다.

1992년	1992/SN+년/NNB
평양에서	평양/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
박광룡은	박광룡/NNP+은/JX
평양월미도체육단에서	평양월미도체육단/NNP+에서/JKB
축구를	축구/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.6.4
1m88의 건장한 체구로 지난해 광저우아시아경기대회 때 처음 이름을 알렸다.

1m88의	1/SN+m/SW+88/SN+의/JKG
건장한	건장하/VA+ㄴ/ETM
체구로	체구/NNG+로/JKB
지난해	지난해/NNG
광저우아시아경기대회	광저우/NNP+아시아/NNP+경기/NNG+대회/NNG
때	때/NNG
처음	처음/NNG
이름을	이름/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.6.5
북한에선 정대세(보훔)와 홍영조(4·25체육단)를 잇는 차세대 스트라이커로 주목받아왔다.

북한에선	북한/NNP+에서/JKB+ㄴ/JX
정대세(보훔)와	정대세/NNP+(/SS+보훔/NNP+)/SS+와/JC
홍영조(4·25체육단)를	홍영조/NNP+(/SS+4·25체육단/NNP+)/SS+를/JKO
잇는	잇/VV+는/ETM
차세대	차세대/NNG
스트라이커로	스트라이커/NNG+로/JKB
주목받아왔다.	주목/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.312.6.6
지금까지 A매치 8경기에 출전했고 6월 북한과 아랍에미리트의 올림픽 예선에서 동점골을 넣기도 했다.

지금까지	지금/NNG+까지/JX
A매치	A/SL+매치/NNG
8경기에	8/SN+경기/NNG+에/JKB
출전했고	출전/NNG+하/XSV+았/EP+고/EC
6월	6/SN+월/NNB
북한과	북한/NNP+과/JC
아랍에미리트의	아랍에미리트/NNP+의/JKG
올림픽	올림픽/NNG
예선에서	예선/NNG+에서/JKB
동점골을	동점/NNG+골/NNG+을/JKO
넣기도	넣/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.312.7.1
2011년 3월 스위스 2부리그 FC빌에 입단하며 유럽에 진출한 뒤 6월 바젤에 둥지를 틀었다.

2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
스위스	스위스/NNP
2부리그	2부/NNG+리그/NNG
FC빌에	FC빌/NNP+에/JKB
입단하며	입단/NNG+하/XSV+며/EC
유럽에	유럽/NNP+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6월	6/SN+월/NNB
바젤에	바젤/NNP+에/JKB
둥지를	둥지/NNG+를/JKO
틀었다.	틀/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.7.2
웨스트햄(잉글랜드)과의 프리시즌 경기에서 골을 넣으며 토르스텐 핑크 바젤 감독의 눈도장을 받았다.

웨스트햄(잉글랜드)과의	웨스트햄/NNP+(/SS+잉글랜드/NNP+)/SS+과/JKB+의/JKG
프리시즌	프리/NNG+시즌/NNG
경기에서	경기/NNG+에서/JKB
골을	골/NNG+을/JKO
넣으며	넣/VV+으며/EC
토르스텐	토르스텐/NNP
핑크	핑크/NNP
바젤	바젤/NNP
감독의	감독/NNG+의/JKG
눈도장을	눈도장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.7.3
핑크 감독은 애초 박광룡을 1~2년 후를 바라보고 데려온 기대주로 규정했으나 프리시즌에서 뜻밖에 골을 터뜨리자 생각을 바꿨다.

핑크	핑크/NNP
감독은	감독/NNG+은/JX
애초	애초/NNG
박광룡을	박광룡/NNP+을/JKO
1~2년	1/SN+~/SO+2/SN+년/NNB
후를	후/NNG+를/JKO
바라보고	바라보/VV+고/EC
데려온	데려오/VV+ㄴ/ETM
기대주로	기대주/NNG+로/JKB
규정했으나	규정/NNG+하/XSV+았/EP+으나/EC
프리시즌에서	프리/NNG+시즌/NNG+에서/JKB
뜻밖에	뜻밖에/MAG
골을	골/NNG+을/JKO
터뜨리자	터뜨리/VV+자/EC
생각을	생각/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.7.4
정규시즌 개막과 함께 1군에 부른 뒤 후반 교체 자원으로 활용하고 있다.

정규시즌	정규/NNG+시즌/NNG
개막과	개막/NNG+과/JKB
함께	함께/MAG
1군에	1/SN+군/NNG+에/JKB
부른	부르/VV+ㄴ/ETM
뒤	뒤/NNG
후반	후반/NNG
교체	교체/NNG
자원으로	자원/NNG+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.312.8.1
■ 평점은 ‘맏형’ 지성이 최고 경기에선 맨유가 안방에서 무난하게 승리할 것으로 예상됐지만 스위스 슈퍼리그에서 14차례나 우승한 명문 바젤의 끈질긴 공세가 빛을 발했다.

■	■/SW
평점은	평점/NNG+은/JX
‘맏형’	‘/SS+맏/XPN+형/NNG+’/SS
지성이	지성/NNP+이/JKS
최고	최고/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
맨유가	맨유/NNP+가/JKS
안방에서	안방/NNG+에서/JKB
무난하게	무난하/VA+게/EC
승리할	승리/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐지만	예상/NNG+되/XSV+었/EP+지만/EC
스위스	스위스/NNP
슈퍼리그에서	슈퍼리그/NNG+에서/JKB
14차례나	14/SN+차례/NNG+나/JX
우승한	우승/NNG+하/XSV+ㄴ/ETM
명문	명문/NNG
바젤의	바젤/NNP+의/JKG
끈질긴	끈질기/VA+ㄴ/ETM
공세가	공세/NNG+가/JKS
빛을	빛/NNG+을/JKO
발했다.	발하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.8.2
맨유는 전반 16분과 17분 대니 웰벡의 연속골로 2-0으로 앞서나갔으나, 후반에만 잇따라 3골을 허용하며 단숨에 전세가 뒤집혔다.

맨유는	맨유/NNP+는/JX
전반	전반/NNG
16분과	16/SN+분/NNB+과/JC
17분	17/SN+분/NNB
대니	대니/NNP
웰벡의	웰벡/NNP+의/JKG
연속골로	연속/NNG+골/NNG+로/JKB
2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞서나갔으나,	앞서/VV+어/EC+나가/VX+았/EP+으나/EC+,/SP
후반에만	후반/NNG+에/JKB+만/JX
잇따라	잇따르/VV+아/EC
3골을	3/SN+골/NNG+을/JKO
허용하며	허용/NNG+하/XSV+며/EC
단숨에	단숨에/MAG
전세가	전세/NNG+가/JKS
뒤집혔다.	뒤집히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.8.3
패색이 짙던 후반 45분 애슐리 영의 동점골에 힘입어 겨우 3-3으로 비겼다.

패색이	패색/NNG+이/JKS
짙던	짙/VA+던/ETM
후반	후반/NNG
45분	45/SN+분/NNB
애슐리	애슐리/NNP
영의	영/NNP+의/JKG
동점골에	동점/NNG+골/NNG+에/JKB
힘입어	힘입/VV+어/EC
겨우	겨우/MAG
3-3으로	3/SN+-/SO+3/SN+으로/JKB
비겼다.	비기/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.8.4
맨유는 벤피카(포르투갈)와의 1차전(1-1)에 이어 두 경기 연속 무승부로 C조 3위로 내려앉았다.

맨유는	맨유/NNP+는/JX
벤피카(포르투갈)와의	벤피카/NNP+(/SS+포르투갈/NNP+)/SS+와/JKB+의/JKG
1차전(1-1)에	1/SN+차전/NNB+(/SS+1/SN+-/SO+1/SN+)/SS+에/JKB
이어	잇/VV+어/EC
두	두/MMN
경기	경기/NNG
연속	연속/NNG
무승부로	무/XPN+승부/NNG+로/JKB
C조	C/SL+조/NNG
3위로	3/SN+위/NNB+로/JKB
내려앉았다.	내려앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.8.5
1차전에서 오첼룰 갈라치(루마니아)를 2-1로 꺾은 바젤은 똑같이 1승1무를 기록한 벤피카를 다득점에서 이겨 조 1위로 뛰어올랐다.

1차전에서	1/SN+차전/NNB+에서/JKB
오첼룰	오첼룰/NNP
갈라치(루마니아)를	갈라치/NNP+(/SS+루마니아/NNP+)/SS+를/JKO
2-1로	2/SN+-/SO+1/SN+로/JKB
꺾은	꺾/VV+은/ETM
바젤은	바젤/NNP+은/JX
똑같이	똑같이/MAG
1승1무를	1/SN+승/NNB+1/SN+무/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
벤피카를	벤피카/NNP+를/JKO
다득점에서	다득점/NNG+에서/JKB
이겨	이기/VV+어/EC
조	조/NNG
1위로	1/SN+위/NNB+로/JKB
뛰어올랐다.	뛰어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.312.9.1
영국 언론 <스카이스포츠>는 ‘맏형’인 박지성에게 가장 높은 평점 7을 줬다.

영국	영국/NNP
언론	언론/NNG
<스카이스포츠>는	</SS+스카이스포츠/NNP+>/SS+는/JX
‘맏형’인	‘/SS+맏/XPN+형/NNG+’/SS+이/VCP+ㄴ/ETM
박지성에게	박지성/NNP+에게/JKB
가장	가장/MAG
높은	높/VA+은/ETM
평점	평점/NNG
7을	7/SN+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.312.9.2
박주호, 박광룡은 각각 6점과 4점을 얻는 데 그쳤다.

박주호,	박주호/NNP+,/SP
박광룡은	박광룡/NNP+은/JX
각각	각각/MAG
6점과	6/SN+점/NNB+과/JKB
4점을	4/SN+점/NNB+을/JKO
얻는	얻/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


