# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.80
metadata : {}


# id : NWRW1800000033.80.1.1
[2012지구촌 새권력]“재검표도 대비하자”

[2012지구촌	[/SS+2012/SN+지구촌/NNG
오바마	오바마/NNP
진영보다	진영/NNG+보다/JKB
먼저	먼저/MAG
재검표	재/XPN+검표/NNG
공방에	공방/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
법률	법률/NNG
작업에	작업/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.80.6.1
오바마와 롬니 진영의 법률 고문을 맡고 있는 로버트 바우어와 벤저민 긴즈버그는 플로리다 사태 당시 각각 앨 고어와 조지 W 부시 진영의 법정 소송을 담당했던 변호사들이다.

오바마와	오바마/NNP+와/JC
롬니	롬니/NNP
진영의	진영/NNG+의/JKG
법률	법률/NNG
고문을	고문/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
로버트	로버트/NNP
바우어와	바우어/NNP+와/JC
벤저민	벤저민/NNP
긴즈버그는	긴즈버그/NNP+는/JX
플로리다	플로리다/NNP
사태	사태/NNG
당시	당시/NNG
각각	각각/MAG
앨	앨/NNP
고어와	고어/NNP+와/JC
조지	조지/NNP
W	W/SL
부시	부시/NNP
법정	법정/NNG
소송을	소송/NNG+을/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
변호사들이다.	변호사/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.80.7.1
2000년 대선에서는 고어가 전국 득표수에서 부시보다 약 50만 표 앞섰지만 플로리다에서 재검표 공방이 벌어진 끝에 선거인단 271명을 확보한 부시의 당선이 확정됐다.

2000년	2000/SN+년/NNB
대선에서는	대선/NNG+에서/JKB+는/JX
고어가	고어/NNP+가/JKS
전국	전국/NNG
득표수에서	득표수/NNG+에서/JKB
부시보다	부시/NNP+보다/JKB
약	약/MMA
50만	50/SN+만/NR
표	표/NNG
앞섰지만	앞서/VV+었/EP+지만/EC
플로리다에서	플로리다/NNP+에서/JKB
재검표	재/XPN+검표/NNG
공방이	공방/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
선거인단	선거인단/NNG
271명을	271/SN+명/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
부시의	부시/NNP+의/JKG
당선이	당선/NNG+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.80.7.2
두 후보 간 득표율 격차가 0.25% 미만이면 주선거관리위원회는 재검표를 해야 한다.

두	두/MMN
후보	후보/NNG
간	간/NNB
득표율	득표/NNG+율/XSN
격차가	격차/NNG+가/JKS
0.25%	0/SN+./SP+25/SN+%/SW
미만이면	미만/NNG+이/VCP+면/EC
주선거관리위원회는	주/NNG+선거/NNG+관리/NNG+위원회/NNG+는/JX
재검표를	재/XPN+검표/NNG+를/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.80.8.1
한편 28일 세계 최대 인터넷 베팅 사이트인 ‘인트레이드닷컴’에서 오바마의 승리 확률은 63.1%로 롬니(36.6%)를 크게 앞선 것으로 나타났다.

한편	한편/MAG
28일	28/SN+일/NNB
세계	세계/NNG
최대	최대/NNG
인터넷	인터넷/NNG
베팅	베팅/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
‘인트레이드닷컴’에서	‘/SS+인트레이드닷컴/NNP+’/SS+에서/JKB
오바마의	오바마/NNP+의/JKG
승리	승리/NNG
확률은	확률/NNG+은/JX
63.1%로	63/SN+./SP+1/SN+%/SW+로/JKB
롬니(36.6%)를	롬니/NNP+(/SS+36/SN+./SP+6/SN+%/SW+)/SS+를/JKO
크게	크/VA+게/EC
앞선	앞서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


