# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.194
metadata : {}


# id : NWRW1800000032.194.1.1
나라 안팎 음반·공연 ‘메리 크리스마스!’

나라	나라/NNG
크리스마스>를	크리스마스/NNP+>/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.6.1
풋풋한 목소리의 캐럴 음반도 있다.

풋풋한	풋풋하/VA+ㄴ/ETM
목소리의	목소리/NNG+의/JKG
캐럴	캐럴/NNG
음반도	음반/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.194.6.2
세계적인 아이돌 가수 저스틴 비버는 크리스마스 앨범 <언더 더 미슬토>를 발표했다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
아이돌	아이돌/NNG
가수	가수/NNG
저스틴	저스틴/NNP
비버는	비버/NNP+는/JX
크리스마스	크리스마스/NNG
앨범	앨범/NNG
<언더	</SS+언더/NNG
더	더/NNG
미슬토>를	미슬토/NNG+>/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.6.3
그의 멘토인 어셔가 피처링으로 참여한 ‘더 크리스마스 송’, 머라이어 케리와 듀엣으로 부른 ‘올 아이 원트 포 크리스마스 이스 유’ 등을 수록했다.

그의	그/NP+의/JKG
멘토인	멘토/NNG+이/VCP+ㄴ/ETM
어셔가	어셔/NNP+가/JKS
피처링으로	피처링/NNG+으로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
‘더	‘/SS+더/NNP
크리스마스	크리스마스/NNP
송’,	송/NNP+’/SS+,/SP
머라이어	머라이어/NNP
케리와	케리/NNP+와/JC
듀엣으로	듀엣/NNG+으로/JKB
부른	부르/VV+ㄴ/ETM
‘올	‘/SS+올/NNP
아이	아이/NNP
원트	원트/NNP
포	포/NNP
이스	이스/NNP
유’	유/NNP+’/SS
등을	등/NNB+을/JKO
수록했다.	수록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.6.4
미국 오디션 프로그램 <아메리칸 갓 탤런트>로 스타덤에 오른 11살 소녀 재키 에반코도 <헤븐리 크리스마스>를 내놓았다.

미국	미국/NNP
오디션	오디션/NNG
프로그램	프로그램/NNG
<아메리칸	</SS+아메리칸/NNP
갓	갓/NNG
탤런트>로	탤런트/NNG+>/SS+로/JKB
스타덤에	스타덤/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
11살	11/SN+살/NNB
소녀	소녀/NNG
재키	재키/NNP
에반코도	에반코/NNP+도/JX
<헤븐리	</SS+헤븐리/NNP
크리스마스>를	크리스마스/NNP+>/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.6.5
‘아일 비 홈 포 크리스마스’ 등을 팝과 클래식의 크로스오버로 편곡해 불렀다.

‘아일	‘/SS+아일/NNP
비	비/NNP
홈	홈/NNP
포	포/NNP
크리스마스’	크리스마스/NNP+’/SS
등을	등/NNB+을/JKO
팝과	팝/NNG+과/JC
클래식의	클래식/NNG+의/JKG
크로스오버로	크로스오버/NNG+로/JKB
편곡해	편곡/NNG+하/XSV+아/EC
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.194.6.6
이탈리아 10대 소년 셋으로 이뤄진 팝페라 그룹 ‘일 볼로’는 데뷔 앨범 <일 볼로>의 크리스마스 에디션을 발매했다.

이탈리아	이탈리아/NNP
10대	10/SN+대/NNB
소년	소년/NNG
셋으로	셋/NR+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
팝페라	팝페라/NNG
그룹	그룹/NNG
‘일	‘/SS+일/NNP
볼로’는	볼로/NNP+’/SS+는/JX
데뷔	데뷔/NNG
앨범	앨범/NNG
<일	</SS+일/NNP
볼로>의	볼로/NNP+>/SS+의/JKG
크리스마스	크리스마스/NNG
에디션을	에디션/NNG+을/JKO
발매했다.	발매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.7.1
국내 록 밴드들은 색다른 캐럴 음반을 내놓았다.

국내	국내/NNG
록	록/NNG
밴드들은	밴드/NNG+들/XSN+은/JX
색다른	색다르/VA+ㄴ/ETM
캐럴	캐럴/NNG
음반을	음반/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.7.2
펑크록 밴드 노브레인은 같은 소속사의 고고스타와 함께 <키스 미 산타>를 발표했다.

펑크록	펑크/NNG+록/NNG
밴드	밴드/NNG
노브레인은	노브레인/NNP+은/JX
같은	같/VA+은/ETM
소속사의	소속사/NNG+의/JKG
고고스타와	고고스타/NNP+와/JKB
함께	함께/MAG
<키스	</SS+키스/NNP
미	미/NNP
산타>를	산타/NNP+>/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.7.3
이 음반은 24일 서울 광장동 악스코리아에서 여는 노브레인 데뷔 15돌 공연을 통해 한정 판매하며 수익금은 불우이웃 돕기에 쓸 예정이다.

이	이/MMD
음반은	음반/NNG+은/JX
24일	24/SN+일/NNB
서울	서울/NNP
광장동	광장동/NNP
악스코리아에서	악스코리아/NNP+에서/JKB
여는	열/VV+는/ETM
노브레인	노브레인/NNP
데뷔	데뷔/NNG
15돌	15/SN+돌/NNB
공연을	공연/NNG+을/JKO
통해	통하/VV+아/EC
한정	한정/NNG
판매하며	판매/NNG+하/XSV+며/EC
수익금은	수익금/NNG+은/JX
불우이웃	불우/NNG+이웃/NNG
돕기에	돕/VV+기/ETN+에/JKB
쓸	쓰/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.194.7.4
록 밴드 체리필터도 직접 세운 레이블의 후배 밴드 9팀과 함께 <크리스마스 어택>을 내놓았다.

록	록/NNG
밴드	밴드/NNG
체리필터도	체리필터/NNP+도/JX
직접	직접/MAG
세운	세우/VV+ㄴ/ETM
레이블의	레이블/NNG+의/JKG
후배	후배/NNG
9팀과	9/SN+팀/NNG+과/JKB
함께	함께/MAG
<크리스마스	</SS+크리스마스/NNG
어택>을	어택/NNG+>/SS+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.7.5
모던록 밴드 디어클라우드는 어쿠스틱 싱글 앨범 <메리 크리스마스 앤 페어웰>을 발표하고 22~25일 서울 장충동 웰콤씨어터에서 공연을 한다.

모던록	모던록/NNG
밴드	밴드/NNG
디어클라우드는	디어클라우드/NNP+는/JX
어쿠스틱	어쿠스틱/NNG
싱글	싱글/NNG
앨범	앨범/NNG
<메리	</SS+메리/NNP
크리스마스	크리스마스/NNP
앤	앤/NNP
페어웰>을	페어웰/NNP+>/SS+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
22~25일	22/SN+~/SO+25/SN+일/NNB
서울	서울/NNP
장충동	장충동/NNP
웰콤씨어터에서	웰콤씨어터/NNP+에서/JKB
공연을	공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.7.6
한국방송 밴드 오디션 프로그램 <톱밴드> 준우승팀 포(POE)는 24~25일 서울 홍대 앞 롤링홀에서 ‘포의 낯선 크리스마스’ 공연을 열어 몽환적인 음악을 들려준다.

한국방송	한국방송/NNP
밴드	밴드/NNG
오디션	오디션/NNG
프로그램	프로그램/NNG
<톱밴드>	</SS+톱/NNG+밴드/NNG+>/SS
준우승팀	준/XPN+우승/NNG+팀/NNG
포(POE)는	포/NNP+(/SS+POE/SL+)/SS+는/JX
24~25일	24/SN+~/SO+25/SN+일/NNB
서울	서울/NNP
홍대	홍대/NNP
앞	앞/NNG
롤링홀에서	롤링/NNG+홀/NNG+에서/JKB
‘포의	‘/SS+포/NNP+의/JKG
낯선	낯설/VA+ㄴ/ETM
크리스마스’	크리스마스/NNG+’/SS
공연을	공연/NNG+을/JKO
열어	열/VV+어/EC
몽환적인	몽환/NNG+적/XSN+이/VCP+ㄴ/ETM
음악을	음악/NNG+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.8.1
디바들의 캐럴도 울려퍼진다.

디바들의	디바/NNG+들/XSN+의/JKG
캐럴도	캐럴/NNG+도/JX
울려퍼진다.	울리/VV+어/EC+퍼지/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.8.2
여성 싱어송라이터 박기영은 <크리스마스 러브레터>를 발표했다.

여성	여성/NNG
싱어송라이터	싱어송라이터/NNG
박기영은	박기영/NNP+은/JX
<크리스마스	</SS+크리스마스/NNP
러브레터>를	러브레터/NNP+>/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.8.3
조규찬과 듀엣으로 부른 ‘렛 잇 스노’를 먼저 공개해 화제를 모았다.

조규찬과	조규찬/NNP+과/JKB
듀엣으로	듀엣/NNG+으로/JKB
부른	부르/VV+ㄴ/ETM
‘렛	‘/SS+렛/NNP
잇	잇/NNP
스노’를	스노/NNP+’/SS+를/JKO
먼저	먼저/MAG
공개해	공개/NNG+하/XSV+아/EC
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.194.8.4
그는 17~18일 서울 정동 이화여고 100주년기념관 화암홀에서 크리스마스 공연을 한다.

그는	그/NP+는/JX
17~18일	17/SN+~/SO+18/SN+일/NNB
서울	서울/NNP
정동	정동/NNP
이화여고	이화여고/NNP
100주년기념관	100/SN+주년/NNB+기념관/NNG
화암홀에서	화암/NNP+홀/NNG+에서/JKB
크리스마스	크리스마스/NNG
공연을	공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.8.5
한국이 낳은 세계적인 재즈 디바 나윤선(아래)은 15~16일 서울 서초동 예술의전당 아이비케이(IBK)홀에서 ‘프렌치 크리스마스’라는 제목의 공연을 한다.

한국이	한국/NNP+이/JKS
낳은	낳/VV+은/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
재즈	재즈/NNG
디바	디바/NNG
나윤선(아래)은	나윤선/NNP+(/SS+아래/NNG+)/SS+은/JX
15~16일	15/SN+~/SO+16/SN+일/NNB
서울	서울/NNP
서초동	서초동/NNP
예술의전당	예술의전당/NNP
아이비케이(IBK)홀에서	아이비케이/NNP+(/SS+IBK/SL+)/SS+홀/NNG+에서/JKB
‘프렌치	‘/SS+프렌치/NNP
크리스마스’라는	크리스마스/NNP+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
공연을	공연/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.194.8.6
울프 바케니우스(기타), 뱅상 페라니(아코디언) 등 세계 최정상급 연주자들과 함께 프랑스 스타일로 편곡한 캐럴을 들려준다.

울프	울프/NNP
바케니우스(기타),	바케니우스/NNP+(/SS+기타/NNG+)/SS+,/SP
뱅상	뱅상/NNP
페라니(아코디언)	페라니/NNP+(/SS+아코디언/NNG+)/SS
등	등/NNB
세계	세계/NNG
최정상급	최/XPN+정상급/NNG
연주자들과	연주자/NNG+들/XSN+과/JKB
함께	함께/MAG
프랑스	프랑스/NNP
스타일로	스타일/NNG+로/JKB
편곡한	편곡/NNG+하/XSV+ㄴ/ETM
캐럴을	캐럴/NNG+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


