# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.396
metadata : {}


# id : NWRW1800000052.396.1.1
한·일간 ‘2·3급 군사비밀’ 교환…유효기간 1년에 자동연장

한·일간	한·일/NNP+간/NNB
각기	각기/MAG
상응하는	상응/NNG+하/XSV+는/ETM
국내법	국내법/NNG
절차에	절차/NNG+에/JKB
맞게	맞/VV+게/EC
보호하도록	보호/NNG+하/XSV+도록/EC
하는	하/VV+는/ETM
내용들로	내용/NNG+들/XSN+로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.396.7.1
정보 교류 대상은 ‘군사 2급 비밀’(일본 쪽 용어 ‘극비·특정비밀’)과 ‘3급 비밀’(일본 쪽 용어 ‘비밀’)이다.

정보	정보/NNG
교류	교류/NNG
대상은	대상/NNG+은/JX
‘군사	‘/SS+군사/NNG
2급	2/SN+급/NNG
비밀’(일본	비밀/NNG+’/SS+(/SS+일본/NNP
쪽	쪽/NNB
용어	용어/NNG
‘극비·특정비밀’)과	‘/SS+극비/NNG+·/SP+특정/NNG+비밀/NNG+’/SS+)/SS+과/JC
‘3급	‘/SS+3/SN+급/NNG
‘비밀’)이다.	‘/SS+비밀/NNG+’/SS+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.7.2
국방부 당국자는 “6월30일 기준으로 군사 2급과 3급 미밀은 모두 합쳐 47만여건이다.

국방부	국방부/NNG
당국자는	당국자/NNG+는/JX
“6월30일	“/SS+6/SN+월/NNB+30/SN+일/NNB
기준으로	기준/NNG+으로/JKB
군사	군사/NNG
2급과	2/SN+급/NNG+과/JC
3급	3/SN+급/NNG
미밀은	미밀/NNG+은/JX
모두	모두/MAG
합쳐	합치/VV+어/EC
47만여건이다.	47/SN+만/NR+여/XSN+건/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.7.3
이 중 북한군 동향이나 핵·미사일 정보 같은 것이 한·일 정보 교환의 대상이 될 수 있을 것”이라고 말했다.

이	이/NP
중	중/NNB
북한군	북한군/NNG
동향이나	동향/NNG+이나/JC
핵·미사일	핵/NNG+·/SP+미사일/NNG
정보	정보/NNG
같은	같/VA+은/ETM
것이	것/NNB+이/JKS
한·일	한·일/NNP
교환의	교환/NNG+의/JKG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.396.7.4
이번 한·일 협정에서 ‘1급 비밀’은 적용 대상에서 빠졌다.

이번	이번/NNG
한·일	한·일/NNP
협정에서	협정/NNG+에서/JKB
‘1급	‘/SS+1/SN+급/NNG
비밀’은	비밀/NNG+’/SS+은/JX
적용	적용/NNG
대상에서	대상/NNG+에서/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.396.7.5
군사기밀보호법 시행령상 “누설되면 국가안보에 치명적인 위험을 초래할” 정보로 정의된 1급 비밀은 “6월30일 현재 손가락으로 다 꼽을 정도의 건수에 불과하다”고 국방부가 밝혔다.

군사기밀보호법	군사/NNG+기밀/NNG+보호법/NNG
시행령상	시행령/NNG+상/XSN
“누설되면	“/SS+누설/NNG+되/XSV+면/EC
국가안보에	국가/NNG+안보/NNG+에/JKB
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
위험을	위험/NNG+을/JKO
초래할”	초래/NNG+하/XSV+ㄹ/ETM+”/SS
정보로	정보/NNG+로/JKB
정의된	정의/NNG+되/XSV+ㄴ/ETM
1급	1/SN+급/NNG
비밀은	비밀/NNG+은/JX
“6월30일	“/SS+6/SN+월/NNB+30/SN+일/NNB
현재	현재/MAG
손가락으로	손가락/NNG+으로/JKB
다	다/MAG
꼽을	꼽/VV+을/ETM
정도의	정도/NNG+의/JKG
건수에	건수/NNG+에/JKB
불과하다”고	불과/MAG+하/XSA+다/EF+”/SS+고/JKQ
국방부가	국방부/NNG+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.396.8.1
일본이 개별 국가와 맺는 정보협정에서 1급 비밀 교환을 제외한 것은 처음이다.

일본이	일본/NNP+이/JKS
개별	개별/NNG
국가와	국가/NNG+와/JKB
맺는	맺/VV+는/ETM
정보협정에서	정보/NNG+협정/NNG+에서/JKB
1급	1/SN+급/NNG
비밀	비밀/NNG
교환을	교환/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.8.2
일본은 나토(NATO·북대서양조약기구)를 빼곤 미국·오스트레일리아·영국·프랑스·인도·이탈리아 등 협정 체결국 6개국과 모두 1급 비밀을 교환하고 있다.

일본은	일본/NNP+은/JX
나토(NATO·북대서양조약기구)를	나토/NNP+(/SS+NATO/SL+·/SP+북대서양조약기구/NNP+)/SS+를/JKO
빼곤	빼/VV+고/EC+ㄴ/JX
미국·오스트레일리아·영국·프랑스·인도·이탈리아	미국/NNP+·/SP+오스트레일리아/NNP+·/SP+영국/NNP+·/SP+프랑스/NNP+·/SP+인도/NNP+·/SP+이탈리아/NNP
등	등/NNB
협정	협정/NNG
체결국	체결국/NNG
6개국과	6/SN+개국/NNB+과/JKB
모두	모두/MAG
1급	1/SN+급/NNG
비밀을	비밀/NNG+을/JKO
교환하고	교환/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.396.8.3
반면 한국은 미국·러시아 등과는 1급까지 교환하지만 오스트레일리아와는 2급까지 교환하는 등 비교적 다양한 층위를 갖고 있다.

반면	반면/NNG
한국은	한국/NNP+은/JX
미국·러시아	미국/NNP+·/SP+러시아/NNP
등과는	등/NNB+과/JKB+는/JX
1급까지	1/SN+급/NNG+까지/JX
교환하지만	교환/NNG+하/XSV+지만/EC
오스트레일리아와는	오스트레일리아/NNP+와/JKB+는/JX
2급까지	2/SN+급/NNG+까지/JX
교환하는	교환/NNG+하/XSV+는/ETM
등	등/NNB
비교적	비교/NNG+적/XSN
다양한	다양/NNG+하/XSA+ㄴ/ETM
층위를	층위/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.396.9.1
협정의 유효기간은 1년이다.

협정의	협정/NNG+의/JKG
유효기간은	유효/NNG+기간/NNG+은/JX
1년이다.	1/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.9.2
다만 기한 만료 90일 전 협정 종료 의사를 서면 통보하지 않는 한 자동으로 1년 연장된다.

다만	다만/MAG
기한	기한/NNG
만료	만료/NNG
90일	90/SN+일/NNB
전	전/NNG
협정	협정/NNG
종료	종료/NNG
의사를	의사/NNG+를/JKO
서면	서면/NNG
통보하지	통보/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
자동으로	자동/NNG+으로/JKB
1년	1/SN+년/NNB
연장된다.	연장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.396.9.3
‘사실상 무기한’이라는 해석이 나오는 배경이다.

‘사실상	‘/SS+사실/NNG+상/XSN
무기한’이라는	무/XPN+기한/NNG+’/SS+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
나오는	나오/VV+는/ETM
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.9.4
한국이 유효기간을 1년으로 한 것은 처음이다.

한국이	한국/NNP+이/JKS
유효기간을	유효/NNG+기간/NNG+을/JKO
1년으로	1/SN+년/NNB+으로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.396.9.5
한국은 정보협정을 32개국과 맺었는데, 모두 유효기간을 따로 정하지 않거나 5년으로 정하고 있다.

한국은	한국/NNP+은/JX
정보협정을	정보/NNG+협정/NNG+을/JKO
32개국과	32/SN+개국/NNB+과/JKB
맺었는데,	맺/VV+었/EP+는데/EC+,/SP
모두	모두/MAG
유효기간을	유효/NNG+기간/NNG+을/JKO
따로	따로/MAG
정하지	정하/VV+지/EC
않거나	않/VX+거나/EC
5년으로	5/SN+년/NNB+으로/JKB
정하고	정하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.396.9.6
반면 일본은 인도와의 협정만 5년이고 나머지 협정은 모두 1년이다.

반면	반면/NNG
일본은	일본/NNP+은/JX
인도와의	인도/NNP+와/JKB+의/JKG
협정만	협정/NNG+만/JX
5년이고	5/SN+년/NNB+이/VCP+고/EC
나머지	나머지/NNG
협정은	협정/NNG+은/JX
모두	모두/MAG
1년이다.	1/SN+년/NNB+이/VCP+다/EF+./SF


