# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.10
metadata : {}


# id : NWRW1800000029.10.1.1
정부, 대책 내놓은지 한달만에 또 전월세 대책

정부,	정부/NNG+,/SP
대책은	대책/NNG+은/JX
세입자에게	세입자/NNG+에게/JKB
전세자금	전세/NNG+자금/NNG
지원을	지원/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
민간	민간/NNG
임대주택	임대/NNG+주택/NNG
공급	공급/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
세금을	세금/NNG+을/JKO
깎아주는	깎/VV+아/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.10.7.1
먼저 연소득 3000만 원 이하 무주택 가구주에게 지원되는 서민·근로자 전세자금은 가구당 6000만 원에서 8000만 원으로 늘어나고 이자는 연 4.5%에서 4%로 인하된다.

먼저	먼저/MAG
연소득	연/NNG+소득/NNG
3000만	3000/SN+만/NR
원	원/NNB
이하	이하/NNG
무주택	무/XPN+주택/NNG
가구주에게	가구주/NNG+에게/JKB
지원되는	지원/NNG+되/XSV+는/ETM
서민·근로자	서민/NNG+·/SP+근로자/NNG
전세자금은	전세/NNG+자금/NNG+은/JX
가구당	가구/NNG+당/XSN
6000만	6000/SN+만/NR
원에서	원/NNB+에서/JKB
8000만	8000/SN+만/NR
원으로	원/NNB+으로/JKB
늘어나고	늘어나/VV+고/EC
이자는	이자/NNG+는/JX
연	연/NNG
4.5%에서	4/SN+./SP+5/SN+%/SW+에서/JKB
4%로	4/SN+%/SW+로/JKB
인하된다.	인하/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.10.7.2
저소득 가구 전세자금의 지원 대상 주택도 수도권 과밀억제권역 내 전세 보증금 8000만 원 이하에서 1억 원 이하로 늘어난다.

저소득	저/XPN+소득/NNG
가구	가구/NNG
전세자금의	전세/NNG+자금/NNG+의/JKG
지원	지원/NNG
대상	대상/NNG
주택도	주택/NNG+도/JX
수도권	수도/NNG+권/XSN
과밀억제권역	과밀/NNG+억제/NNG+권역/NNG
내	내/NNB
전세	전세/NNG
보증금	보증금/NNG
8000만	8000/SN+만/NR
원	원/NNB
이하에서	이하/NNG+에서/JKB
1억	1/SN+억/NR
이하로	이하/NNG+로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.10.7.3
또 주택금융신용보증기금의 전세자금 대출보증 규모도 지난해 5조8000억 원에서 올해 7조 원으로 확대하고 필요하면 더 늘리기로 했다.

또	또/MAG
주택금융신용보증기금의	주택/NNG+금융/NNG+신용보증기금/NNP+의/JKG
전세자금	전세/NNG+자금/NNG
대출보증	대출/NNG+보증/NNG
규모도	규모/NNG+도/JX
지난해	지난해/NNG
5조8000억	5/SN+조/NR+8000/SN+억/NR
원에서	원/NNB+에서/JKB
올해	올해/NNG
7조	7/SN+조/NR
원으로	원/NNB+으로/JKB
확대하고	확대/NNG+하/XSV+고/EC
필요하면	필요/NNG+하/XSA+면/EC
더	더/MAG
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.8.1
민간이 임대주택을 충분히 공급할 수 있게 임대사업자에 대한 양도세 중과완화, 종합부동산세 비과세 등의 세제 지원요건도 대폭 완화했다.

민간이	민간/NNG+이/JKS
임대주택을	임대/NNG+주택/NNG+을/JKO
충분히	충분히/MAG
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
임대사업자에	임대/NNG+사업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양도세	양도세/NNG
중과완화,	중과/NNG+완화/NNG+,/SP
종합부동산세	종합/NNG+부동산세/NNG
비과세	비/XPN+과세/NNG
등의	등/NNB+의/JKG
세제	세제/NNG
지원요건도	지원/NNG+요건/NNG+도/JX
대폭	대폭/MAG
완화했다.	완화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.8.2
서울을 포함한 수도권에서 6억 원 미만, 전용 149m² 이하의 집 3채 이상 사들여서 임대사업자로 등록하면 종합부동산세가 비과세되고, 5년 이상만 임대하고 팔면 양도소득세 중과세를 물지 않아도 된다.

서울을	서울/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
수도권에서	수도/NNG+권/XSN+에서/JKB
6억	6/SN+억/NR
원	원/NNB
미만,	미만/NNG+,/SP
전용	전용/NNG
149m²	149/SN+m²/SW
이하의	이하/NNG+의/JKG
집	집/NNG
3채	3/SN+채/NNB
이상	이상/NNG
사들여서	사들이/VV+어서/EC
임대사업자로	임대/NNG+사업자/NNG+로/JKB
등록하면	등록/NNG+하/XSV+면/EC
종합부동산세가	종합/NNG+부동산세/NNG+가/JKS
비과세되고,	비/XPN+과세/NNG+되/XSV+고/EC+,/SP
5년	5/SN+년/NNB
이상만	이상/NNG+만/JX
임대하고	임대/NNG+하/XSV+고/EC
팔면	팔/VV+면/EC
양도소득세	양도/NNG+소득세/NNG
중과세를	중과세/NNG+를/JKO
물지	물/VV+지/EC
않아도	않/VX+아도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.10.9.1
또 부동산 간접투자 상품인 리츠(REITs) 등이 일정비율 이상 기준 시가 6억 원 이하, 149m² 이하의 임대주택에 투자할 경우 개인투자자의 배당소득에 대해 한시적으로 과세특례를 적용하고, 취득세 감면도 확대(30%→최대 50%)할 예정이다.

또	또/MAG
부동산	부동산/NNG
간접투자	간접/NNG+투자/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
리츠(REITs)	리츠/NNG+(/SS+REITs/SL+)/SS
등이	등/NNB+이/JKS
일정비율	일정/NNG+비율/NNG
이상	이상/NNG
기준	기준/NNG
시가	시가/NNG
6억	6/SN+억/NR
원	원/NNB
이하,	이하/NNG+,/SP
149m²	149/SN+m²/SW
이하의	이하/NNG+의/JKG
임대주택에	임대/NNG+주택/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
개인투자자의	개인/NNG+투자자/NNG+의/JKG
배당소득에	배당/NNG+소득/NNG+에/JKB
대해	대하/VV+아/EC
한시적으로	한시/NNG+적/XSN+으로/JKB
과세특례를	과세/NNG+특례/NNG+를/JKO
적용하고,	적용/NNG+하/XSV+고/EC+,/SP
취득세	취득세/NNG
감면도	감면/NNG+도/JX
확대(30%→최대	확대/NNG+(/SS+30/SN+%/SW+→/SW+최대/NNG
50%)할	50/SN+%/SW+)/SS+하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.10.9.2
준공 후 미분양 주택이 전·월세용으로 활용될 수 있도록 또 일반 수요자나 리츠업체가 건설사가 2년 이상 임대한 준공 후 미분양주택을 사들이거나, 준공 후 미분양주택을 사들여 5년 이상 임대하는 경우 취득세와 양도세 50% 감면 혜택을 주기로 했다.

준공	준공/NNG
후	후/NNG
미분양	미/XPN+분양/NNG
주택이	주택/NNG+이/JKS
전·월세용으로	전·월세/NNG+용/XSN+으로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
또	또/MAG
일반	일반/NNG
수요자나	수요자/NNG+나/JC
리츠업체가	리츠/NNG+업체/NNG+가/JKS
건설사가	건설사/NNG+가/JKS
2년	2/SN+년/NNB
이상	이상/NNG
임대한	임대/NNG+하/XSV+ㄴ/ETM
미분양주택을	미/XPN+분양/NNG+주택/NNG+을/JKO
사들이거나,	사들이/VV+거나/EC+,/SP
사들여	사들이/VV+어/EC
5년	5/SN+년/NNB
임대하는	임대/NNG+하/XSV+는/ETM
경우	경우/NNG
취득세와	취득세/NNG+와/JC
양도세	양도세/NNG
50%	50/SN+%/SW
감면	감면/NNG
혜택을	혜택/NNG+을/JKO
주기로	주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.10.1
○ 전세난 해소에는 역부족

○	○/SW
전세난	전세난/NNG
해소에는	해소/NNG+에/JKB+는/JX
역부족	역부족/NNG


# id : NWRW1800000029.10.11.1
전문가들은 정부의 대책에 기대감을 표시하면서도 당장 전세난을 잠재우기는 어려울 것이라고 입을 모았다.

전문가들은	전문가/NNG+들/XSN+은/JX
정부의	정부/NNG+의/JKG
대책에	대책/NNG+에/JKB
기대감을	기대감/NNG+을/JKO
표시하면서도	표시/NNG+하/XSV+면서/EC+도/JX
당장	당장/NNG
전세난을	전세난/NNG+을/JKO
잠재우기는	잠재우/VV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.11.2
당장 봄철 이사시즌이 코앞으로 다가온 상황이어서 타이밍을 놓쳤기 때문이다.

당장	당장/NNG
봄철	봄철/NNG
이사시즌이	이사/NNG+시즌/NNG+이/JKS
코앞으로	코앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
타이밍을	타이밍/NNG+을/JKO
놓쳤기	놓치/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.10.11.3
또 1·13 대책의 보완적 수준에 불과하고 입법을 통해 시행될 때까지는 2, 3개월의 시간이 필요하다.

또	또/MAG
1·13	1/SN+·/SP+13/SN
대책의	대책/NNG+의/JKG
보완적	보완/NNG+적/XSN
수준에	수준/NNG+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
입법을	입법/NNG+을/JKO
통해	통하/VV+아/EC
시행될	시행/NNG+되/XSV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
2,	2/SN+,/SP
3개월의	3/SN+개월/NNB+의/JKG
시간이	시간/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.10.12.1
김규정 부동산114 부장은 “정부가 심리적 안정을 주기 위해 이번 대책을 발표한 것으로 보이지만 전·월세를 바로 공급해 주는 것이 아니기 때문에 단기적으로 전세난이 잡힌다고 보기는 어렵다”고 말했다.

김규정	김규정/NNP
부동산114	부동산114/NNP
부장은	부장/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
심리적	심리/NNG+적/XSN
안정을	안정/NNG+을/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
이번	이번/NNG
대책을	대책/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이지만	보이/VV+지만/EC
전·월세를	전·월세/NNG+를/JKO
바로	바로/MAG
공급해	공급/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
것이	것/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
단기적으로	단기/NNG+적/XSN+으로/JKB
전세난이	전세난/NNG+이/JKS
잡힌다고	잡히/VV+ㄴ다고/EC
보기는	보/VV+기/ETN+는/JX
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.13.1
그나마 매입 임대사업자에 대한 세제지원 요건을 완화하고 전국의 4만3000채 준공 후 미분양이 전·월세 주택으로 활용될 수 있도록 세금을 깎아주는 것은 주목할 만하다.

그나마	그나마/MAG
매입	매입/NNG
임대사업자에	임대/NNG+사업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세제지원	세제/NNG+지원/NNG
요건을	요건/NNG+을/JKO
완화하고	완화/NNG+하/XSV+고/EC
전국의	전국/NNG+의/JKG
4만3000채	4/SN+만/NR+3000/SN+채/NNB
준공	준공/NNG
후	후/NNG
미분양이	미/XPN+분양/NNG+이/JKS
전·월세	전·월세/NNG
주택으로	주택/NNG+으로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
세금을	세금/NNG+을/JKO
깎아주는	깎/VV+아/EC+주/VX+는/ETM
것은	것/NNB+은/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000029.10.13.2
허윤경 한국건설산업연구원 연구위원은 “서울 등 수도권의 임대사업 대상 면적을 중소형에서 전용면적 149m²(6억 원 이하)의 중대형까지 확대해 중소형에 쏠려 있던 수요층이 대형으로 옮겨갈 수 있는 기회가 될 것 같다”라고 평가했다.

허윤경	허윤경/NNP
한국건설산업연구원	한국건설산업연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“서울	“/SS+서울/NNP
등	등/NNB
수도권의	수도/NNG+권/XSN+의/JKG
임대사업	임대/NNG+사업/NNG
대상	대상/NNG
면적을	면적/NNG+을/JKO
중소형에서	중소형/NNG+에서/JKB
전용면적	전용/NNG+면적/NNG
149m²(6억	149/SN+m²/SW+(/SS+6/SN+억/NR
원	원/NNB
이하)의	이하/NNG+)/SS+의/JKG
중대형까지	중대형/NNG+까지/JX
확대해	확대/NNG+하/XSV+아/EC
중소형에	중소형/NNG+에/JKB
쏠려	쏠리/VV+어/EC
있던	있/VX+던/ETM
수요층이	수요/NNG+층/XSN+이/JKS
대형으로	대형/NNG+으로/JKB
옮겨갈	옮기/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”라고	같/VA+다/EF+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.10.14.1
하지만 매매시장의 거래활성화에 대한 대책이 빠져 한계가 있다는 지적도 많다.

하지만	하지만/MAJ
매매시장의	매매/NNG+시장/NNG+의/JKG
거래활성화에	거래/NNG+활성/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
대책이	대책/NNG+이/JKS
빠져	빠지/VV+어/EC
한계가	한계/NNG+가/JKS
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.10.14.2
이영진 닥터아파트 이사는 “집을 살 여력이 있는 선택적 전세수요자들의 관심을 매매수요로 돌리기 위한 정책적 지원을 검토해야 한다”고 말했다.

이영진	이영진/NNP
닥터아파트	닥터아파트/NNP
이사는	이사/NNG+는/JX
“집을	“/SS+집/NNG+을/JKO
살	사/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
있는	있/VA+는/ETM
선택적	선택/NNG+적/XSN
전세수요자들의	전세/NNG+수요자/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
매매수요로	매매/NNG+수요/NNG+로/JKB
돌리기	돌리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책적	정책/NNG+적/XSN
지원을	지원/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


