# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.303
metadata : {}


# id : NWRW1800000030.303.1.1
[동남권 신공항 논란] 밀양 공항 지으려면… 산 10개 깎아 시야 확보

[동남권	[/SS+동남/NNG+권/XSN
국제공항.'	국제공항/NNG+./SF+'/SS
총	총/MMA
8조5019억원의	8/SN+조/NR+5019/SN+억/NR+원/NNB+의/JKG
공사비를	공사비/NNG+를/JKO
들여	들이/VV+어/EC
1단계와	1/SN+단계/NNG+와/JC
2단계로	2/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
길이	길이/NNG
3800m의	3800/SN+m/SW+의/JKG
활주로	활주로/NNG
2개를	2/SN+개/NNB+를/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.303.4.2
이를 위해 논밭 1000만㎡를 편입해야 한다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
논밭	논밭/NNG
1000만㎡를	1000/SN+만/NR+㎡/SW+를/JKO
편입해야	편입/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.303.4.3
또 비행기가 이·착륙할 때 장애가 없도록 ICAO(국제민간항공기구)가 정한 기준에 맞춰 인근의 산 10개를 깎기로 했다.

또	또/MAG
비행기가	비행기/NNG+가/JKS
이·착륙할	이·착륙/NNG+하/XSV+ㄹ/ETM
때	때/NNG
장애가	장애/NNG+가/JKS
없도록	없/VA+도록/EC
ICAO(국제민간항공기구)가	ICAO/SL+(/SS+국제민간항공기구/NNP+)/SS+가/JKS
정한	정하/VV+ㄴ/ETM
기준에	기준/NNG+에/JKB
맞춰	맞추/VV+어/EC
인근의	인근/NNG+의/JKG
산	산/NNG
10개를	10/SN+개/NNB+를/JKO
깎기로	깎/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.303.4.4
산을 깎을 때 나오는 흙은 대략 1억8000만㎥.

산을	산/NNG+을/JKO
깎을	깎/VV+을/ETM
때	때/NNG
나오는	나오/VV+는/ETM
흙은	흙/NNG+은/JX
대략	대략/MAG
1억8000만㎥.	1/SN+억/NR+8000/SN+만/NR+㎥/SW+./SF


# id : NWRW1800000030.303.4.5
이를 공항부지를 닦는 데 활용할 수 있고 깎인 산 부지는 산업단지나 위락단지로 개발할 수 있어 오히려 공사비 절감에 도움이 된다.

이를	이/NP+를/JKO
공항부지를	공항/NNG+부지/NNG+를/JKO
닦는	닦/VV+는/ETM
데	데/NNB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
깎인	깎이/VV+ㄴ/ETM
산	산/NNG
부지는	부지/NNG+는/JX
산업단지나	산업/NNG+단지/NNG+나/JC
위락단지로	위락/NNG+단지/NNG+로/JKB
개발할	개발/NNG+하/XSV+ㄹ/ETM
있어	있/VA+어/EC
오히려	오히려/MAG
공사비	공사비/NNG
절감에	절감/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.303.5.1
대구시 등에 따르면 밀양신공항의 장점은 뛰어난 접근성과 저렴한 건설 비용이다.

대구시	대구시/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
밀양신공항의	밀양신공항/NNP+의/JKG
장점은	장점/NNG+은/JX
뛰어난	뛰어나/VA+ㄴ/ETM
접근성과	접근/NNG+성/XSN+과/JC
저렴한	저렴하/VA+ㄴ/ETM
건설	건설/NNG
비용이다.	비용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.303.5.2
영남권의 부산·대구·울산·포항·구미 등 주요 도시가 90㎞ 이내 위치해 1시간 정도에 올 수 있다.

영남권의	영남/NNP+권/XSN+의/JKG
부산·대구·울산·포항·구미	부산/NNP+·/SP+대구/NNP+·/SP+울산/NNP+·/SP+포항/NNP+·/SP+구미/NNP
등	등/NNB
주요	주요/NNG
도시가	도시/NNG+가/JKS
90㎞	90/SN+㎞/SW
이내	이내/MAG
위치해	위치/NNG+하/XSV+아/EC
1시간	1/SN+시간/NNB
정도에	정도/NNG+에/JKB
올	오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.303.5.3
더욱이 울산·구미·창원 등 주요 산업단지에서도 접근이 쉬워 항공수요가 충분하다는 것이다.

더욱이	더욱이/MAG
울산·구미·창원	울산/NNP+·/SP+구미/NNP+·/SP+창원/NNP
등	등/NNB
주요	주요/NNG
산업단지에서도	산업/NNG+단지/NNG+에서/JKB+도/JX
접근이	접근/NNG+이/JKS
쉬워	쉽/VA+어/EC
항공수요가	항공/NNG+수요/NNG+가/JKS
충분하다는	충분하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.303.5.4
김재석 영남권신공항밀양유치 범시·도민 결사추진위원회 기술자문위원장(경일대 교수)은 "내륙공항이기 때문에 주변 도시에서 쉽게 올 수 있어 경제성에서도 매우 뛰어난 조건을 갖추고 있다"고 말했다.

김재석	김재석/NNP
영남권신공항밀양유치	영남/NNP+권/XSN+신/XPN+공항/NNG+밀양/NNP+유치/NNG
범시·도민	범/XPN+시·도민/NNG
결사추진위원회	결사/NNG+추진/NNG+위원회/NNG
기술자문위원장(경일대	기술/NNG+자문/NNG+위원장/NNG+(/SS+경일대/NNP
교수)은	교수/NNG+)/SS+은/JX
"내륙공항이기	"/SS+내륙/NNG+공항/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
주변	주변/NNG
도시에서	도시/NNG+에서/JKB
쉽게	쉽/VA+게/EC
올	오/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
경제성에서도	경제/NNG+성/XSN+에서/JKB+도/JX
매우	매우/MAG
뛰어난	뛰어나/VA+ㄴ/ETM
조건을	조건/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.303.6.1
그것만이 아니다.

그것만이	그것/NP+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.303.6.2
김해공항 공군기지(K1) 비행장과 겹치지 않아 24시간 순수민간전용공항으로 운영이 가능하다.

김해공항	김해공항/NNP
공군기지(K1)	공군/NNG+기지/NNG+(/SS+K/SL+1/SN+)/SS
비행장과	비행장/NNG+과/JKB
겹치지	겹치/VV+지/EC
않아	않/VX+아/EC
24시간	24/SN+시간/NNB
순수민간전용공항으로	순수/NNG+민간/NNG+전용/NNG+공항/NNG+으로/JKB
운영이	운영/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.303.6.3
주변에 대구~부산, 중부내륙, 남해 등 고속도로와 경부선 KTX, 신항만 배후철도 등 연계교통망이 갖춰져 신규 인프라 투자 비용도 적게 든다.

주변에	주변/NNG+에/JKB
대구~부산,	대구/NNP+~/SO+부산/NNP+,/SP
중부내륙,	중부/NNG+내륙/NNG+,/SP
남해	남해/NNP
등	등/NNB
고속도로와	고속/NNG+도로/NNG+와/JC
경부선	경부선/NNP
KTX,	KTX/SL+,/SP
신항만	신/XPN+항만/NNG
배후철도	배후/NNG+철도/NNG
연계교통망이	연계/NNG+교통망/NNG+이/JKS
갖춰져	갖추/VV+어/EC+지/VX+어/EC
신규	신규/NNG
인프라	인프라/NNG
투자	투자/NNG
비용도	비용/NNG+도/JX
적게	적/VA+게/EC
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.303.6.4
밀양 주변에만 33㎢의 배후부지가 있어 공항 신도시나 물류시설, 국제컨벤션센터 건설도 가능하다.

밀양	밀양/NNP
주변에만	주변/NNG+에/JKB+만/JX
33㎢의	33/SN+㎢/SW+의/JKG
배후부지가	배후/NNG+부지/NNG+가/JKS
있어	있/VA+어/EC
공항	공항/NNG
신도시나	신/XPN+도시/NNG+나/JC
물류시설,	물류/NNG+시설/NNG+,/SP
국제컨벤션센터	국제컨벤션센터/NNP
건설도	건설/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.303.7.1
일부에선 산을 깎게 되면 녹지훼손이 된다고 주장하지만, 대구경북연구원과 한국항공정책연구소의 입장은 다르다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
산을	산/NNG+을/JKO
깎게	깎/VV+게/EC
되면	되/VV+면/EC
녹지훼손이	녹지/NNG+훼손/NNG+이/JKC
된다고	되/VV+ㄴ다고/EC
주장하지만,	주장/NNG+하/XSV+지만/EC+,/SP
대구경북연구원과	대구경북연구원/NNP+과/JC
한국항공정책연구소의	한국항공정책연구소/NNP+의/JKG
입장은	입장/NNG+은/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000030.303.7.2
공항 건설을 위해 정리해야 할 산이 21개 산이 아니라 10개 산 정도면 충분하다는 것이다.

공항	공항/NNG
건설을	건설/NNG+을/JKO
위해	위하/VV+아/EC
정리해야	정리/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
산이	산/NNG+이/JKC
21개	21/SN+개/NNB
아니라	아니/VCN+라/EC
10개	10/SN+개/NNB
산	산/NNG
정도면	정도/NNG+이/VCP+면/EC
충분하다는	충분하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.303.7.3
이에 따라 녹지훼손 면적도 그리 크지는 않을 것이라고 주장한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
녹지훼손	녹지/NNG+훼손/NNG
면적도	면적/NNG+도/JX
그리	그리/MAG
크지는	크/VA+지/EC+는/JX
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


