# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.33
metadata : {}


# id : NWRW1800000036.33.1.1
장바구니 ‘이마트 지수’ 최악

장바구니	장바구니/NNG
한국은행이 최근 내놓은 소비자심리지수(CSI)도 내수 부진을 반영하고 있다.

한국은행이	한국은행/NNP+이/JKS
최근	최근/MAG
내놓은	내놓/VV+은/ETM
소비자심리지수(CSI)도	소비자/NNG+심리/NNG+지수/NNG+(/SS+CSI/SL+)/SS+도/JX
내수	내수/NNG
부진을	부진/NNG+을/JKO
반영하고	반영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.33.6.2
6월 소비자심리지수는 106으로 올 들어 가장 나빴던 1월과 같은 수준으로 떨어졌다.

6월	6/SN+월/NNB
소비자심리지수는	소비자/NNG+심리/NNG+지수/NNG+는/JX
106으로	106/SN+으로/JKB
올	올/NNG
들어	들/VV+어/EC
가장	가장/MAG
나빴던	나쁘/VA+았/EP+던/ETM
1월과	1/SN+월/NNB+과/JKB
같은	같/VA+은/ETM
수준으로	수준/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.6.3
특히 500만원 이상 고소득층의 소비자심리지수는 2009년 3월 이후 최저치를 기록해, 부자들까지 지갑을 닫고 있는 것으로 나타났다.

특히	특히/MAG
500만원	500/SN+만/NR+원/NNB
이상	이상/NNG
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
소비자심리지수는	소비자/NNG+심리/NNG+지수/NNG+는/JX
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
이후	이후/NNG
최저치를	최저/NNG+치/XSN+를/JKO
기록해,	기록/NNG+하/XSV+아/EC+,/SP
부자들까지	부자/NNG+들/XSN+까지/JX
지갑을	지갑/NNG+을/JKO
닫고	닫/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.33.6.4
상황이 이렇다 보니, 대형마트 등에서는 소형 제품이나 저렴한 상품 위주로 소비가 일어나고 있다.

상황이	상황/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니,	보/VX+니/EC+,/SP
대형마트	대형/NNG+마트/NNG
등에서는	등/NNB+에서/JKB+는/JX
소형	소형/NNG
제품이나	제품/NNG+이나/JC
저렴한	저렴하/VA+ㄴ/ETM
상품	상품/NNG
위주로	위주/NNG+로/JKB
소비가	소비/NNG+가/JKS
일어나고	일어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.33.6.5
롯데마트의 경우 올 상반기 에어컨 매출은 전년 동기 대비 28.7% 줄고, 대신 선풍기 판매가 8.7% 늘었다.

롯데마트의	롯데마트/NNP+의/JKG
경우	경우/NNG
올	올/NNG
상반기	상반기/NNG
에어컨	에어컨/NNG
매출은	매출/NNG+은/JX
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
28.7%	28/SN+./SP+7/SN+%/SW
줄고,	줄/VV+고/EC+,/SP
대신	대신/NNG
선풍기	선풍기/NNG
판매가	판매/NNG+가/JKS
8.7%	8/SN+./SP+7/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.33.6.6
식품매장에서도 가격이 비싼 베이커리 빵은 같은 기간 매출이 22.1%나 줄고, 상대적으로 저렴한 식품회사의 봉지 빵은 판매가 20.9% 증가했다.

식품매장에서도	식품/NNG+매장/NNG+에서/JKB+도/JX
가격이	가격/NNG+이/JKS
비싼	비싸/VA+ㄴ/ETM
베이커리	베이커리/NNG
빵은	빵/NNG+은/JX
같은	같/VA+은/ETM
기간	기간/NNG
매출이	매출/NNG+이/JKS
22.1%나	22/SN+./SP+1/SN+%/SW+나/JX
줄고,	줄/VV+고/EC+,/SP
상대적으로	상대/NNG+적/XSN+으로/JKB
저렴한	저렴하/VA+ㄴ/ETM
식품회사의	식품/NNG+회사/NNG+의/JKG
봉지	봉지/NNG
판매가	판매/NNG+가/JKS
20.9%	20/SN+./SP+9/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.33.7.1
소비심리 위축은 대형마트 등 유통업체들의 매출 하락으로 이어지고 있다.

소비심리	소비/NNG+심리/NNG
위축은	위축/NNG+은/JX
대형마트	대형/NNG+마트/NNG
등	등/NNB
유통업체들의	유통업체/NNG+들/XSN+의/JKG
매출	매출/NNG
하락으로	하락/NNG+으로/JKB
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.33.7.2
기획재정부가 최근 경제동향보고서를 통해 공개한 6월 소매부문 지표 속보치를 보면, 대형마트와 백화점 매출은 지난해 6월에 비해 각각 7.4%, 1.2% 감소한 것으로 추정됐다.

기획재정부가	기획/NNG+재정부/NNG+가/JKS
최근	최근/MAG
경제동향보고서를	경제/NNG+동향/NNG+보고서/NNG+를/JKO
통해	통하/VV+아/EC
공개한	공개/NNG+하/XSV+ㄴ/ETM
6월	6/SN+월/NNB
소매부문	소매/NNG+부문/NNG
지표	지표/NNG
속보치를	속보/NNG+치/XSN+를/JKO
보면,	보/VV+면/EC+,/SP
대형마트와	대형/NNG+마트/NNG+와/JC
백화점	백화점/NNG
매출은	매출/NNG+은/JX
지난해	지난해/NNG
6월에	6/SN+월/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
7.4%,	7/SN+./SP+4/SN+%/SW+,/SP
1.2%	1/SN+./SP+2/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


