# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.142
metadata : {}


# id : NWRW1800000048.142.1.1
기독교인만 죽이려 하자 무슬림들 “우리도 죽여라”

기독교인만	기독교인/NNG+만/JX
케냐를	케냐/NNP+를/JKO
상대로	상대/NNG+로/JKB
보복	보복/NNG
공격을	공격/NNG+을/JKO
이어오고	잇/VV+어/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.142.13.2
지난 4월엔 가리사대학 기숙사를 새벽에 기습해 기독교인 학생들을 중심으로 148명을 살해했다.

지난	지나/VV+ㄴ/ETM
4월엔	4/SN+월/NNB+에/JKB+ㄴ/JX
가리사대학	가리사대학/NNP
기숙사를	기숙사/NNG+를/JKO
새벽에	새벽/NNG+에/JKB
기습해	기습/NNG+하/XSV+아/EC
기독교인	기독교인/NNG
학생들을	학생/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
148명을	148/SN+명/NNB+을/JKO
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.142.13.3
이들이 공격을 집중해온 케냐의 북동부는 소말리아 출신들이 많은 지역으로 알샤밥은 이곳이 소말리아의 일부라고 주장한다.

이들이	이/NP+들/XSN+이/JKS
공격을	공격/NNG+을/JKO
집중해온	집중/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
케냐의	케냐/NNP+의/JKG
북동부는	북동부/NNG+는/JX
소말리아	소말리아/NNP
출신들이	출신/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
지역으로	지역/NNG+으로/JKB
알샤밥은	알샤밥/NNP+은/JX
이곳이	이곳/NP+이/JKS
소말리아의	소말리아/NNP+의/JKG
일부라고	일부/NNG+이/VCP+라고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


