# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.145
metadata : {}


# id : NWRW1800000029.145.1.1
피를 부르는 ‘골드러시’

피를	피/NNG+를/JKO
행태에도	행태/NNG+에/JKB+도/JX
심대한	심대하/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
가져오고	가져오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.145.4.2
마약에만 돈줄을 의존했던 게릴라와 무장단체들은 금광 채굴에 눈을 돌리고 있다.

마약에만	마약/NNG+에/JKB+만/JX
돈줄을	돈줄/NNG+을/JKO
의존했던	의존/NNG+하/XSV+았/EP+던/ETM
게릴라와	게릴라/NNG+와/JC
무장단체들은	무장/NNG+단체/NNG+들/XSN+은/JX
금광	금광/NNG
채굴에	채굴/NNG+에/JKB
눈을	눈/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.145.4.3
남미 최대의 좌익 반군조직인 콜롬비아 무장혁명군(FARC)은 채굴업자로부터 굴착기 사용료로 매달 3800달러(약 400만 원)를, 특정 지점에서 채굴 시 월 14만1000달러(약 1억4800만 원)를 허가료 명목으로 뜯어낸다.

남미	남미/NNP
최대의	최대/NNG+의/JKG
좌익	좌익/NNG
반군조직인	반군/NNG+조직/NNG+이/VCP+ㄴ/ETM
콜롬비아	콜롬비아/NNP
무장혁명군(FARC)은	무장/NNG+혁명군/NNG+(/SS+FARC/SL+)/SS+은/JX
채굴업자로부터	채굴업자/NNG+로부터/JKB
굴착기	굴착기/NNG
사용료로	사용료/NNG+로/JKB
매달	매달/MAG
3800달러(약	3800/SN+달러/NNB+(/SS+약/MMA
400만	400/SN+만/NR
원)를,	원/NNB+)/SS+를/JKO+,/SP
특정	특정/NNG
지점에서	지점/NNG+에서/JKB
채굴	채굴/NNG
시	시/NNB
월	월/NNG
14만1000달러(약	14/SN+만/NR+1000/SN+달러/NNB+(/SS+약/MMA
1억4800만	1/SN+억/NR+4800/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
허가료	허가료/NNG
명목으로	명목/NNG+으로/JKB
뜯어낸다.	뜯어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.145.5.1
금광통제권 쟁탈전을 벌이는 무장단체의 싸움이 격렬해지면서 애꿎은 주민들의 집이 공격 대상이 되기도 한다.

금광통제권	금광/NNG+통제/NNG+권/XSN
쟁탈전을	쟁탈전/NNG+을/JKO
벌이는	벌이/VV+는/ETM
무장단체의	무장/NNG+단체/NNG+의/JKG
싸움이	싸움/NNG+이/JKS
격렬해지면서	격렬하/VA+아/EC+지/VX+면서/EC
애꿎은	애꿎/VA+은/ETM
주민들의	주민/NNG+들/XSN+의/JKG
집이	집/NNG+이/JKS
공격	공격/NNG
대상이	대상/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.145.5.2
심지어 수류탄 공격을 받기도 한다.

심지어	심지어/MAG
수류탄	수류탄/NNG
공격을	공격/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.145.5.3
‘우라베노스’와 ‘라스트로조스’라는 두 무장단체는 최근 금광, 코카인 무역 통제권을 두고 치열한 싸움을 벌여왔다.

‘우라베노스’와	‘/SS+우라베노스/NNP+’/SS+와/JC
‘라스트로조스’라는	‘/SS+라스트로조스/NNP+’/SS+이/VCP+라는/ETM
두	두/MMN
무장단체는	무장/NNG+단체/NNG+는/JX
최근	최근/MAG
금광,	금광/NNG+,/SP
코카인	코카인/NNG
무역	무역/NNG
통제권을	통제/NNG+권/XSN+을/JKO
두고	두/VV+고/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
싸움을	싸움/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.145.5.4
지난해 코카시아 지역 살인율은 전국 평균의 5배가 넘는 10만 명 중 189명꼴이다.

지난해	지난해/NNG
코카시아	코카시아/NNP
지역	지역/NNG
살인율은	살인/NNG+율/XSN+은/JX
전국	전국/NNG
평균의	평균/NNG+의/JKG
5배가	5/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
10만	10/SN+만/NR
명	명/NNB
중	중/NNB
189명꼴이다.	189/SN+명/NNB+꼴/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.145.6.1
게릴라와 범죄 연합체들의 골드러시는 환경 문제도 일으킨다.

게릴라와	게릴라/NNG+와/JC
범죄	범죄/NNG
연합체들의	연합체/NNG+들/XSN+의/JKG
골드러시는	골드러시/NNG+는/JX
환경	환경/NNG
문제도	문제/NNG+도/JX
일으킨다.	일으키/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.145.6.2
안티오키아 지역 채굴꾼들은 액화 수은을 이용해 강 침전물로부터 금을 분리해낸다.

안티오키아	안티오키아/NNP
지역	지역/NNG
채굴꾼들은	채굴/NNG+꾼/XSN+들/XSN+은/JX
액화	액화/NNG
수은을	수은/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
강	강/NNG
침전물로부터	침전물/NNG+로부터/JKB
금을	금/NNG+을/JKO
분리해낸다.	분리/NNG+하/XSV+아/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.145.6.3
유엔에 따르면 이곳은 전 세계에서 수은 오염 농도가 가장 심한 지역 중 하나로 꼽힌다.

유엔에	유엔/NNP+에/JKB
따르면	따르/VV+면/EC
이곳은	이곳/NP+은/JX
전	전/MMN
세계에서	세계/NNG+에서/JKB
수은	수은/NNG
오염	오염/NNG
농도가	농도/NNG+가/JKS
가장	가장/MAG
심한	심하/VA+ㄴ/ETM
지역	지역/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.145.6.4
골드러시에 참여하는 채굴꾼 3만여 명이 매년 이 지역에 쏟아 붓는 수은량은 대략 67t 정도라고 뉴욕타임스는 최근 전했다.

골드러시에	골드러시/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
채굴꾼	채굴/NNG+꾼/XSN
3만여	3/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
매년	매년/MAG
이	이/MMD
지역에	지역/NNG+에/JKB
쏟아	쏟/VV+아/EC
붓는	붓/VV+는/ETM
수은량은	수은/NNG+량/NNG+은/JX
대략	대략/MAG
67t	67/SN+t/SW
정도라고	정도/NNG+이/VCP+라고/EC
뉴욕타임스는	뉴욕타임스/NNP+는/JX
최근	최근/MAG
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.145.6.5
하지만 수은에 노출되는 위험을 무릅쓰고도 그들은 금광 채굴을 멈추지 않는다.

하지만	하지만/MAJ
수은에	수은/NNG+에/JKB
노출되는	노출/NNG+되/XSV+는/ETM
위험을	위험/NNG+을/JKO
무릅쓰고도	무릅쓰/VV+고/EC+도/JX
그들은	그/NP+들/XSN+은/JX
금광	금광/NNG
채굴을	채굴/NNG+을/JKO
멈추지	멈추/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000029.145.7.1
후안 마누엘 산토스 콜롬비아 대통령은 “금광이 반군단체들의 돈줄이 됐다”며 50개의 불법 광산에 대한 군의 공격을 지시했다.

후안	후안/NNP
마누엘	마누엘/NNP
산토스	산토스/NNP
콜롬비아	콜롬비아/NNP
대통령은	대통령/NNG+은/JX
“금광이	“/SS+금광/NNG+이/JKS
반군단체들의	반군/NNG+단체/NNG+들/XSN+의/JKG
돈줄이	돈줄/NNG+이/JKC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
50개의	50/SN+개/NNB+의/JKG
불법	불법/NNG
광산에	광산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
군의	군/NNG+의/JKG
공격을	공격/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.145.7.2
마약과의 전쟁을 넘어선 새로운 싸움, 금광전쟁의 시작이다.

마약과의	마약/NNG+과/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
싸움,	싸움/NNG+,/SP
금광전쟁의	금광/NNG+전쟁/NNG+의/JKG
시작이다.	시작/NNG+이/VCP+다/EF+./SF


