# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.48
metadata : {}


# id : NWRW1800000024.48.1.1
민주노총, 성폭력 은폐 시도 /‘지도부 총사퇴’ 요구 거세

민주노총,	민주노총/NNP+,/SP
저녁	저녁/NNG
해명자료를	해명/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“한	“/SS+한/MMN
달	달/NNB
뒤에야	뒤/NNG+에/JKB+야/JX
사건이	사건/NNG+이/JKS
접수돼	접수/NNG+되/XSV+어/EC
진상조사가	진상/NNG+조사/NNG+가/JKS
늦어졌고	늦어지/VV+었/EP+고/EC
은폐·축소하려는	은폐/NNG+·/SP+축소/NNG+하/XSV+려는/ETM
것은	것/NNB+은/JX
아니었다”며	아니/VCN+었/EP+다/EF+”/SS+며/EC
“피해자에게	“/SS+피해자/NNG+에게/JKB
고통을	고통/NNG+을/JKO
안겨준	안기/VV+어/EC+주/VX+ㄴ/ETM
점을	점/NNG+을/JKO
사과한다”고	사과/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.8.1
■ ‘지도부 총사퇴’=내부 격론 민주노총 내부 정파간 갈등도 이번 사건을 계기로 터져나왔다.

■	■/SW
‘지도부	‘/SS+지도부/NNG
총사퇴’=내부	총사퇴/NNG+’/SS+=/SW+내부/NNG
격론	격론/NNG
민주노총	민주노총/NNP
내부	내부/NNG
정파간	정파/NNG+간/NNB
갈등도	갈등/NNG+도/JX
이번	이번/NNG
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
터져나왔다.	터지/VV+어/EC+나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.48.8.2
이날 오후 열린 민주노총 중앙집행위원회에서는 ‘지도부 총사퇴와 대국민 사과’ 요구가 제기돼 격론이 벌어졌다.

이날	이날/NNG
오후	오후/NNG
열린	열리/VV+ㄴ/ETM
민주노총	민주노총/NNP
중앙집행위원회에서는	중앙/NNG+집행/NNG+위원회/NNG+에서/JKB+는/JX
‘지도부	‘/SS+지도부/NNG
총사퇴와	총사퇴/NNG+와/JC
대국민	대국민/NNG
사과’	사과/NNG+’/SS
요구가	요구/NNG+가/JKS
제기돼	제기/NNG+되/XSV+어/EC
격론이	격론/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.48.8.3
주봉희 부위원장은 “임원회의에서 여러 차례 지도부가 도덕적 책임을 지고 대국민 사과와 총사퇴를 해야 한다고 요구했으나 받아들여지지 않았다”며 “핵심 지도부의 자정능력 상실을 드러낸 사건”이라고 말했다.

주봉희	주봉희/NNP
부위원장은	부위원장/NNG+은/JX
“임원회의에서	“/SS+임원/NNG+회의/NNG+에서/JKB
여러	여러/MMN
차례	차례/NNG
지도부가	지도부/NNG+가/JKS
도덕적	도덕/NNG+적/XSN
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
대국민	대국민/NNG
사과와	사과/NNG+와/JC
총사퇴를	총사퇴/NNG+를/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“핵심	“/SS+핵심/NNG
지도부의	지도부/NNG+의/JKG
자정능력	자정/NNG+능력/NNG
상실을	상실/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
사건”이라고	사건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.48.8.4
임원 9명 가운데 부위원장 4~5명은 개별 사퇴할 것도 검토하고 있다.

임원	임원/NNG
9명	9/SN+명/NNB
가운데	가운데/NNG
부위원장	부위원장/NNG
4~5명은	4/SN+~/SO+5/SN+명/NNB+은/JX
개별	개별/NNG
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.48.9.1
하지만 이석행 위원장 쪽 임원 4명은 “한 간부의 개인적인 문제로, 지도부가 사퇴할 사안은 아니다”라는 태도다.

하지만	하지만/MAJ
이석행	이석행/NNP
위원장	위원장/NNG
쪽	쪽/NNB
임원	임원/NNG
4명은	4/SN+명/NNB+은/JX
“한	“/SS+한/MMN
간부의	간부/NNG+의/JKG
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
문제로,	문제/NNG+로/JKB+,/SP
지도부가	지도부/NNG+가/JKS
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
사안은	사안/NNG+은/JX
아니다”라는	아니/VCN+다/EF+”/SS+이/VCP+라는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.48.9.2
비정규직법 개정 시도 등 정부의 반노동 정책에 맞서 싸워야 할 때여서 물러날 수 없다는 것이다.

비정규직법	비/XPN+정규직/NNG+법/NNG
개정	개정/NNG
시도	시도/NNG
등	등/NNB
정부의	정부/NNG+의/JKG
반노동	반/XPN+노동/NNG
정책에	정책/NNG+에/JKB
맞서	맞서/VV+어/EC
싸워야	싸우/VV+어야/EC
할	하/VX+ㄹ/ETM
때여서	때/NNG+이/VCP+어서/EC
물러날	물러나/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.48.10.1
민주노총은 올해 말 위원장 선거를 앞두고 있다.

민주노총은	민주노총/NNP+은/JX
올해	올해/NNG
말	말/NNB
위원장	위원장/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.48.10.2
2005년에도 민주노총 지도부는 수석부위원장 비리 사건으로 총사퇴한 바 있다.

2005년에도	2005/SN+년/NNB+에/JKB+도/JX
민주노총	민주노총/NNP
지도부는	지도부/NNG+는/JX
수석부위원장	수석/NNG+부위원장/NNG
비리	비리/NNG
사건으로	사건/NNG+으로/JKB
총사퇴한	총사퇴/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


