# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.51
metadata : {}


# id : NWRW1800000040.51.1.1
삼성, ‘휜 디스플레이’ 스마트폰 출시

삼성,	삼성/NNP+,/SP
있어서	있/VX+어서/EC
생기는	생기/VV+는/ETM
이점이	이점/NNG+이/JKS
별달리	별달리/MAG
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000040.51.6.2
또 가격도 갤럭시 노트3보다 비싼 108만9000원으로 정해졌다.

또	또/MAG
가격도	가격/NNG+도/JX
갤럭시	갤럭시/NNP
노트3보다	노트/NNP+3/SN+보다/JKB
비싼	비싸/VA+ㄴ/ETM
108만9000원으로	108/SN+만/NR+9000/SN+원/NNB+으로/JKB
정해졌다.	정하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.51.6.3
많이 판매하기보다는 신기술을 선보이고 혁신 이미지를 선점하기 위한 제품으로 보인다.

많이	많이/MAG
판매하기보다는	판매/NNG+하/XSV+기/ETN+보다/JKB+는/JX
신기술을	신/XPN+기술/NNG+을/JKO
선보이고	선보이/VV+고/EC
혁신	혁신/NNG
이미지를	이미지/NNG+를/JKO
선점하기	선점/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
제품으로	제품/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.51.6.4
삼성전자 쪽은 스마트 시계인 ‘갤럭시 기어’에 이어 갤럭시 라운드까지 출시하면서 “모바일 디바이스의 혁신을 주도했다”고 자평했다.

삼성전자	삼성전자/NNP
쪽은	쪽/NNB+은/JX
스마트	스마트/NNG
시계인	시계/NNG+이/VCP+ㄴ/ETM
‘갤럭시	‘/SS+갤럭시/NNP
기어’에	기어/NNP+’/SS+에/JKB
이어	잇/VV+어/EC
갤럭시	갤럭시/NNP
라운드까지	라운드/NNP+까지/JX
출시하면서	출시/NNG+하/XSV+면서/EC
“모바일	“/SS+모바일/NNG
디바이스의	디바이스/NNG+의/JKG
혁신을	혁신/NNG+을/JKO
주도했다”고	주도/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
자평했다.	자평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.51.7.1
엘지(LG)전자도 이르면 다음달 6인치 크기의 플렉서블 디스플레이를 채용한 스마트폰을 출시할 예정이다.

엘지(LG)전자도	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+도/JX
이르면	이르/VA+면/EC
다음달	다음/NNG+달/NNG
6인치	6/SN+인치/NNB
크기의	크기/NNG+의/JKG
플렉서블	플렉서블/NNG
디스플레이를	디스플레이/NNG+를/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
스마트폰을	스마트폰/NNG+을/JKO
출시할	출시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.51.7.2
아직 초기 제품이긴 하지만 플렉서블 디스플레이 경쟁이 본격적으로 시작된 것이다.

아직	아직/MAG
초기	초기/NNG
제품이긴	제품/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
플렉서블	플렉서블/NNG
디스플레이	디스플레이/NNG
경쟁이	경쟁/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


